,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,drivers,bounce,lap,bounce,drivers lap,19
1,drivers,bounce,lap,bounce,drivers lap,19
2,drivers,bounce,lap,bounce,drivers lap,19
3,drivers,bounce,lap,bounce,drivers lap,19
4,drivers,bounce,lap,bounce,drivers lap,19
5,drivers,bounce,lap,bounce,drivers lap,19
6,drivers,bounce,lap,bounce,drivers lap,19
7,drivers,bounce,lap,bounce,drivers lap,19
8,drivers,bounce,lap,bounce,drivers lap,19
9,drivers,bounce,lap,bounce,drivers lap,19
10,drivers,bounce,lap,bounce,drivers lap,19
11,drivers,bounce,lap,bounce,drivers lap,19
12,drivers,bounce,lap,bounce,drivers lap,19
13,drivers,bounce,lap,bounce,drivers lap,19
14,drivers,bounce,lap,bounce,drivers lap,19
15,drivers,bounce,lap,bounce,drivers lap,19
16,drivers,bounce,lap,bounce,drivers lap,19
17,drivers,bounce,lap,bounce,drivers lap,19
18,drivers,bounce,lap,bounce,drivers lap,19
19,club,bounced,season,bounce,club season,7
20,club,bounced,season,bounce,club season,7
21,club,bounced,season,bounce,club season,7
22,club,bounced,season,bounce,club season,7
23,club,bounced,season,bounce,club season,7
24,club,bounced,season,bounce,club season,7
25,club,bounced,season,bounce,club season,7
26,ball,bounces,ball,bounce,ball ball,6
27,ball,bounces,ball,bounce,ball ball,6
28,ball,bounced,ball,bounce,ball ball,6
29,ball,bounced,ball,bounce,ball ball,6
30,ball,bounced,ball,bounce,ball ball,6
31,ball,bounced,ball,bounce,ball ball,6
32,player,bounce,ball,bounce,player ball,5
33,player,bounces,ball,bounce,player ball,5
34,player,bounces,ball,bounce,player ball,5
35,player,bounce,ball,bounce,player ball,5
36,player,bounces,ball,bounce,player ball,5
37,ball,bounced,yards,bounce,ball yards,3
38,ball,bounced,yards,bounce,ball yards,3
39,players,bounce,ball,bounce,players ball,3
40,ball,bounced,shot,bounce,ball shot,3
41,players,bounce,ball,bounce,players ball,3
42,ball,bounced,possession,bounce,ball possession,3
43,ball,bounced,yards,bounce,ball yards,3
44,ball,bounced,possession,bounce,ball possession,3
45,ball,bounces,possession,bounce,ball possession,3
46,players,bounce,ball,bounce,players ball,3
47,ball,bounced,shot,bounce,ball shot,3
48,ball,bounced,shot,bounce,ball shot,3
49,airplane,bounced,somersault,bounce,airplane somersault,2
50,shots,bounced,group,bounce,shots group,2
51,shot,bounced,pointer,bounce,shot pointer,2
52,aircraft,bounced,ground,bounce,aircraft ground,2
53,shot,bounced,goal,bounce,shot goal,2
54,ball,bounced,pass,bounce,ball pass,2
55,ball,bounced,goalpost,bounce,ball goalpost,2
56,club,bounced,wins,bounce,club wins,2
57,ball,bounced,goalpost,bounce,ball goalpost,2
58,bombs,bounced,ridge,bounce,bombs ridge,2
59,club,bouncing,wins,bounce,club wins,2
60,plane,bounced,yards,bounce,plane yards,2
61,umpire,bounces,ball,bounce,umpire ball,2
62,team,bounced,crown,bounce,team crown,2
63,shot,bounced,game,bounce,shot game,2
64,team,bounced,crown,bounce,team crown,2
65,shot,bounced,pointer,bounce,shot pointer,2
66,club,bounced,one,bounce,club one,2
67,check,bounced,check,bounce,check check,2
68,team,bounced,seasons,bounce,team seasons,2
69,shots,bounced,group,bounce,shots group,2
70,club,bounced,one,bounce,club one,2
71,airplane,bounced,somersault,bounce,airplane somersault,2
72,umpire,bounces,ball,bounce,umpire ball,2
73,kick,bounced,penalty,bounce,kick penalty,2
74,ball,bounced,kick,bounce,ball kick,2
75,check,bounced,check,bounce,check check,2
76,ball,bounced,kick,bounce,ball kick,2
77,shot,bounced,game,bounce,shot game,2
78,kick,bounced,penalty,bounce,kick penalty,2
79,team,bounced,seasons,bounce,team seasons,2
80,elephant,bounces,tip,bounce,elephant tip,2
81,shot,bounced,goal,bounce,shot goal,2
82,ball,bounced,receiver,bounce,ball receiver,2
83,plane,bounced,yards,bounce,plane yards,2
84,ball,bounced,pass,bounce,ball pass,2
85,elephant,bounces,tip,bounce,elephant tip,2
86,aircraft,bounced,ground,bounce,aircraft ground,2
87,ball,bounced,receiver,bounce,ball receiver,2
88,bombs,bounced,ridge,bounce,bombs ridge,2
89,ball,bounces,turn,bounce,ball turn,1
90,waves,bounce,direction,bounce,waves direction,1
91,trunk,bounced,woman,bounce,trunk woman,1
92,rocks,bounce,walls,bounce,rocks walls,1
93,kick,bounced,posts,bounce,kick posts,1
94,second,bounced,upright,bounce,second upright,1
95,cross,bounced,ball,bounce,cross ball,1
96,signal,bounced,location,bounce,signal location,1
