,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,floods,carved,valleys,carve,floods valleys,17
1,floods,carved,valleys,carve,floods valleys,17
2,floods,carved,valleys,carve,floods valleys,17
3,floods,carved,valleys,carve,floods valleys,17
4,floods,carved,valleys,carve,floods valleys,17
5,floods,carved,valleys,carve,floods valleys,17
6,floods,carved,valleys,carve,floods valleys,17
7,floods,carved,valleys,carve,floods valleys,17
8,floods,carved,valleys,carve,floods valleys,17
9,floods,carved,valleys,carve,floods valleys,17
10,floods,carved,valleys,carve,floods valleys,17
11,floods,carved,valleys,carve,floods valleys,17
12,floods,carved,valleys,carve,floods valleys,17
13,floods,carved,valleys,carve,floods valleys,17
14,floods,carved,valleys,carve,floods valleys,17
15,floods,carved,valleys,carve,floods valleys,17
16,floods,carved,valleys,carve,floods valleys,17
17,people,carved,messages,carve,people messages,6
18,people,carved,messages,carve,people messages,6
19,people,carved,messages,carve,people messages,6
20,people,carved,messages,carve,people messages,6
21,people,carved,messages,carve,people messages,6
22,people,carved,messages,carve,people messages,6
23,glaciers,carved,valleys,carve,glaciers valleys,5
24,glaciers,carved,valleys,carve,glaciers valleys,5
25,glaciers,carved,valleys,carve,glaciers valleys,5
26,glaciers,carved,valleys,carve,glaciers valleys,5
27,glaciers,carve,valleys,carve,glaciers valleys,5
28,creek,carved,channel,carve,creek channel,4
29,rivers,carving,valleys,carve,rivers valleys,4
30,river,carves,way,carve,river way,4
31,rivers,carving,valleys,carve,rivers valleys,4
32,rivers,carve,valleys,carve,rivers valleys,4
33,tornado,carved,path,carve,tornado path,4
34,river,carved,canyon,carve,river canyon,4
35,tornado,carved,path,carve,tornado path,4
36,river,carves,way,carve,river way,4
37,river,carves,way,carve,river way,4
38,creek,carved,channel,carve,creek channel,4
39,river,carved,way,carve,river way,4
40,river,carved,canyon,carve,river canyon,4
41,river,carves,valley,carve,river valley,4
42,river,carved,canyon,carve,river canyon,4
43,river,carved,valley,carve,river valley,4
44,waters,carved,channels,carve,waters channels,4
