,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,album,cements,place,cement,album place,11
1,album,cemented,place,cement,album place,11
2,album,cemented,place,cement,album place,11
3,album,cements,place,cement,album place,11
4,album,cements,place,cement,album place,11
5,album,cemented,place,cement,album place,11
6,album,cemented,place,cement,album place,11
7,album,cements,place,cement,album place,11
8,album,cemented,place,cement,album place,11
9,album,cemented,place,cement,album place,11
10,album,cemented,place,cement,album place,11
11,album,cemented,position,cement,album position,6
12,belt,cemented,armour,cement,belt armour,6
13,album,cements,position,cement,album position,6
14,film,cemented,position,cement,film position,6
15,film,cemented,position,cement,film position,6
16,album,cemented,reputation,cement,album reputation,6
17,album,cemented,position,cement,album position,6
18,album,cemented,position,cement,album position,6
19,belt,cemented,armour,cement,belt armour,6
20,victory,cemented,reputation,cement,victory reputation,6
21,album,cements,reputation,cement,album reputation,6
22,success,cemented,status,cement,success status,6
23,film,cemented,position,cement,film position,6
24,victory,cemented,reputation,cement,victory reputation,6
25,success,cemented,status,cement,success status,6
26,belt,cemented,armour,cement,belt armour,6
27,success,cemented,status,cement,success status,6
28,album,cemented,reputation,cement,album reputation,6
29,belt,cemented,armour,cement,belt armour,6
30,victory,cemented,reputation,cement,victory reputation,6
31,album,cemented,reputation,cement,album reputation,6
32,victory,cemented,reputation,cement,victory reputation,6
33,film,cemented,position,cement,film position,6
34,victory,cemented,reputation,cement,victory reputation,6
35,belt,cemented,armour,cement,belt armour,6
36,film,cemented,position,cement,film position,6
37,album,cemented,position,cement,album position,6
38,album,cemented,reputation,cement,album reputation,6
39,album,cemented,reputation,cement,album reputation,6
40,success,cemented,status,cement,success status,6
41,victory,cemented,reputation,cement,victory reputation,6
42,album,cemented,position,cement,album position,6
43,success,cemented,status,cement,success status,6
44,film,cemented,position,cement,film position,6
45,belt,cemented,armour,cement,belt armour,6
46,success,cemented,status,cement,success status,6
47,novel,cemented,reputation,cement,novel reputation,5
48,win,cemented,place,cement,win place,5
49,win,cementing,place,cement,win place,5
50,album,cemented,status,cement,album status,5
51,win,cemented,place,cement,win place,5
52,film,cemented,reputation,cement,film reputation,5
53,album,cemented,status,cement,album status,5
54,win,cemented,place,cement,win place,5
55,novel,cements,reputation,cement,novel reputation,5
56,film,cemented,reputation,cement,film reputation,5
57,film,cemented,reputation,cement,film reputation,5
58,film,cemented,reputation,cement,film reputation,5
59,novel,cemented,reputation,cement,novel reputation,5
60,film,cemented,reputation,cement,film reputation,5
61,album,cemented,status,cement,album status,5
62,win,cemented,place,cement,win place,5
63,novel,cemented,reputation,cement,novel reputation,5
64,album,cemented,status,cement,album status,5
65,novel,cemented,reputation,cement,novel reputation,5
66,album,cements,status,cement,album status,5
67,rising,cemented,materials,cement,rising materials,4
68,sulfates,cemented,sediments,cement,sulfates sediments,4
69,sulfates,cemented,sediments,cement,sulfates sediments,4
70,rising,cemented,materials,cement,rising materials,4
71,performance,cemented,status,cement,performance status,4
72,success,cemented,reputation,cement,success reputation,4
73,series,cemented,position,cement,series position,4
74,success,cemented,reputation,cement,success reputation,4
75,rising,cemented,materials,cement,rising materials,4
76,series,cemented,position,cement,series position,4
77,performance,cemented,status,cement,performance status,4
78,series,cemented,position,cement,series position,4
79,sulfates,cemented,sediments,cement,sulfates sediments,4
80,performance,cements,status,cement,performance status,4
81,performance,cements,status,cement,performance status,4
82,success,cemented,reputation,cement,success reputation,4
83,series,cemented,position,cement,series position,4
84,sulfates,cemented,sediments,cement,sulfates sediments,4
85,success,cemented,reputation,cement,success reputation,4
86,rising,cemented,materials,cement,rising materials,4
87,belt,cemented,armor,cement,belt armor,3
88,success,cemented,popularity,cement,success popularity,3
89,meeting,cemented,alliance,cement,meeting alliance,3
90,belt,cemented,armor,cement,belt armor,3
91,meeting,cemented,alliance,cement,meeting alliance,3
92,success,cemented,popularity,cement,success popularity,3
93,song,cemented,status,cement,song status,3
94,performance,cemented,place,cement,performance place,3
95,inches,cemented,armour,cement,inches armour,3
96,inches,cemented,armour,cement,inches armour,3
97,work,cemented,reputation,cement,work reputation,3
98,song,cemented,status,cement,song status,3
99,series,cemented,loss,cement,series loss,3
100,performance,cemented,place,cement,performance place,3
101,success,cemented,popularity,cement,success popularity,3
102,song,cemented,status,cement,song status,3
103,meeting,cemented,alliance,cement,meeting alliance,3
104,recordings,cemented,popularity,cement,recordings popularity,3
105,team,cemented,place,cement,team place,3
106,team,cemented,place,cement,team place,3
107,belt,cemented,armor,cement,belt armor,3
108,publication,cemented,view,cement,publication view,3
109,work,cemented,reputation,cement,work reputation,3
110,work,cemented,reputation,cement,work reputation,3
111,series,cemented,loss,cement,series loss,3
112,recordings,cemented,popularity,cement,recordings popularity,3
113,publication,cemented,view,cement,publication view,3
114,performance,cemented,place,cement,performance place,3
115,team,cemented,place,cement,team place,3
116,series,cemented,loss,cement,series loss,3
117,recordings,cemented,popularity,cement,recordings popularity,3
118,publication,cemented,view,cement,publication view,3
119,inches,cemented,armour,cement,inches armour,3
120,incidents,cemented,beliefs,cement,incidents beliefs,2
121,marriage,cemented,alliance,cement,marriage alliance,2
122,all,cemented,steel,cement,all steel,2
123,show,cemented,place,cement,show place,2
124,series,cemented,reputation,cement,series reputation,2
125,battle,cemented,control,cement,battle control,2
126,victory,cemented,emergence,cement,victory emergence,2
127,film,cements,status,cement,film status,2
128,award,cemented,legacy,cement,award legacy,2
129,popularity,cemented,position,cement,popularity position,2
130,legislation,cemented,reputation,cement,legislation reputation,2
131,events,cemented,brotherhood,cement,events brotherhood,2
132,performance,cemented,reputation,cement,performance reputation,2
133,award,cemented,legacy,cement,award legacy,2
134,construction,cemented,importance,cement,construction importance,2
135,book,cemented,reputation,cement,book reputation,2
136,accords,cemented,relationship,cement,accords relationship,2
137,victory,cemented,emergence,cement,victory emergence,2
138,construction,cemented,importance,cement,construction importance,2
139,appearance,cemented,status,cement,appearance status,2
140,years,cemented,reputation,cement,years reputation,2
141,success,cemented,lineup,cement,success lineup,2
142,form,cemented,place,cement,form place,2
143,inclusion,cemented,reputation,cement,inclusion reputation,2
144,all,cemented,steel,cement,all steel,2
145,coalition,cemented,term,cement,coalition term,2
146,win,cemented,reputation,cement,win reputation,2
147,role,cemented,status,cement,role status,2
148,role,cemented,status,cement,role status,2
149,collection,cements,place,cement,collection place,2
150,volume,cemented,reputation,cement,volume reputation,2
151,album,cemented,sound,cement,album sound,2
152,game,cemented,status,cement,game status,2
153,win,cemented,position,cement,win position,2
154,band,cement,place,cement,band place,2
155,event,cements,position,cement,event position,2
156,inclusion,cemented,reputation,cement,inclusion reputation,2
157,union,cements,alliance,cement,union alliance,2
158,rally,cemented,legitimacy,cement,rally legitimacy,2
159,two,cemented,friendship,cement,two friendship,2
160,acquisition,cemented,position,cement,acquisition position,2
161,win,cemented,position,cement,win position,2
162,win,cemented,status,cement,win status,2
163,show,cemented,place,cement,show place,2
164,publication,cemented,reputation,cement,publication reputation,2
165,popularity,cemented,position,cement,popularity position,2
166,coalition,cemented,term,cement,coalition term,2
167,acquisition,cemented,position,cement,acquisition position,2
168,performance,cemented,reputation,cement,performance reputation,2
169,events,cemented,brotherhood,cement,events brotherhood,2
170,singers,cemented,status,cement,singers status,2
171,legislation,cemented,reputation,cement,legislation reputation,2
172,visit,cemented,reputation,cement,visit reputation,2
173,band,cemented,position,cement,band position,2
174,century,cemented,place,cement,century place,2
175,sides,cemented,armor,cement,sides armor,2
176,band,cement,place,cement,band place,2
177,play,cemented,reputation,cement,play reputation,2
178,influx,cemented,presence,cement,influx presence,2
179,influx,cemented,presence,cement,influx presence,2
180,book,cemented,reputation,cement,book reputation,2
181,years,cemented,reputation,cement,years reputation,2
182,performances,cemented,place,cement,performances place,2
183,performances,cemented,place,cement,performances place,2
184,sides,cemented,armor,cement,sides armor,2
185,publication,cemented,reputation,cement,publication reputation,2
186,victory,cemented,status,cement,victory status,2
187,singers,cemented,status,cement,singers status,2
188,two,cemented,friendship,cement,two friendship,2
189,album,cemented,sound,cement,album sound,2
190,film,cemented,success,cement,film success,2
191,play,cemented,reputation,cement,play reputation,2
192,film,cemented,success,cement,film success,2
193,popularity,cemented,status,cement,popularity status,2
194,appearance,cemented,status,cement,appearance status,2
195,collection,cements,place,cement,collection place,2
196,event,cemented,decision,cement,event decision,2
197,band,cemented,position,cement,band position,2
198,union,cemented,alliance,cement,union alliance,2
199,film,cemented,connection,cement,film connection,2
200,series,cemented,reputation,cement,series reputation,2
201,visit,cemented,ties,cement,visit ties,2
202,century,cemented,place,cement,century place,2
203,visit,cemented,ties,cement,visit ties,2
204,win,cemented,reputation,cement,win reputation,2
205,rally,cemented,legitimacy,cement,rally legitimacy,2
206,battle,cemented,reputation,cement,battle reputation,2
207,incidents,cemented,beliefs,cement,incidents beliefs,2
208,victory,cemented,status,cement,victory status,2
