,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,female,chew,leaves,chew,female leaves,5
1,female,chew,leaves,chew,female leaves,5
2,female,chew,leaves,chew,female leaves,5
3,female,chew,leaves,chew,female leaves,5
4,female,chew,leaves,chew,female leaves,5
5,neck,chewed,stud,chew,neck stud,3
6,adults,chew,way,chew,adults way,3
7,larvae,chew,way,chew,larvae way,3
8,larvae,chew,way,chew,larvae way,3
9,adults,chew,way,chew,adults way,3
10,spiderlings,chew,way,chew,spiderlings way,3
11,spiderlings,chew,way,chew,spiderlings way,3
12,neck,chewed,stud,chew,neck stud,3
13,neck,chewed,stud,chew,neck stud,3
14,spiderlings,chew,way,chew,spiderlings way,3
15,larvae,chew,way,chew,larvae way,3
16,adults,chew,way,chew,adults way,3
17,insects,chew,holes,chew,insects holes,2
18,waiters,chew,food,chew,waiters food,2
19,animal,chews,plant,chew,animal plant,2
20,insects,chew,holes,chew,insects holes,2
21,animal,chews,plant,chew,animal plant,2
22,waiters,chew,food,chew,waiters food,2
23,boys,chewed,maize,chew,boys maize,1
24,larva,chews,hole,chew,larva hole,1
25,people,chewed,leaves,chew,people leaves,1
26,mother,chews,puppy,chew,mother puppy,1
27,bones,chewed,scavengers,chew,bones scavengers,1
28,larvae,chew,hole,chew,larvae hole,1
29,workers,chewed,bits,chew,workers bits,1
30,workers,chew,pollen,chew,workers pollen,1
31,tornado,chewed,way,chew,tornado way,1
32,people,chewed,juices,chew,people juices,1
33,larva,chews,series,chew,larva series,1
34,larva,chews,tunnel,chew,larva tunnel,1
35,phrase,chew,fat,chew,phrase fat,1
36,generation,chewed,magazine,chew,generation magazine,1
37,quokkas,chew,cud,chew,quokkas cud,1
38,snake,chews,hole,chew,snake hole,1
39,men,chewed,cornstalks,chew,men cornstalks,1
40,man,chewed,piece,chew,man piece,1
41,silence,chewed,piece,chew,silence piece,1
42,phrase,chew,rag,chew,phrase rag,1
43,bees,chew,plant,chew,bees plant,1
44,leaves,chewed,caterpillars,chew,leaves caterpillars,1
45,puppy,chew,boot,chew,puppy boot,1
46,cultures,chew,leaves,chew,cultures leaves,1
47,males,chew,holes,chew,males holes,1
48,generation,chews,substance,chew,generation substance,1
49,soldiery,chewed,tins,chew,soldiery tins,1
50,mammoth,chewed,food,chew,mammoth food,1
51,face,chewed,hands,chew,face hands,1
52,eggs,chew,way,chew,eggs way,1
53,ancestors,chewed,leaves,chew,ancestors leaves,1
54,animal,chew,cud,chew,animal cud,1
55,bees,chew,way,chew,bees way,1
56,actors,chew,scenery,chew,actors scenery,1
57,women,chewed,maize,chew,women maize,1
58,dog,chews,bone,chew,dog bone,1
59,attacker,chewed,thumb,chew,attacker thumb,1
60,caterpillars,chew,hole,chew,caterpillars hole,1
61,mouse,chews,hole,chew,mouse hole,1
62,mukbangers,chew,food,chew,mukbangers food,1
63,offense,chewed,minutes,chew,offense minutes,1
64,birds,chewing,feathers,chew,birds feathers,1
65,giraffe,chews,food,chew,giraffe food,1
66,mammals,chew,cud,chew,mammals cud,1
67,giraffe,chews,cud,chew,giraffe cud,1
68,foragers,chew,prey,chew,foragers prey,1
69,worker,chews,pulp,chew,worker pulp,1
70,people,chewed,sugarcane,chew,people sugarcane,1
71,grub,chews,way,chew,grub way,1
72,wasps,chew,cells,chew,wasps cells,1
73,workers,chew,caterpillars,chew,workers caterpillars,1
74,teeth,chew,food,chew,teeth food,1
75,plant,chewed,liquid,chew,plant liquid,1
76,man,chewed,kid,chew,man kid,1
77,phrase,chew,bullet,chew,phrase bullet,1
78,locals,chewed,tobacco,chew,locals tobacco,1
79,animals,chew,things,chew,animals things,1
80,glove,chew,spit,chew,glove spit,1
81,dog,chewed,ball,chew,dog ball,1
82,horse,chew,bit,chew,horse bit,1
83,guys,chew,gum,chew,guys gum,1
84,friends,chewing,cud,chew,friends cud,1
85,actor,chewing,scenery,chew,actor scenery,1
86,eaters,chew,amounts,chew,eaters amounts,1
87,reporters,chew,fingers,chew,reporters fingers,1
88,polecat,chews,men,chew,polecat men,1
89,man,chew,acceptance,chew,man acceptance,1
90,carnivores,chewed,bones,chew,carnivores bones,1
91,people,chewing,food,chew,people food,1
92,hyrax,chews,cud,chew,hyrax cud,1
93,propeller,chewed,wing,chew,propeller wing,1
94,adults,chew,holes,chew,adults holes,1
95,peoples,chewed,leaves,chew,peoples leaves,1
96,both,chew,ruminate,chew,both ruminate,1
97,insects,chew,way,chew,insects way,1
98,children,chew,jelly,chew,children jelly,1
99,one,chews,chunk,chew,one chunk,1
100,herbivore,chews,plant,chew,herbivore plant,1
101,women,chew,cassava,chew,women cassava,1
102,soldier,chewed,gum,chew,soldier gum,1
103,patient,chewed,food,chew,patient food,1
104,performers,chew,leaf,chew,performers leaf,1
105,both,chew,cud,chew,both cud,1
106,chimpanzees,chew,leaves,chew,chimpanzees leaves,1
107,people,chew,skin,chew,people skin,1
108,food,chewed,teeth,chew,food teeth,1
109,owner,chewed,team,chew,owner team,1
110,person,chews,end,chew,person end,1
111,people,chew,gum,chew,people gum,1
112,children,chew,plant,chew,children plant,1
113,dogs,chew,prisoner,chew,dogs prisoner,1
114,fellas,chew,tobaccy,chew,fellas tobaccy,1
115,bats,chew,fronds,chew,bats fronds,1
116,women,chew,arils,chew,women arils,1
117,slabs,chewing,ship,chew,slabs ship,1
118,community,chewed,bubblegum,chew,community bubblegum,1
119,peoples,chew,twigs,chew,peoples twigs,1
120,rabbits,chew,cuds,chew,rabbits cuds,1
121,percent,chewing,hours,chew,percent hours,1
122,cats,chew,quantities,chew,cats quantities,1
123,mouse,chewed,cords,chew,mouse cords,1
124,mothers,chew,food,chew,mothers food,1
125,legs,chewed,forces,chew,legs forces,1
126,ogre,chewed,stars,chew,ogre stars,1
127,seeds,chewed,singers,chew,seeds singers,1
128,cow,chewing,something,chew,cow something,1
129,rodent,chews,wrist,chew,rodent wrist,1
130,ants,chew,holes,chew,ants holes,1
131,cat,chews,grass,chew,cat grass,1
132,members,chewed,legacy,chew,members legacy,1
133,workers,chew,leaves,chew,workers leaves,1
