,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,clamped,people,clamp,police people,3
1,man,clamped,planks,clamp,man planks,3
2,man,clamped,planks,clamp,man planks,3
3,police,clamped,people,clamp,police people,3
4,man,clamped,planks,clamp,man planks,3
5,police,clamped,people,clamp,police people,3
6,defense,clamped,points,clamp,defense points,2
7,surgeons,clamp,aorta,clamp,surgeons aorta,2
8,cover,clamped,diaphragm,clamp,cover diaphragm,2
9,surgeons,clamp,aorta,clamp,surgeons aorta,2
10,defense,clamped,points,clamp,defense points,2
11,cover,clamped,diaphragm,clamp,cover diaphragm,2
12,magistrates,clamp,offences,clamp,magistrates offences,1
13,goal,clamped,rest,clamp,goal rest,1
14,regime,clamped,apprehension,clamp,regime apprehension,1
15,regime,clamped,hundreds,clamp,regime hundreds,1
16,minors,clamped,hands,clamp,minors hands,1
17,minister,clamped,curfew,clamp,minister curfew,1
18,car,clamps,hose,clamp,car hose,1
19,lion,clamped,jaws,clamp,lion jaws,1
20,nut,clamps,strings,clamp,nut strings,1
21,muscles,clamp,shell,clamp,muscles shell,1
22,old,clamped,hands,clamp,old hands,1
23,jaw,clamped,shut,clamp,jaw shut,1
24,product,clamped,balls,clamp,product balls,1
25,legs,clamp,horse,clamp,legs horse,1
26,coffin,clamped,shut,clamp,coffin shut,1
27,mussel,clamped,valves,clamp,mussel valves,1
28,shipwright,clamped,barge,clamp,shipwright barge,1
29,length,clamp,material,clamp,length material,1
30,hand,clamped,passport,clamp,hand passport,1
31,sheets,clamped,mold,clamp,sheets mold,1
32,police,clamped,disagreement,clamp,police disagreement,1
33,motorists,clamping,cars,clamp,motorists cars,1
34,cigarette,clamped,image,clamp,cigarette image,1
35,method,clamps,material,clamp,method material,1
36,cleavers,clamp,fiber,clamp,cleavers fiber,1
37,circuits,clamp,peak,clamp,circuits peak,1
38,beadlocks,clamp,bead,clamp,beadlocks bead,1
39,lamprey,clamps,mouth,clamp,lamprey mouth,1
40,muscles,clamped,jaws,clamp,muscles jaws,1
41,diodes,clamp,output,clamp,diodes output,1
42,brass,clamped,arms,clamp,brass arms,1
43,government,clamped,emigration,clamp,government emigration,1
44,government,clamped,notice,clamp,government notice,1
