,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mother,cleaned,houses,clean,mother houses,10
1,mother,cleaned,houses,clean,mother houses,10
2,mother,cleaned,houses,clean,mother houses,10
3,mother,cleaned,houses,clean,mother houses,10
4,mother,cleaned,houses,clean,mother houses,10
5,mother,cleaned,houses,clean,mother houses,10
6,mother,cleaned,houses,clean,mother houses,10
7,mother,cleaned,houses,clean,mother houses,10
8,mother,cleaned,houses,clean,mother houses,10
9,mother,cleaned,houses,clean,mother houses,10
10,crews,cleaned,debris,clean,crews debris,3
11,volunteers,cleaned,trash,clean,volunteers trash,3
12,volunteers,clean,trash,clean,volunteers trash,3
13,crews,cleaned,debris,clean,crews debris,3
14,volunteers,cleaned,trash,clean,volunteers trash,3
15,families,clean,homes,clean,families homes,3
16,crews,cleaned,debris,clean,crews debris,3
17,families,clean,homes,clean,families homes,3
18,families,clean,homes,clean,families homes,3
19,season,cleans,storylines,clean,season storylines,2
20,people,clean,houses,clean,people houses,2
21,shows,cleaned,hand,clean,shows hand,2
22,caller,cleans,stack,clean,caller stack,2
23,caller,cleans,stack,clean,caller stack,2
24,remix,cleans,vocal,clean,remix vocal,2
25,chef,cleans,kitchen,clean,chef kitchen,2
26,people,clean,graves,clean,people graves,2
27,people,cleaning,car,clean,people car,2
28,bacteria,clean,poisons,clean,bacteria poisons,2
29,cars,cleaned,circuit,clean,cars circuit,2
30,state,clean,costs,clean,state costs,2
31,people,clean,car,clean,people car,2
32,people,clean,mess,clean,people mess,2
33,chef,clean,kitchen,clean,chef kitchen,2
34,staff,cleaned,stop,clean,staff stop,2
35,bacteria,clean,poisons,clean,bacteria poisons,2
36,works,clean,images,clean,works images,2
37,workmen,cleaning,torch,clean,workmen torch,2
38,congregation,cleaned,bricks,clean,congregation bricks,2
39,cars,cleaned,circuit,clean,cars circuit,2
40,works,clean,images,clean,works images,2
41,mother,clean,room,clean,mother room,2
42,water,cleans,eyes,clean,water eyes,2
43,workmen,cleaning,torch,clean,workmen torch,2
44,wet,cleaning,method,clean,wet method,2
45,residents,cleaned,alley,clean,residents alley,2
46,season,cleans,storylines,clean,season storylines,2
47,mother,cleaned,house,clean,mother house,2
48,wet,cleaning,method,clean,wet method,2
49,residents,cleaned,alley,clean,residents alley,2
50,apprentices,clean,facilities,clean,apprentices facilities,2
51,people,clean,homes,clean,people homes,2
52,congregation,cleaned,bricks,clean,congregation bricks,2
53,volunteers,cleaned,paths,clean,volunteers paths,2
54,police,cleaned,area,clean,police area,2
55,police,cleaned,area,clean,police area,2
56,remix,cleans,vocal,clean,remix vocal,2
57,state,clean,costs,clean,state costs,2
58,devotees,clean,houses,clean,devotees houses,2
59,mother,clean,house,clean,mother house,2
60,water,cleans,eyes,clean,water eyes,2
61,people,cleaned,homes,clean,people homes,2
62,people,clean,area,clean,people area,2
63,volunteers,cleaned,paths,clean,volunteers paths,2
64,people,clean,houses,clean,people houses,2
65,people,clean,mess,clean,people mess,2
66,apprentices,clean,facilities,clean,apprentices facilities,2
67,people,clean,area,clean,people area,2
68,people,clean,graves,clean,people graves,2
69,power,cleaned,lbs,clean,power lbs,2
70,power,clean,lbs,clean,power lbs,2
71,community,clean,efforts,clean,community efforts,2
72,community,clean,efforts,clean,community efforts,2
73,mother,cleans,room,clean,mother room,2
74,devotees,clean,houses,clean,devotees houses,2
75,shows,cleaned,hand,clean,shows hand,2
76,staff,cleaned,stop,clean,staff stop,2
77,millipede,clean,environment,clean,millipede environment,1
78,animals,cleaned,appearance,clean,animals appearance,1
79,woman,cleaning,apartment,clean,woman apartment,1
80,forests,clean,air,clean,forests air,1
81,moves,cleans,house,clean,moves house,1
82,enforcement,cleaned,air,clean,enforcement air,1
83,preoccupation,cleaning,rage,clean,preoccupation rage,1
84,residents,cleaned,amount,clean,residents amount,1
85,firemen,cleaning,engine,clean,firemen engine,1
86,engineers,cleaning,wells,clean,engineers wells,1
87,merchants,clean,vandalism,clean,merchants vandalism,1
88,group,cleaned,surface,clean,group surface,1
89,spring,cleaning,house,clean,spring house,1
90,pipes,cleaned,improvement,clean,pipes improvement,1
91,corrections,cleaned,smear,clean,corrections smear,1
92,employment,cleaning,prison,clean,employment prison,1
93,bishop,cleaned,shoes,clean,bishop shoes,1
94,water,clean,jail,clean,water jail,1
95,members,clean,trash,clean,members trash,1
96,killers,cleaned,car,clean,killers car,1
97,khadims,clean,durbar,clean,khadims durbar,1
98,load,cleaning,limestone,clean,load limestone,1
99,league,cleaned,space,clean,league space,1
100,communities,clean,territories,clean,communities territories,1
101,fish,cleaning,teeth,clean,fish teeth,1
102,grandmother,cleaned,dorms,clean,grandmother dorms,1
103,boy,cleaning,steps,clean,boy steps,1
104,group,cleans,camp,clean,group camp,1
105,people,clean,carcasses,clean,people carcasses,1
106,days,clean,staircases,clean,days staircases,1
107,male,cleans,eggs,clean,male eggs,1
108,hundreds,cleaned,site,clean,hundreds site,1
109,saree,cleaned,one,clean,saree one,1
110,total,cleaned,wool,clean,total wool,1
111,son,cleans,trash,clean,son trash,1
112,park,cleaned,volunteers,clean,park volunteers,1
113,municipalities,clean,waters,clean,municipalities waters,1
114,alligator,cleans,dentures,clean,alligator dentures,1
115,members,cleaned,graffiti,clean,members graffiti,1
116,teeth,cleaning,twigs,clean,teeth twigs,1
117,people,clean,remains,clean,people remains,1
118,forces,cleaned,most,clean,forces most,1
119,receiver,clean,signal,clean,receiver signal,1
120,members,clean,area,clean,members area,1
121,girls,clean,bathroom,clean,girls bathroom,1
122,climber,cleaning,boulder,clean,climber boulder,1
123,couple,cleans,wedding,clean,couple wedding,1
124,work,cleaning,windows,clean,work windows,1
125,parts,cleaning,cycles,clean,parts cycles,1
126,wife,clean,clothing,clean,wife clothing,1
127,association,cleaned,years,clean,association years,1
128,files,clean,package,clean,files package,1
129,ants,clean,legs,clean,ants legs,1
130,employees,clean,mess,clean,employees mess,1
131,men,cleaning,flues,clean,men flues,1
132,group,cleaned,interior,clean,group interior,1
133,people,clean,latrines,clean,people latrines,1
134,plants,clean,air,clean,plants air,1
135,one,cleans,pool,clean,one pool,1
136,researchers,cleaned,jaws,clean,researchers jaws,1
137,association,clean,cemetery,clean,association cemetery,1
138,fish,cleaning,bowl,clean,fish bowl,1
139,all,cleaned,cleanup,clean,all cleanup,1
140,gang,cleans,mess,clean,gang mess,1
141,staff,clean,school,clean,staff school,1
