,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,song,climbed,charts,climb,song charts,18
1,song,climbed,charts,climb,song charts,18
2,song,climbed,charts,climb,song charts,18
3,song,climbed,charts,climb,song charts,18
4,song,climbed,charts,climb,song charts,18
5,song,climbed,charts,climb,song charts,18
6,song,climbed,charts,climb,song charts,18
7,song,climbed,charts,climb,song charts,18
8,song,climbed,charts,climb,song charts,18
9,song,climbed,charts,climb,song charts,18
10,song,climbed,charts,climb,song charts,18
11,song,climbed,charts,climb,song charts,18
12,song,climbed,charts,climb,song charts,18
13,song,climbed,charts,climb,song charts,18
14,song,climbed,charts,climb,song charts,18
15,song,climbed,charts,climb,song charts,18
16,song,climbs,charts,climb,song charts,18
17,song,climbed,charts,climb,song charts,18
18,road,climbs,hill,climb,road hill,17
19,road,climbs,hill,climb,road hill,17
20,road,climbs,hill,climb,road hill,17
21,road,climbs,hill,climb,road hill,17
22,road,climbs,hill,climb,road hill,17
23,road,climbs,hill,climb,road hill,17
24,road,climbs,hill,climb,road hill,17
25,road,climbs,hill,climb,road hill,17
26,road,climbs,hill,climb,road hill,17
27,road,climbs,hill,climb,road hill,17
28,road,climbs,hill,climb,road hill,17
29,road,climbs,hill,climb,road hill,17
30,road,climbs,hill,climb,road hill,17
31,road,climbs,hill,climb,road hill,17
32,road,climbs,hill,climb,road hill,17
33,road,climbs,hill,climb,road hill,17
34,road,climbs,hill,climb,road hill,17
35,song,climbed,chart,climb,song chart,12
36,song,climbed,chart,climb,song chart,12
37,single,climbed,places,climb,single places,12
38,song,climbed,chart,climb,song chart,12
39,single,climbed,places,climb,single places,12
40,single,climbed,places,climb,single places,12
41,single,climbed,places,climb,single places,12
42,single,climbed,places,climb,single places,12
43,single,climbed,places,climb,single places,12
44,song,climbed,chart,climb,song chart,12
45,song,climbed,chart,climb,song chart,12
46,single,climbed,places,climb,single places,12
47,song,climbed,chart,climb,song chart,12
48,song,climbing,chart,climb,song chart,12
49,single,climbed,places,climb,single places,12
50,single,climbed,places,climb,single places,12
51,song,climbed,chart,climb,song chart,12
52,song,climbed,chart,climb,song chart,12
53,single,climbed,places,climb,single places,12
54,song,climbed,chart,climb,song chart,12
55,single,climbed,places,climb,single places,12
56,song,climbed,chart,climb,song chart,12
57,song,climbed,chart,climb,song chart,12
58,single,climbed,places,climb,single places,12
59,partner,climbs,turnbuckle,climb,partner turnbuckle,11
60,partner,climbs,turnbuckle,climb,partner turnbuckle,11
