,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,crew,colored,sock,color,crew sock,2
1,people,coloring,face,color,people face,2
2,skin,coloring,agent,color,skin agent,2
3,skin,coloring,agent,color,skin agent,2
4,dye,colored,stripe,color,dye stripe,2
5,perspectives,color,interpretations,color,perspectives interpretations,2
6,hair,coloring,techniques,color,hair techniques,2
7,perspectives,color,interpretations,color,perspectives interpretations,2
8,crew,colored,sock,color,crew sock,2
9,people,color,face,color,people face,2
10,dye,colored,stripe,color,dye stripe,2
11,graph,coloring,problems,color,graph problems,2
12,hair,coloring,techniques,color,hair techniques,2
13,graph,coloring,problems,color,graph problems,2
14,light,colored,hairs,color,light hairs,1
15,students,color,pictures,color,students pictures,1
16,features,colored,piping,color,features piping,1
17,penciling,coloring,work,color,penciling work,1
18,report,colored,confirmation,color,report confirmation,1
19,scales,colored,silvery,color,scales silvery,1
20,hair,coloring,works,color,hair works,1
21,testimony,colored,emotions,color,testimony emotions,1
22,accounts,colored,readings,color,accounts readings,1
23,algorithm,colors,vertex,color,algorithm vertex,1
24,notions,colored,much,color,notions much,1
25,arrangements,color,songs,color,arrangements songs,1
26,canopies,colored,white,color,canopies white,1
27,one,colors,hair,color,one hair,1
28,two,colored,red,color,two red,1
29,cap,colored,white,color,cap white,1
30,livery,colored,stripe,color,livery stripe,1
31,track,colored,gold,color,track gold,1
32,bronze,colored,metal,color,bronze metal,1
33,decorator,colored,walls,color,decorator walls,1
34,woman,colored,teeth,color,woman teeth,1
35,building,colored,fish,color,building fish,1
36,darker,colored,top,color,darker top,1
37,blood,colored,gold,color,blood gold,1
38,rainbow,colored,wing,color,rainbow wing,1
39,experience,colored,tone,color,experience tone,1
40,player,colored,buttons,color,player buttons,1
41,chestnut,colored,breast,color,chestnut breast,1
42,process,coloring,parts,color,process parts,1
43,pictures,colored,hand,color,pictures hand,1
44,experience,colored,perspective,color,experience perspective,1
45,work,coloring,reminiscent,color,work reminiscent,1
46,grey,colored,layers,color,grey layers,1
47,characterization,colored,view,color,characterization view,1
48,organisms,color,water,color,organisms water,1
49,translations,colored,view,color,translations view,1
50,events,colored,operations,color,events operations,1
51,food,coloring,shortcut,color,food shortcut,1
52,people,color,eggs,color,people eggs,1
53,drawings,colored,team,color,drawings team,1
54,inflorescences,colored,red,color,inflorescences red,1
55,army,colored,imprint,color,army imprint,1
56,grass,colored,red,color,grass red,1
57,sentiment,colored,much,color,sentiment much,1
58,experiences,color,view,color,experiences view,1
59,items,colored,objects,color,items objects,1
60,camel,colored,beechwood,color,camel beechwood,1
61,people,colored,flag,color,people flag,1
62,part,colored,blue,color,part blue,1
63,light,colored,half,color,light half,1
64,impressions,colored,perception,color,impressions perception,1
65,alienation,colored,discussion,color,alienation discussion,1
66,violet,colored,stripe,color,violet stripe,1
67,clock,coloring,dye,color,clock dye,1
68,development,colored,dyes,color,development dyes,1
69,site,colored,flags,color,site flags,1
70,sculptures,colored,pieces,color,sculptures pieces,1
71,floor,colored,bewarna,color,floor bewarna,1
72,child,colored,eyes,color,child eyes,1
73,war,colored,experiences,color,war experiences,1
74,flourishes,color,sound,color,flourishes sound,1
75,wife,colored,comics,color,wife comics,1
76,songs,colored,play,color,songs play,1
77,teams,colored,uniforms,color,teams uniforms,1
78,team,colored,jerseys,color,team jerseys,1
79,edition,colored,disc,color,edition disc,1
80,sexuality,colored,relationship,color,sexuality relationship,1
81,objects,colored,red,color,objects red,1
82,humor,colors,description,color,humor description,1
83,dialect,colors,bulk,color,dialect bulk,1
84,olive,colored,mocha,color,olive mocha,1
85,interest,colored,life,color,interest life,1
86,pod,colored,beans,color,pod beans,1
87,printing,coloring,pages,color,printing pages,1
88,corolla,colored,orange,color,corolla orange,1
89,violence,colored,character,color,violence character,1
90,abdomen,colored,green,color,abdomen green,1
91,petals,colored,red,color,petals red,1
92,hair,coloring,kits,color,hair kits,1
93,food,coloring,needs,color,food needs,1
94,flesh,colored,tones,color,flesh tones,1
95,sand,colored,camouflage,color,sand camouflage,1
96,pigments,colored,dye,color,pigments dye,1
97,interference,colored,research,color,interference research,1
98,forms,colored,compounds,color,forms compounds,1
99,incidence,coloring,number,color,incidence number,1
100,hair,coloring,products,color,hair products,1
