,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,genus,contains,species,contain,genus species,2066
1,genus,contains,species,contain,genus species,2066
2,genus,contains,species,contain,genus species,2066
3,genus,contains,species,contain,genus species,2066
4,genus,contains,species,contain,genus species,2066
5,genus,contains,species,contain,genus species,2066
6,genus,contains,species,contain,genus species,2066
7,genus,contains,species,contain,genus species,2066
8,genus,contains,species,contain,genus species,2066
9,genus,contains,species,contain,genus species,2066
10,genus,contains,species,contain,genus species,2066
11,genus,contains,species,contain,genus species,2066
12,genus,contains,species,contain,genus species,2066
13,genus,contained,species,contain,genus species,2066
14,genus,contains,species,contain,genus species,2066
15,genus,contains,species,contain,genus species,2066
16,genus,contains,species,contain,genus species,2066
17,genus,contains,species,contain,genus species,2066
18,genus,contained,species,contain,genus species,2066
19,genus,contains,species,contain,genus species,2066
20,genus,contains,species,contain,genus species,2066
21,genus,contains,species,contain,genus species,2066
22,genus,contains,species,contain,genus species,2066
23,genus,contains,species,contain,genus species,2066
24,genus,contains,species,contain,genus species,2066
25,genus,contains,species,contain,genus species,2066
26,genus,contains,species,contain,genus species,2066
27,genus,contains,species,contain,genus species,2066
28,genus,contains,species,contain,genus species,2066
29,genus,contains,species,contain,genus species,2066
30,genus,contains,species,contain,genus species,2066
31,genus,contains,species,contain,genus species,2066
32,genus,contains,species,contain,genus species,2066
33,genus,contains,species,contain,genus species,2066
34,genus,contains,species,contain,genus species,2066
35,genus,contains,species,contain,genus species,2066
36,genus,contains,species,contain,genus species,2066
37,genus,contains,species,contain,genus species,2066
38,genus,contains,species,contain,genus species,2066
39,genus,contains,species,contain,genus species,2066
40,genus,contains,species,contain,genus species,2066
41,genus,contains,species,contain,genus species,2066
42,genus,contains,species,contain,genus species,2066
43,genus,contained,species,contain,genus species,2066
44,genus,contains,species,contain,genus species,2066
45,genus,contains,species,contain,genus species,2066
46,genus,contains,species,contain,genus species,2066
47,genus,contains,species,contain,genus species,2066
48,genus,contains,species,contain,genus species,2066
49,genus,contains,species,contain,genus species,2066
50,genus,contains,species,contain,genus species,2066
51,genus,contains,species,contain,genus species,2066
52,genus,contains,species,contain,genus species,2066
53,genus,contains,species,contain,genus species,2066
54,genus,contains,species,contain,genus species,2066
55,genus,contains,species,contain,genus species,2066
56,genus,contains,species,contain,genus species,2066
57,genus,contains,species,contain,genus species,2066
58,genus,contains,species,contain,genus species,2066
59,genus,contains,species,contain,genus species,2066
60,genus,containing,species,contain,genus species,2066
61,genus,contains,species,contain,genus species,2066
62,genus,contains,species,contain,genus species,2066
63,genus,contains,species,contain,genus species,2066
64,genus,contains,species,contain,genus species,2066
65,genus,contains,species,contain,genus species,2066
66,genus,contains,species,contain,genus species,2066
67,genus,contains,species,contain,genus species,2066
68,genus,contains,species,contain,genus species,2066
69,genus,contains,species,contain,genus species,2066
70,genus,contains,species,contain,genus species,2066
71,genus,contains,species,contain,genus species,2066
72,genus,contains,species,contain,genus species,2066
73,genus,contains,species,contain,genus species,2066
74,genus,contains,species,contain,genus species,2066
75,genus,contained,species,contain,genus species,2066
76,genus,contains,species,contain,genus species,2066
77,genus,contains,species,contain,genus species,2066
78,genus,contains,species,contain,genus species,2066
79,genus,contains,species,contain,genus species,2066
80,genus,contains,species,contain,genus species,2066
81,genus,contains,species,contain,genus species,2066
82,genus,contains,species,contain,genus species,2066
83,genus,contains,species,contain,genus species,2066
84,genus,contains,species,contain,genus species,2066
85,genus,contains,species,contain,genus species,2066
86,genus,contains,species,contain,genus species,2066
87,genus,contains,species,contain,genus species,2066
88,genus,contains,species,contain,genus species,2066
89,genus,contains,species,contain,genus species,2066
90,genus,contains,species,contain,genus species,2066
91,genus,contains,species,contain,genus species,2066
92,genus,contains,species,contain,genus species,2066
93,genus,contains,species,contain,genus species,2066
94,genus,contains,species,contain,genus species,2066
95,genus,contains,species,contain,genus species,2066
96,genus,contains,species,contain,genus species,2066
