,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,crafted,release,craft,band release,3
1,band,crafted,release,craft,band release,3
2,number,crafted,range,craft,number range,3
3,band,crafted,release,craft,band release,3
4,number,crafted,range,craft,number range,3
5,number,crafted,range,craft,number range,3
6,convention,craft,unionism,craft,convention unionism,2
7,band,crafts,sound,craft,band sound,2
8,women,crafting,rhetoric,craft,women rhetoric,2
9,memoranda,crafted,basis,craft,memoranda basis,2
10,features,crafted,woodwork,craft,features woodwork,2
11,features,crafted,woodwork,craft,features woodwork,2
12,memoranda,crafted,basis,craft,memoranda basis,2
13,hand,crafted,silver,craft,hand silver,2
14,artisans,crafted,rock,craft,artisans rock,2
15,women,crafting,rhetoric,craft,women rhetoric,2
16,crews,crafted,routines,craft,crews routines,2
17,band,crafted,sound,craft,band sound,2
18,convention,craft,unionism,craft,convention unionism,2
19,artisans,crafted,rock,craft,artisans rock,2
20,artisans,craft,percent,craft,artisans percent,2
21,hand,crafted,silver,craft,hand silver,2
22,artisans,craft,percent,craft,artisans percent,2
23,people,craft,matki,craft,people matki,2
24,crews,crafted,routines,craft,crews routines,2
25,people,craft,matki,craft,people matki,2
26,authors,craft,characters,craft,authors characters,1
27,seamstresses,crafted,undergarments,craft,seamstresses undergarments,1
28,companies,craft,proposals,craft,companies proposals,1
29,developers,craft,experiences,craft,developers experiences,1
30,committee,crafted,legislation,craft,committee legislation,1
31,court,crafted,injunction,craft,court injunction,1
32,music,crafted,sense,craft,music sense,1
33,snowmen,crafted,creations,craft,snowmen creations,1
34,women,crafted,jewelry,craft,women jewelry,1
35,government,crafted,number,craft,government number,1
36,institutions,craft,solutions,craft,institutions solutions,1
37,gunsmith,crafts,rifle,craft,gunsmith rifle,1
38,novel,crafts,image,craft,novel image,1
39,filmmakers,crafted,portrait,craft,filmmakers portrait,1
40,bowl,crafted,thousands,craft,bowl thousands,1
41,contestants,craft,response,craft,contestants response,1
42,writers,crafts,people,craft,writers people,1
43,album,crafted,songs,craft,album songs,1
44,inmates,crafted,liquor,craft,inmates liquor,1
45,father,crafted,barrels,craft,father barrels,1
46,everything,crafting,songs,craft,everything songs,1
47,designers,crafted,likeness,craft,designers likeness,1
48,filmmaker,crafted,film,craft,filmmaker film,1
49,scale,crafting,details,craft,scale details,1
50,another,crafted,fictions,craft,another fictions,1
51,pieces,crafted,furniture,craft,pieces furniture,1
52,artisans,crafted,white,craft,artisans white,1
53,actors,craft,solutions,craft,actors solutions,1
54,tribe,craft,tombstone,craft,tribe tombstone,1
55,party,crafted,slogan,craft,party slogan,1
56,offence,crafted,observations,craft,offence observations,1
57,businesses,craft,stories,craft,businesses stories,1
58,coalition,crafted,plan,craft,coalition plan,1
59,god,crafted,stone,craft,god stone,1
60,company,crafted,stories,craft,company stories,1
61,writer,crafts,account,craft,writer account,1
62,blacksmiths,crafted,weapons,craft,blacksmiths weapons,1
63,players,craft,item,craft,players item,1
64,designers,crafted,plan,craft,designers plan,1
65,experience,crafts,circuits,craft,experience circuits,1
66,leaders,crafted,histories,craft,leaders histories,1
67,collaborators,craft,backdrop,craft,collaborators backdrop,1
68,help,crafted,plan,craft,help plan,1
69,authors,crafting,laws,craft,authors laws,1
70,movie,crafts,breed,craft,movie breed,1
71,business,crafted,boots,craft,business boots,1
72,book,crafts,relevance,craft,book relevance,1
73,player,crafts,sets,craft,player sets,1
74,album,craft,work,craft,album work,1
75,song,crafted,groove,craft,song groove,1
76,members,craft,costumes,craft,members costumes,1
77,bits,craft,scenario,craft,bits scenario,1
78,audience,craft,version,craft,audience version,1
79,organization,crafted,set,craft,organization set,1
80,team,crafted,narrative,craft,team narrative,1
81,player,craft,things,craft,player things,1
82,people,craft,legends,craft,people legends,1
83,filmmakers,craft,something,craft,filmmakers something,1
84,humans,crafted,tools,craft,humans tools,1
85,team,craft,combat,craft,team combat,1
86,bill,crafts,changes,craft,bill changes,1
87,author,crafts,novel,craft,author novel,1
88,pair,crafts,soundscape,craft,pair soundscape,1
89,subtleties,craft,portrait,craft,subtleties portrait,1
90,performances,crafting,characters,craft,performances characters,1
91,administration,crafted,plan,craft,administration plan,1
92,fans,crafting,endings,craft,fans endings,1
93,heroine,crafts,husband,craft,heroine husband,1
94,sculptor,crafted,statue,craft,sculptor statue,1
95,filmmaker,crafts,story,craft,filmmaker story,1
96,quintet,craft,fusion,craft,quintet fusion,1
97,women,crafted,newspaper,craft,women newspaper,1
98,students,crafted,exhibit,craft,students exhibit,1
99,composers,crafted,piece,craft,composers piece,1
100,artist,crafted,series,craft,artist series,1
101,complexly,crafted,world,craft,complexly world,1
102,state,crafted,constitution,craft,state constitution,1
103,comparison,crafted,backdrops,craft,comparison backdrops,1
104,group,crafted,rock,craft,group rock,1
105,facilities,craft,weapons,craft,facilities weapons,1
106,composers,crafted,music,craft,composers music,1
107,ministry,crafted,one,craft,ministry one,1
108,players,crafted,stories,craft,players stories,1
109,ability,crafted,songs,craft,ability songs,1
110,film,crafts,version,craft,film version,1
111,producer,crafted,songs,craft,producer songs,1
112,novel,crafts,tale,craft,novel tale,1
113,procedure,crafting,motifs,craft,procedure motifs,1
114,player,craft,weapons,craft,player weapons,1
115,hand,crafted,saris,craft,hand saris,1
116,writer,crafts,novel,craft,writer novel,1
117,cluster,crafted,roadmap,craft,cluster roadmap,1
118,award,crafted,artist,craft,award artist,1
119,cinema,crafted,niche,craft,cinema niche,1
120,play,crafts,style,craft,play style,1
121,prose,crafted,argument,craft,prose argument,1
122,developers,crafted,weapons,craft,developers weapons,1
123,role,craft,policies,craft,role policies,1
124,player,crafting,gear,craft,player gear,1
125,developers,crafted,monsters,craft,developers monsters,1
126,directors,craft,portrait,craft,directors portrait,1
127,peoples,crafted,jewelry,craft,peoples jewelry,1
128,items,crafted,players,craft,items players,1
129,groups,crafted,umbrellas,craft,groups umbrellas,1
130,bondholders,crafted,plan,craft,bondholders plan,1
131,writers,crafted,crossover,craft,writers crossover,1
132,all,crafting,communities,craft,all communities,1
133,members,crafted,songs,craft,members songs,1
134,members,craft,interaction,craft,members interaction,1
135,sides,craft,signs,craft,sides signs,1
136,artists,crafted,work,craft,artists work,1
137,material,crafted,title,craft,material title,1
138,speakers,crafted,messages,craft,speakers messages,1
139,parties,crafted,narratives,craft,parties narratives,1
140,members,crafted,budget,craft,members budget,1
141,bank,crafted,plan,craft,bank plan,1
142,love,crafted,reality,craft,love reality,1
143,latter,crafting,logo,craft,latter logo,1
144,individuals,craft,masks,craft,individuals masks,1
145,rulers,crafted,identities,craft,rulers identities,1
146,three,crafted,storyline,craft,three storyline,1
147,performers,craft,playlists,craft,performers playlists,1
148,crew,crafted,wall,craft,crew wall,1
149,people,craft,identities,craft,people identities,1
150,team,crafted,stories,craft,team stories,1
151,two,crafted,response,craft,two response,1
152,couple,crafts,plan,craft,couple plan,1
153,medals,crafted,jeweller,craft,medals jeweller,1
154,another,crafted,episode,craft,another episode,1
155,hand,crafted,knives,craft,hand knives,1
156,adaptation,crafting,ending,craft,adaptation ending,1
157,aliens,crafted,probe,craft,aliens probe,1
158,media,crafted,name,craft,media name,1
159,poet,crafts,language,craft,poet language,1
160,artist,crafted,song,craft,artist song,1
161,researchers,crafted,text,craft,researchers text,1
162,regiment,crafted,plan,craft,regiment plan,1
163,repercussions,crafted,world,craft,repercussions world,1
164,developers,crafted,story,craft,developers story,1
165,structure,crafted,wood,craft,structure wood,1
166,story,crafts,universe,craft,story universe,1
167,city,crafted,partnership,craft,city partnership,1
168,girls,crafted,style,craft,girls style,1
169,band,crafted,approach,craft,band approach,1
170,student,crafting,amendments,craft,student amendments,1
171,peoples,crafted,equipment,craft,peoples equipment,1
172,followers,crafted,landscapes,craft,followers landscapes,1
173,whole,crafted,rest,craft,whole rest,1
174,players,craft,goods,craft,players goods,1
175,writers,craft,story,craft,writers story,1
176,bureaucrats,crafted,text,craft,bureaucrats text,1
177,potters,crafted,array,craft,potters array,1
178,arrangements,crafted,chronology,craft,arrangements chronology,1
179,most,craft,elements,craft,most elements,1
180,command,craft,operation,craft,command operation,1
181,board,crafted,program,craft,board program,1
182,hand,crafted,toys,craft,hand toys,1
183,coalition,crafted,campaign,craft,coalition campaign,1
184,students,crafted,album,craft,students album,1
185,defense,crafted,arguments,craft,defense arguments,1
186,company,crafted,pole,craft,company pole,1
187,team,crafted,gameplay,craft,team gameplay,1
188,carpenters,crafted,woodwork,craft,carpenters woodwork,1
189,text,crafts,history,craft,text history,1
190,administration,craft,response,craft,administration response,1
191,students,craft,works,craft,students works,1
192,cat,crafts,plan,craft,cat plan,1
193,genius,crafts,batch,craft,genius batch,1
194,publishers,craft,textbooks,craft,publishers textbooks,1
195,workgroup,crafted,legislation,craft,workgroup legislation,1
196,announcers,crafted,styles,craft,announcers styles,1
197,group,crafts,collection,craft,group collection,1
198,finagler,crafting,story,craft,finagler story,1
199,pirates,crafted,canoes,craft,pirates canoes,1
200,life,crafted,jewellery,craft,life jewellery,1
201,masterplan,crafts,precinct,craft,masterplan precinct,1
202,women,crafted,robes,craft,women robes,1
203,buildings,crafted,motifs,craft,buildings motifs,1
204,architects,crafted,areas,craft,architects areas,1
205,owners,crafted,agreement,craft,owners agreement,1
206,friend,crafted,life,craft,friend life,1
207,sculptors,crafted,figures,craft,sculptors figures,1
208,play,crafts,picture,craft,play picture,1
209,leaders,crafted,agreement,craft,leaders agreement,1
210,weaving,crafted,rock,craft,weaving rock,1
211,villages,crafting,treshchotkas,craft,villages treshchotkas,1
212,man,crafted,story,craft,man story,1
213,citizens,crafted,equipment,craft,citizens equipment,1
214,performance,crafted,personality,craft,performance personality,1
215,majority,crafted,equipment,craft,majority equipment,1
216,counterculture,crafts,people,craft,counterculture people,1
217,woman,crafts,plate,craft,woman plate,1
218,refugee,crafted,cross,craft,refugee cross,1
219,producer,crafted,most,craft,producer most,1
220,legislature,crafted,document,craft,legislature document,1
221,producers,crafted,image,craft,producers image,1
222,band,crafting,songs,craft,band songs,1
223,majority,crafted,period,craft,majority period,1
224,pair,crafted,series,craft,pair series,1
225,group,crafting,songs,craft,group songs,1
226,builder,crafted,plans,craft,builder plans,1
227,intact,crafted,cornice,craft,intact cornice,1
228,cars,crafted,rules,craft,cars rules,1
229,mother,crafted,quilts,craft,mother quilts,1
230,intellectuals,crafted,vision,craft,intellectuals vision,1
231,process,crafting,design,craft,process design,1
232,fate,crafted,destiny,craft,fate destiny,1
233,generals,craft,armlets,craft,generals armlets,1
234,show,crafts,storyline,craft,show storyline,1
235,administration,crafted,agreement,craft,administration agreement,1
236,partnering,crafting,spaces,craft,partnering spaces,1
237,player,craft,item,craft,player item,1
238,association,crafts,instruments,craft,association instruments,1
239,artisan,crafted,paról,craft,artisan paról,1
240,duo,crafted,song,craft,duo song,1
241,workings,crafted,much,craft,workings much,1
