,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,dam,creates,reservoir,create,dam reservoir,66
1,dam,creates,reservoir,create,dam reservoir,66
2,dam,creates,reservoir,create,dam reservoir,66
3,dam,creates,reservoir,create,dam reservoir,66
4,dam,creates,reservoir,create,dam reservoir,66
5,dam,created,reservoir,create,dam reservoir,66
6,dam,creates,reservoir,create,dam reservoir,66
7,dam,created,reservoir,create,dam reservoir,66
8,dam,creates,reservoir,create,dam reservoir,66
9,dam,creates,reservoir,create,dam reservoir,66
10,dam,creates,reservoir,create,dam reservoir,66
11,dam,creates,reservoir,create,dam reservoir,66
12,dam,creates,reservoir,create,dam reservoir,66
13,dam,creates,reservoir,create,dam reservoir,66
14,dam,created,reservoir,create,dam reservoir,66
15,dam,created,reservoir,create,dam reservoir,66
16,dam,creates,reservoir,create,dam reservoir,66
17,dam,created,reservoir,create,dam reservoir,66
18,dam,create,reservoir,create,dam reservoir,66
19,dam,creates,reservoir,create,dam reservoir,66
20,dam,creates,reservoir,create,dam reservoir,66
21,dam,creates,reservoir,create,dam reservoir,66
22,dam,creates,reservoir,create,dam reservoir,66
23,dam,created,reservoir,create,dam reservoir,66
24,dam,creates,reservoir,create,dam reservoir,66
25,dam,created,reservoir,create,dam reservoir,66
26,dam,creates,reservoir,create,dam reservoir,66
27,dam,creates,reservoir,create,dam reservoir,66
28,dam,creates,reservoir,create,dam reservoir,66
29,dam,creates,reservoir,create,dam reservoir,66
30,dam,created,reservoir,create,dam reservoir,66
31,dam,creates,reservoir,create,dam reservoir,66
32,dam,created,reservoir,create,dam reservoir,66
33,dam,creates,reservoir,create,dam reservoir,66
34,dam,creates,reservoir,create,dam reservoir,66
35,dam,creates,reservoir,create,dam reservoir,66
36,dam,created,reservoir,create,dam reservoir,66
37,dam,created,reservoir,create,dam reservoir,66
38,dam,creates,reservoir,create,dam reservoir,66
39,dam,creates,reservoir,create,dam reservoir,66
40,dam,created,reservoir,create,dam reservoir,66
41,dam,created,reservoir,create,dam reservoir,66
42,dam,creates,reservoir,create,dam reservoir,66
43,dam,creates,reservoir,create,dam reservoir,66
44,dam,creates,reservoir,create,dam reservoir,66
45,dam,creates,reservoir,create,dam reservoir,66
46,dam,creates,reservoir,create,dam reservoir,66
47,dam,creates,reservoir,create,dam reservoir,66
48,dam,creates,reservoir,create,dam reservoir,66
49,dam,creates,reservoir,create,dam reservoir,66
50,dam,created,reservoir,create,dam reservoir,66
51,dam,created,reservoir,create,dam reservoir,66
52,dam,created,reservoir,create,dam reservoir,66
53,dam,creates,reservoir,create,dam reservoir,66
54,dam,created,reservoir,create,dam reservoir,66
55,dam,creates,reservoir,create,dam reservoir,66
56,dam,created,reservoir,create,dam reservoir,66
57,dam,created,reservoir,create,dam reservoir,66
58,dam,creates,reservoir,create,dam reservoir,66
59,dam,creates,reservoir,create,dam reservoir,66
60,dam,creates,reservoir,create,dam reservoir,66
61,dam,created,reservoir,create,dam reservoir,66
62,dam,created,reservoir,create,dam reservoir,66
63,dam,creates,reservoir,create,dam reservoir,66
64,dam,creates,reservoir,create,dam reservoir,66
65,dam,creates,reservoir,create,dam reservoir,66
66,player,creates,character,create,player character,32
67,player,creates,character,create,player character,32
68,player,create,character,create,player character,32
69,player,creates,character,create,player character,32
70,player,creates,character,create,player character,32
71,player,creates,character,create,player character,32
72,player,creates,character,create,player character,32
73,player,created,character,create,player character,32
74,player,creates,character,create,player character,32
75,player,creates,character,create,player character,32
76,player,creates,character,create,player character,32
77,player,creates,character,create,player character,32
78,player,creating,character,create,player character,32
79,player,creates,character,create,player character,32
80,player,create,character,create,player character,32
81,player,create,character,create,player character,32
82,player,creates,character,create,player character,32
83,player,creates,character,create,player character,32
84,player,creates,character,create,player character,32
85,player,creates,character,create,player character,32
86,player,created,character,create,player character,32
87,player,creates,character,create,player character,32
88,player,creating,character,create,player character,32
89,player,creates,character,create,player character,32
90,player,creating,character,create,player character,32
91,player,creates,character,create,player character,32
92,player,creates,character,create,player character,32
93,player,creates,character,create,player character,32
94,player,creates,character,create,player character,32
95,player,created,character,create,player character,32
96,player,creates,character,create,player character,32
97,player,creates,character,create,player character,32
98,artists,created,works,create,artists works,30
99,current,creates,field,create,current field,30
100,current,creates,field,create,current field,30
101,current,creates,field,create,current field,30
102,artists,create,works,create,artists works,30
103,current,creates,field,create,current field,30
104,artists,created,works,create,artists works,30
105,artists,created,works,create,artists works,30
106,artists,created,works,create,artists works,30
107,artists,creating,works,create,artists works,30
108,current,creates,field,create,current field,30
109,current,creates,field,create,current field,30
110,current,creates,field,create,current field,30
111,current,creates,field,create,current field,30
112,current,creates,field,create,current field,30
113,artists,created,works,create,artists works,30
114,artists,create,works,create,artists works,30
115,artists,created,works,create,artists works,30
116,artists,created,works,create,artists works,30
117,current,creates,field,create,current field,30
118,artists,created,works,create,artists works,30
119,artists,created,works,create,artists works,30
120,current,creates,field,create,current field,30
121,artists,created,works,create,artists works,30
122,current,creates,field,create,current field,30
123,artists,created,works,create,artists works,30
124,current,creates,field,create,current field,30
125,current,creates,field,create,current field,30
126,artists,create,works,create,artists works,30
127,current,creates,field,create,current field,30
128,current,creates,field,create,current field,30
129,current,creates,field,create,current field,30
130,artists,created,works,create,artists works,30
