,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,crowded,streets,crowd,people streets,6
1,people,crowded,streets,crowd,people streets,6
2,people,crowded,streets,crowd,people streets,6
3,people,crowded,streets,crowd,people streets,6
4,people,crowd,streets,crowd,people streets,6
5,people,crowded,streets,crowd,people streets,6
6,thousands,crowding,streets,crowd,thousands streets,3
7,people,crowded,hall,crowd,people hall,3
8,thousands,crowd,streets,crowd,thousands streets,3
9,people,crowding,hall,crowd,people hall,3
10,thousands,crowd,streets,crowd,thousands streets,3
11,people,crowded,hall,crowd,people hall,3
12,fans,crowded,streets,crowd,fans streets,2
13,leaves,crowded,upwards,crowd,leaves upwards,2
14,documentary,crowd,domination,crowd,documentary domination,2
15,people,crowded,bridge,crowd,people bridge,2
16,leaves,crowded,upwards,crowd,leaves upwards,2
17,increase,crowds,amount,crowd,increase amount,2
18,growth,crowded,merchants,crowd,growth merchants,2
19,locals,crowd,culture,crowd,locals culture,2
20,match,crowd,trouble,crowd,match trouble,2
21,government,crowded,sector,crowd,government sector,2
22,existence,crowded,proscriptions,crowd,existence proscriptions,2
23,flowers,crowded,leaf,crowd,flowers leaf,2
24,clones,crowd,shelves,crowd,clones shelves,2
25,government,crowded,sector,crowd,government sector,2
26,match,crowd,trouble,crowd,match trouble,2
27,locals,crowd,culture,crowd,locals culture,2
28,fans,crowded,streets,crowd,fans streets,2
29,flowers,crowded,leaf,crowd,flowers leaf,2
30,growth,crowded,merchants,crowd,growth merchants,2
31,clones,crowd,shelves,crowd,clones shelves,2
32,three,crowd,buses,crowd,three buses,2
33,documentary,crowd,domination,crowd,documentary domination,2
34,existence,crowded,proscriptions,crowd,existence proscriptions,2
35,increase,crowds,amount,crowd,increase amount,2
36,three,crowd,buses,crowd,three buses,2
37,people,crowded,bridge,crowd,people bridge,2
38,refugees,crowd,road,crowd,refugees road,1
39,members,crowded,steps,crowd,members steps,1
40,protesters,crowded,streets,crowd,protesters streets,1
41,people,crowded,ways,crowd,people ways,1
42,rest,crowded,ladders,crowd,rest ladders,1
43,cameos,crowd,attraction,crowd,cameos attraction,1
44,villagers,crowded,controls,crowd,villagers controls,1
45,dragoons,crowded,portion,crowd,dragoons portion,1
46,format,crowded,number,crowd,format number,1
47,microtasks,crowd,workers,crowd,microtasks workers,1
48,caps,crowd,tops,crowd,caps tops,1
49,points,crowd,participation,crowd,points participation,1
50,invasion,crowded,films,crowd,invasion films,1
51,part,crowded,synflorescences,crowd,part synflorescences,1
52,men,crowd,scene,crowd,men scene,1
53,increase,crowd,size,crowd,increase size,1
54,film,crowd,thrills,crowd,film thrills,1
55,cells,crowding,results,crowd,cells results,1
56,office,crowded,visitors,crowd,office visitors,1
57,addition,crowded,narrative,crowd,addition narrative,1
58,ing,crowd,singing,crowd,ing singing,1
59,scenes,crowd,trouble,crowd,scenes trouble,1
60,effects,crowd,noises,crowd,effects noises,1
61,encourages,crowd,disorder,crowd,encourages disorder,1
62,onlookers,crowded,sides,crowd,onlookers sides,1
63,coaches,crowd,presence,crowd,coaches presence,1
64,neighborhoods,crowded,tourists,crowd,neighborhoods tourists,1
65,demand,crowded,supply,crowd,demand supply,1
66,actions,crowd,reaction,crowd,actions reaction,1
67,leaves,crowded,margin,crowd,leaves margin,1
68,saloon,crowded,families,crowd,saloon families,1
69,fans,crowded,area,crowd,fans area,1
70,soaps,crowded,networks,crowd,soaps networks,1
71,riots,crowd,disturbances,crowd,riots disturbances,1
72,levels,crowd,participation,crowd,levels participation,1
73,people,crowded,arena,crowd,people arena,1
74,surefire,crowd,pleaser,crowd,surefire pleaser,1
75,members,crowd,control,crowd,members control,1
76,hundreds,crowded,river,crowd,hundreds river,1
77,preaching,crowded,church,crowd,preaching church,1
78,work,crowd,multiplication,crowd,work multiplication,1
79,onlookers,crowded,parts,crowd,onlookers parts,1
80,video,crowd,surfing,crowd,video surfing,1
81,queue,crowd,highway,crowd,queue highway,1
82,officials,crowded,meetings,crowd,officials meetings,1
83,first,crowd,psychology,crowd,first psychology,1
84,fielders,crowded,runs,crowd,fielders runs,1
85,people,crowding,platform,crowd,people platform,1
86,queues,crowded,success,crowd,queues success,1
87,hundreds,crowded,road,crowd,hundreds road,1
88,disgust,crowd,thoughts,crowd,disgust thoughts,1
89,overdubs,crowd,noise,crowd,overdubs noise,1
90,swarms,crowded,village,crowd,swarms village,1
91,repertoire,crowd,favorites,crowd,repertoire favorites,1
92,people,crowded,foreshores,crowd,people foreshores,1
93,people,crowded,banks,crowd,people banks,1
94,thousands,crowding,tribunes,crowd,thousands tribunes,1
95,men,crowded,ranks,crowd,men ranks,1
96,church,crowded,jibes,crowd,church jibes,1
97,people,crowded,balcony,crowd,people balcony,1
98,staff,crowd,control,crowd,staff control,1
99,dexterity,crowding,room,crowd,dexterity room,1
100,onlookers,crowding,infant,crowd,onlookers infant,1
101,hundreds,crowd,window,crowd,hundreds window,1
102,listing,crowd,noises,crowd,listing noises,1
103,people,crowding,hallways,crowd,people hallways,1
104,victim,crowd,margins,crowd,victim margins,1
105,father,crowded,position,crowd,father position,1
106,spectators,crowded,paddock,crowd,spectators paddock,1
107,shepherds,crowd,child,crowd,shepherds child,1
108,people,crowded,concerts,crowd,people concerts,1
109,immigrants,crowded,employment,crowd,immigrants employment,1
110,shoppers,crowd,feedback,crowd,shoppers feedback,1
111,leaves,crowded,rosette,crowd,leaves rosette,1
112,situation,crowd,funding,crowd,situation funding,1
113,band,crowd,surfing,crowd,band surfing,1
114,flocks,crowd,burritos,crowd,flocks burritos,1
115,disco,crowd,lot,crowd,disco lot,1
116,men,crowd,surf,crowd,men surf,1
117,people,crowded,fairs,crowd,people fairs,1
118,nature,crowded,areas,crowd,nature areas,1
119,artist,crowds,figures,crowd,artist figures,1
120,adults,crowded,twenty,crowd,adults twenty,1
121,hundreds,crowding,apron,crowd,hundreds apron,1
122,crowd,crowded,church,crowd,crowd church,1
123,show,crowd,noise,crowd,show noise,1
124,demonstrators,crowded,square,crowd,demonstrators square,1
125,carts,crowded,market,crowd,carts market,1
126,refugees,crowded,victims,crowd,refugees victims,1
127,hundreds,crowded,area,crowd,hundreds area,1
128,denizens,crowded,city,crowd,denizens city,1
129,details,crowd,behavior,crowd,details behavior,1
130,people,crowded,fear,crowd,people fear,1
131,protesters,crowded,traffic,crowd,protesters traffic,1
132,photographers,crowd,beach,crowd,photographers beach,1
133,hundreds,crowded,doors,crowd,hundreds doors,1
134,spectators,crowded,square,crowd,spectators square,1
135,mob,crowded,aisles,crowd,mob aisles,1
136,crowd,crowded,vessel,crowd,crowd vessel,1
137,commandos,crowd,trouble,crowd,commandos trouble,1
138,people,crowd,control,crowd,people control,1
139,borders,crowded,set,crowd,borders set,1
140,church,crowd,cheers,crowd,church cheers,1
141,audio,crowd,effects,crowd,audio effects,1
142,fans,crowding,stands,crowd,fans stands,1
143,collection,crowded,rooms,crowd,collection rooms,1
144,songs,crowded,parades,crowd,songs parades,1
145,defenders,crowd,line,crowd,defenders line,1
146,epidemic,crowd,hospitals,crowd,epidemic hospitals,1
147,app,crowd,locations,crowd,app locations,1
148,issue,crowded,groups,crowd,issue groups,1
149,cortisol,crowds,aldosterone,crowd,cortisol aldosterone,1
150,array,crowd,center,crowd,array center,1
