,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,government,crushed,uprising,crush,government uprising,8
1,government,crushed,uprising,crush,government uprising,8
2,government,crushed,uprising,crush,government uprising,8
3,government,crushed,uprising,crush,government uprising,8
4,government,crushed,uprising,crush,government uprising,8
5,government,crushed,uprising,crush,government uprising,8
6,government,crushed,uprising,crush,government uprising,8
7,government,crushed,uprising,crush,government uprising,8
8,army,crush,army,crush,army army,6
9,army,crushed,army,crush,army army,6
10,army,crushed,army,crush,army army,6
11,army,crushed,army,crush,army army,6
12,army,crushed,army,crush,army army,6
13,army,crushed,army,crush,army army,6
14,tree,crushed,home,crush,tree home,5
15,army,crushed,revolt,crush,army revolt,5
16,army,crushed,revolt,crush,army revolt,5
17,troops,crushed,revolt,crush,troops revolt,5
18,forces,crushed,rebellion,crush,forces rebellion,5
19,forces,crushed,forces,crush,forces forces,5
20,forces,crushed,rebellion,crush,forces rebellion,5
21,troops,crushed,revolt,crush,troops revolt,5
22,forces,crushed,forces,crush,forces forces,5
23,tree,crushed,home,crush,tree home,5
24,forces,crushed,forces,crush,forces forces,5
25,tree,crushed,home,crush,tree home,5
26,troops,crushed,uprising,crush,troops uprising,5
27,army,crushes,revolt,crush,army revolt,5
28,forces,crushed,forces,crush,forces forces,5
29,troops,crushed,revolt,crush,troops revolt,5
30,forces,crushed,forces,crush,forces forces,5
31,troops,crushed,uprising,crush,troops uprising,5
32,troops,crush,uprising,crush,troops uprising,5
33,tree,crushed,home,crush,tree home,5
34,troops,crushed,revolt,crush,troops revolt,5
35,army,crushed,revolt,crush,army revolt,5
36,troops,crushed,uprising,crush,troops uprising,5
37,tree,crushed,home,crush,tree home,5
38,troops,crushed,revolt,crush,troops revolt,5
39,army,crushes,revolt,crush,army revolt,5
40,troops,crushed,uprising,crush,troops uprising,5
41,forces,crush,rebellion,crush,forces rebellion,5
42,forces,crush,rebellion,crush,forces rebellion,5
43,forces,crush,rebellion,crush,forces rebellion,5
44,army,crushed,forces,crush,army forces,4
45,army,crushed,forces,crush,army forces,4
46,army,crushed,forces,crush,army forces,4
47,campaign,crushed,supporters,crush,campaign supporters,4
48,campaign,crushed,supporters,crush,campaign supporters,4
49,campaign,crushed,supporters,crush,campaign supporters,4
50,army,crushed,forces,crush,army forces,4
51,campaign,crushed,supporters,crush,campaign supporters,4
52,government,crushed,protests,crush,government protests,3
53,police,crushed,demonstration,crush,police demonstration,3
54,army,crushed,rebellion,crush,army rebellion,3
55,tree,crushed,vehicle,crush,tree vehicle,3
56,forces,crushed,uprising,crush,forces uprising,3
57,government,crushed,protests,crush,government protests,3
58,teeth,crushed,prey,crush,teeth prey,3
59,army,crushed,coup,crush,army coup,3
60,government,crushed,revolt,crush,government revolt,3
61,killer,crushes,head,crush,killer head,3
62,force,crushed,resistance,crush,force resistance,3
63,rock,crushed,skull,crush,rock skull,3
64,rock,crushed,skull,crush,rock skull,3
65,police,crushed,demonstration,crush,police demonstration,3
66,army,crushed,rebellion,crush,army rebellion,3
67,teeth,crush,prey,crush,teeth prey,3
68,army,crushed,uprising,crush,army uprising,3
69,troops,crushed,forces,crush,troops forces,3
70,troops,crushed,resistance,crush,troops resistance,3
71,army,crushed,rebellion,crush,army rebellion,3
72,government,crushed,revolt,crush,government revolt,3
73,troops,crushed,resistance,crush,troops resistance,3
74,armies,crushed,armies,crush,armies armies,3
75,armies,crushed,armies,crush,armies armies,3
76,rock,crushing,skull,crush,rock skull,3
77,government,crushed,protests,crush,government protests,3
78,troops,crushed,resistance,crush,troops resistance,3
79,government,crushed,rebellion,crush,government rebellion,3
80,management,crushed,unity,crush,management unity,3
81,forces,crushed,uprising,crush,forces uprising,3
82,army,crushed,coup,crush,army coup,3
83,army,crushed,uprising,crush,army uprising,3
84,government,crushed,rebellion,crush,government rebellion,3
85,force,crush,resistance,crush,force resistance,3
86,management,crushed,unity,crush,management unity,3
87,army,crushed,uprising,crush,army uprising,3
88,police,crushed,demonstration,crush,police demonstration,3
89,killer,crushes,head,crush,killer head,3
90,killer,crushes,head,crush,killer head,3
91,troops,crush,forces,crush,troops forces,3
92,troops,crush,forces,crush,troops forces,3
93,government,crushed,rebellion,crush,government rebellion,3
94,army,crushes,coup,crush,army coup,3
95,force,crushed,resistance,crush,force resistance,3
96,management,crushed,unity,crush,management unity,3
97,tree,crushed,vehicle,crush,tree vehicle,3
98,armies,crushed,armies,crush,armies armies,3
99,government,crushed,revolt,crush,government revolt,3
100,teeth,crush,prey,crush,teeth prey,3
101,forces,crushed,uprising,crush,forces uprising,3
102,tree,crushed,vehicle,crush,tree vehicle,3
103,collision,crushed,rocks,crush,collision rocks,2
104,procedure,crushed,defendants,crush,procedure defendants,2
105,governor,crushed,rebellion,crush,governor rebellion,2
106,men,crushing,rebellion,crush,men rebellion,2
107,elephant,crushed,flowers,crush,elephant flowers,2
108,elephant,crushed,flowers,crush,elephant flowers,2
109,foot,crushes,bunch,crush,foot bunch,2
110,army,crushed,rebels,crush,army rebels,2
111,stone,crushed,head,crush,stone head,2
112,currents,crushing,animals,crush,currents animals,2
113,tanks,crush,uprising,crush,tanks uprising,2
114,paw,crushing,victim,crush,paw victim,2
115,corps,crushed,division,crush,corps division,2
116,crowds,crushed,windows,crush,crowds windows,2
117,paw,crushing,victim,crush,paw victim,2
118,loss,crushed,city,crush,loss city,2
119,boy,crushed,egg,crush,boy egg,2
120,torturers,crushed,skull,crush,torturers skull,2
121,armies,crushed,revolt,crush,armies revolt,2
122,armies,crushed,revolt,crush,armies revolt,2
123,trees,crushed,home,crush,trees home,2
124,troops,crushed,rebels,crush,troops rebels,2
125,mill,crushed,cane,crush,mill cane,2
126,corps,crushed,division,crush,corps division,2
127,torturers,crushed,skull,crush,torturers skull,2
128,mill,crushed,cane,crush,mill cane,2
129,son,crushed,rebellion,crush,son rebellion,2
130,armies,crushed,invasions,crush,armies invasions,2
131,dishes,crushed,garlic,crush,dishes garlic,2
132,army,crushed,force,crush,army force,2
133,collision,crushed,rocks,crush,collision rocks,2
134,team,crushed,most,crush,team most,2
135,son,crushed,rebellion,crush,son rebellion,2
136,trees,crushed,home,crush,trees home,2
137,drink,crushed,ice,crush,drink ice,2
138,authorities,crushed,rebellion,crush,authorities rebellion,2
139,troops,crushed,rebellion,crush,troops rebellion,2
140,units,crush,ice,crush,units ice,2
141,armies,crushed,rebellion,crush,armies rebellion,2
142,units,crush,ice,crush,units ice,2
143,currents,crushing,animals,crush,currents animals,2
144,stone,crushed,head,crush,stone head,2
145,drink,crushed,ice,crush,drink ice,2
146,procedure,crushed,defendants,crush,procedure defendants,2
147,landslide,crushed,house,crush,landslide house,2
148,tree,crushed,house,crush,tree house,2
149,team,crushed,most,crush,team most,2
150,authorities,crushed,rebellion,crush,authorities rebellion,2
151,victim,crushes,louse,crush,victim louse,2
152,forces,crushed,army,crush,forces army,2
153,victim,crushes,louse,crush,victim louse,2
154,crowds,crushed,windows,crush,crowds windows,2
155,forces,crushed,armies,crush,forces armies,2
156,firms,crushed,stone,crush,firms stone,2
157,military,crushed,rebellions,crush,military rebellions,2
158,force,crush,revolt,crush,force revolt,2
159,forces,crushed,armies,crush,forces armies,2
160,troops,crushed,rebels,crush,troops rebels,2
161,loss,crushed,city,crush,loss city,2
162,governor,crushed,rebellion,crush,governor rebellion,2
163,forces,crushed,revolt,crush,forces revolt,2
