,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,soldiers,curling,fist,curl,soldiers fist,2
1,spur,curled,tumble,curl,spur tumble,2
2,soldiers,curling,fist,curl,soldiers fist,2
3,spur,curled,tumble,curl,spur tumble,2
4,female,curls,abdomen,curl,female abdomen,2
5,female,curls,abdomen,curl,female abdomen,2
6,stems,curled,hairs,curl,stems hairs,1
7,octopus,curls,arms,curl,octopus arms,1
8,elephants,curl,trunks,curl,elephants trunks,1
9,branches,curl,leaves,curl,branches leaves,1
10,tail,curled,lizards,curl,tail lizards,1
11,patient,curls,fingers,curl,patient fingers,1
12,sea,curled,dock,curl,sea dock,1
13,fingers,curled,relaxed,curl,fingers relaxed,1
14,legs,curl,legs,curl,legs legs,1
15,edges,curled,outwards,curl,edges outwards,1
16,edges,curl,underside,curl,edges underside,1
17,midfielder,curled,kick,curl,midfielder kick,1
18,rainbow,curling,hair,curl,rainbow hair,1
19,striker,curled,ball,curl,striker ball,1
20,winger,curled,ball,curl,winger ball,1
21,workers,curl,motionless,curl,workers motionless,1
22,fans,curled,kick,curl,fans kick,1
23,beetle,curl,legs,curl,beetle legs,1
24,margins,curled,inwards,curl,margins inwards,1
25,rock,curled,guard,curl,rock guard,1
26,midfielder,curled,shot,curl,midfielder shot,1
27,shot,curled,ball,curl,shot ball,1
28,legs,curled,rail,curl,legs rail,1
29,skip,curled,games,curl,skip games,1
30,curler,curled,games,curl,curler games,1
31,leaflets,curl,symptom,curl,leaflets symptom,1
32,edges,curl,sori,curl,edges sori,1
33,smile,curled,stare,curl,smile stare,1
34,stems,curl,birdcage,curl,stems birdcage,1
35,aggressor,curls,wrist,curl,aggressor wrist,1
36,feathers,curling,outwards,curl,feathers outwards,1
37,position,curling,tongue,curl,position tongue,1
38,hair,curling,frame,curl,hair frame,1
39,individuals,curl,heads,curl,individuals heads,1
40,mother,curls,tail,curl,mother tail,1
41,male,curls,tail,curl,male tail,1
42,facade,curling,iron,curl,facade iron,1
43,squirrel,curls,paws,curl,squirrel paws,1
44,tails,curled,birth,curl,tails birth,1
45,leaves,curl,tea,curl,leaves tea,1
46,inflorescences,curled,petals,curl,inflorescences petals,1
47,change,curled,leaves,curl,change leaves,1
48,roads,curled,horns,curl,roads horns,1
49,doubles,curling,speed,curl,doubles speed,1
50,toe,curled,downwards,curl,toe downwards,1
51,hair,curled,hair,curl,hair hair,1
52,proceeds,curl,abdomen,curl,proceeds abdomen,1
53,player,curls,stone,curl,player stone,1
54,stones,curl,weight,curl,stones weight,1
55,stones,curl,rock,curl,stones rock,1
56,bits,curl,spherical,curl,bits spherical,1
57,lines,curl,geometry,curl,lines geometry,1
58,fingers,curl,inwards,curl,fingers inwards,1
59,species,curls,paws,curl,species paws,1
60,bracts,curl,florets,curl,bracts florets,1
61,versions,curling,fingers,curl,versions fingers,1
62,minutes,curled,shot,curl,minutes shot,1
63,mantis,curls,abdomen,curl,mantis abdomen,1
64,straps,curled,carriages,curl,straps carriages,1
65,bird,curls,toes,curl,bird toes,1
