,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,image,decorates,cover,decorate,image cover,4
1,works,decorate,walls,decorate,works walls,4
2,works,decorated,walls,decorate,works walls,4
3,works,decorate,walls,decorate,works walls,4
4,image,decorates,cover,decorate,image cover,4
5,image,decorates,cover,decorate,image cover,4
6,image,decorates,cover,decorate,image cover,4
7,works,decorate,walls,decorate,works walls,4
8,people,decorate,tree,decorate,people tree,3
9,player,decorate,room,decorate,player room,3
10,murals,decorate,walls,decorate,murals walls,3
11,people,decorate,tree,decorate,people tree,3
12,mosaics,decorate,walls,decorate,mosaics walls,3
13,people,decorate,homes,decorate,people homes,3
14,mosaics,decorated,walls,decorate,mosaics walls,3
15,murals,decorated,walls,decorate,murals walls,3
16,mosaics,decorated,walls,decorate,mosaics walls,3
17,people,decorate,homes,decorate,people homes,3
18,player,decorate,room,decorate,player room,3
19,murals,decorating,walls,decorate,murals walls,3
20,people,decorate,homes,decorate,people homes,3
21,people,decorated,tree,decorate,people tree,3
22,player,decorate,room,decorate,player room,3
23,people,decorate,bodies,decorate,people bodies,2
24,owners,decorate,house,decorate,owners house,2
25,grander,decorated,elements,decorate,grander elements,2
26,company,decorated,room,decorate,company room,2
27,star,decorated,breast,decorate,star breast,2
28,homeowners,decorate,exterior,decorate,homeowners exterior,2
29,homeowners,decorate,exterior,decorate,homeowners exterior,2
30,women,decorate,walls,decorate,women walls,2
31,cross,decorated,anverse,decorate,cross anverse,2
32,cannons,decorate,ramparts,decorate,cannons ramparts,2
33,features,decorated,windows,decorate,features windows,2
34,painters,decorated,walls,decorate,painters walls,2
35,features,decorated,windows,decorate,features windows,2
36,rulers,decorated,mosque,decorate,rulers mosque,2
37,species,decorate,nests,decorate,species nests,2
38,glass,decorates,windows,decorate,glass windows,2
39,species,decorate,nests,decorate,species nests,2
40,governments,decorated,officers,decorate,governments officers,2
41,people,decorate,streets,decorate,people streets,2
42,families,decorate,homes,decorate,families homes,2
43,people,decorated,bodies,decorate,people bodies,2
44,symbol,decorates,shield,decorate,symbol shield,2
