,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,place,demonstrates,aspects,demonstrate,place aspects,791
1,place,demonstrates,aspects,demonstrate,place aspects,791
2,place,demonstrates,aspects,demonstrate,place aspects,791
3,place,demonstrates,aspects,demonstrate,place aspects,791
4,place,demonstrates,aspects,demonstrate,place aspects,791
5,place,demonstrates,aspects,demonstrate,place aspects,791
6,place,demonstrates,aspects,demonstrate,place aspects,791
7,place,demonstrates,aspects,demonstrate,place aspects,791
8,place,demonstrates,aspects,demonstrate,place aspects,791
9,place,demonstrates,aspects,demonstrate,place aspects,791
10,place,demonstrates,aspects,demonstrate,place aspects,791
11,place,demonstrates,aspects,demonstrate,place aspects,791
12,place,demonstrates,aspects,demonstrate,place aspects,791
13,place,demonstrates,aspects,demonstrate,place aspects,791
14,place,demonstrates,aspects,demonstrate,place aspects,791
15,place,demonstrates,aspects,demonstrate,place aspects,791
16,place,demonstrates,aspects,demonstrate,place aspects,791
17,place,demonstrates,aspects,demonstrate,place aspects,791
18,place,demonstrates,aspects,demonstrate,place aspects,791
19,place,demonstrates,aspects,demonstrate,place aspects,791
20,place,demonstrates,aspects,demonstrate,place aspects,791
21,place,demonstrates,aspects,demonstrate,place aspects,791
22,place,demonstrates,aspects,demonstrate,place aspects,791
23,place,demonstrates,aspects,demonstrate,place aspects,791
24,place,demonstrates,aspects,demonstrate,place aspects,791
25,place,demonstrates,aspects,demonstrate,place aspects,791
26,place,demonstrates,aspects,demonstrate,place aspects,791
27,place,demonstrates,aspects,demonstrate,place aspects,791
28,place,demonstrates,aspects,demonstrate,place aspects,791
29,place,demonstrates,aspects,demonstrate,place aspects,791
30,place,demonstrates,aspects,demonstrate,place aspects,791
31,place,demonstrates,aspects,demonstrate,place aspects,791
32,place,demonstrates,aspects,demonstrate,place aspects,791
33,place,demonstrates,aspects,demonstrate,place aspects,791
34,place,demonstrates,aspects,demonstrate,place aspects,791
35,place,demonstrates,aspects,demonstrate,place aspects,791
36,place,demonstrates,aspects,demonstrate,place aspects,791
37,place,demonstrates,aspects,demonstrate,place aspects,791
38,place,demonstrates,aspects,demonstrate,place aspects,791
39,place,demonstrates,aspects,demonstrate,place aspects,791
40,place,demonstrates,aspects,demonstrate,place aspects,791
41,place,demonstrates,aspects,demonstrate,place aspects,791
42,place,demonstrates,aspects,demonstrate,place aspects,791
43,place,demonstrates,aspects,demonstrate,place aspects,791
44,place,demonstrates,aspects,demonstrate,place aspects,791
45,place,demonstrates,aspects,demonstrate,place aspects,791
46,place,demonstrates,aspects,demonstrate,place aspects,791
