,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,species,dig,burrows,dig,species burrows,6
1,female,digs,hole,dig,female hole,6
2,female,digs,hole,dig,female hole,6
3,species,dig,burrows,dig,species burrows,6
4,female,digs,hole,dig,female hole,6
5,species,dig,burrows,dig,species burrows,6
6,female,digs,hole,dig,female hole,6
7,species,dig,burrows,dig,species burrows,6
8,species,dig,burrows,dig,species burrows,6
9,species,dig,burrows,dig,species burrows,6
10,female,digs,hole,dig,female hole,6
11,female,digs,hole,dig,female hole,6
12,men,dug,trenches,dig,men trenches,5
13,men,dig,trenches,dig,men trenches,5
14,forces,dug,trenches,dig,forces trenches,5
15,men,dig,trenches,dig,men trenches,5
16,forces,dug,trenches,dig,forces trenches,5
17,forces,dug,trenches,dig,forces trenches,5
18,forces,dug,trenches,dig,forces trenches,5
19,forces,dug,trenches,dig,forces trenches,5
20,men,dug,trenches,dig,men trenches,5
21,men,dug,trenches,dig,men trenches,5
22,females,dig,nests,dig,females nests,4
23,player,digs,ball,dig,player ball,4
24,females,dig,holes,dig,females holes,4
25,females,dig,nest,dig,females nest,4
26,females,dig,holes,dig,females holes,4
27,forces,dug,pools,dig,forces pools,4
28,females,dig,nest,dig,females nest,4
29,forces,dug,pools,dig,forces pools,4
30,player,digs,ball,dig,player ball,4
31,defenders,dug,trench,dig,defenders trench,4
32,player,digs,ball,dig,player ball,4
33,player,digs,ball,dig,player ball,4
34,females,dig,nest,dig,females nest,4
35,group,dug,tunnel,dig,group tunnel,4
36,defenders,dug,trench,dig,defenders trench,4
37,forces,dug,pools,dig,forces pools,4
38,females,dig,nest,dig,females nest,4
39,man,dug,hole,dig,man hole,4
40,females,dig,nests,dig,females nests,4
41,man,digs,hole,dig,man hole,4
42,defenders,dug,trench,dig,defenders trench,4
43,group,dug,tunnel,dig,group tunnel,4
44,females,dig,nests,dig,females nests,4
45,females,dig,nests,dig,females nests,4
46,forces,dug,pools,dig,forces pools,4
47,females,dig,holes,dig,females holes,4
48,group,dug,tunnel,dig,group tunnel,4
49,females,dig,holes,dig,females holes,4
50,group,dug,tunnel,dig,group tunnel,4
51,man,dug,hole,dig,man hole,4
52,man,dug,hole,dig,man hole,4
53,defenders,dug,trench,dig,defenders trench,4
54,people,dig,wells,dig,people wells,3
55,soldiers,dug,trenches,dig,soldiers trenches,3
56,soldiers,dug,trenches,dig,soldiers trenches,3
57,one,dug,hole,dig,one hole,3
58,female,digs,nest,dig,female nest,3
59,prisoners,dig,graves,dig,prisoners graves,3
60,prisoners,dig,graves,dig,prisoners graves,3
61,workers,dug,graves,dig,workers graves,3
62,men,digging,ditches,dig,men ditches,3
63,female,digs,nest,dig,female nest,3
64,female,digs,burrow,dig,female burrow,3
65,people,dug,wells,dig,people wells,3
66,tunnellers,dug,gallery,dig,tunnellers gallery,3
67,forces,dug,road,dig,forces road,3
68,forces,dug,road,dig,forces road,3
