,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,couple,divide,time,divide,couple time,55
1,couple,divide,time,divide,couple time,55
2,couple,divided,time,divide,couple time,55
3,couple,divide,time,divide,couple time,55
4,couple,divided,time,divide,couple time,55
5,couple,divided,time,divide,couple time,55
6,couple,divided,time,divide,couple time,55
7,couple,divided,time,divide,couple time,55
8,couple,divided,time,divide,couple time,55
9,couple,divided,time,divide,couple time,55
10,couple,divided,time,divide,couple time,55
11,couple,divide,time,divide,couple time,55
12,couple,divides,time,divide,couple time,55
13,couple,divided,time,divide,couple time,55
14,couple,divided,time,divide,couple time,55
15,couple,divided,time,divide,couple time,55
16,couple,divide,time,divide,couple time,55
17,couple,divided,time,divide,couple time,55
18,couple,divide,time,divide,couple time,55
19,couple,divide,time,divide,couple time,55
20,couple,divided,time,divide,couple time,55
21,couple,divided,time,divide,couple time,55
22,couple,divided,time,divide,couple time,55
23,couple,divided,time,divide,couple time,55
24,couple,divided,time,divide,couple time,55
25,couple,divided,time,divide,couple time,55
26,couple,divided,time,divide,couple time,55
27,couple,divided,time,divide,couple time,55
28,couple,divides,time,divide,couple time,55
29,couple,divided,time,divide,couple time,55
30,couple,divided,time,divide,couple time,55
31,couple,divided,time,divide,couple time,55
32,couple,divided,time,divide,couple time,55
33,couple,divides,time,divide,couple time,55
34,couple,divided,time,divide,couple time,55
35,couple,divided,time,divide,couple time,55
36,couple,divide,time,divide,couple time,55
37,couple,divided,time,divide,couple time,55
38,couple,divided,time,divide,couple time,55
39,couple,divide,time,divide,couple time,55
40,couple,divided,time,divide,couple time,55
41,couple,divided,time,divide,couple time,55
42,couple,divided,time,divide,couple time,55
43,couple,divides,time,divide,couple time,55
44,couple,divided,time,divide,couple time,55
45,couple,divided,time,divide,couple time,55
46,couple,divided,time,divide,couple time,55
47,couple,divided,time,divide,couple time,55
48,couple,divided,time,divide,couple time,55
49,couple,divided,time,divide,couple time,55
50,couple,divided,time,divide,couple time,55
51,couple,divided,time,divide,couple time,55
52,couple,divided,time,divide,couple time,55
53,couple,divide,time,divide,couple time,55
54,couple,divided,time,divide,couple time,55
55,family,divided,time,divide,family time,43
56,family,divided,time,divide,family time,43
57,family,divided,time,divide,family time,43
58,family,divided,time,divide,family time,43
59,family,divided,time,divide,family time,43
60,family,divides,time,divide,family time,43
61,family,divided,time,divide,family time,43
62,family,divide,time,divide,family time,43
63,family,divides,time,divide,family time,43
64,family,divided,time,divide,family time,43
65,family,divided,time,divide,family time,43
66,family,divided,time,divide,family time,43
67,family,divide,time,divide,family time,43
68,family,divides,time,divide,family time,43
