,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,did,tour,do,band tour,108
1,band,did,tour,do,band tour,108
2,band,did,tour,do,band tour,108
3,band,did,tour,do,band tour,108
4,band,did,tour,do,band tour,108
5,band,did,tour,do,band tour,108
6,band,did,tour,do,band tour,108
7,band,did,tour,do,band tour,108
8,band,did,tour,do,band tour,108
9,band,did,tour,do,band tour,108
10,band,did,tour,do,band tour,108
11,band,did,tour,do,band tour,108
12,band,did,tour,do,band tour,108
13,band,did,tour,do,band tour,108
14,band,did,tour,do,band tour,108
15,band,did,tour,do,band tour,108
16,band,did,tour,do,band tour,108
17,band,did,tour,do,band tour,108
18,band,did,tour,do,band tour,108
19,band,did,tour,do,band tour,108
20,band,did,tour,do,band tour,108
21,band,did,tour,do,band tour,108
22,band,did,tour,do,band tour,108
23,band,did,tour,do,band tour,108
24,band,did,tour,do,band tour,108
25,band,did,tour,do,band tour,108
26,band,did,tour,do,band tour,108
27,band,did,tour,do,band tour,108
28,band,did,tour,do,band tour,108
29,band,did,tour,do,band tour,108
30,band,did,tour,do,band tour,108
31,band,did,tour,do,band tour,108
32,band,did,tour,do,band tour,108
33,band,did,tour,do,band tour,108
34,band,did,tour,do,band tour,108
35,band,did,tour,do,band tour,108
36,band,did,tour,do,band tour,108
37,band,did,tour,do,band tour,108
38,band,did,tour,do,band tour,108
39,band,did,tour,do,band tour,108
40,band,did,tour,do,band tour,108
41,band,did,tour,do,band tour,108
42,band,did,tour,do,band tour,108
43,band,did,tour,do,band tour,108
44,band,did,tour,do,band tour,108
45,band,did,tour,do,band tour,108
46,band,did,tour,do,band tour,108
47,band,did,tour,do,band tour,108
48,band,did,tour,do,band tour,108
49,band,did,tour,do,band tour,108
50,band,did,tour,do,band tour,108
51,band,did,tour,do,band tour,108
52,band,did,tour,do,band tour,108
53,band,did,tour,do,band tour,108
54,band,did,tour,do,band tour,108
55,band,did,tour,do,band tour,108
56,band,did,tour,do,band tour,108
57,band,did,tour,do,band tour,108
58,band,did,tour,do,band tour,108
59,band,did,tour,do,band tour,108
60,band,did,tour,do,band tour,108
61,band,did,tour,do,band tour,108
62,band,did,tour,do,band tour,108
63,band,did,tour,do,band tour,108
64,band,did,tour,do,band tour,108
65,band,did,tour,do,band tour,108
66,band,did,tour,do,band tour,108
67,band,did,tour,do,band tour,108
68,band,did,tour,do,band tour,108
69,band,did,tour,do,band tour,108
70,band,did,tour,do,band tour,108
71,band,did,tour,do,band tour,108
72,band,did,tour,do,band tour,108
73,band,did,tour,do,band tour,108
74,band,did,tour,do,band tour,108
75,band,did,tour,do,band tour,108
76,band,did,tour,do,band tour,108
77,band,did,tour,do,band tour,108
78,band,did,tour,do,band tour,108
79,band,did,tour,do,band tour,108
80,band,did,tour,do,band tour,108
81,band,did,tour,do,band tour,108
82,band,did,tour,do,band tour,108
83,band,did,tour,do,band tour,108
84,band,did,tour,do,band tour,108
85,band,did,tour,do,band tour,108
86,band,did,tour,do,band tour,108
87,band,did,tour,do,band tour,108
88,band,did,tour,do,band tour,108
89,band,did,tour,do,band tour,108
90,band,did,tour,do,band tour,108
91,band,did,tour,do,band tour,108
92,band,did,tour,do,band tour,108
93,band,did,tour,do,band tour,108
94,band,did,tour,do,band tour,108
95,band,did,tour,do,band tour,108
96,band,did,tour,do,band tour,108
97,band,did,tour,do,band tour,108
98,band,did,tour,do,band tour,108
99,band,did,tour,do,band tour,108
100,band,did,tour,do,band tour,108
101,band,did,tour,do,band tour,108
102,band,did,tour,do,band tour,108
103,band,did,tour,do,band tour,108
104,band,did,tour,do,band tour,108
105,band,did,tour,do,band tour,108
106,band,did,tour,do,band tour,108
107,band,did,tour,do,band tour,108
108,people,do,things,do,people things,105
109,people,do,things,do,people things,105
110,people,do,things,do,people things,105
111,people,doing,things,do,people things,105
112,people,do,things,do,people things,105
113,people,do,things,do,people things,105
114,people,do,things,do,people things,105
115,people,do,things,do,people things,105
116,people,do,things,do,people things,105
117,people,did,things,do,people things,105
118,people,doing,things,do,people things,105
119,people,do,things,do,people things,105
120,people,do,things,do,people things,105
121,people,do,things,do,people things,105
122,people,do,things,do,people things,105
123,people,doing,things,do,people things,105
124,people,doing,things,do,people things,105
125,people,do,things,do,people things,105
126,people,do,things,do,people things,105
127,people,do,things,do,people things,105
128,people,do,things,do,people things,105
129,people,doing,things,do,people things,105
