,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,boat,ducked,periscope,duck,boat periscope,1
1,name,ducking,stool,duck,name stool,1
2,one,ducks,blade,duck,one blade,1
3,town,ducking,stool,duck,town stool,1
4,group,ducked,head,duck,group head,1
5,one,ducked,things,duck,one things,1
6,both,ducked,lead,duck,both lead,1
7,match,ducked,clothesline,duck,match clothesline,1
8,man,ducked,man,duck,man man,1
9,leadership,ducked,decision,duck,leadership decision,1
10,film,ducks,issues,duck,film issues,1
11,people,ducked,divination,duck,people divination,1
12,most,ducked,track,duck,most track,1
13,group,ducked,fences,duck,group fences,1
14,track,ducks,another,duck,track another,1
15,practice,duck,instant,duck,practice instant,1
16,buk,duck,head,duck,buk head,1
17,declarer,ducks,lead,duck,declarer lead,1
18,woman,ducked,line,duck,woman line,1
19,fellow,ducked,head,duck,fellow head,1
20,player,ducking,head,duck,player head,1
21,man,duck,head,duck,man head,1
22,males,duck,heads,duck,males heads,1
23,casters,ducked,heads,duck,casters heads,1
