,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,light,emits,flashes,emit,light flashes,36
1,light,emits,flashes,emit,light flashes,36
2,light,emits,flashes,emit,light flashes,36
3,light,emits,flashes,emit,light flashes,36
4,light,emits,flashes,emit,light flashes,36
5,light,emits,flashes,emit,light flashes,36
6,light,emits,flashes,emit,light flashes,36
7,light,emits,flashes,emit,light flashes,36
8,light,emits,flashes,emit,light flashes,36
9,light,emits,flashes,emit,light flashes,36
10,light,emits,flashes,emit,light flashes,36
11,light,emits,flashes,emit,light flashes,36
12,light,emits,flashes,emit,light flashes,36
13,light,emits,flashes,emit,light flashes,36
14,light,emits,flashes,emit,light flashes,36
15,light,emits,flashes,emit,light flashes,36
16,light,emits,flashes,emit,light flashes,36
17,light,emits,flashes,emit,light flashes,36
18,light,emits,flashes,emit,light flashes,36
19,light,emits,flashes,emit,light flashes,36
20,light,emits,flashes,emit,light flashes,36
21,light,emits,flashes,emit,light flashes,36
22,light,emits,flashes,emit,light flashes,36
23,light,emits,flashes,emit,light flashes,36
24,light,emits,flashes,emit,light flashes,36
25,light,emits,flashes,emit,light flashes,36
26,light,emits,flashes,emit,light flashes,36
27,light,emits,flashes,emit,light flashes,36
28,light,emits,flashes,emit,light flashes,36
29,light,emits,flashes,emit,light flashes,36
30,light,emits,flashes,emit,light flashes,36
31,light,emits,flashes,emit,light flashes,36
32,light,emits,flashes,emit,light flashes,36
33,light,emits,flashes,emit,light flashes,36
34,light,emits,flashes,emit,light flashes,36
35,light,emits,flashes,emit,light flashes,36
36,light,emits,flash,emit,light flash,31
37,light,emits,flash,emit,light flash,31
38,light,emits,flash,emit,light flash,31
39,light,emits,flash,emit,light flash,31
40,light,emits,flash,emit,light flash,31
41,light,emits,flash,emit,light flash,31
42,light,emits,flash,emit,light flash,31
43,light,emits,flash,emit,light flash,31
44,light,emits,flash,emit,light flash,31
45,light,emits,flash,emit,light flash,31
46,light,emits,flash,emit,light flash,31
47,light,emits,flash,emit,light flash,31
48,light,emits,flash,emit,light flash,31
49,light,emits,flash,emit,light flash,31
50,light,emits,flash,emit,light flash,31
51,light,emits,flash,emit,light flash,31
52,light,emits,flash,emit,light flash,31
53,light,emits,flash,emit,light flash,31
54,light,emits,flash,emit,light flash,31
55,light,emitted,flash,emit,light flash,31
56,light,emits,flash,emit,light flash,31
57,light,emits,flash,emit,light flash,31
58,light,emits,flash,emit,light flash,31
59,light,emits,flash,emit,light flash,31
60,light,emits,flash,emit,light flash,31
61,light,emits,flash,emit,light flash,31
62,light,emits,flash,emit,light flash,31
63,light,emits,flash,emit,light flash,31
64,light,emits,flash,emit,light flash,31
65,light,emits,flash,emit,light flash,31
66,light,emits,flash,emit,light flash,31
67,lantern,emits,flashes,emit,lantern flashes,28
68,lantern,emits,flashes,emit,lantern flashes,28
69,lantern,emits,flashes,emit,lantern flashes,28
70,lantern,emits,flashes,emit,lantern flashes,28
71,lantern,emits,flashes,emit,lantern flashes,28
72,lantern,emits,flashes,emit,lantern flashes,28
73,lantern,emits,flashes,emit,lantern flashes,28
74,lantern,emits,flashes,emit,lantern flashes,28
75,lantern,emits,flashes,emit,lantern flashes,28
76,lantern,emits,flashes,emit,lantern flashes,28
77,lantern,emits,flashes,emit,lantern flashes,28
78,lantern,emits,flashes,emit,lantern flashes,28
79,lantern,emits,flashes,emit,lantern flashes,28
80,lantern,emits,flashes,emit,lantern flashes,28
81,lantern,emits,flashes,emit,lantern flashes,28
82,lantern,emits,flashes,emit,lantern flashes,28
83,lantern,emits,flashes,emit,lantern flashes,28
84,lantern,emits,flashes,emit,lantern flashes,28
85,lantern,emits,flashes,emit,lantern flashes,28
86,lantern,emits,flashes,emit,lantern flashes,28
87,lantern,emits,flashes,emit,lantern flashes,28
88,lantern,emits,flashes,emit,lantern flashes,28
89,lantern,emits,flashes,emit,lantern flashes,28
90,lantern,emits,flashes,emit,lantern flashes,28
91,lantern,emits,flashes,emit,lantern flashes,28
92,lantern,emits,flashes,emit,lantern flashes,28
93,lantern,emits,flashes,emit,lantern flashes,28
94,lantern,emits,flashes,emit,lantern flashes,28
95,lantern,emits,flash,emit,lantern flash,18
96,lantern,emits,flash,emit,lantern flash,18
97,lantern,emits,flash,emit,lantern flash,18
98,lantern,emits,flash,emit,lantern flash,18
99,lantern,emits,flash,emit,lantern flash,18
100,lantern,emits,flash,emit,lantern flash,18
101,lantern,emits,flash,emit,lantern flash,18
102,lantern,emits,flash,emit,lantern flash,18
103,lantern,emits,flash,emit,lantern flash,18
104,lantern,emits,flash,emit,lantern flash,18
105,lantern,emits,flash,emit,lantern flash,18
106,lantern,emits,flash,emit,lantern flash,18
107,lantern,emits,flash,emit,lantern flash,18
108,lantern,emits,flash,emit,lantern flash,18
109,lantern,emits,flash,emit,lantern flash,18
110,lantern,emits,flash,emit,lantern flash,18
111,lantern,emits,flash,emit,lantern flash,18
112,lantern,emits,flash,emit,lantern flash,18
113,light,emits,light,emit,light light,11
114,light,emits,light,emit,light light,11
115,light,emits,light,emit,light light,11
