,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,study,examined,effects,examine,study effects,31
1,study,examined,effects,examine,study effects,31
2,study,examined,effects,examine,study effects,31
3,study,examined,effects,examine,study effects,31
4,study,examined,effects,examine,study effects,31
5,study,examined,effects,examine,study effects,31
6,study,examined,effects,examine,study effects,31
7,study,examined,effects,examine,study effects,31
8,study,examined,effects,examine,study effects,31
9,study,examined,effects,examine,study effects,31
10,study,examined,effects,examine,study effects,31
11,study,examined,effects,examine,study effects,31
12,study,examined,effects,examine,study effects,31
13,study,examined,effects,examine,study effects,31
14,study,examined,effects,examine,study effects,31
15,study,examined,effects,examine,study effects,31
16,study,examined,effects,examine,study effects,31
17,study,examined,effects,examine,study effects,31
18,study,examined,effects,examine,study effects,31
19,study,examined,effects,examine,study effects,31
20,study,examined,effects,examine,study effects,31
21,study,examined,effects,examine,study effects,31
22,study,examined,effects,examine,study effects,31
23,study,examined,effects,examine,study effects,31
24,study,examined,effects,examine,study effects,31
25,study,examined,effects,examine,study effects,31
26,study,examined,effects,examine,study effects,31
27,study,examined,effects,examine,study effects,31
28,study,examined,effects,examine,study effects,31
29,study,examined,effects,examine,study effects,31
30,study,examined,effects,examine,study effects,31
31,study,examined,remains,examine,study remains,29
32,study,examined,remains,examine,study remains,29
33,study,examined,remains,examine,study remains,29
34,study,examined,remains,examine,study remains,29
35,study,examined,remains,examine,study remains,29
36,study,examined,remains,examine,study remains,29
37,study,examined,remains,examine,study remains,29
38,study,examined,remains,examine,study remains,29
39,study,examined,remains,examine,study remains,29
40,study,examined,remains,examine,study remains,29
41,study,examined,remains,examine,study remains,29
42,study,examined,remains,examine,study remains,29
43,study,examined,remains,examine,study remains,29
44,study,examined,remains,examine,study remains,29
45,study,examined,remains,examine,study remains,29
46,study,examined,remains,examine,study remains,29
47,study,examined,remains,examine,study remains,29
48,study,examined,remains,examine,study remains,29
49,study,examined,remains,examine,study remains,29
50,study,examined,remains,examine,study remains,29
51,study,examined,remains,examine,study remains,29
52,study,examined,remains,examine,study remains,29
53,study,examined,remains,examine,study remains,29
54,study,examined,remains,examine,study remains,29
55,study,examined,remains,examine,study remains,29
56,study,examined,remains,examine,study remains,29
57,study,examined,remains,examine,study remains,29
58,study,examined,remains,examine,study remains,29
59,study,examined,remains,examine,study remains,29
60,book,examines,history,examine,book history,25
61,book,examines,history,examine,book history,25
62,book,examines,history,examine,book history,25
63,book,examines,history,examine,book history,25
64,book,examines,history,examine,book history,25
65,book,examines,history,examine,book history,25
66,book,examines,history,examine,book history,25
67,book,examines,history,examine,book history,25
68,book,examines,history,examine,book history,25
69,book,examines,history,examine,book history,25
70,book,examines,history,examine,book history,25
71,book,examines,history,examine,book history,25
72,book,examines,history,examine,book history,25
73,book,examines,history,examine,book history,25
74,book,examines,history,examine,book history,25
75,book,examines,history,examine,book history,25
76,book,examines,history,examine,book history,25
77,book,examines,history,examine,book history,25
78,book,examines,history,examine,book history,25
79,book,examines,history,examine,book history,25
80,book,examines,history,examine,book history,25
81,book,examined,history,examine,book history,25
82,book,examined,history,examine,book history,25
83,book,examines,history,examine,book history,25
84,book,examined,history,examine,book history,25
85,study,examined,effect,examine,study effect,23
86,study,examined,effect,examine,study effect,23
87,study,examined,effect,examine,study effect,23
88,study,examined,effect,examine,study effect,23
89,study,examined,effect,examine,study effect,23
90,study,examined,effect,examine,study effect,23
91,study,examined,effect,examine,study effect,23
92,study,examined,effect,examine,study effect,23
93,study,examines,effect,examine,study effect,23
94,study,examined,effect,examine,study effect,23
95,study,examined,effect,examine,study effect,23
96,study,examined,effect,examine,study effect,23
97,study,examined,effect,examine,study effect,23
98,study,examines,effect,examine,study effect,23
99,study,examined,effect,examine,study effect,23
100,study,examined,effect,examine,study effect,23
101,study,examined,effect,examine,study effect,23
102,study,examined,effect,examine,study effect,23
103,study,examined,effect,examine,study effect,23
104,study,examined,effect,examine,study effect,23
105,study,examined,effect,examine,study effect,23
106,study,examined,effect,examine,study effect,23
107,study,examined,effect,examine,study effect,23
108,study,examined,consolidation,examine,study consolidation,21
109,study,examined,consolidation,examine,study consolidation,21
110,study,examined,consolidation,examine,study consolidation,21
111,study,examined,consolidation,examine,study consolidation,21
112,study,examined,consolidation,examine,study consolidation,21
113,study,examined,consolidation,examine,study consolidation,21
114,study,examined,consolidation,examine,study consolidation,21
115,study,examined,consolidation,examine,study consolidation,21
116,study,examined,consolidation,examine,study consolidation,21
117,study,examined,consolidation,examine,study consolidation,21
118,study,examined,consolidation,examine,study consolidation,21
119,study,examined,consolidation,examine,study consolidation,21
120,study,examined,consolidation,examine,study consolidation,21
121,study,examined,consolidation,examine,study consolidation,21
122,study,examined,consolidation,examine,study consolidation,21
123,study,examined,consolidation,examine,study consolidation,21
124,study,examined,consolidation,examine,study consolidation,21
125,study,examined,consolidation,examine,study consolidation,21
126,study,examined,consolidation,examine,study consolidation,21
127,study,examined,consolidation,examine,study consolidation,21
128,study,examined,consolidation,examine,study consolidation,21
129,commission,examine,record,examine,commission record,19
130,commission,examine,record,examine,commission record,19
131,commission,examine,record,examine,commission record,19
132,commission,examine,record,examine,commission record,19
133,commission,examine,record,examine,commission record,19
134,commission,examine,record,examine,commission record,19
135,commission,examine,record,examine,commission record,19
136,commission,examine,record,examine,commission record,19
137,commission,examine,record,examine,commission record,19
138,commission,examine,record,examine,commission record,19
139,commission,examine,record,examine,commission record,19
140,commission,examine,record,examine,commission record,19
141,commission,examine,record,examine,commission record,19
142,commission,examine,record,examine,commission record,19
143,commission,examine,record,examine,commission record,19
144,commission,examine,record,examine,commission record,19
145,commission,examine,record,examine,commission record,19
146,commission,examine,record,examine,commission record,19
