,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,changes,explains,features,explain,changes features,8
1,changes,explains,features,explain,changes features,8
2,changes,explains,features,explain,changes features,8
3,changes,explains,features,explain,changes features,8
4,changes,explains,features,explain,changes features,8
5,changes,explains,features,explain,changes features,8
6,changes,explains,features,explain,changes features,8
7,changes,explains,features,explain,changes features,8
8,page,explains,systems,explain,page systems,7
9,theory,explains,observations,explain,theory observations,7
10,page,explains,systems,explain,page systems,7
11,page,explains,systems,explain,page systems,7
12,page,explains,systems,explain,page systems,7
13,theory,explained,observations,explain,theory observations,7
14,theory,explained,observations,explain,theory observations,7
15,theory,explain,observations,explain,theory observations,7
16,theory,explained,observations,explain,theory observations,7
17,page,explains,systems,explain,page systems,7
18,theory,explained,observations,explain,theory observations,7
19,page,explains,systems,explain,page systems,7
20,page,explains,systems,explain,page systems,7
21,theory,explains,observations,explain,theory observations,7
22,plaque,explains,history,explain,plaque history,6
23,plaque,explains,history,explain,plaque history,6
24,plaque,explains,history,explain,plaque history,6
25,band,explained,meaning,explain,band meaning,6
26,plaque,explains,history,explain,plaque history,6
27,band,explained,meaning,explain,band meaning,6
28,band,explained,meaning,explain,band meaning,6
29,plaque,explains,history,explain,plaque history,6
30,band,explained,meaning,explain,band meaning,6
31,band,explained,meaning,explain,band meaning,6
32,band,explained,meaning,explain,band meaning,6
33,plaque,explains,history,explain,plaque history,6
34,page,explains,terms,explain,page terms,5
35,model,explains,observations,explain,model observations,5
36,book,explains,theory,explain,book theory,5
37,theory,explained,phenomena,explain,theory phenomena,5
38,people,explaining,reason,explain,people reason,5
39,legend,explains,name,explain,legend name,5
40,people,explaining,reason,explain,people reason,5
41,book,explained,theory,explain,book theory,5
42,chorus,explains,storyline,explain,chorus storyline,5
43,model,explains,observations,explain,model observations,5
44,model,explains,observations,explain,model observations,5
45,chorus,explains,storyline,explain,chorus storyline,5
46,legend,explains,name,explain,legend name,5
47,book,explains,theory,explain,book theory,5
48,book,explains,theory,explain,book theory,5
49,page,explains,terms,explain,page terms,5
50,people,explaining,reason,explain,people reason,5
51,legend,explains,name,explain,legend name,5
