,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,engines,extended,range,extend,engines range,59
1,engines,extended,range,extend,engines range,59
2,engines,extended,range,extend,engines range,59
3,engines,extended,range,extend,engines range,59
4,engines,extended,range,extend,engines range,59
5,engines,extended,range,extend,engines range,59
6,engines,extended,range,extend,engines range,59
7,engines,extended,range,extend,engines range,59
8,engines,extended,range,extend,engines range,59
9,engines,extended,range,extend,engines range,59
10,engines,extended,range,extend,engines range,59
11,engines,extended,range,extend,engines range,59
12,engines,extended,range,extend,engines range,59
13,engines,extended,range,extend,engines range,59
14,engines,extended,range,extend,engines range,59
15,engines,extended,range,extend,engines range,59
16,engines,extended,range,extend,engines range,59
17,engines,extended,range,extend,engines range,59
18,engines,extended,range,extend,engines range,59
19,engines,extended,range,extend,engines range,59
20,engines,extended,range,extend,engines range,59
21,engines,extended,range,extend,engines range,59
22,engines,extended,range,extend,engines range,59
23,engines,extended,range,extend,engines range,59
24,engines,extended,range,extend,engines range,59
25,engines,extended,range,extend,engines range,59
26,engines,extended,range,extend,engines range,59
27,engines,extended,range,extend,engines range,59
28,engines,extended,range,extend,engines range,59
29,engines,extended,range,extend,engines range,59
30,engines,extended,range,extend,engines range,59
31,engines,extended,range,extend,engines range,59
32,engines,extended,range,extend,engines range,59
33,engines,extended,range,extend,engines range,59
34,engines,extended,range,extend,engines range,59
35,engines,extended,range,extend,engines range,59
36,engines,extended,range,extend,engines range,59
37,engines,extended,range,extend,engines range,59
38,engines,extended,range,extend,engines range,59
39,engines,extended,range,extend,engines range,59
40,engines,extended,range,extend,engines range,59
41,engines,extended,range,extend,engines range,59
42,engines,extended,range,extend,engines range,59
43,engines,extended,range,extend,engines range,59
44,engines,extended,range,extend,engines range,59
45,engines,extended,range,extend,engines range,59
46,engines,extended,range,extend,engines range,59
47,engines,extended,range,extend,engines range,59
48,engines,extended,range,extend,engines range,59
49,engines,extended,range,extend,engines range,59
50,engines,extended,range,extend,engines range,59
51,engines,extended,range,extend,engines range,59
52,engines,extended,range,extend,engines range,59
53,engines,extended,range,extend,engines range,59
54,engines,extended,range,extend,engines range,59
55,engines,extended,range,extend,engines range,59
56,engines,extended,range,extend,engines range,59
57,engines,extended,range,extend,engines range,59
58,engines,extended,range,extend,engines range,59
59,range,extends,southwards,extend,range southwards,35
60,range,extended,southwards,extend,range southwards,35
61,range,extends,southwards,extend,range southwards,35
62,range,extends,southwards,extend,range southwards,35
63,range,extends,southwards,extend,range southwards,35
64,range,extends,southwards,extend,range southwards,35
65,range,extended,southwards,extend,range southwards,35
66,range,extends,southwards,extend,range southwards,35
67,range,extending,southwards,extend,range southwards,35
68,range,extends,southwards,extend,range southwards,35
69,range,extended,southwards,extend,range southwards,35
70,range,extends,southwards,extend,range southwards,35
71,range,extends,southwards,extend,range southwards,35
72,range,extends,southwards,extend,range southwards,35
73,range,extending,southwards,extend,range southwards,35
74,range,extends,southwards,extend,range southwards,35
75,range,extends,southwards,extend,range southwards,35
76,range,extends,southwards,extend,range southwards,35
77,range,extends,southwards,extend,range southwards,35
78,range,extends,southwards,extend,range southwards,35
79,range,extends,southwards,extend,range southwards,35
80,range,extends,southwards,extend,range southwards,35
81,range,extends,southwards,extend,range southwards,35
82,range,extends,southwards,extend,range southwards,35
83,range,extends,southwards,extend,range southwards,35
84,range,extends,southwards,extend,range southwards,35
85,range,extends,southwards,extend,range southwards,35
86,range,extends,southwards,extend,range southwards,35
87,range,extends,southwards,extend,range southwards,35
88,range,extends,southwards,extend,range southwards,35
89,range,extends,southwards,extend,range southwards,35
90,range,extends,southwards,extend,range southwards,35
91,range,extends,southwards,extend,range southwards,35
92,range,extends,southwards,extend,range southwards,35
93,range,extending,southwards,extend,range southwards,35
94,club,extended,contract,extend,club contract,31
95,club,extended,contract,extend,club contract,31
96,club,extended,contract,extend,club contract,31
97,club,extended,contract,extend,club contract,31
98,club,extended,contract,extend,club contract,31
99,club,extended,contract,extend,club contract,31
100,club,extended,contract,extend,club contract,31
101,club,extended,contract,extend,club contract,31
102,club,extended,contract,extend,club contract,31
103,club,extended,contract,extend,club contract,31
104,club,extended,contract,extend,club contract,31
105,club,extended,contract,extend,club contract,31
106,club,extended,contract,extend,club contract,31
107,club,extended,contract,extend,club contract,31
108,club,extended,contract,extend,club contract,31
109,club,extended,contract,extend,club contract,31
110,club,extended,contract,extend,club contract,31
111,club,extended,contract,extend,club contract,31
112,club,extended,contract,extend,club contract,31
113,club,extend,contract,extend,club contract,31
114,club,extended,contract,extend,club contract,31
115,club,extended,contract,extend,club contract,31
116,club,extended,contract,extend,club contract,31
117,club,extended,contract,extend,club contract,31
118,club,extended,contract,extend,club contract,31
119,club,extended,contract,extend,club contract,31
120,club,extended,contract,extend,club contract,31
121,club,extended,contract,extend,club contract,31
122,club,extended,contract,extend,club contract,31
123,club,extended,contract,extend,club contract,31
124,club,extended,contract,extend,club contract,31
125,win,extended,streak,extend,win streak,30
126,win,extended,streak,extend,win streak,30
127,win,extended,streak,extend,win streak,30
128,win,extended,streak,extend,win streak,30
129,win,extended,streak,extend,win streak,30
130,win,extended,streak,extend,win streak,30
131,win,extended,streak,extend,win streak,30
132,win,extended,streak,extend,win streak,30
133,win,extended,streak,extend,win streak,30
134,win,extended,streak,extend,win streak,30
135,win,extended,streak,extend,win streak,30
136,win,extended,streak,extend,win streak,30
137,win,extended,streak,extend,win streak,30
138,win,extended,streak,extend,win streak,30
139,win,extended,streak,extend,win streak,30
140,win,extended,streak,extend,win streak,30
141,win,extended,streak,extend,win streak,30
142,win,extended,streak,extend,win streak,30
143,win,extended,streak,extend,win streak,30
144,win,extends,streak,extend,win streak,30
145,win,extended,streak,extend,win streak,30
146,win,extended,streak,extend,win streak,30
147,win,extended,streak,extend,win streak,30
148,win,extended,streak,extend,win streak,30
149,win,extended,streak,extend,win streak,30
150,win,extended,streak,extend,win streak,30
151,win,extended,streak,extend,win streak,30
152,win,extended,streak,extend,win streak,30
153,win,extended,streak,extend,win streak,30
154,win,extended,streak,extend,win streak,30
155,team,extended,streak,extend,team streak,25
156,team,extended,streak,extend,team streak,25
157,team,extended,streak,extend,team streak,25
158,team,extended,streak,extend,team streak,25
159,team,extended,streak,extend,team streak,25
160,team,extended,streak,extend,team streak,25
161,team,extended,streak,extend,team streak,25
162,team,extended,streak,extend,team streak,25
163,team,extended,streak,extend,team streak,25
164,team,extended,streak,extend,team streak,25
165,team,extended,streak,extend,team streak,25
166,team,extended,streak,extend,team streak,25
167,team,extended,streak,extend,team streak,25
168,team,extended,streak,extend,team streak,25
169,team,extended,streak,extend,team streak,25
170,team,extended,streak,extend,team streak,25
171,team,extended,streak,extend,team streak,25
172,team,extended,streak,extend,team streak,25
173,team,extending,streak,extend,team streak,25
174,team,extended,streak,extend,team streak,25
175,team,extended,streak,extend,team streak,25
176,team,extended,streak,extend,team streak,25
177,team,extended,streak,extend,team streak,25
178,team,extended,streak,extend,team streak,25
179,team,extended,streak,extend,team streak,25
180,company,extend,line,extend,company line,23
181,company,extended,line,extend,company line,23
182,company,extended,line,extend,company line,23
183,resolution,extended,mandate,extend,resolution mandate,23
184,resolution,extended,mandate,extend,resolution mandate,23
185,company,extended,line,extend,company line,23
186,resolution,extended,mandate,extend,resolution mandate,23
187,resolution,extended,mandate,extend,resolution mandate,23
188,company,extended,line,extend,company line,23
189,company,extended,line,extend,company line,23
190,company,extended,line,extend,company line,23
191,resolution,extended,mandate,extend,resolution mandate,23
192,resolution,extended,mandate,extend,resolution mandate,23
193,resolution,extended,mandate,extend,resolution mandate,23
194,resolution,extended,mandate,extend,resolution mandate,23
195,company,extended,line,extend,company line,23
196,company,extended,line,extend,company line,23
197,company,extended,line,extend,company line,23
198,company,extended,line,extend,company line,23
199,resolution,extended,mandate,extend,resolution mandate,23
200,company,extended,line,extend,company line,23
201,resolution,extended,mandate,extend,resolution mandate,23
202,company,extended,line,extend,company line,23
203,company,extended,line,extend,company line,23
204,resolution,extended,mandate,extend,resolution mandate,23
205,resolution,extended,mandate,extend,resolution mandate,23
206,company,extended,line,extend,company line,23
207,resolution,extended,mandate,extend,resolution mandate,23
208,resolution,extended,mandate,extend,resolution mandate,23
209,resolution,extended,mandate,extend,resolution mandate,23
210,resolution,extended,mandate,extend,resolution mandate,23
211,resolution,extended,mandate,extend,resolution mandate,23
212,company,extended,line,extend,company line,23
213,company,extended,line,extend,company line,23
214,resolution,extended,mandate,extend,resolution mandate,23
215,resolution,extends,mandate,extend,resolution mandate,23
216,resolution,extended,mandate,extend,resolution mandate,23
217,company,extended,line,extend,company line,23
218,company,extended,line,extend,company line,23
219,company,extended,line,extend,company line,23
220,company,extended,line,extend,company line,23
221,company,extended,line,extend,company line,23
222,resolution,extended,mandate,extend,resolution mandate,23
223,resolution,extended,mandate,extend,resolution mandate,23
224,resolution,extended,mandate,extend,resolution mandate,23
225,company,extended,line,extend,company line,23
226,victory,extended,streak,extend,victory streak,16
227,victory,extended,streak,extend,victory streak,16
228,victory,extended,streak,extend,victory streak,16
229,council,extended,mandate,extend,council mandate,16
230,council,extended,mandate,extend,council mandate,16
231,victory,extended,streak,extend,victory streak,16
232,victory,extended,streak,extend,victory streak,16
233,victory,extended,streak,extend,victory streak,16
234,council,extended,mandate,extend,council mandate,16
235,council,extended,mandate,extend,council mandate,16
236,council,extended,mandate,extend,council mandate,16
237,victory,extended,streak,extend,victory streak,16
238,victory,extended,streak,extend,victory streak,16
239,council,extended,mandate,extend,council mandate,16
240,council,extended,mandate,extend,council mandate,16
241,victory,extended,streak,extend,victory streak,16
242,victory,extended,streak,extend,victory streak,16
243,council,extended,mandate,extend,council mandate,16
244,council,extended,mandate,extend,council mandate,16
245,victory,extended,streak,extend,victory streak,16
246,council,extended,mandate,extend,council mandate,16
247,victory,extended,streak,extend,victory streak,16
248,victory,extended,streak,extend,victory streak,16
249,victory,extended,streak,extend,victory streak,16
250,council,extended,mandate,extend,council mandate,16
251,victory,extended,streak,extend,victory streak,16
252,council,extended,mandate,extend,council mandate,16
253,victory,extended,streak,extend,victory streak,16
254,council,extended,mandate,extend,council mandate,16
255,council,extended,mandate,extend,council mandate,16
256,council,extended,mandate,extend,council mandate,16
257,council,extended,mandate,extend,council mandate,16
258,range,extends,eastwards,extend,range eastwards,15
259,range,extends,eastwards,extend,range eastwards,15
260,range,extends,eastwards,extend,range eastwards,15
261,range,extends,eastwards,extend,range eastwards,15
262,range,extends,eastwards,extend,range eastwards,15
263,range,extended,eastwards,extend,range eastwards,15
264,range,extends,eastwards,extend,range eastwards,15
265,range,extends,eastwards,extend,range eastwards,15
266,range,extends,eastwards,extend,range eastwards,15
267,range,extends,eastwards,extend,range eastwards,15
268,range,extends,eastwards,extend,range eastwards,15
269,range,extends,eastwards,extend,range eastwards,15
270,range,extends,eastwards,extend,range eastwards,15
271,range,extends,eastwards,extend,range eastwards,15
272,range,extends,eastwards,extend,range eastwards,15
273,nationals,extended,law,extend,nationals law,14
274,nationals,extended,law,extend,nationals law,14
275,nationals,extended,law,extend,nationals law,14
276,nationals,extended,law,extend,nationals law,14
277,nationals,extended,law,extend,nationals law,14
278,nationals,extended,law,extend,nationals law,14
279,nationals,extended,law,extend,nationals law,14
280,nationals,extended,law,extend,nationals law,14
281,nationals,extended,law,extend,nationals law,14
282,nationals,extended,law,extend,nationals law,14
283,nationals,extended,law,extend,nationals law,14
284,nationals,extended,law,extend,nationals law,14
285,nationals,extended,law,extend,nationals law,14
286,nationals,extended,law,extend,nationals law,14
287,company,extended,operations,extend,company operations,13
288,range,extends,northwards,extend,range northwards,13
289,range,extends,northwards,extend,range northwards,13
290,orchestra,extended,contract,extend,orchestra contract,13
291,range,extends,northwards,extend,range northwards,13
292,orchestra,extended,contract,extend,orchestra contract,13
293,orchestra,extended,contract,extend,orchestra contract,13
294,orchestra,extended,contract,extend,orchestra contract,13
295,company,extended,operations,extend,company operations,13
296,range,extending,northwards,extend,range northwards,13
297,range,extends,northwards,extend,range northwards,13
298,company,extended,operations,extend,company operations,13
299,orchestra,extended,contract,extend,orchestra contract,13
300,range,extends,northwards,extend,range northwards,13
301,company,extended,operations,extend,company operations,13
302,orchestra,extended,contract,extend,orchestra contract,13
303,orchestra,extended,contract,extend,orchestra contract,13
304,range,extends,northwards,extend,range northwards,13
305,range,extending,northwards,extend,range northwards,13
306,orchestra,extended,contract,extend,orchestra contract,13
307,range,extending,northwards,extend,range northwards,13
308,company,extended,operations,extend,company operations,13
309,range,extends,northwards,extend,range northwards,13
310,company,extended,operations,extend,company operations,13
311,company,extended,operations,extend,company operations,13
312,company,extended,operations,extend,company operations,13
313,company,extends,operations,extend,company operations,13
314,range,extends,northwards,extend,range northwards,13
