,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fruit,falls,seeds,fall,fruit seeds,25
1,fruit,falls,seeds,fall,fruit seeds,25
2,fruit,falls,seeds,fall,fruit seeds,25
3,fruit,falls,seeds,fall,fruit seeds,25
4,fruit,falls,seeds,fall,fruit seeds,25
5,fruit,falls,seeds,fall,fruit seeds,25
6,fruit,falls,seeds,fall,fruit seeds,25
7,fruit,falls,seeds,fall,fruit seeds,25
8,fruit,falls,seeds,fall,fruit seeds,25
9,fruit,falls,seeds,fall,fruit seeds,25
10,fruit,falls,seeds,fall,fruit seeds,25
11,fruit,falls,seeds,fall,fruit seeds,25
12,fruit,falls,seeds,fall,fruit seeds,25
13,fruit,falls,seeds,fall,fruit seeds,25
14,fruit,falls,seeds,fall,fruit seeds,25
15,fruit,falls,seeds,fall,fruit seeds,25
16,fruit,falls,seeds,fall,fruit seeds,25
17,fruit,falls,seeds,fall,fruit seeds,25
18,fruit,falls,seeds,fall,fruit seeds,25
19,fruit,falls,seeds,fall,fruit seeds,25
20,fruit,falls,seeds,fall,fruit seeds,25
21,fruit,falls,seeds,fall,fruit seeds,25
22,fruit,falls,seeds,fall,fruit seeds,25
23,fruit,falls,seeds,fall,fruit seeds,25
24,fruit,falls,seeds,fall,fruit seeds,25
25,people,fall,victim,fall,people victim,11
26,people,fall,victim,fall,people victim,11
27,people,fall,victim,fall,people victim,11
28,people,fall,victim,fall,people victim,11
29,people,fall,victim,fall,people victim,11
30,people,fall,victim,fall,people victim,11
31,people,fall,victim,fall,people victim,11
32,people,fall,victim,fall,people victim,11
33,people,fall,victim,fall,people victim,11
34,people,fall,victim,fall,people victim,11
35,people,fall,victim,fall,people victim,11
36,seeds,fall,wind,fall,seeds wind,10
37,seeds,fall,wind,fall,seeds wind,10
38,seeds,fall,wind,fall,seeds wind,10
39,seeds,fall,wind,fall,seeds wind,10
40,seeds,fall,wind,fall,seeds wind,10
41,seeds,fall,wind,fall,seeds wind,10
42,seeds,fall,wind,fall,seeds wind,10
43,seeds,fall,wind,fall,seeds wind,10
44,seeds,fall,wind,fall,seeds wind,10
45,seeds,fall,wind,fall,seeds wind,10
46,temperature,falls,average,fall,temperature average,7
47,temperature,falls,average,fall,temperature average,7
48,temperature,falls,average,fall,temperature average,7
49,temperature,falls,average,fall,temperature average,7
50,temperature,falls,average,fall,temperature average,7
51,temperature,falls,average,fall,temperature average,7
52,temperature,falls,average,fall,temperature average,7
53,one,falls,victim,fall,one victim,6
54,one,falls,victim,fall,one victim,6
55,both,fall,acquaintance,fall,both acquaintance,6
56,both,fall,acquaintance,fall,both acquaintance,6
57,one,falls,victim,fall,one victim,6
58,both,fall,acquaintance,fall,both acquaintance,6
59,both,fall,acquaintance,fall,both acquaintance,6
60,one,falls,victim,fall,one victim,6
61,one,falls,victim,fall,one victim,6
62,both,fall,acquaintance,fall,both acquaintance,6
63,both,fall,acquaintance,fall,both acquaintance,6
64,one,falls,victim,fall,one victim,6
65,date,falls,day,fall,date day,5
66,film,falls,prey,fall,film prey,5
67,date,falls,day,fall,date day,5
68,shackles,fall,country,fall,shackles country,5
69,film,falls,prey,fall,film prey,5
70,shackles,fall,country,fall,shackles country,5
71,two,falls,relationship,fall,two relationship,5
72,two,fall,relationship,fall,two relationship,5
73,two,fall,relationship,fall,two relationship,5
74,two,fall,relationship,fall,two relationship,5
75,wrestler,falls,opponent,fall,wrestler opponent,5
76,shackles,fall,country,fall,shackles country,5
77,shackles,fall,country,fall,shackles country,5
