,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,album,featured,songs,feature,album songs,1120
1,album,featured,songs,feature,album songs,1120
2,album,features,songs,feature,album songs,1120
3,album,features,songs,feature,album songs,1120
4,album,features,songs,feature,album songs,1120
5,album,featured,songs,feature,album songs,1120
6,album,features,songs,feature,album songs,1120
7,album,featured,songs,feature,album songs,1120
8,album,featured,songs,feature,album songs,1120
9,album,featured,songs,feature,album songs,1120
10,album,featured,songs,feature,album songs,1120
11,album,featured,songs,feature,album songs,1120
12,album,features,songs,feature,album songs,1120
13,album,features,songs,feature,album songs,1120
14,album,featured,songs,feature,album songs,1120
15,album,featured,songs,feature,album songs,1120
16,album,features,songs,feature,album songs,1120
17,album,features,songs,feature,album songs,1120
18,album,featured,songs,feature,album songs,1120
19,album,features,songs,feature,album songs,1120
20,album,features,songs,feature,album songs,1120
21,album,features,songs,feature,album songs,1120
22,album,features,songs,feature,album songs,1120
23,album,features,songs,feature,album songs,1120
24,album,features,songs,feature,album songs,1120
25,album,features,songs,feature,album songs,1120
26,album,features,songs,feature,album songs,1120
27,album,features,songs,feature,album songs,1120
28,album,features,songs,feature,album songs,1120
29,album,featured,songs,feature,album songs,1120
30,album,features,songs,feature,album songs,1120
31,album,features,songs,feature,album songs,1120
32,album,features,songs,feature,album songs,1120
33,album,features,songs,feature,album songs,1120
34,album,features,songs,feature,album songs,1120
35,album,features,songs,feature,album songs,1120
36,album,features,songs,feature,album songs,1120
37,album,featured,songs,feature,album songs,1120
38,album,features,songs,feature,album songs,1120
39,album,featured,songs,feature,album songs,1120
40,album,featured,songs,feature,album songs,1120
41,album,featured,songs,feature,album songs,1120
42,album,featured,songs,feature,album songs,1120
43,album,featured,songs,feature,album songs,1120
44,album,featured,songs,feature,album songs,1120
45,album,features,songs,feature,album songs,1120
46,album,features,songs,feature,album songs,1120
47,album,featured,songs,feature,album songs,1120
48,album,featured,songs,feature,album songs,1120
49,album,features,songs,feature,album songs,1120
50,album,features,songs,feature,album songs,1120
51,album,features,songs,feature,album songs,1120
52,album,features,songs,feature,album songs,1120
53,album,featured,songs,feature,album songs,1120
54,album,features,songs,feature,album songs,1120
55,album,features,songs,feature,album songs,1120
56,album,features,songs,feature,album songs,1120
57,album,features,songs,feature,album songs,1120
58,album,features,songs,feature,album songs,1120
59,album,features,songs,feature,album songs,1120
60,album,features,songs,feature,album songs,1120
61,album,features,songs,feature,album songs,1120
62,album,features,songs,feature,album songs,1120
63,album,features,songs,feature,album songs,1120
64,album,featured,songs,feature,album songs,1120
65,album,features,songs,feature,album songs,1120
66,album,features,songs,feature,album songs,1120
67,album,features,songs,feature,album songs,1120
68,album,features,songs,feature,album songs,1120
69,album,features,songs,feature,album songs,1120
70,album,featured,songs,feature,album songs,1120
71,album,featured,songs,feature,album songs,1120
72,album,features,songs,feature,album songs,1120
73,album,features,songs,feature,album songs,1120
74,album,featured,songs,feature,album songs,1120
75,album,features,songs,feature,album songs,1120
76,album,featured,songs,feature,album songs,1120
77,album,features,songs,feature,album songs,1120
78,album,featured,songs,feature,album songs,1120
79,album,features,songs,feature,album songs,1120
80,album,features,songs,feature,album songs,1120
81,album,featured,songs,feature,album songs,1120
82,album,features,songs,feature,album songs,1120
83,album,features,songs,feature,album songs,1120
84,album,featured,songs,feature,album songs,1120
85,album,featured,songs,feature,album songs,1120
86,album,features,songs,feature,album songs,1120
87,album,features,songs,feature,album songs,1120
88,album,features,songs,feature,album songs,1120
89,album,featured,songs,feature,album songs,1120
90,album,features,songs,feature,album songs,1120
91,album,features,songs,feature,album songs,1120
92,album,featured,songs,feature,album songs,1120
93,album,featured,songs,feature,album songs,1120
94,album,featured,songs,feature,album songs,1120
95,album,features,songs,feature,album songs,1120
96,album,features,songs,feature,album songs,1120
97,album,features,songs,feature,album songs,1120
98,album,features,songs,feature,album songs,1120
99,album,features,songs,feature,album songs,1120
100,album,featured,songs,feature,album songs,1120
101,album,features,songs,feature,album songs,1120
102,album,featured,songs,feature,album songs,1120
103,album,features,songs,feature,album songs,1120
104,album,features,songs,feature,album songs,1120
105,album,features,songs,feature,album songs,1120
106,album,features,songs,feature,album songs,1120
107,album,features,songs,feature,album songs,1120
108,album,features,songs,feature,album songs,1120
109,album,features,songs,feature,album songs,1120
110,album,features,songs,feature,album songs,1120
111,album,featured,songs,feature,album songs,1120
112,album,features,songs,feature,album songs,1120
113,album,featured,songs,feature,album songs,1120
114,album,featured,songs,feature,album songs,1120
115,album,features,songs,feature,album songs,1120
116,album,featured,songs,feature,album songs,1120
117,album,features,songs,feature,album songs,1120
118,album,featured,songs,feature,album songs,1120
119,album,features,songs,feature,album songs,1120
120,album,featured,songs,feature,album songs,1120
121,album,featured,songs,feature,album songs,1120
122,album,features,songs,feature,album songs,1120
123,album,featured,songs,feature,album songs,1120
124,album,features,songs,feature,album songs,1120
125,album,features,songs,feature,album songs,1120
126,album,features,songs,feature,album songs,1120
127,album,features,songs,feature,album songs,1120
128,album,features,songs,feature,album songs,1120
129,album,featured,songs,feature,album songs,1120
130,album,features,songs,feature,album songs,1120
131,album,featured,songs,feature,album songs,1120
132,album,featured,songs,feature,album songs,1120
133,album,features,songs,feature,album songs,1120
134,album,features,songs,feature,album songs,1120
135,album,features,songs,feature,album songs,1120
136,album,features,songs,feature,album songs,1120
137,album,featured,songs,feature,album songs,1120
138,album,features,songs,feature,album songs,1120
139,album,features,songs,feature,album songs,1120
140,album,featured,songs,feature,album songs,1120
141,album,features,songs,feature,album songs,1120
142,album,features,songs,feature,album songs,1120
143,album,features,songs,feature,album songs,1120
144,album,featured,songs,feature,album songs,1120
145,album,featured,songs,feature,album songs,1120
146,album,features,songs,feature,album songs,1120
147,album,featured,songs,feature,album songs,1120
148,album,featured,songs,feature,album songs,1120
149,album,featured,songs,feature,album songs,1120
150,album,features,songs,feature,album songs,1120
151,album,features,songs,feature,album songs,1120
152,album,features,songs,feature,album songs,1120
153,album,featured,songs,feature,album songs,1120
154,album,features,songs,feature,album songs,1120
155,album,features,songs,feature,album songs,1120
156,album,featured,songs,feature,album songs,1120
157,album,features,songs,feature,album songs,1120
158,album,features,songs,feature,album songs,1120
159,album,featured,songs,feature,album songs,1120
160,album,featured,songs,feature,album songs,1120
161,album,features,songs,feature,album songs,1120
162,album,featured,songs,feature,album songs,1120
163,album,features,songs,feature,album songs,1120
164,album,featured,songs,feature,album songs,1120
165,album,features,songs,feature,album songs,1120
166,album,features,songs,feature,album songs,1120
167,album,featured,songs,feature,album songs,1120
168,album,featured,songs,feature,album songs,1120
169,album,features,songs,feature,album songs,1120
170,album,features,songs,feature,album songs,1120
171,album,features,songs,feature,album songs,1120
172,album,features,songs,feature,album songs,1120
173,album,featured,songs,feature,album songs,1120
174,album,features,songs,feature,album songs,1120
175,album,features,songs,feature,album songs,1120
176,album,features,songs,feature,album songs,1120
177,album,features,songs,feature,album songs,1120
178,album,features,songs,feature,album songs,1120
179,album,featured,songs,feature,album songs,1120
180,album,featured,songs,feature,album songs,1120
181,album,featured,songs,feature,album songs,1120
182,album,features,songs,feature,album songs,1120
183,album,features,songs,feature,album songs,1120
184,album,featured,songs,feature,album songs,1120
185,album,features,songs,feature,album songs,1120
186,album,features,songs,feature,album songs,1120
187,album,features,songs,feature,album songs,1120
188,album,features,songs,feature,album songs,1120
189,album,features,songs,feature,album songs,1120
190,album,features,songs,feature,album songs,1120
191,album,featured,songs,feature,album songs,1120
192,album,featured,songs,feature,album songs,1120
193,album,features,songs,feature,album songs,1120
194,album,featured,songs,feature,album songs,1120
195,album,features,songs,feature,album songs,1120
196,album,features,songs,feature,album songs,1120
197,album,featured,songs,feature,album songs,1120
198,album,features,songs,feature,album songs,1120
199,album,featured,songs,feature,album songs,1120
200,album,featured,songs,feature,album songs,1120
201,album,features,songs,feature,album songs,1120
202,album,features,songs,feature,album songs,1120
203,album,features,songs,feature,album songs,1120
204,album,featured,songs,feature,album songs,1120
205,album,features,songs,feature,album songs,1120
206,album,features,songs,feature,album songs,1120
207,album,featured,songs,feature,album songs,1120
208,album,features,songs,feature,album songs,1120
209,album,features,songs,feature,album songs,1120
210,album,featured,songs,feature,album songs,1120
211,album,features,songs,feature,album songs,1120
212,album,featured,songs,feature,album songs,1120
213,album,featured,songs,feature,album songs,1120
214,album,features,songs,feature,album songs,1120
215,album,features,songs,feature,album songs,1120
216,album,features,songs,feature,album songs,1120
217,album,features,songs,feature,album songs,1120
218,album,features,songs,feature,album songs,1120
219,album,features,songs,feature,album songs,1120
220,album,featured,songs,feature,album songs,1120
221,album,features,songs,feature,album songs,1120
222,album,features,songs,feature,album songs,1120
223,album,featured,songs,feature,album songs,1120
224,album,featured,songs,feature,album songs,1120
225,album,features,songs,feature,album songs,1120
226,album,features,songs,feature,album songs,1120
227,album,featured,songs,feature,album songs,1120
228,album,features,songs,feature,album songs,1120
229,album,features,songs,feature,album songs,1120
230,album,features,songs,feature,album songs,1120
231,album,features,songs,feature,album songs,1120
232,album,features,songs,feature,album songs,1120
233,album,features,songs,feature,album songs,1120
234,album,features,songs,feature,album songs,1120
235,album,features,songs,feature,album songs,1120
236,album,featured,songs,feature,album songs,1120
237,album,features,songs,feature,album songs,1120
238,album,features,songs,feature,album songs,1120
239,album,featured,songs,feature,album songs,1120
240,album,featured,songs,feature,album songs,1120
241,album,featured,songs,feature,album songs,1120
242,album,features,songs,feature,album songs,1120
243,album,featured,songs,feature,album songs,1120
244,album,featured,songs,feature,album songs,1120
245,album,featured,songs,feature,album songs,1120
246,album,featured,songs,feature,album songs,1120
247,album,featured,songs,feature,album songs,1120
248,album,features,songs,feature,album songs,1120
249,album,features,songs,feature,album songs,1120
250,album,featured,songs,feature,album songs,1120
251,album,features,songs,feature,album songs,1120
252,album,features,songs,feature,album songs,1120
253,album,featured,songs,feature,album songs,1120
254,album,featured,songs,feature,album songs,1120
255,album,featured,songs,feature,album songs,1120
256,album,features,songs,feature,album songs,1120
257,album,features,songs,feature,album songs,1120
258,album,features,songs,feature,album songs,1120
259,album,features,songs,feature,album songs,1120
260,album,featured,songs,feature,album songs,1120
261,album,featured,songs,feature,album songs,1120
262,album,featured,songs,feature,album songs,1120
263,album,featured,songs,feature,album songs,1120
264,album,featured,songs,feature,album songs,1120
265,album,features,songs,feature,album songs,1120
266,album,features,songs,feature,album songs,1120
267,album,features,songs,feature,album songs,1120
268,album,features,songs,feature,album songs,1120
269,album,features,songs,feature,album songs,1120
270,album,features,songs,feature,album songs,1120
271,album,features,songs,feature,album songs,1120
272,album,featured,songs,feature,album songs,1120
273,album,features,songs,feature,album songs,1120
274,album,featured,songs,feature,album songs,1120
275,album,featured,songs,feature,album songs,1120
276,album,features,songs,feature,album songs,1120
277,album,features,songs,feature,album songs,1120
278,album,features,songs,feature,album songs,1120
279,album,features,songs,feature,album songs,1120
280,album,features,songs,feature,album songs,1120
281,album,features,songs,feature,album songs,1120
282,album,features,songs,feature,album songs,1120
283,album,features,songs,feature,album songs,1120
284,album,features,songs,feature,album songs,1120
285,album,features,songs,feature,album songs,1120
286,album,features,songs,feature,album songs,1120
287,album,featured,songs,feature,album songs,1120
288,album,features,songs,feature,album songs,1120
289,album,features,songs,feature,album songs,1120
290,album,features,songs,feature,album songs,1120
291,album,featured,songs,feature,album songs,1120
292,album,features,songs,feature,album songs,1120
293,album,featured,songs,feature,album songs,1120
294,album,features,songs,feature,album songs,1120
295,album,features,songs,feature,album songs,1120
296,album,featured,songs,feature,album songs,1120
297,album,features,songs,feature,album songs,1120
298,album,features,songs,feature,album songs,1120
299,album,features,songs,feature,album songs,1120
300,album,features,songs,feature,album songs,1120
301,album,features,songs,feature,album songs,1120
302,album,features,songs,feature,album songs,1120
303,album,features,songs,feature,album songs,1120
304,album,features,songs,feature,album songs,1120
305,album,featured,songs,feature,album songs,1120
306,album,featured,songs,feature,album songs,1120
307,album,features,songs,feature,album songs,1120
308,album,features,songs,feature,album songs,1120
309,album,featured,songs,feature,album songs,1120
310,album,features,songs,feature,album songs,1120
311,album,features,songs,feature,album songs,1120
312,album,features,songs,feature,album songs,1120
313,album,features,songs,feature,album songs,1120
314,album,features,songs,feature,album songs,1120
315,album,featured,songs,feature,album songs,1120
316,album,features,songs,feature,album songs,1120
317,album,features,songs,feature,album songs,1120
318,album,featured,songs,feature,album songs,1120
319,album,features,songs,feature,album songs,1120
320,album,features,songs,feature,album songs,1120
321,album,featured,songs,feature,album songs,1120
322,album,featured,songs,feature,album songs,1120
323,album,features,songs,feature,album songs,1120
324,album,featured,songs,feature,album songs,1120
325,album,features,songs,feature,album songs,1120
326,album,features,songs,feature,album songs,1120
327,album,features,songs,feature,album songs,1120
328,album,featured,songs,feature,album songs,1120
329,album,featured,songs,feature,album songs,1120
330,album,features,songs,feature,album songs,1120
331,album,features,songs,feature,album songs,1120
332,album,features,songs,feature,album songs,1120
333,album,features,songs,feature,album songs,1120
334,album,features,songs,feature,album songs,1120
335,album,featured,songs,feature,album songs,1120
336,album,featured,songs,feature,album songs,1120
337,album,features,songs,feature,album songs,1120
338,album,features,songs,feature,album songs,1120
339,album,featured,songs,feature,album songs,1120
340,album,features,songs,feature,album songs,1120
341,album,features,songs,feature,album songs,1120
342,album,features,songs,feature,album songs,1120
343,album,features,songs,feature,album songs,1120
344,album,featured,songs,feature,album songs,1120
345,album,features,songs,feature,album songs,1120
346,album,features,songs,feature,album songs,1120
347,album,features,songs,feature,album songs,1120
348,album,features,songs,feature,album songs,1120
349,album,features,songs,feature,album songs,1120
350,album,features,songs,feature,album songs,1120
351,album,features,songs,feature,album songs,1120
352,album,features,songs,feature,album songs,1120
353,album,features,songs,feature,album songs,1120
354,album,features,songs,feature,album songs,1120
355,album,features,songs,feature,album songs,1120
356,album,features,songs,feature,album songs,1120
357,album,features,songs,feature,album songs,1120
358,album,features,songs,feature,album songs,1120
359,album,features,songs,feature,album songs,1120
360,album,featured,songs,feature,album songs,1120
361,album,featured,songs,feature,album songs,1120
362,album,features,songs,feature,album songs,1120
363,album,features,songs,feature,album songs,1120
364,album,features,songs,feature,album songs,1120
365,album,featured,songs,feature,album songs,1120
366,album,featured,songs,feature,album songs,1120
367,album,features,songs,feature,album songs,1120
368,album,featured,songs,feature,album songs,1120
369,album,features,songs,feature,album songs,1120
