,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,parts,flower,chaplets,flower,parts chaplets,2
1,parts,flower,chaplets,flower,parts chaplets,2
2,plants,flower,seed,flower,plants seed,2
3,plants,flower,seed,flower,plants seed,2
4,portion,flower,bulbs,flower,portion bulbs,1
5,plants,flower,days,flower,plants days,1
6,latter,flower,pots,flower,latter pots,1
7,gown,flowered,satin,flower,gown satin,1
8,species,flower,branches,flower,species branches,1
9,effect,flower,petals,flower,effect petals,1
10,rangoli,flower,petals,flower,rangoli petals,1
11,area,flower,viewing,flower,area viewing,1
12,insects,flowered,silk,flower,insects silk,1
13,sparse,flowering,panicles,flower,sparse panicles,1
14,plants,flower,cuttings,flower,plants cuttings,1
15,plants,flower,fruits,flower,plants fruits,1
16,spikelets,flower,fruits,flower,spikelets fruits,1
17,scatters,flower,petals,flower,scatters petals,1
18,motorcade,flower,petals,flower,motorcade petals,1
19,description,flower,pots,flower,description pots,1
20,nutation,flower,petals,flower,nutation petals,1
21,persons,flowered,headdresses,flower,persons headdresses,1
22,sprinkles,flower,petals,flower,sprinkles petals,1
23,articles,flower,pots,flower,articles pots,1
24,plants,flower,necrosis,flower,plants necrosis,1
25,volunteers,flower,pots,flower,volunteers pots,1
26,flowers,flowering,progresses,flower,flowers progresses,1
27,flower,flower,patterns,flower,flower patterns,1
28,decorations,flowered,verses,flower,decorations verses,1
29,three,flowered,seeds,flower,three seeds,1
30,stenophyllus,flowered,leaved,flower,stenophyllus leaved,1
31,family,flower,compositions,flower,family compositions,1
32,trees,flower,fruit,flower,trees fruit,1
33,plants,flower,red,flower,plants red,1
34,crimson,flowered,roses,flower,crimson roses,1
35,name,flower,cyclamen,flower,name cyclamen,1
36,individuals,flower,parts,flower,individuals parts,1
37,begonias,flower,round,flower,begonias round,1
38,cultivars,flower,fruits,flower,cultivars fruits,1
39,species,flowering,rush,flower,species rush,1
40,flowers,flowered,glomerules,flower,flowers glomerules,1
41,bumper,flowering,years,flower,bumper years,1
42,visitors,flower,petals,flower,visitors petals,1
43,town,flower,camellia,flower,town camellia,1
44,things,flower,children,flower,things children,1
45,broom,flowering,gold,flower,broom gold,1
46,purplish,flowered,whorls,flower,purplish whorls,1
47,wire,flower,bulbs,flower,wire bulbs,1
48,freedom,flowered,powers,flower,freedom powers,1
49,lotus,flower,charges,flower,lotus charges,1
50,species,flower,leaves,flower,species leaves,1
51,flower,flower,abortion,flower,flower abortion,1
52,emergence,flower,pollination,flower,emergence pollination,1
53,genus,flower,spikes,flower,genus spikes,1
54,pink,flowered,lavender,flower,pink lavender,1
55,honeyeaters,flowering,woodlands,flower,honeyeaters woodlands,1
56,species,flower,flowers,flower,species flowers,1
57,food,flower,petals,flower,food petals,1
58,varieties,flower,petals,flower,varieties petals,1
59,dragon,flower,sprout,flower,dragon sprout,1
60,palm,flowered,fruit,flower,palm fruit,1
61,tree,flower,wilting,flower,tree wilting,1
62,immigrants,flower,production,flower,immigrants production,1
63,apples,flower,season,flower,apples season,1
64,shaman,flower,petals,flower,shaman petals,1
65,association,flower,growers,flower,association growers,1
66,plants,flower,flowering,flower,plants flowering,1
