,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,series,follows,adventures,follow,series adventures,687
1,series,follows,adventures,follow,series adventures,687
2,series,follows,adventures,follow,series adventures,687
3,series,follows,adventures,follow,series adventures,687
4,series,follows,adventures,follow,series adventures,687
5,series,follows,adventures,follow,series adventures,687
6,series,follows,adventures,follow,series adventures,687
7,series,follows,adventures,follow,series adventures,687
8,series,follows,adventures,follow,series adventures,687
9,series,follows,adventures,follow,series adventures,687
10,series,follows,adventures,follow,series adventures,687
11,series,follows,adventures,follow,series adventures,687
12,series,follows,adventures,follow,series adventures,687
13,series,follows,adventures,follow,series adventures,687
14,series,follows,adventures,follow,series adventures,687
15,series,follows,adventures,follow,series adventures,687
16,series,follows,adventures,follow,series adventures,687
17,series,follows,adventures,follow,series adventures,687
18,series,follows,adventures,follow,series adventures,687
19,series,follows,adventures,follow,series adventures,687
20,series,follows,adventures,follow,series adventures,687
21,series,follows,adventures,follow,series adventures,687
22,series,follows,adventures,follow,series adventures,687
23,series,follows,adventures,follow,series adventures,687
24,series,follows,adventures,follow,series adventures,687
25,series,follows,adventures,follow,series adventures,687
26,series,follows,adventures,follow,series adventures,687
27,series,follows,adventures,follow,series adventures,687
28,series,follows,adventures,follow,series adventures,687
29,series,follows,adventures,follow,series adventures,687
30,series,follows,adventures,follow,series adventures,687
31,series,follows,adventures,follow,series adventures,687
32,series,follows,adventures,follow,series adventures,687
33,series,follows,adventures,follow,series adventures,687
34,series,follows,adventures,follow,series adventures,687
35,series,follows,adventures,follow,series adventures,687
36,series,follows,adventures,follow,series adventures,687
37,series,follows,adventures,follow,series adventures,687
38,series,follows,adventures,follow,series adventures,687
39,series,follow,adventures,follow,series adventures,687
40,series,follow,adventures,follow,series adventures,687
41,series,follows,adventures,follow,series adventures,687
42,series,follows,adventures,follow,series adventures,687
43,series,follows,adventures,follow,series adventures,687
44,series,follows,adventures,follow,series adventures,687
45,series,follows,adventures,follow,series adventures,687
46,series,follows,adventures,follow,series adventures,687
47,series,follows,adventures,follow,series adventures,687
48,series,follows,adventures,follow,series adventures,687
49,series,follows,adventures,follow,series adventures,687
50,series,follows,adventures,follow,series adventures,687
51,series,follows,adventures,follow,series adventures,687
52,series,follows,adventures,follow,series adventures,687
53,series,follows,adventures,follow,series adventures,687
54,series,follows,adventures,follow,series adventures,687
55,series,follows,adventures,follow,series adventures,687
56,series,follows,adventures,follow,series adventures,687
57,series,follows,adventures,follow,series adventures,687
58,series,follows,adventures,follow,series adventures,687
59,series,follows,adventures,follow,series adventures,687
60,series,followed,adventures,follow,series adventures,687
61,series,follows,adventures,follow,series adventures,687
62,series,follows,adventures,follow,series adventures,687
63,series,follows,adventures,follow,series adventures,687
64,series,follows,adventures,follow,series adventures,687
65,series,follows,adventures,follow,series adventures,687
66,series,follows,adventures,follow,series adventures,687
67,series,follows,adventures,follow,series adventures,687
68,series,follows,adventures,follow,series adventures,687
69,series,follows,adventures,follow,series adventures,687
70,series,follows,adventures,follow,series adventures,687
71,series,follows,adventures,follow,series adventures,687
72,series,follows,adventures,follow,series adventures,687
73,series,follows,adventures,follow,series adventures,687
74,series,follows,adventures,follow,series adventures,687
75,series,follows,adventures,follow,series adventures,687
76,series,followed,adventures,follow,series adventures,687
77,series,follows,adventures,follow,series adventures,687
78,series,follows,adventures,follow,series adventures,687
79,series,follows,adventures,follow,series adventures,687
80,series,follows,adventures,follow,series adventures,687
81,series,follows,adventures,follow,series adventures,687
82,series,follows,adventures,follow,series adventures,687
83,series,follows,adventures,follow,series adventures,687
84,series,follows,adventures,follow,series adventures,687
85,series,follows,adventures,follow,series adventures,687
86,series,followed,adventures,follow,series adventures,687
87,series,follows,adventures,follow,series adventures,687
88,series,follows,adventures,follow,series adventures,687
89,series,follows,adventures,follow,series adventures,687
90,series,followed,adventures,follow,series adventures,687
91,series,follows,adventures,follow,series adventures,687
92,series,follows,adventures,follow,series adventures,687
93,series,follows,adventures,follow,series adventures,687
94,series,follows,adventures,follow,series adventures,687
95,series,follows,adventures,follow,series adventures,687
96,series,follows,adventures,follow,series adventures,687
97,series,follows,adventures,follow,series adventures,687
98,series,follows,adventures,follow,series adventures,687
99,series,follows,adventures,follow,series adventures,687
100,series,follows,adventures,follow,series adventures,687
101,series,follows,adventures,follow,series adventures,687
102,series,follows,adventures,follow,series adventures,687
103,series,follows,adventures,follow,series adventures,687
104,series,follows,adventures,follow,series adventures,687
105,series,follows,adventures,follow,series adventures,687
106,series,follows,adventures,follow,series adventures,687
107,series,follows,adventures,follow,series adventures,687
108,series,follows,adventures,follow,series adventures,687
109,series,follows,adventures,follow,series adventures,687
110,series,follows,adventures,follow,series adventures,687
111,series,follows,adventures,follow,series adventures,687
112,series,follows,adventures,follow,series adventures,687
113,series,follows,adventures,follow,series adventures,687
114,series,follows,adventures,follow,series adventures,687
115,series,follows,adventures,follow,series adventures,687
116,series,follows,adventures,follow,series adventures,687
117,series,follows,adventures,follow,series adventures,687
