,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,buildings,framed,buildings,frame,buildings buildings,24
1,buildings,framed,buildings,frame,buildings buildings,24
2,buildings,framed,buildings,frame,buildings buildings,24
3,buildings,framed,buildings,frame,buildings buildings,24
4,buildings,framed,buildings,frame,buildings buildings,24
5,buildings,framed,buildings,frame,buildings buildings,24
6,buildings,framed,buildings,frame,buildings buildings,24
7,buildings,framed,buildings,frame,buildings buildings,24
8,buildings,framed,buildings,frame,buildings buildings,24
9,buildings,framed,buildings,frame,buildings buildings,24
10,buildings,framed,buildings,frame,buildings buildings,24
11,buildings,framed,buildings,frame,buildings buildings,24
12,buildings,framed,buildings,frame,buildings buildings,24
13,buildings,framed,buildings,frame,buildings buildings,24
14,buildings,framed,buildings,frame,buildings buildings,24
15,buildings,framed,buildings,frame,buildings buildings,24
16,buildings,framed,buildings,frame,buildings buildings,24
17,buildings,framed,buildings,frame,buildings buildings,24
18,buildings,framed,buildings,frame,buildings buildings,24
19,buildings,framed,buildings,frame,buildings buildings,24
20,buildings,framed,buildings,frame,buildings buildings,24
21,buildings,framed,buildings,frame,buildings buildings,24
22,buildings,framed,buildings,frame,buildings buildings,24
23,buildings,framed,buildings,frame,buildings buildings,24
24,timber,framed,windows,frame,timber windows,19
25,timber,framed,windows,frame,timber windows,19
26,timber,framed,windows,frame,timber windows,19
27,timber,framed,windows,frame,timber windows,19
28,timber,framed,windows,frame,timber windows,19
29,timber,framed,windows,frame,timber windows,19
30,timber,framed,windows,frame,timber windows,19
31,timber,framed,windows,frame,timber windows,19
32,timber,framed,windows,frame,timber windows,19
33,timber,framed,windows,frame,timber windows,19
34,timber,framed,windows,frame,timber windows,19
35,timber,framed,windows,frame,timber windows,19
36,timber,framed,windows,frame,timber windows,19
37,timber,framed,windows,frame,timber windows,19
38,timber,framed,windows,frame,timber windows,19
39,timber,framed,windows,frame,timber windows,19
40,timber,framed,windows,frame,timber windows,19
41,timber,framed,windows,frame,timber windows,19
42,timber,framed,windows,frame,timber windows,19
43,pubs,framed,buildings,frame,pubs buildings,11
44,pubs,framed,buildings,frame,pubs buildings,11
45,pubs,framed,buildings,frame,pubs buildings,11
46,pubs,framed,buildings,frame,pubs buildings,11
47,pubs,framed,buildings,frame,pubs buildings,11
48,pubs,framed,buildings,frame,pubs buildings,11
49,pubs,framed,buildings,frame,pubs buildings,11
50,pubs,framed,buildings,frame,pubs buildings,11
51,pubs,framed,buildings,frame,pubs buildings,11
52,pubs,framed,buildings,frame,pubs buildings,11
53,pubs,framed,buildings,frame,pubs buildings,11
54,links,framed,buildings,frame,links buildings,10
55,links,framed,buildings,frame,links buildings,10
56,links,framed,buildings,frame,links buildings,10
57,links,framed,buildings,frame,links buildings,10
58,links,framed,buildings,frame,links buildings,10
59,links,framed,buildings,frame,links buildings,10
60,links,framed,buildings,frame,links buildings,10
61,links,framed,buildings,frame,links buildings,10
62,links,framed,buildings,frame,links buildings,10
63,links,framed,buildings,frame,links buildings,10
64,pubs,framed,pubs,frame,pubs pubs,6
65,pubs,framed,pubs,frame,pubs pubs,6
66,pubs,framed,pubs,frame,pubs pubs,6
67,pubs,framed,pubs,frame,pubs pubs,6
68,pubs,framed,pubs,frame,pubs pubs,6
69,pubs,framed,pubs,frame,pubs pubs,6
70,columns,frame,entrance,frame,columns entrance,5
71,columns,framed,entrance,frame,columns entrance,5
72,columns,frame,entrance,frame,columns entrance,5
73,columns,frame,entrance,frame,columns entrance,5
74,columns,frame,entrance,frame,columns entrance,5
75,steel,framed,windows,frame,steel windows,4
76,steel,framed,windows,frame,steel windows,4
77,steel,framed,windows,frame,steel windows,4
78,buildings,framed,pubs,frame,buildings pubs,4
79,buildings,framed,pubs,frame,buildings pubs,4
80,steel,framed,windows,frame,steel windows,4
81,buildings,framed,pubs,frame,buildings pubs,4
82,buildings,framed,pubs,frame,buildings pubs,4
83,portico,framed,entrance,frame,portico entrance,3
84,portico,frames,entrance,frame,portico entrance,3
85,court,frames,rules,frame,court rules,3
86,pilasters,framed,door,frame,pilasters door,3
87,entrance,framed,surround,frame,entrance surround,3
88,pilasters,frame,door,frame,pilasters door,3
89,court,framed,charges,frame,court charges,3
90,building,framed,pilasters,frame,building pilasters,3
