,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,van,glazed,van,glaze,van van,2
1,timber,glazing,doors,glaze,timber doors,2
2,interior,glazed,tile,glaze,interior tile,2
3,salt,glazed,earthenware,glaze,salt earthenware,2
4,salt,glazed,earthenware,glaze,salt earthenware,2
5,features,glazed,tiles,glaze,features tiles,2
6,van,glazed,van,glaze,van van,2
7,timber,glazed,doors,glaze,timber doors,2
8,features,glazed,tiles,glaze,features tiles,2
9,interior,glazed,tile,glaze,interior tile,2
10,details,glazed,bricks,glaze,details bricks,1
11,interior,glazed,brickwork,glaze,interior brickwork,1
12,buttresses,glazed,bricks,glaze,buttresses bricks,1
13,kiln,glazed,wares,glaze,kiln wares,1
14,windows,glazed,voussoirs,glaze,windows voussoirs,1
15,diamond,glazed,windows,glaze,diamond windows,1
16,arches,glazed,voussoirs,glaze,arches voussoirs,1
17,rooms,glazed,opening,glaze,rooms opening,1
18,rows,glazed,voussoirs,glaze,rows voussoirs,1
19,piazza,glazed,doors,glaze,piazza doors,1
20,firing,glaze,firing,glaze,firing firing,1
21,salt,glazed,goods,glaze,salt goods,1
22,wall,glazed,fanlights,glaze,wall fanlights,1
23,pattern,glazed,tile,glaze,pattern tile,1
24,architecture,glazed,ceramics,glaze,architecture ceramics,1
25,building,glazed,facades,glaze,building facades,1
26,building,glazed,brick,glaze,building brick,1
27,use,glazed,tiles,glaze,use tiles,1
28,museum,glazed,tiles,glaze,museum tiles,1
29,form,glazed,walls,glaze,form walls,1
30,pair,glazed,doors,glaze,pair doors,1
31,one,glazed,top,glaze,one top,1
32,crystalline,glazed,porcelain,glaze,crystalline porcelain,1
33,architecture,glazed,atriums,glaze,architecture atriums,1
34,facade,glazed,tiles,glaze,facade tiles,1
35,book,glaze,window,glaze,book window,1
36,featured,glazed,windows,glaze,featured windows,1
37,pilasters,glazed,sashes,glaze,pilasters sashes,1
38,drip,glazed,wares,glaze,drip wares,1
39,use,glazed,terracotta,glaze,use terracotta,1
40,leaded,glazed,windows,glaze,leaded windows,1
41,pilasters,glazed,windows,glaze,pilasters windows,1
42,daylight,glazed,fanlights,glaze,daylight fanlights,1
43,facade,glazed,wall,glaze,facade wall,1
44,house,glazed,doors,glaze,house doors,1
45,use,glazed,ceramics,glaze,use ceramics,1
46,one,glazed,wool,glaze,one wool,1
47,joinery,glazed,doors,glaze,joinery doors,1
48,jars,glazed,portion,glaze,jars portion,1
49,faced,glazed,terracotta,glaze,faced terracotta,1
50,tower,glazed,windows,glaze,tower windows,1
51,relics,glazed,plates,glaze,relics plates,1
52,consists,glazed,sashes,glaze,consists sashes,1
53,construction,glazed,partition,glaze,construction partition,1
54,building,glazed,sidelights,glaze,building sidelights,1
55,stair,glazed,doors,glaze,stair doors,1
56,works,glazed,facades,glaze,works facades,1
57,wards,glazed,walling,glaze,wards walling,1
58,colored,glazed,cotta,glaze,colored cotta,1
59,triangular,glazed,openings,glaze,triangular openings,1
60,building,glazed,floors,glaze,building floors,1
61,links,glazed,bricks,glaze,links bricks,1
62,exterior,glazed,white,glaze,exterior white,1
63,pilasters,glazed,terracotta,glaze,pilasters terracotta,1
64,series,glazed,doors,glaze,series doors,1
65,sets,glazed,doors,glaze,sets doors,1
66,half,glazed,doors,glaze,half doors,1
67,timber,glazed,windows,glaze,timber windows,1
68,successor,glazed,colors,glaze,successor colors,1
69,surrounds,glazed,terracotta,glaze,surrounds terracotta,1
70,terracotta,glazed,grey,glaze,terracotta grey,1
71,sash,glazed,windows,glaze,sash windows,1
72,consist,glazed,jugs,glaze,consist jugs,1
73,firm,glazed,terracotta,glaze,firm terracotta,1
74,lines,glazed,earthenwares,glaze,lines earthenwares,1
75,terms,glazed,composition,glaze,terms composition,1
76,bay,glazed,panels,glaze,bay panels,1
77,pottery,glazed,plaques,glaze,pottery plaques,1
78,stencil,glazed,paper,glaze,stencil paper,1
79,present,glazed,porch,glaze,present porch,1
80,colours,glaze,technique,glaze,colours technique,1
81,oven,glazed,porcelain,glaze,oven porcelain,1
82,products,glazed,nuts,glaze,products nuts,1
83,features,glazed,wall,glaze,features wall,1
84,entrances,glazed,panels,glaze,entrances panels,1
85,elevations,glazed,blocks,glaze,elevations blocks,1
86,features,glazed,cotta,glaze,features cotta,1
87,method,glazed,ware,glaze,method ware,1
88,figurines,glazed,earthenware,glaze,figurines earthenware,1
89,aluminium,glazed,doors,glaze,aluminium doors,1
90,glass,glaze,cathedral,glaze,glass cathedral,1
91,creators,glazed,wares,glaze,creators wares,1
92,tests,glazed,cockpit,glaze,tests cockpit,1
93,verandas,glazed,features,glaze,verandas features,1
94,interiors,glazed,bricks,glaze,interiors bricks,1
95,red,glazed,terracotta,glaze,red terracotta,1
96,panel,glazed,nose,glaze,panel nose,1
97,south,glazed,side,glaze,south side,1
98,amphorae,glazed,pottery,glaze,amphorae pottery,1
99,salt,glazed,surface,glaze,salt surface,1
100,front,glazing,all,glaze,front all,1
101,works,glazed,staircase,glaze,works staircase,1
102,plant,glazed,pots,glaze,plant pots,1
103,matte,glazed,works,glaze,matte works,1
104,building,glazed,faience,glaze,building faience,1
105,parts,glazed,ceramics,glaze,parts ceramics,1
106,ventilation,glazed,doors,glaze,ventilation doors,1
107,production,glazed,ware,glaze,production ware,1
108,company,glazed,tiles,glaze,company tiles,1
109,pieces,glazed,pieces,glaze,pieces pieces,1
110,fine,glazed,wares,glaze,fine wares,1
111,pair,glazed,urns,glaze,pair urns,1
112,masters,glazed,windows,glaze,masters windows,1
113,modifications,glazed,additions,glaze,modifications additions,1
114,balconies,glazed,balustrades,glaze,balconies balustrades,1
115,contains,glazed,tiles,glaze,contains tiles,1
116,handmade,glazed,tiles,glaze,handmade tiles,1
117,portholes,glazed,glass,glaze,portholes glass,1
118,buildings,glazed,tiles,glaze,buildings tiles,1
119,floors,glazed,windows,glaze,floors windows,1
120,sneaks,glazed,donuts,glaze,sneaks donuts,1
121,ornamental,glazed,brickwork,glaze,ornamental brickwork,1
122,contains,glazed,headers,glaze,contains headers,1
123,alkaline,glazed,stoneware,glaze,alkaline stoneware,1
124,salt,glazed,vessels,glaze,salt vessels,1
125,people,glazing,potteries,glaze,people potteries,1
126,salt,glazed,pottery,glaze,salt pottery,1
127,rear,glazed,bulbs,glaze,rear bulbs,1
128,二本松万古焼,glazed,pottery,glaze,二本松万古焼 pottery,1
129,natives,glazed,quartzite,glaze,natives quartzite,1
130,building,glazed,windows,glaze,building windows,1
131,grey,glazed,roof,glaze,grey roof,1
132,caramel,glazed,top,glaze,caramel top,1
133,house,glazed,decoration,glaze,house decoration,1
