,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,individual,grooming,another,groom,individual another,2
1,incumbent,grooming,successor,groom,incumbent successor,2
2,incumbent,grooming,successor,groom,incumbent successor,2
3,individual,grooming,another,groom,individual another,2
4,ants,groomed,grits,groom,ants grits,1
5,beauty,groomed,journey,groom,beauty journey,1
6,infants,groomed,storks,groom,infants storks,1
7,ritual,groom,mouthfuls,groom,ritual mouthfuls,1
8,prawns,groom,antennae,groom,prawns antennae,1
9,males,groom,eggs,groom,males eggs,1
10,mother,grooms,infant,groom,mother infant,1
11,reverence,groomed,way,groom,reverence way,1
12,crew,groom,yard,groom,crew yard,1
13,apes,groom,conspecifics,groom,apes conspecifics,1
14,pair,grooms,one,groom,pair one,1
15,snowcats,groom,trail,groom,snowcats trail,1
16,studios,groomed,stars,groom,studios stars,1
17,nestmates,groom,ant,groom,nestmates ant,1
18,fellows,groomed,groom,groom,fellows groom,1
19,father,groomed,jobs,groom,father jobs,1
20,male,grooms,antennae,groom,male antennae,1
21,men,groom,girls,groom,men girls,1
22,individuals,groom,another,groom,individuals another,1
23,men,groomed,children,groom,men children,1
24,hobby,grooming,mustache,groom,hobby mustache,1
25,artists,groomed,team,groom,artists team,1
26,male,groom,ears,groom,male ears,1
27,institute,grooms,women,groom,institute women,1
28,earwig,grooms,eggs,groom,earwig eggs,1
29,group,groomed,chimpanzee,groom,group chimpanzee,1
30,ploughboys,groom,horses,groom,ploughboys horses,1
31,perpetrators,groomed,families,groom,perpetrators families,1
32,men,groomed,victims,groom,men victims,1
33,women,groomed,use,groom,women use,1
34,mother,grooms,young,groom,mother young,1
35,father,groom,estate,groom,father estate,1
36,resort,grooms,trail,groom,resort trail,1
37,females,groom,one,groom,females one,1
38,driver,grooms,horses,groom,driver horses,1
39,macaques,groom,females,groom,macaques females,1
40,females,groom,impalas,groom,females impalas,1
41,partner,grooms,times,groom,partner times,1
42,mother,grooms,offspring,groom,mother offspring,1
43,club,groomed,talents,groom,club talents,1
44,adults,groom,juveniles,groom,adults juveniles,1
45,species,groom,genitals,groom,species genitals,1
46,females,groom,offspring,groom,females offspring,1
47,predator,grooms,prey,groom,predator prey,1
48,lorises,groom,young,groom,lorises young,1
49,subordinates,groom,superiors,groom,subordinates superiors,1
50,groomer,grooms,first,groom,groomer first,1
51,males,groom,individuals,groom,males individuals,1
52,men,groom,chests,groom,men chests,1
53,stranger,grooms,child,groom,stranger child,1
54,males,groomed,females,groom,males females,1
55,areas,groomed,grooming,groom,areas grooming,1
56,cat,grooms,cat,groom,cat cat,1
57,process,grooming,nephew,groom,process nephew,1
58,juveniles,groom,adults,groom,juveniles adults,1
59,mother,groomed,daughter,groom,mother daughter,1
60,females,groom,individuals,groom,females individuals,1
61,individuals,grooming,subordinates,groom,individuals subordinates,1
62,mothers,groom,young,groom,mothers young,1
63,haired,groom,lift,groom,haired lift,1
64,cats,groom,ticks,groom,cats ticks,1
65,ant,grooms,leg,groom,ant leg,1
66,teachers,grooming,relationships,groom,teachers relationships,1
67,pair,groomed,boy,groom,pair boy,1
