,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,weight,hangs,cable,hang,weight cable,6
1,weight,hangs,cable,hang,weight cable,6
2,weight,hangs,cable,hang,weight cable,6
3,weight,hangs,cable,hang,weight cable,6
4,weight,hangs,cable,hang,weight cable,6
5,weight,hangs,cable,hang,weight cable,6
6,group,hung,banner,hang,group banner,4
7,activists,hung,banners,hang,activists banners,4
8,paintings,hung,side,hang,paintings side,4
9,activists,hung,banners,hang,activists banners,4
10,paintings,hang,side,hang,paintings side,4
11,group,hung,banner,hang,group banner,4
12,paintings,hang,side,hang,paintings side,4
13,paintings,hang,side,hang,paintings side,4
14,activists,hung,banners,hang,activists banners,4
15,group,hung,banner,hang,group banner,4
16,activists,hung,banners,hang,activists banners,4
17,group,hung,banner,hang,group banner,4
18,crowd,hanged,effigies,hang,crowd effigies,3
19,parents,hung,placards,hang,parents placards,3
20,bell,hangs,fairlead,hang,bell fairlead,3
21,route,hangs,left,hang,route left,3
22,bell,hangs,fairlead,hang,bell fairlead,3
23,students,hung,banners,hang,students banners,3
24,joke,hung,copy,hang,joke copy,3
25,route,hangs,left,hang,route left,3
26,activists,hung,banner,hang,activists banner,3
27,activists,hung,banner,hang,activists banner,3
28,peace,hanged,armatoles,hang,peace armatoles,3
29,peace,hanged,armatoles,hang,peace armatoles,3
30,peace,hanged,armatoles,hang,peace armatoles,3
31,joke,hung,copy,hang,joke copy,3
32,route,hangs,left,hang,route left,3
33,joke,hung,copy,hang,joke copy,3
34,crowd,hanged,effigies,hang,crowd effigies,3
35,crowd,hanged,effigies,hang,crowd effigies,3
36,children,hang,stockings,hang,children stockings,3
37,activists,hung,banner,hang,activists banner,3
38,bell,hangs,fairlead,hang,bell fairlead,3
39,parents,hung,placards,hang,parents placards,3
40,children,hanging,stockings,hang,children stockings,3
41,parents,hung,placards,hang,parents placards,3
42,students,hung,banners,hang,students banners,3
43,students,hung,banners,hang,students banners,3
44,children,hanging,stockings,hang,children stockings,3
45,band,hanging,time,hang,band time,2
46,tip,hangs,cut,hang,tip cut,2
47,yogi,hangs,picture,hang,yogi picture,2
48,people,hung,limbs,hang,people limbs,2
49,band,hung,flags,hang,band flags,2
50,both,hang,liking,hang,both liking,2
51,band,hanging,time,hang,band time,2
52,father,hung,picture,hang,father picture,2
53,woman,hanged,men,hang,woman men,2
54,monks,hanging,washing,hang,monks washing,2
55,transgression,hung,punishment,hang,transgression punishment,2
56,players,hung,jerseys,hang,players jerseys,2
57,transgression,hung,punishment,hang,transgression punishment,2
58,fans,hanged,effigy,hang,fans effigy,2
59,tip,hangs,cut,hang,tip cut,2
60,flowers,hanging,pendent,hang,flowers pendent,2
