,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,locomotive,hauling,train,haul,locomotive train,11
1,locomotive,hauled,train,haul,locomotive train,11
2,locomotive,hauled,train,haul,locomotive train,11
3,locomotive,hauled,train,haul,locomotive train,11
4,locomotive,hauled,train,haul,locomotive train,11
5,locomotive,hauled,train,haul,locomotive train,11
6,locomotive,hauling,train,haul,locomotive train,11
7,locomotive,hauled,train,haul,locomotive train,11
8,locomotive,hauls,train,haul,locomotive train,11
9,locomotive,hauled,train,haul,locomotive train,11
10,locomotive,hauled,train,haul,locomotive train,11
11,locomotives,hauling,carriages,haul,locomotives carriages,10
12,locomotives,hauled,carriages,haul,locomotives carriages,10
13,locomotives,hauling,carriages,haul,locomotives carriages,10
14,locomotives,hauling,carriages,haul,locomotives carriages,10
15,locomotives,hauling,carriages,haul,locomotives carriages,10
16,locomotives,haul,carriages,haul,locomotives carriages,10
17,locomotives,hauling,carriages,haul,locomotives carriages,10
18,locomotives,hauling,carriages,haul,locomotives carriages,10
19,locomotives,haul,carriages,haul,locomotives carriages,10
20,locomotives,hauled,carriages,haul,locomotives carriages,10
21,locomotives,hauled,trains,haul,locomotives trains,9
22,locomotives,hauled,trains,haul,locomotives trains,9
23,locomotives,hauled,trains,haul,locomotives trains,9
24,locomotives,hauled,trains,haul,locomotives trains,9
25,locomotives,hauled,trains,haul,locomotives trains,9
26,locomotives,haul,trains,haul,locomotives trains,9
27,locomotives,hauled,trains,haul,locomotives trains,9
28,locomotives,hauled,trains,haul,locomotives trains,9
29,locomotives,hauled,trains,haul,locomotives trains,9
30,locomotives,hauled,train,haul,locomotives train,6
31,railroad,hauls,carloads,haul,railroad carloads,6
32,railroad,hauls,carloads,haul,railroad carloads,6
33,railroad,hauled,carloads,haul,railroad carloads,6
34,locomotives,hauled,train,haul,locomotives train,6
35,railroad,hauls,carloads,haul,railroad carloads,6
36,locomotives,hauled,train,haul,locomotives train,6
37,railroad,hauls,carloads,haul,railroad carloads,6
38,railroad,hauled,carloads,haul,railroad carloads,6
39,locomotives,hauled,train,haul,locomotives train,6
40,locomotives,haul,train,haul,locomotives train,6
41,locomotives,hauled,train,haul,locomotives train,6
42,shed,hauls,train,haul,shed train,5
43,shed,hauls,train,haul,shed train,5
44,shed,hauls,train,haul,shed train,5
45,shed,hauls,train,haul,shed train,5
46,shed,hauls,train,haul,shed train,5
47,loco,hauled,trains,haul,loco trains,3
48,railroad,hauled,logs,haul,railroad logs,3
49,engine,hauled,train,haul,engine train,3
50,loco,hauled,trains,haul,loco trains,3
51,steam,hauled,train,haul,steam train,3
52,steam,hauled,train,haul,steam train,3
53,steam,hauled,trains,haul,steam trains,3
54,loco,hauled,trains,haul,loco trains,3
55,steam,hauled,trains,haul,steam trains,3
56,bodies,hauled,military,haul,bodies military,3
57,fishermen,hauling,catch,haul,fishermen catch,3
58,fishermen,haul,catch,haul,fishermen catch,3
59,steam,hauled,trains,haul,steam trains,3
60,bodies,hauled,military,haul,bodies military,3
61,steam,hauled,train,haul,steam train,3
62,engine,hauled,train,haul,engine train,3
63,fishermen,haul,catch,haul,fishermen catch,3
64,railroad,hauled,logs,haul,railroad logs,3
65,engine,hauled,train,haul,engine train,3
66,railroad,hauled,logs,haul,railroad logs,3
67,bodies,hauled,military,haul,bodies military,3
68,residents,haul,water,haul,residents water,2
69,brig,hauled,colours,haul,brig colours,2
70,party,hauled,sledge,haul,party sledge,2
71,line,hauled,tons,haul,line tons,2
72,engine,hauling,trains,haul,engine trains,2
73,pair,hauled,train,haul,pair train,2
74,nets,hauled,hand,haul,nets hand,2
75,group,hauled,freight,haul,group freight,2
