,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,men,herded,cattle,herd,men cattle,5
1,men,herded,cattle,herd,men cattle,5
2,men,herd,cattle,herd,men cattle,5
3,men,herded,cattle,herd,men cattle,5
4,men,herding,cattle,herd,men cattle,5
5,cattle,herding,peoples,herd,cattle peoples,2
6,reindeer,herding,districts,herd,reindeer districts,2
7,cattle,herded,gardians,herd,cattle gardians,2
8,boy,herding,cattle,herd,boy cattle,2
9,boy,herding,cattle,herd,boy cattle,2
10,reindeer,herding,districts,herd,reindeer districts,2
11,cowboys,herded,cattle,herd,cowboys cattle,2
12,cattle,herded,gardians,herd,cattle gardians,2
13,cattle,herding,peoples,herd,cattle peoples,2
14,cowboys,herd,cattle,herd,cowboys cattle,2
15,women,herd,flocks,herd,women flocks,1
16,racers,herd,animal,herd,racers animal,1
17,officials,herded,villagers,herd,officials villagers,1
18,gunmen,herded,families,herd,gunmen families,1
19,troops,herded,garrison,herd,troops garrison,1
20,wives,herded,goats,herd,wives goats,1
21,speakers,herd,cattle,herd,speakers cattle,1
22,predictions,herding,societies,herd,predictions societies,1
23,horsemen,herded,garrison,herd,horsemen garrison,1
24,steppe,herding,societies,herd,steppe societies,1
25,gunmen,herded,patients,herd,gunmen patients,1
26,grandmother,herding,sheep,herd,grandmother sheep,1
27,contestant,herding,calves,herd,contestant calves,1
28,families,herd,yaks,herd,families yaks,1
29,campinos,herd,bull,herd,campinos bull,1
30,men,herded,males,herd,men males,1
31,rats,herded,pups,herd,rats pups,1
32,villagers,herding,livestock,herd,villagers livestock,1
33,settlers,herded,swine,herd,settlers swine,1
34,sheep,herding,activity,herd,sheep activity,1
35,victims,herded,cliffs,herd,victims cliffs,1
36,cattle,herding,caste,herd,cattle caste,1
37,robbers,herded,people,herd,robbers people,1
38,marshals,herded,accused,herd,marshals accused,1
39,sheepdogs,herded,ducks,herd,sheepdogs ducks,1
40,reindeer,herding,nomads,herd,reindeer nomads,1
41,group,herded,cattle,herd,group cattle,1
42,reindeer,herding,groups,herd,reindeer groups,1
43,ants,herd,aphids,herd,ants aphids,1
44,group,herded,players,herd,group players,1
45,reindeer,herding,family,herd,reindeer family,1
46,slaves,herded,citizens,herd,slaves citizens,1
47,police,herded,group,herd,police group,1
48,experience,herding,cattle,herd,experience cattle,1
49,shepherd,herding,sheep,herd,shepherd sheep,1
50,man,herds,sheep,herd,man sheep,1
51,herdsmen,herd,species,herd,herdsmen species,1
52,inhabitants,herded,plots,herd,inhabitants plots,1
53,inmates,herded,guards,herd,inmates guards,1
54,men,herd,women,herd,men women,1
55,father,herded,yaks,herd,father yaks,1
56,shepherds,herded,sheep,herd,shepherds sheep,1
57,men,herd,stallions,herd,men stallions,1
58,wardens,herded,people,herd,wardens people,1
59,police,herded,everyone,herd,police everyone,1
60,cattlemen,herded,cattle,herd,cattlemen cattle,1
61,city,herding,lives,herd,city lives,1
62,cattle,herding,males,herd,cattle males,1
63,militants,herded,captives,herd,militants captives,1
64,soldiers,herding,horses,herd,soldiers horses,1
65,protectors,herding,communities,herd,protectors communities,1
66,residents,herd,livestock,herd,residents livestock,1
67,multitudes,herded,thousands,herd,multitudes thousands,1
68,dolphins,herd,dolphins,herd,dolphins dolphins,1
69,sheep,herding,horsemanship,herd,sheep horsemanship,1
70,men,herd,flocks,herd,men flocks,1
71,farmers,herding,animals,herd,farmers animals,1
72,people,herding,animals,herd,people animals,1
73,sons,herded,horses,herd,sons horses,1
74,farmers,herded,livestock,herd,farmers livestock,1
75,levels,herd,immunity,herd,levels immunity,1
76,reindeer,herding,peoples,herd,reindeer peoples,1
77,camel,herding,nomadism,herd,camel nomadism,1
78,group,herding,prey,herd,group prey,1
79,sailors,herded,hundreds,herd,sailors hundreds,1
80,father,herd,sheep,herd,father sheep,1
81,boys,herded,cattle,herd,boys cattle,1
82,workers,herded,pigs,herd,workers pigs,1
83,sheep,herding,enterprises,herd,sheep enterprises,1
84,police,herded,most,herd,police most,1
85,work,herding,livestock,herd,work livestock,1
86,soldiers,herded,people,herd,soldiers people,1
87,time,herded,villagers,herd,time villagers,1
88,drovers,herded,cattle,herd,drovers cattle,1
89,reindeer,herding,occupation,herd,reindeer occupation,1
90,cow,herding,boy,herd,cow boy,1
91,alpine,herding,camp,herd,alpine camp,1
92,alpine,herding,settlement,herd,alpine settlement,1
93,breed,herded,horses,herd,breed horses,1
94,alpine,herding,villages,herd,alpine villages,1
95,alpine,herding,timber,herd,alpine timber,1
96,troops,herded,people,herd,troops people,1
97,one,herd,bubbles,herd,one bubbles,1
98,soldiers,herding,victims,herd,soldiers victims,1
99,men,herd,everyone,herd,men everyone,1
100,decoyman,herded,birds,herd,decoyman birds,1
101,person,herding,goats,herd,person goats,1
102,father,herding,goats,herd,father goats,1
103,guards,herd,children,herd,guards children,1
