,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,windows,illuminate,interior,illuminate,windows interior,8
1,windows,illuminate,interior,illuminate,windows interior,8
2,windows,illuminated,interior,illuminate,windows interior,8
3,windows,illuminated,interior,illuminate,windows interior,8
4,windows,illuminate,interior,illuminate,windows interior,8
5,windows,illuminate,interior,illuminate,windows interior,8
6,windows,illuminate,interior,illuminate,windows interior,8
7,windows,illuminate,interior,illuminate,windows interior,8
8,light,illuminates,area,illuminate,light area,3
9,discovery,illuminates,behaviour,illuminate,discovery behaviour,3
10,discovery,illuminates,behaviour,illuminate,discovery behaviour,3
11,light,illuminates,area,illuminate,light area,3
12,discovery,illuminates,behaviour,illuminate,discovery behaviour,3
13,letters,illuminate,life,illuminate,letters life,3
14,letters,illuminate,life,illuminate,letters life,3
15,letters,illuminate,life,illuminate,letters life,3
16,light,illuminates,area,illuminate,light area,3
17,radar,illuminates,target,illuminate,radar target,3
18,radar,illuminates,target,illuminate,radar target,3
19,radar,illuminates,target,illuminate,radar target,3
20,novel,illuminates,racism,illuminate,novel racism,2
21,light,illuminated,grating,illuminate,light grating,2
22,light,illuminates,grating,illuminate,light grating,2
23,role,illuminates,role,illuminate,role role,2
24,moonlight,illuminating,faces,illuminate,moonlight faces,2
25,warships,illuminated,trawlers,illuminate,warships trawlers,2
26,sun,illuminates,shadows,illuminate,sun shadows,2
27,rays,illuminate,earth,illuminate,rays earth,2
28,decorations,illuminated,night,illuminate,decorations night,2
29,bomber,illuminated,searchlight,illuminate,bomber searchlight,2
30,flash,illuminated,object,illuminate,flash object,2
31,ways,illuminates,use,illuminate,ways use,2
32,ways,illuminates,use,illuminate,ways use,2
33,warships,illuminated,trawlers,illuminate,warships trawlers,2
34,novel,illuminates,racism,illuminate,novel racism,2
35,decorations,illuminated,night,illuminate,decorations night,2
36,sun,illuminates,paintings,illuminate,sun paintings,2
37,searchlights,illuminated,sky,illuminate,searchlights sky,2
38,lights,illuminate,scene,illuminate,lights scene,2
39,scope,illuminates,dialogues,illuminate,scope dialogues,2
40,searchlights,illuminate,sky,illuminate,searchlights sky,2
41,moonlight,illuminating,faces,illuminate,moonlight faces,2
42,sun,illuminated,scene,illuminate,sun scene,2
43,headlights,illuminate,scene,illuminate,headlights scene,2
44,manuscripts,illuminated,monks,illuminate,manuscripts monks,2
45,colours,illuminate,altar,illuminate,colours altar,2
46,lamp,illuminated,area,illuminate,lamp area,2
47,letters,illuminate,aspects,illuminate,letters aspects,2
48,lightning,illuminated,skies,illuminate,lightning skies,2
49,historians,illuminated,abolition,illuminate,historians abolition,2
50,lights,illuminate,exterior,illuminate,lights exterior,2
51,bomber,illuminated,searchlight,illuminate,bomber searchlight,2
52,work,illuminates,past,illuminate,work past,2
53,role,illuminates,role,illuminate,role role,2
54,flash,illuminates,object,illuminate,flash object,2
55,lightning,illuminates,skies,illuminate,lightning skies,2
56,writing,illuminates,lives,illuminate,writing lives,2
57,writing,illuminates,lives,illuminate,writing lives,2
58,lights,illuminate,scene,illuminate,lights scene,2
59,lights,illuminate,exterior,illuminate,lights exterior,2
60,arches,illuminated,thoroughfare,illuminate,arches thoroughfare,2
61,letters,illuminate,aspects,illuminate,letters aspects,2
62,work,illuminates,past,illuminate,work past,2
63,sun,illuminates,paintings,illuminate,sun paintings,2
64,sun,illuminating,scene,illuminate,sun scene,2
65,series,illuminate,style,illuminate,series style,2
66,windows,illuminate,room,illuminate,windows room,2
67,series,illuminate,style,illuminate,series style,2
68,sun,illuminates,shadows,illuminate,sun shadows,2
69,signing,illuminated,disorder,illuminate,signing disorder,2
70,historians,illuminated,abolition,illuminate,historians abolition,2
71,signing,illuminated,disorder,illuminate,signing disorder,2
72,rays,illuminate,earth,illuminate,rays earth,2
73,lifetime,illuminates,conditions,illuminate,lifetime conditions,2
74,lifetime,illuminates,conditions,illuminate,lifetime conditions,2
75,manuscripts,illuminated,monks,illuminate,manuscripts monks,2
76,arches,illuminated,thoroughfare,illuminate,arches thoroughfare,2
