,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,text,indicates,round,indicate,text round,1602
1,text,indicates,round,indicate,text round,1602
2,text,indicates,round,indicate,text round,1602
3,text,indicates,round,indicate,text round,1602
4,text,indicates,round,indicate,text round,1602
5,text,indicates,round,indicate,text round,1602
6,text,indicates,round,indicate,text round,1602
7,text,indicates,round,indicate,text round,1602
8,text,indicates,round,indicate,text round,1602
9,text,indicates,round,indicate,text round,1602
10,text,indicates,round,indicate,text round,1602
11,text,indicates,round,indicate,text round,1602
12,text,indicates,round,indicate,text round,1602
13,text,indicates,round,indicate,text round,1602
14,text,indicates,round,indicate,text round,1602
15,text,indicates,round,indicate,text round,1602
16,text,indicates,round,indicate,text round,1602
17,text,indicates,round,indicate,text round,1602
18,text,indicates,round,indicate,text round,1602
19,text,indicates,round,indicate,text round,1602
20,text,indicates,round,indicate,text round,1602
21,text,indicates,round,indicate,text round,1602
22,text,indicates,round,indicate,text round,1602
23,text,indicates,round,indicate,text round,1602
24,text,indicates,round,indicate,text round,1602
25,text,indicates,round,indicate,text round,1602
26,text,indicates,round,indicate,text round,1602
27,text,indicates,round,indicate,text round,1602
28,text,indicates,round,indicate,text round,1602
29,text,indicates,round,indicate,text round,1602
30,text,indicates,round,indicate,text round,1602
31,text,indicates,round,indicate,text round,1602
32,text,indicates,round,indicate,text round,1602
33,text,indicates,round,indicate,text round,1602
34,text,indicates,round,indicate,text round,1602
35,text,indicates,round,indicate,text round,1602
36,text,indicates,round,indicate,text round,1602
37,text,indicates,round,indicate,text round,1602
38,text,indicates,round,indicate,text round,1602
39,text,indicates,round,indicate,text round,1602
40,text,indicates,round,indicate,text round,1602
41,text,indicates,round,indicate,text round,1602
42,text,indicates,round,indicate,text round,1602
43,text,indicates,round,indicate,text round,1602
44,text,indicates,round,indicate,text round,1602
45,text,indicates,round,indicate,text round,1602
46,text,indicates,round,indicate,text round,1602
47,text,indicates,round,indicate,text round,1602
48,text,indicates,round,indicate,text round,1602
49,text,indicates,round,indicate,text round,1602
50,text,indicates,round,indicate,text round,1602
51,text,indicates,round,indicate,text round,1602
52,text,indicates,round,indicate,text round,1602
53,text,indicates,round,indicate,text round,1602
54,text,indicates,round,indicate,text round,1602
55,text,indicates,round,indicate,text round,1602
56,text,indicates,round,indicate,text round,1602
57,text,indicates,round,indicate,text round,1602
58,text,indicates,round,indicate,text round,1602
59,text,indicates,round,indicate,text round,1602
60,text,indicates,round,indicate,text round,1602
61,text,indicates,round,indicate,text round,1602
62,text,indicates,round,indicate,text round,1602
63,text,indicates,round,indicate,text round,1602
64,text,indicates,round,indicate,text round,1602
65,text,indicates,round,indicate,text round,1602
66,text,indicates,round,indicate,text round,1602
67,text,indicates,round,indicate,text round,1602
68,text,indicates,round,indicate,text round,1602
69,text,indicates,round,indicate,text round,1602
70,text,indicates,round,indicate,text round,1602
71,text,indicates,round,indicate,text round,1602
72,text,indicates,round,indicate,text round,1602
73,text,indicates,round,indicate,text round,1602
74,text,indicates,round,indicate,text round,1602
75,text,indicates,round,indicate,text round,1602
76,text,indicates,round,indicate,text round,1602
77,text,indicates,round,indicate,text round,1602
78,text,indicates,round,indicate,text round,1602
79,text,indicates,round,indicate,text round,1602
80,text,indicates,round,indicate,text round,1602
81,text,indicates,round,indicate,text round,1602
82,text,indicates,round,indicate,text round,1602
83,text,indicates,round,indicate,text round,1602
84,text,indicates,round,indicate,text round,1602
85,text,indicates,round,indicate,text round,1602
86,text,indicates,round,indicate,text round,1602
87,text,indicates,round,indicate,text round,1602
88,text,indicates,round,indicate,text round,1602
89,text,indicates,round,indicate,text round,1602
90,text,indicates,round,indicate,text round,1602
91,text,indicates,round,indicate,text round,1602
92,text,indicates,round,indicate,text round,1602
93,text,indicates,round,indicate,text round,1602
94,text,indicates,round,indicate,text round,1602
95,text,indicates,round,indicate,text round,1602
96,text,indicates,round,indicate,text round,1602
97,text,indicates,round,indicate,text round,1602
98,text,indicates,round,indicate,text round,1602
99,text,indicates,round,indicate,text round,1602
100,text,indicates,round,indicate,text round,1602
101,text,indicates,round,indicate,text round,1602
102,text,indicates,round,indicate,text round,1602
103,text,indicates,round,indicate,text round,1602
104,text,indicates,round,indicate,text round,1602
105,text,indicates,round,indicate,text round,1602
106,text,indicates,round,indicate,text round,1602
107,text,indicates,round,indicate,text round,1602
108,text,indicates,round,indicate,text round,1602
109,text,indicates,round,indicate,text round,1602
110,text,indicates,round,indicate,text round,1602
111,text,indicates,round,indicate,text round,1602
112,text,indicates,round,indicate,text round,1602
113,text,indicates,round,indicate,text round,1602
114,text,indicates,round,indicate,text round,1602
115,text,indicates,round,indicate,text round,1602
116,text,indicates,round,indicate,text round,1602
117,text,indicates,round,indicate,text round,1602
118,text,indicates,round,indicate,text round,1602
119,text,indicates,round,indicate,text round,1602
120,text,indicates,round,indicate,text round,1602
121,text,indicates,round,indicate,text round,1602
122,text,indicates,round,indicate,text round,1602
123,text,indicates,round,indicate,text round,1602
124,text,indicates,round,indicate,text round,1602
125,text,indicates,round,indicate,text round,1602
126,text,indicates,round,indicate,text round,1602
127,text,indicates,round,indicate,text round,1602
128,text,indicates,round,indicate,text round,1602
129,text,indicates,round,indicate,text round,1602
130,text,indicates,round,indicate,text round,1602
131,text,indicates,round,indicate,text round,1602
132,text,indicates,round,indicate,text round,1602
133,text,indicates,round,indicate,text round,1602
134,text,indicates,round,indicate,text round,1602
135,text,indicates,round,indicate,text round,1602
136,text,indicates,round,indicate,text round,1602
137,text,indicates,round,indicate,text round,1602
138,text,indicates,round,indicate,text round,1602
139,text,indicates,round,indicate,text round,1602
140,text,indicates,round,indicate,text round,1602
141,text,indicates,round,indicate,text round,1602
142,text,indicates,round,indicate,text round,1602
143,text,indicates,round,indicate,text round,1602
144,text,indicates,round,indicate,text round,1602
145,text,indicates,round,indicate,text round,1602
146,text,indicates,round,indicate,text round,1602
147,text,indicates,round,indicate,text round,1602
148,text,indicates,round,indicate,text round,1602
149,text,indicates,round,indicate,text round,1602
150,text,indicates,round,indicate,text round,1602
151,text,indicates,round,indicate,text round,1602
152,text,indicates,round,indicate,text round,1602
153,text,indicates,round,indicate,text round,1602
