,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,channel,inflated,ratings,inflate,channel ratings,4
1,channel,inflated,ratings,inflate,channel ratings,4
2,channel,inflated,ratings,inflate,channel ratings,4
3,channel,inflated,ratings,inflate,channel ratings,4
4,mast,inflates,kite,inflate,mast kite,3
5,mast,inflates,kite,inflate,mast kite,3
6,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
7,agreement,inflated,price,inflate,agreement price,3
8,agreement,inflated,price,inflate,agreement price,3
9,mast,inflates,kite,inflate,mast kite,3
10,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
11,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
12,agreement,inflated,price,inflate,agreement price,3
13,miking,inflates,sound,inflate,miking sound,2
14,miking,inflates,sound,inflate,miking sound,2
15,propaganda,inflated,number,inflate,propaganda number,2
16,one,inflated,tires,inflate,one tires,2
17,author,inflated,number,inflate,author number,2
18,propaganda,inflated,number,inflate,propaganda number,2
19,operator,inflates,tire,inflate,operator tire,2
20,operator,inflates,tire,inflate,operator tire,2
21,author,inflated,number,inflate,author number,2
22,one,inflated,tires,inflate,one tires,2
23,fly,inflates,ptilinum,inflate,fly ptilinum,2
24,fly,inflates,ptilinum,inflate,fly ptilinum,2
25,frog,inflates,body,inflate,frog body,1
26,rumour,inflated,number,inflate,rumour number,1
27,club,inflated,price,inflate,club price,1
28,performance,inflated,presence,inflate,performance presence,1
29,game,inflate,balloon,inflate,game balloon,1
30,claims,inflated,tally,inflate,claims tally,1
31,movement,inflated,impact,inflate,movement impact,1
32,crew,inflating,dinghy,inflate,crew dinghy,1
33,poem,inflates,importance,inflate,poem importance,1
34,assistance,inflates,price,inflate,assistance price,1
35,propellant,inflates,tire,inflate,propellant tire,1
36,male,inflates,pouch,inflate,male pouch,1
37,contractor,inflated,costs,inflate,contractor costs,1
38,hospitals,inflate,billings,inflate,hospitals billings,1
39,chuckwalla,inflates,body,inflate,chuckwalla body,1
40,practices,inflate,credentials,inflate,practices credentials,1
41,device,inflated,balloon,inflate,device balloon,1
42,organization,inflated,number,inflate,organization number,1
43,accounts,inflated,number,inflate,accounts number,1
44,system,inflated,airbags,inflate,system airbags,1
45,rockfowl,inflates,throat,inflate,rockfowl throat,1
46,balloon,inflates,coyote,inflate,balloon coyote,1
47,mission,inflated,claims,inflate,mission claims,1
48,pair,inflated,revenues,inflate,pair revenues,1
49,male,inflates,throat,inflate,male throat,1
50,assistant,inflates,head,inflate,assistant head,1
51,details,inflated,grades,inflate,details grades,1
52,company,inflated,costs,inflate,company costs,1
53,countries,inflated,reserves,inflate,countries reserves,1
54,bill,inflates,cost,inflate,bill cost,1
55,activists,inflate,antisemitism,inflate,activists antisemitism,1
56,scheme,inflated,price,inflate,scheme price,1
