,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,clock,installed,date,instal,clock date,35
1,clock,installed,date,instal,clock date,35
2,clock,installed,date,instal,clock date,35
3,clock,installed,date,instal,clock date,35
4,clock,installed,date,instal,clock date,35
5,clock,installed,date,instal,clock date,35
6,clock,installed,date,instal,clock date,35
7,clock,installed,date,instal,clock date,35
8,clock,installed,date,instal,clock date,35
9,clock,installed,date,instal,clock date,35
10,clock,installed,date,instal,clock date,35
11,clock,installed,date,instal,clock date,35
12,clock,installed,date,instal,clock date,35
13,clock,installed,date,instal,clock date,35
14,clock,installed,date,instal,clock date,35
15,clock,installed,date,instal,clock date,35
16,clock,installed,date,instal,clock date,35
17,clock,installed,date,instal,clock date,35
18,clock,installed,date,instal,clock date,35
19,clock,installed,date,instal,clock date,35
20,clock,installed,date,instal,clock date,35
21,clock,installed,date,instal,clock date,35
22,clock,installed,date,instal,clock date,35
23,clock,installed,date,instal,clock date,35
24,clock,installed,date,instal,clock date,35
25,clock,installed,date,instal,clock date,35
26,clock,installed,date,instal,clock date,35
27,clock,installed,date,instal,clock date,35
28,clock,installed,date,instal,clock date,35
29,clock,installed,date,instal,clock date,35
30,clock,installed,date,instal,clock date,35
31,clock,installed,date,instal,clock date,35
32,clock,installed,date,instal,clock date,35
33,clock,installed,date,instal,clock date,35
34,clock,installed,date,instal,clock date,35
35,club,installed,floodlights,instal,club floodlights,20
36,club,installed,floodlights,instal,club floodlights,20
37,club,installed,floodlights,instal,club floodlights,20
38,club,installed,floodlights,instal,club floodlights,20
39,club,installed,floodlights,instal,club floodlights,20
40,club,installed,floodlights,instal,club floodlights,20
41,club,installed,floodlights,instal,club floodlights,20
42,club,installed,floodlights,instal,club floodlights,20
43,club,installed,floodlights,instal,club floodlights,20
44,club,installed,floodlights,instal,club floodlights,20
45,club,installed,floodlights,instal,club floodlights,20
46,club,installed,floodlights,instal,club floodlights,20
47,club,installed,floodlights,instal,club floodlights,20
48,club,installed,floodlights,instal,club floodlights,20
49,club,installed,floodlights,instal,club floodlights,20
50,club,installed,floodlights,instal,club floodlights,20
51,club,installed,floodlights,instal,club floodlights,20
52,club,installed,floodlights,instal,club floodlights,20
53,club,installed,floodlights,instal,club floodlights,20
54,club,installed,floodlights,instal,club floodlights,20
55,military,installed,government,instal,military government,6
56,school,installed,panels,instal,school panels,6
57,school,installed,panels,instal,school panels,6
58,coup,installed,dictatorship,instal,coup dictatorship,6
59,school,installed,panels,instal,school panels,6
60,school,installed,panels,instal,school panels,6
61,coup,installed,dictatorship,instal,coup dictatorship,6
62,military,installed,government,instal,military government,6
63,coup,installed,dictatorship,instal,coup dictatorship,6
64,school,installed,panels,instal,school panels,6
65,coup,installed,dictatorship,instal,coup dictatorship,6
66,military,installed,government,instal,military government,6
67,coup,installed,dictatorship,instal,coup dictatorship,6
68,coup,installed,dictatorship,instal,coup dictatorship,6
69,military,installed,government,instal,military government,6
70,military,installed,government,instal,military government,6
71,military,installed,government,instal,military government,6
72,school,installed,panels,instal,school panels,6
73,owner,installed,filter,instal,owner filter,5
74,owner,installed,filter,instal,owner filter,5
75,owner,installed,filter,instal,owner filter,5
76,owner,installed,filter,instal,owner filter,5
77,owner,installed,filter,instal,owner filter,5
78,company,installed,system,instal,company system,4
79,company,installed,system,instal,company system,4
80,church,installed,organ,instal,church organ,4
81,company,installed,system,instal,company system,4
82,church,installed,organ,instal,church organ,4
