,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,water,laps,shore,lap,water shore,2
1,peloton,lapped,cyclist,lap,peloton cyclist,2
2,peloton,lapped,cyclist,lap,peloton cyclist,2
3,water,laps,shore,lap,water shore,2
4,two,laps,drift,lap,two drift,1
5,breakaway,lapped,peloton,lap,breakaway peloton,1
6,seconds,lap,car,lap,seconds car,1
7,parade,lap,cars,lap,parade cars,1
8,returns,laps,car,lap,returns car,1
9,media,laps,parts,lap,media parts,1
10,car,lap,track,lap,car track,1
11,whorl,laps,contraction,lap,whorl contraction,1
12,run,lapped,field,lap,run field,1
13,readers,lap,winners,lap,readers winners,1
14,flames,lapping,side,lap,flames side,1
15,car,lapped,tyre,lap,car tyre,1
16,members,lap,members,lap,members members,1
17,games,laps,berth,lap,games berth,1
18,valves,lapped,times,lap,valves times,1
19,kart,lapped,track,lap,kart track,1
20,industry,lapped,innovations,lap,industry innovations,1
21,lap,laps,laps,lap,lap laps,1
22,audience,lap,entertainer,lap,audience entertainer,1
23,scar,lapped,times,lap,scar times,1
24,jeans,lapping,blood,lap,jeans blood,1
25,brown,lapped,moth,lap,brown moth,1
26,exterior,lapped,weatherboards,lap,exterior weatherboards,1
27,two,laps,rider,lap,two rider,1
28,runners,lapped,backmarkers,lap,runners backmarkers,1
29,waters,lapped,railway,lap,waters railway,1
30,leaders,lapped,backmarkers,lap,leaders backmarkers,1
31,club,lapped,round,lap,club round,1
32,board,lapped,leadership,lap,board leadership,1
33,riders,lap,course,lap,riders course,1
34,train,laps,miles,lap,train miles,1
35,three,laps,car,lap,three car,1
36,tiles,lap,courses,lap,tiles courses,1
37,bat,lap,nectar,lap,bat nectar,1
38,all,lapped,cars,lap,all cars,1
39,waves,lapped,ramparts,lap,waves ramparts,1
40,mango,laps,blood,lap,mango blood,1
41,eight,laps,race,lap,eight race,1
42,fourteen,laps,finish,lap,fourteen finish,1
43,twelve,laps,sponsorship,lap,twelve sponsorship,1
44,driver,lapped,field,lap,driver field,1
45,one,lapped,blood,lap,one blood,1
46,liberals,lapped,freedoms,lap,liberals freedoms,1
47,drivers,lapped,field,lap,drivers field,1
48,two,laps,pole,lap,two pole,1
49,two,lapped,car,lap,two car,1
50,latter,lapped,lead,lap,latter lead,1
51,three,laps,way,lap,three way,1
52,members,lapped,opponents,lap,members opponents,1
53,water,lapped,north,lap,water north,1
54,two,laps,laps,lap,two laps,1
55,weasel,laps,blood,lap,weasel blood,1
56,four,laps,sponsorship,lap,four sponsorship,1
57,plate,laps,plate,lap,plate plate,1
58,lights,lap,one,lap,lights one,1
59,seconds,lap,spot,lap,seconds spot,1
60,three,lapped,field,lap,three field,1
61,cars,lapped,everyone,lap,cars everyone,1
62,screwshafts,lapping,shaft,lap,screwshafts shaft,1
63,lap,laps,top,lap,lap top,1
64,seconds,lap,minutes,lap,seconds minutes,1
65,car,lapped,circuit,lap,car circuit,1
66,program,lap,water,lap,program water,1
67,cup,laps,lead,lap,cup lead,1
68,two,laps,debut,lap,two debut,1
69,left,lapped,right,lap,left right,1
70,leader,lapped,cars,lap,leader cars,1
71,dog,lapping,water,lap,dog water,1
72,females,lap,blood,lap,females blood,1
73,ten,laps,place,lap,ten place,1
74,cat,laps,milk,lap,cat milk,1
