,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,municipality,lies,area,lie,municipality area,1405
1,municipality,lies,area,lie,municipality area,1405
2,municipality,lies,area,lie,municipality area,1405
3,municipality,lies,area,lie,municipality area,1405
4,municipality,lies,area,lie,municipality area,1405
5,municipality,lies,area,lie,municipality area,1405
6,municipality,lies,area,lie,municipality area,1405
7,municipality,lies,area,lie,municipality area,1405
8,municipality,lies,area,lie,municipality area,1405
9,municipality,lies,area,lie,municipality area,1405
10,municipality,lies,area,lie,municipality area,1405
11,municipality,lies,area,lie,municipality area,1405
12,municipality,lies,area,lie,municipality area,1405
13,municipality,lies,area,lie,municipality area,1405
14,municipality,lies,area,lie,municipality area,1405
15,municipality,lies,area,lie,municipality area,1405
16,municipality,lies,area,lie,municipality area,1405
17,municipality,lies,area,lie,municipality area,1405
18,municipality,lies,area,lie,municipality area,1405
19,municipality,lies,area,lie,municipality area,1405
20,municipality,lies,area,lie,municipality area,1405
21,municipality,lies,area,lie,municipality area,1405
22,municipality,lies,area,lie,municipality area,1405
23,municipality,lies,area,lie,municipality area,1405
24,municipality,lies,area,lie,municipality area,1405
25,municipality,lies,area,lie,municipality area,1405
26,municipality,lies,area,lie,municipality area,1405
27,municipality,lies,area,lie,municipality area,1405
28,municipality,lies,area,lie,municipality area,1405
29,municipality,lies,area,lie,municipality area,1405
30,municipality,lies,area,lie,municipality area,1405
31,municipality,lies,area,lie,municipality area,1405
32,municipality,lies,area,lie,municipality area,1405
33,municipality,lies,area,lie,municipality area,1405
34,municipality,lies,area,lie,municipality area,1405
35,municipality,lies,area,lie,municipality area,1405
36,municipality,lies,area,lie,municipality area,1405
37,municipality,lies,area,lie,municipality area,1405
38,municipality,lies,area,lie,municipality area,1405
39,municipality,lies,area,lie,municipality area,1405
40,municipality,lies,area,lie,municipality area,1405
41,municipality,lies,area,lie,municipality area,1405
42,municipality,lies,area,lie,municipality area,1405
43,municipality,lies,area,lie,municipality area,1405
44,municipality,lies,area,lie,municipality area,1405
45,municipality,lies,area,lie,municipality area,1405
46,municipality,lies,area,lie,municipality area,1405
47,municipality,lies,area,lie,municipality area,1405
48,municipality,lies,area,lie,municipality area,1405
49,municipality,lies,area,lie,municipality area,1405
50,municipality,lies,area,lie,municipality area,1405
51,municipality,lies,area,lie,municipality area,1405
52,municipality,lies,area,lie,municipality area,1405
53,municipality,lies,area,lie,municipality area,1405
54,municipality,lies,area,lie,municipality area,1405
55,municipality,lies,area,lie,municipality area,1405
56,municipality,lies,area,lie,municipality area,1405
57,municipality,lies,area,lie,municipality area,1405
58,municipality,lies,area,lie,municipality area,1405
59,municipality,lies,area,lie,municipality area,1405
60,municipality,lies,area,lie,municipality area,1405
61,municipality,lies,area,lie,municipality area,1405
62,municipality,lies,area,lie,municipality area,1405
63,municipality,lies,area,lie,municipality area,1405
64,municipality,lies,area,lie,municipality area,1405
65,municipality,lies,area,lie,municipality area,1405
66,municipality,lies,area,lie,municipality area,1405
67,municipality,lies,area,lie,municipality area,1405
68,municipality,lies,area,lie,municipality area,1405
69,municipality,lies,area,lie,municipality area,1405
70,municipality,lies,area,lie,municipality area,1405
71,municipality,lies,area,lie,municipality area,1405
72,municipality,lies,area,lie,municipality area,1405
73,municipality,lies,area,lie,municipality area,1405
74,municipality,lies,area,lie,municipality area,1405
75,municipality,lies,area,lie,municipality area,1405
76,municipality,lies,area,lie,municipality area,1405
77,municipality,lies,area,lie,municipality area,1405
78,municipality,lies,area,lie,municipality area,1405
79,municipality,lies,area,lie,municipality area,1405
80,municipality,lies,area,lie,municipality area,1405
81,municipality,lies,area,lie,municipality area,1405
82,municipality,lies,area,lie,municipality area,1405
83,municipality,lies,area,lie,municipality area,1405
84,municipality,lies,area,lie,municipality area,1405
85,municipality,lies,area,lie,municipality area,1405
86,municipality,lies,area,lie,municipality area,1405
87,municipality,lies,area,lie,municipality area,1405
88,municipality,lies,area,lie,municipality area,1405
89,municipality,lies,area,lie,municipality area,1405
90,municipality,lies,area,lie,municipality area,1405
91,municipality,lies,area,lie,municipality area,1405
92,municipality,lies,area,lie,municipality area,1405
93,municipality,lies,area,lie,municipality area,1405
94,municipality,lies,area,lie,municipality area,1405
95,municipality,lies,area,lie,municipality area,1405
96,municipality,lies,area,lie,municipality area,1405
97,municipality,lies,area,lie,municipality area,1405
98,municipality,lies,area,lie,municipality area,1405
99,municipality,lies,area,lie,municipality area,1405
100,municipality,lies,area,lie,municipality area,1405
101,municipality,lies,area,lie,municipality area,1405
102,municipality,lies,area,lie,municipality area,1405
103,municipality,lies,area,lie,municipality area,1405
104,municipality,lies,area,lie,municipality area,1405
105,municipality,lies,area,lie,municipality area,1405
106,municipality,lies,area,lie,municipality area,1405
107,municipality,lies,area,lie,municipality area,1405
108,municipality,lies,area,lie,municipality area,1405
109,municipality,lies,area,lie,municipality area,1405
110,municipality,lies,area,lie,municipality area,1405
111,municipality,lies,area,lie,municipality area,1405
112,municipality,lies,area,lie,municipality area,1405
113,municipality,lies,area,lie,municipality area,1405
114,municipality,lies,area,lie,municipality area,1405
115,municipality,lies,area,lie,municipality area,1405
116,municipality,lies,area,lie,municipality area,1405
117,municipality,lies,area,lie,municipality area,1405
118,municipality,lies,area,lie,municipality area,1405
119,municipality,lies,area,lie,municipality area,1405
120,municipality,lies,area,lie,municipality area,1405
121,municipality,lies,area,lie,municipality area,1405
122,municipality,lies,area,lie,municipality area,1405
123,municipality,lies,area,lie,municipality area,1405
124,municipality,lies,area,lie,municipality area,1405
125,municipality,lies,area,lie,municipality area,1405
126,municipality,lies,area,lie,municipality area,1405
127,municipality,lies,area,lie,municipality area,1405
128,municipality,lies,area,lie,municipality area,1405
129,municipality,lies,area,lie,municipality area,1405
130,municipality,lies,area,lie,municipality area,1405
131,municipality,lies,area,lie,municipality area,1405
132,municipality,lies,area,lie,municipality area,1405
133,municipality,lies,area,lie,municipality area,1405
134,municipality,lies,area,lie,municipality area,1405
135,municipality,lies,area,lie,municipality area,1405
136,municipality,lies,area,lie,municipality area,1405
137,municipality,lies,area,lie,municipality area,1405
138,municipality,lies,area,lie,municipality area,1405
139,municipality,lies,area,lie,municipality area,1405
140,municipality,lies,area,lie,municipality area,1405
141,municipality,lies,area,lie,municipality area,1405
142,municipality,lies,area,lie,municipality area,1405
143,municipality,lies,area,lie,municipality area,1405
144,municipality,lies,area,lie,municipality area,1405
145,municipality,lies,area,lie,municipality area,1405
146,municipality,lies,area,lie,municipality area,1405
147,municipality,lies,area,lie,municipality area,1405
148,municipality,lies,area,lie,municipality area,1405
149,municipality,lies,area,lie,municipality area,1405
150,municipality,lies,area,lie,municipality area,1405
151,municipality,lies,area,lie,municipality area,1405
152,municipality,lies,area,lie,municipality area,1405
153,municipality,lies,area,lie,municipality area,1405
154,municipality,lies,area,lie,municipality area,1405
155,municipality,lies,area,lie,municipality area,1405
156,municipality,lies,area,lie,municipality area,1405
157,municipality,lies,area,lie,municipality area,1405
158,municipality,lies,area,lie,municipality area,1405
159,municipality,lies,area,lie,municipality area,1405
160,municipality,lies,area,lie,municipality area,1405
161,municipality,lies,area,lie,municipality area,1405
162,municipality,lies,area,lie,municipality area,1405
163,municipality,lies,area,lie,municipality area,1405
164,municipality,lies,area,lie,municipality area,1405
165,municipality,lies,area,lie,municipality area,1405
166,municipality,lies,area,lie,municipality area,1405
167,municipality,lies,area,lie,municipality area,1405
168,municipality,lies,area,lie,municipality area,1405
169,municipality,lies,area,lie,municipality area,1405
170,municipality,lies,area,lie,municipality area,1405
171,municipality,lies,area,lie,municipality area,1405
172,municipality,lies,area,lie,municipality area,1405
173,municipality,lies,area,lie,municipality area,1405
174,municipality,lies,area,lie,municipality area,1405
175,municipality,lies,area,lie,municipality area,1405
176,municipality,lies,area,lie,municipality area,1405
177,municipality,lies,area,lie,municipality area,1405
178,municipality,lies,area,lie,municipality area,1405
179,municipality,lies,area,lie,municipality area,1405
180,municipality,lies,area,lie,municipality area,1405
181,municipality,lies,area,lie,municipality area,1405
182,municipality,lies,area,lie,municipality area,1405
183,municipality,lies,area,lie,municipality area,1405
184,municipality,lies,area,lie,municipality area,1405
185,municipality,lies,area,lie,municipality area,1405
186,municipality,lies,area,lie,municipality area,1405
187,municipality,lies,area,lie,municipality area,1405
188,municipality,lies,area,lie,municipality area,1405
189,municipality,lies,area,lie,municipality area,1405
190,municipality,lies,area,lie,municipality area,1405
191,municipality,lies,area,lie,municipality area,1405
192,municipality,lies,area,lie,municipality area,1405
193,municipality,lies,area,lie,municipality area,1405
194,municipality,lies,area,lie,municipality area,1405
195,municipality,lies,area,lie,municipality area,1405
196,municipality,lies,area,lie,municipality area,1405
197,municipality,lies,area,lie,municipality area,1405
198,municipality,lies,area,lie,municipality area,1405
199,municipality,lies,area,lie,municipality area,1405
200,municipality,lies,area,lie,municipality area,1405
201,municipality,lies,area,lie,municipality area,1405
202,municipality,lies,area,lie,municipality area,1405
203,municipality,lies,area,lie,municipality area,1405
204,municipality,lies,area,lie,municipality area,1405
205,municipality,lies,area,lie,municipality area,1405
206,municipality,lies,area,lie,municipality area,1405
207,municipality,lies,area,lie,municipality area,1405
208,municipality,lies,area,lie,municipality area,1405
