,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,lined,streets,line,people streets,76
1,people,lined,streets,line,people streets,76
2,people,lined,streets,line,people streets,76
3,people,lining,streets,line,people streets,76
4,people,lined,streets,line,people streets,76
5,people,lined,streets,line,people streets,76
6,people,lined,streets,line,people streets,76
7,people,lining,streets,line,people streets,76
8,people,lining,streets,line,people streets,76
9,people,lined,streets,line,people streets,76
10,people,lined,streets,line,people streets,76
11,people,lined,streets,line,people streets,76
12,people,lined,streets,line,people streets,76
13,people,line,streets,line,people streets,76
14,people,lined,streets,line,people streets,76
15,people,lined,streets,line,people streets,76
16,people,lined,streets,line,people streets,76
17,people,lined,streets,line,people streets,76
18,people,lined,streets,line,people streets,76
19,people,lined,streets,line,people streets,76
20,people,lined,streets,line,people streets,76
21,people,lined,streets,line,people streets,76
22,people,lined,streets,line,people streets,76
23,people,lined,streets,line,people streets,76
24,people,lined,streets,line,people streets,76
25,people,lined,streets,line,people streets,76
26,people,lined,streets,line,people streets,76
27,people,line,streets,line,people streets,76
28,people,line,streets,line,people streets,76
29,people,lined,streets,line,people streets,76
30,people,lined,streets,line,people streets,76
31,people,lined,streets,line,people streets,76
32,people,line,streets,line,people streets,76
33,people,lined,streets,line,people streets,76
34,people,lined,streets,line,people streets,76
35,people,lined,streets,line,people streets,76
36,people,lined,streets,line,people streets,76
37,people,lined,streets,line,people streets,76
38,people,lined,streets,line,people streets,76
39,people,lined,streets,line,people streets,76
40,people,lined,streets,line,people streets,76
41,people,lined,streets,line,people streets,76
42,people,lined,streets,line,people streets,76
43,people,lined,streets,line,people streets,76
44,people,lined,streets,line,people streets,76
45,people,lined,streets,line,people streets,76
46,people,lined,streets,line,people streets,76
47,people,lined,streets,line,people streets,76
48,people,lined,streets,line,people streets,76
49,people,lined,streets,line,people streets,76
50,people,lined,streets,line,people streets,76
51,people,lined,streets,line,people streets,76
52,people,lined,streets,line,people streets,76
53,people,lined,streets,line,people streets,76
54,people,lined,streets,line,people streets,76
55,people,lined,streets,line,people streets,76
56,people,lined,streets,line,people streets,76
57,people,lined,streets,line,people streets,76
58,people,line,streets,line,people streets,76
59,people,lined,streets,line,people streets,76
60,people,lined,streets,line,people streets,76
61,people,lined,streets,line,people streets,76
62,people,lined,streets,line,people streets,76
63,people,lined,streets,line,people streets,76
64,people,lined,streets,line,people streets,76
65,people,lined,streets,line,people streets,76
66,people,lined,streets,line,people streets,76
67,people,lined,streets,line,people streets,76
68,people,lined,streets,line,people streets,76
69,people,lined,streets,line,people streets,76
70,people,lined,streets,line,people streets,76
71,people,lined,streets,line,people streets,76
72,people,lined,streets,line,people streets,76
73,people,lined,streets,line,people streets,76
74,people,lined,streets,line,people streets,76
75,people,lined,streets,line,people streets,76
76,thousands,lined,streets,line,thousands streets,57
77,thousands,lined,streets,line,thousands streets,57
78,thousands,lined,streets,line,thousands streets,57
79,thousands,lined,streets,line,thousands streets,57
80,thousands,lined,streets,line,thousands streets,57
81,thousands,lined,streets,line,thousands streets,57
82,thousands,lined,streets,line,thousands streets,57
83,thousands,lined,streets,line,thousands streets,57
84,thousands,line,streets,line,thousands streets,57
85,thousands,lined,streets,line,thousands streets,57
86,thousands,lined,streets,line,thousands streets,57
87,thousands,lined,streets,line,thousands streets,57
88,thousands,lined,streets,line,thousands streets,57
89,thousands,lining,streets,line,thousands streets,57
90,thousands,lined,streets,line,thousands streets,57
91,thousands,lined,streets,line,thousands streets,57
92,thousands,line,streets,line,thousands streets,57
93,thousands,lined,streets,line,thousands streets,57
94,thousands,lined,streets,line,thousands streets,57
95,thousands,lined,streets,line,thousands streets,57
96,thousands,lined,streets,line,thousands streets,57
97,thousands,lined,streets,line,thousands streets,57
98,thousands,lined,streets,line,thousands streets,57
99,thousands,lined,streets,line,thousands streets,57
100,thousands,lined,streets,line,thousands streets,57
101,thousands,lined,streets,line,thousands streets,57
102,thousands,lined,streets,line,thousands streets,57
103,thousands,lined,streets,line,thousands streets,57
104,thousands,lined,streets,line,thousands streets,57
105,thousands,lined,streets,line,thousands streets,57
106,thousands,lined,streets,line,thousands streets,57
107,thousands,line,streets,line,thousands streets,57
108,thousands,lined,streets,line,thousands streets,57
109,thousands,lined,streets,line,thousands streets,57
110,thousands,lined,streets,line,thousands streets,57
111,thousands,lined,streets,line,thousands streets,57
112,thousands,lined,streets,line,thousands streets,57
113,thousands,lining,streets,line,thousands streets,57
114,thousands,lined,streets,line,thousands streets,57
115,thousands,lined,streets,line,thousands streets,57
116,thousands,lined,streets,line,thousands streets,57
117,thousands,lined,streets,line,thousands streets,57
118,thousands,lined,streets,line,thousands streets,57
119,thousands,line,streets,line,thousands streets,57
120,thousands,lined,streets,line,thousands streets,57
121,thousands,lining,streets,line,thousands streets,57
122,thousands,lined,streets,line,thousands streets,57
123,thousands,lined,streets,line,thousands streets,57
124,thousands,lined,streets,line,thousands streets,57
125,thousands,lined,streets,line,thousands streets,57
126,thousands,lined,streets,line,thousands streets,57
127,thousands,lined,streets,line,thousands streets,57
128,thousands,lined,streets,line,thousands streets,57
129,thousands,lining,streets,line,thousands streets,57
130,thousands,lined,streets,line,thousands streets,57
131,thousands,lined,streets,line,thousands streets,57
132,thousands,lined,streets,line,thousands streets,57
133,tegulae,lined,white,line,tegulae white,35
134,tegulae,lined,white,line,tegulae white,35
135,tegulae,lined,white,line,tegulae white,35
136,tegulae,lined,white,line,tegulae white,35
137,tegulae,lined,white,line,tegulae white,35
138,tegulae,lined,white,line,tegulae white,35
139,tegulae,lined,white,line,tegulae white,35
140,tegulae,lined,white,line,tegulae white,35
141,tegulae,lined,white,line,tegulae white,35
142,tegulae,lined,white,line,tegulae white,35
143,tegulae,lined,white,line,tegulae white,35
144,tegulae,lined,white,line,tegulae white,35
145,tegulae,lined,white,line,tegulae white,35
146,tegulae,lined,white,line,tegulae white,35
147,tegulae,lined,white,line,tegulae white,35
148,tegulae,lined,white,line,tegulae white,35
149,tegulae,lined,white,line,tegulae white,35
150,tegulae,lined,white,line,tegulae white,35
151,tegulae,lined,white,line,tegulae white,35
152,tegulae,lined,white,line,tegulae white,35
153,tegulae,lined,white,line,tegulae white,35
154,tegulae,lined,white,line,tegulae white,35
155,tegulae,lined,white,line,tegulae white,35
156,tegulae,lined,white,line,tegulae white,35
157,tegulae,lined,white,line,tegulae white,35
158,tegulae,lined,white,line,tegulae white,35
159,tegulae,lined,white,line,tegulae white,35
160,tegulae,lined,white,line,tegulae white,35
161,tegulae,lined,white,line,tegulae white,35
162,tegulae,lined,white,line,tegulae white,35
163,tegulae,lined,white,line,tegulae white,35
164,tegulae,lined,white,line,tegulae white,35
165,tegulae,lined,white,line,tegulae white,35
166,tegulae,lined,white,line,tegulae white,35
167,tegulae,lined,white,line,tegulae white,35
168,people,lined,route,line,people route,32
169,people,lined,route,line,people route,32
170,people,lined,route,line,people route,32
171,people,lined,route,line,people route,32
172,people,lined,route,line,people route,32
