,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,footbridge,linked,platforms,link,footbridge platforms,13
1,footbridge,linked,platforms,link,footbridge platforms,13
2,footbridge,linked,platforms,link,footbridge platforms,13
3,footbridge,linked,platforms,link,footbridge platforms,13
4,footbridge,links,platforms,link,footbridge platforms,13
5,footbridge,links,platforms,link,footbridge platforms,13
6,footbridge,linked,platforms,link,footbridge platforms,13
7,footbridge,linked,platforms,link,footbridge platforms,13
8,footbridge,linked,platforms,link,footbridge platforms,13
9,footbridge,links,platforms,link,footbridge platforms,13
10,footbridge,linked,platforms,link,footbridge platforms,13
11,footbridge,links,platforms,link,footbridge platforms,13
12,footbridge,linked,platforms,link,footbridge platforms,13
13,road,links,village,link,road village,11
14,road,links,village,link,road village,11
15,road,links,village,link,road village,11
16,road,links,village,link,road village,11
17,road,links,village,link,road village,11
18,road,linked,village,link,road village,11
19,road,links,village,link,road village,11
20,road,links,village,link,road village,11
21,road,links,village,link,road village,11
22,road,links,village,link,road village,11
23,road,links,village,link,road village,11
24,road,links,municipality,link,road municipality,9
25,road,links,municipality,link,road municipality,9
26,line,links,city,link,line city,9
27,line,links,city,link,line city,9
28,line,links,city,link,line city,9
29,line,links,city,link,line city,9
30,line,links,city,link,line city,9
31,road,links,municipality,link,road municipality,9
32,road,links,municipality,link,road municipality,9
33,line,links,city,link,line city,9
34,road,links,municipality,link,road municipality,9
35,road,links,municipality,link,road municipality,9
36,road,links,municipality,link,road municipality,9
37,line,links,city,link,line city,9
38,line,links,city,link,line city,9
39,road,links,municipality,link,road municipality,9
40,line,links,city,link,line city,9
41,road,links,municipality,link,road municipality,9
42,theory,links,name,link,theory name,8
43,road,links,town,link,road town,8
44,road,links,town,link,road town,8
45,road,links,town,link,road town,8
46,road,links,town,link,road town,8
47,road,links,town,link,road town,8
48,theory,links,name,link,theory name,8
49,theory,links,name,link,theory name,8
50,theory,links,name,link,theory name,8
51,road,links,town,link,road town,8
52,road,links,town,link,road town,8
53,theory,links,name,link,theory name,8
54,theory,links,name,link,theory name,8
55,theory,links,name,link,theory name,8
56,road,links,town,link,road town,8
57,theory,links,name,link,theory name,8
58,line,links,town,link,line town,7
59,line,links,town,link,line town,7
60,roads,link,village,link,roads village,7
61,roads,link,village,link,roads village,7
62,line,links,town,link,line town,7
63,roads,link,village,link,roads village,7
64,roads,link,village,link,roads village,7
65,line,linked,town,link,line town,7
66,roads,link,village,link,roads village,7
67,roads,link,village,link,roads village,7
68,line,linked,town,link,line town,7
69,line,links,town,link,line town,7
70,line,links,town,link,line town,7
71,roads,link,village,link,roads village,7
72,trains,link,city,link,trains city,6
73,trains,link,city,link,trains city,6
74,bridge,links,districts,link,bridge districts,6
75,trains,link,city,link,trains city,6
76,trains,link,city,link,trains city,6
77,trains,linking,city,link,trains city,6
78,bridge,links,districts,link,bridge districts,6
79,bridge,links,districts,link,bridge districts,6
80,bridge,links,districts,link,bridge districts,6
81,trains,linked,city,link,trains city,6
82,bridge,links,districts,link,bridge districts,6
83,bridge,links,districts,link,bridge districts,6
84,people,linked,arms,link,people arms,5
85,people,link,arms,link,people arms,5
86,network,linked,settlements,link,network settlements,5
87,network,linked,settlements,link,network settlements,5
88,people,linked,arms,link,people arms,5
89,network,linked,settlements,link,network settlements,5
90,people,linked,arms,link,people arms,5
91,network,linked,settlements,link,network settlements,5
92,people,linked,arms,link,people arms,5
93,network,linked,settlements,link,network settlements,5
94,line,links,area,link,line area,4
95,line,links,area,link,line area,4
96,line,links,area,link,line area,4
97,line,links,area,link,line area,4
98,line,linked,townships,link,line townships,4
99,explanation,links,name,link,explanation name,4
100,highway,links,towns,link,highway towns,4
101,explanation,links,name,link,explanation name,4
102,line,linked,townships,link,line townships,4
103,marriage,linked,houses,link,marriage houses,4
104,bridge,links,island,link,bridge island,4
105,line,links,station,link,line station,4
106,bridge,links,island,link,bridge island,4
107,line,links,cities,link,line cities,4
108,bridge,links,island,link,bridge island,4
109,line,links,cities,link,line cities,4
110,route,linked,city,link,route city,4
111,explanation,links,name,link,explanation name,4
112,line,links,cities,link,line cities,4
113,highway,links,towns,link,highway towns,4
114,study,links,spread,link,study spread,4
115,highway,links,towns,link,highway towns,4
116,publication,linked,women,link,publication women,4
117,marriage,linked,houses,link,marriage houses,4
118,route,links,city,link,route city,4
119,line,linked,townships,link,line townships,4
120,subway,links,platforms,link,subway platforms,4
121,publication,linked,women,link,publication women,4
122,explanation,linked,name,link,explanation name,4
123,route,links,city,link,route city,4
124,publication,linked,women,link,publication women,4
125,subway,linked,platforms,link,subway platforms,4
126,publication,linked,women,link,publication women,4
127,line,linked,townships,link,line townships,4
128,marriage,linked,houses,link,marriage houses,4
129,study,links,spread,link,study spread,4
130,line,links,station,link,line station,4
131,line,links,station,link,line station,4
132,marriage,linked,houses,link,marriage houses,4
133,highway,links,towns,link,highway towns,4
134,route,links,city,link,route city,4
135,bridge,links,island,link,bridge island,4
136,line,links,station,link,line station,4
137,subway,links,platforms,link,subway platforms,4
138,study,links,spread,link,study spread,4
139,study,linked,spread,link,study spread,4
140,line,links,cities,link,line cities,4
141,subway,links,platforms,link,subway platforms,4
142,railway,linked,cities,link,railway cities,3
143,bridge,links,villages,link,bridge villages,3
144,bridge,links,communities,link,bridge communities,3
145,highway,links,city,link,highway city,3
146,platforms,linked,footbridge,link,platforms footbridge,3
147,road,linked,city,link,road city,3
148,railway,linked,capital,link,railway capital,3
149,sources,linked,military,link,sources military,3
150,bridge,linked,parts,link,bridge parts,3
151,platforms,linked,footbridge,link,platforms footbridge,3
152,authors,linked,name,link,authors name,3
153,sources,link,origin,link,sources origin,3
154,roads,link,areas,link,roads areas,3
155,highway,links,city,link,highway city,3
156,evidence,linked,men,link,evidence men,3
157,road,links,suburbs,link,road suburbs,3
158,causeway,links,island,link,causeway island,3
159,authors,link,name,link,authors name,3
160,batteries,linked,tunnels,link,batteries tunnels,3
161,road,linked,city,link,road city,3
162,roads,link,areas,link,roads areas,3
163,police,linked,attack,link,police attack,3
164,communications,link,mariners,link,communications mariners,3
165,scholars,link,creation,link,scholars creation,3
166,scholars,link,creation,link,scholars creation,3
167,line,links,towns,link,line towns,3
168,line,links,towns,link,line towns,3
169,study,linked,genome,link,study genome,3
170,bridge,links,parts,link,bridge parts,3
171,route,links,sites,link,route sites,3
172,bridge,links,parts,link,bridge parts,3
173,bridge,links,tower,link,bridge tower,3
174,staircase,linked,floors,link,staircase floors,3
175,batteries,linked,tunnels,link,batteries tunnels,3
176,route,link,area,link,route area,3
177,bridge,links,villages,link,bridge villages,3
178,sources,linked,origin,link,sources origin,3
179,police,linked,attack,link,police attack,3
180,sources,linked,military,link,sources military,3
181,bridge,linked,communities,link,bridge communities,3
182,road,links,suburbs,link,road suburbs,3
183,sources,link,origin,link,sources origin,3
184,communications,link,mariners,link,communications mariners,3
185,study,linked,genome,link,study genome,3
