,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,song,logged,weeks,log,song weeks,10
1,song,logged,weeks,log,song weeks,10
2,song,logs,weeks,log,song weeks,10
3,song,logged,weeks,log,song weeks,10
4,song,logged,weeks,log,song weeks,10
5,song,logged,weeks,log,song weeks,10
6,song,logged,weeks,log,song weeks,10
7,song,logged,weeks,log,song weeks,10
8,song,logged,weeks,log,song weeks,10
9,song,logged,weeks,log,song weeks,10
10,episode,logged,viewership,log,episode viewership,7
11,episode,logged,viewership,log,episode viewership,7
12,episode,logged,viewership,log,episode viewership,7
13,episode,logged,viewership,log,episode viewership,7
14,episode,logged,viewership,log,episode viewership,7
15,episode,logged,viewership,log,episode viewership,7
16,episode,logged,viewership,log,episode viewership,7
17,song,logged,week,log,song week,5
18,song,logged,week,log,song week,5
19,song,logged,week,log,song week,5
20,song,logged,week,log,song week,5
21,song,logged,week,log,song week,5
22,squadron,logged,hours,log,squadron hours,4
23,squadron,logged,hours,log,squadron hours,4
24,squadron,logged,hours,log,squadron hours,4
25,squadron,logged,hours,log,squadron hours,4
26,pilots,logged,hours,log,pilots hours,3
27,album,logged,weeks,log,album weeks,3
28,pilots,logged,hours,log,pilots hours,3
29,album,logged,weeks,log,album weeks,3
30,volunteers,log,hours,log,volunteers hours,3
31,album,logged,weeks,log,album weeks,3
32,defense,logged,interceptions,log,defense interceptions,3
33,user,logged,system,log,user system,3
34,volunteers,logged,hours,log,volunteers hours,3
35,defense,logging,interceptions,log,defense interceptions,3
36,user,logs,system,log,user system,3
37,aircrews,logging,hours,log,aircrews hours,3
38,defense,logged,interceptions,log,defense interceptions,3
39,team,logging,hit,log,team hit,3
40,aircrews,logging,hours,log,aircrews hours,3
41,team,logging,hit,log,team hit,3
42,aircrews,logged,hours,log,aircrews hours,3
43,team,logging,hit,log,team hit,3
44,volunteers,logged,hours,log,volunteers hours,3
45,episode,logged,ratings,log,episode ratings,3
46,pilots,logged,hours,log,pilots hours,3
47,episode,logged,ratings,log,episode ratings,3
48,episode,logged,ratings,log,episode ratings,3
49,user,logs,system,log,user system,3
50,recording,logging,weeks,log,recording weeks,2
51,one,log,click,log,one click,2
52,country,logged,record,log,country record,2
53,person,logs,checks,log,person checks,2
54,players,logged,hours,log,players hours,2
55,country,logged,record,log,country record,2
56,all,logging,exchange,log,all exchange,2
57,both,logging,tenures,log,both tenures,2
58,men,logged,hours,log,men hours,2
59,men,logged,hours,log,men hours,2
60,midfielder,logged,minutes,log,midfielder minutes,2
61,squadron,logging,landings,log,squadron landings,2
62,song,logged,number,log,song number,2
63,airport,logged,operations,log,airport operations,2
64,game,logs,missions,log,game missions,2
65,plane,logged,flights,log,plane flights,2
66,airport,logged,operations,log,airport operations,2
67,series,logged,viewership,log,series viewership,2
68,album,logged,total,log,album total,2
69,album,logged,total,log,album total,2
70,system,logged,miles,log,system miles,2
71,aircraft,logged,hours,log,aircraft hours,2
72,squadron,logged,landings,log,squadron landings,2
73,versions,logged,total,log,versions total,2
74,person,logs,checks,log,person checks,2
75,plane,logged,flights,log,plane flights,2
76,system,logged,miles,log,system miles,2
77,song,logged,number,log,song number,2
78,midfielder,logged,minutes,log,midfielder minutes,2
79,both,logging,tenures,log,both tenures,2
80,seven,logged,time,log,seven time,2
81,seven,logged,time,log,seven time,2
82,one,log,click,log,one click,2
83,system,logged,call,log,system call,2
84,recording,logged,weeks,log,recording weeks,2
85,crew,logged,hours,log,crew hours,2
86,settlers,logged,forests,log,settlers forests,2
87,economy,logging,concessions,log,economy concessions,2
88,group,logged,hours,log,group hours,2
89,versions,logged,total,log,versions total,2
90,aircraft,logged,hours,log,aircraft hours,2
91,crew,logged,hours,log,crew hours,2
92,settlers,logged,forests,log,settlers forests,2
93,game,logs,missions,log,game missions,2
94,players,logged,hours,log,players hours,2
95,all,logging,exchange,log,all exchange,2
96,group,logs,hours,log,group hours,2
97,system,logged,call,log,system call,2
98,series,logged,viewership,log,series viewership,2
99,economy,logging,concessions,log,economy concessions,2
100,project,log,memorials,log,project memorials,1
101,scientists,log,protocols,log,scientists protocols,1
102,unit,logs,position,log,unit position,1
103,company,logged,lumber,log,company lumber,1
104,card,logs,date,log,card date,1
105,website,logged,average,log,website average,1
106,crew,logged,passage,log,crew passage,1
107,armies,logged,trees,log,armies trees,1
108,hosts,log,attempts,log,hosts attempts,1
109,unit,logged,missions,log,unit missions,1
110,group,logged,pilots,log,group pilots,1
111,player,logged,double,log,player double,1
112,cattle,logging,operations,log,cattle operations,1
113,song,logged,sales,log,song sales,1
114,company,logged,acres,log,company acres,1
115,mills,logging,operations,log,mills operations,1
116,owners,log,cabin,log,owners cabin,1
117,tasks,log,messages,log,tasks messages,1
118,data,log,files,log,data files,1
119,town,logging,operations,log,town operations,1
120,software,logged,filenames,log,software filenames,1
121,airline,logged,flights,log,airline flights,1
122,users,log,mileage,log,users mileage,1
123,malware,logged,keystrokes,log,malware keystrokes,1
124,people,logged,total,log,people total,1
125,component,logs,player,log,component player,1
126,chat,logs,laptops,log,chat laptops,1
127,country,logged,number,log,country number,1
128,logging,log,decks,log,logging decks,1
129,constants,log,information,log,constants information,1
130,groups,logging,companies,log,groups companies,1
131,one,log,cabins,log,one cabins,1
132,buyer,logs,back,log,buyer back,1
133,refinery,logged,hours,log,refinery hours,1
134,strategies,logging,concessions,log,strategies concessions,1
135,helicopters,logged,total,log,helicopters total,1
136,deck,logs,pertain,log,deck pertain,1
137,users,log,audience,log,users audience,1
138,clinic,logged,visits,log,clinic visits,1
139,pilots,logged,miles,log,pilots miles,1
140,team,logged,percentage,log,team percentage,1
141,timbermen,logs,canal,log,timbermen canal,1
142,records,log,incidents,log,records incidents,1
143,project,log,jams,log,project jams,1
144,infielder,logged,time,log,infielder time,1
145,founders,logging,operations,log,founders operations,1
146,country,logged,cases,log,country cases,1
147,log,log,correlation,log,log correlation,1
148,band,logged,miles,log,band miles,1
149,system,logged,rides,log,system rides,1
150,user,logs,history,log,user history,1
151,agency,logged,searches,log,agency searches,1
152,video,logged,hits,log,video hits,1
153,assists,log,man,log,assists man,1
154,tool,logs,signal,log,tool signal,1
155,storm,logged,casualties,log,storm casualties,1
156,larvae,logged,wood,log,larvae wood,1
157,song,logged,total,log,song total,1
158,devices,log,contact,log,devices contact,1
159,app,logs,encounters,log,app encounters,1
160,eastern,log,diameter,log,eastern diameter,1
161,users,logging,trips,log,users trips,1
162,economies,logging,labour,log,economies labour,1
163,boards,log,data,log,boards data,1
164,move,log,promotion,log,move promotion,1
165,ship,logging,passage,log,ship passage,1
166,money,logged,shillings,log,money shillings,1
167,water,logging,problems,log,water problems,1
168,database,logs,data,log,database data,1
169,house,log,dwelling,log,house dwelling,1
170,house,log,construction,log,house construction,1
171,bosses,logging,incidents,log,bosses incidents,1
172,users,log,calories,log,users calories,1
173,fathers,logging,business,log,fathers business,1
174,players,logging,minutes,log,players minutes,1
175,firm,logs,deals,log,firm deals,1
176,processes,log,files,log,processes files,1
177,area,log,hut,log,area hut,1
178,koppers,log,fencing,log,koppers fencing,1
179,depot,log,drivers,log,depot drivers,1
180,person,logging,cores,log,person cores,1
181,orientation,logs,orientation,log,orientation orientation,1
182,officers,log,event,log,officers event,1
183,cruises,logged,time,log,cruises time,1
184,threats,logging,borders,log,threats borders,1
185,hewn,log,timbers,log,hewn timbers,1
186,student,logs,question,log,student question,1
187,crews,log,average,log,crews average,1
188,site,logged,hits,log,site hits,1
189,video,logging,views,log,video views,1
190,family,logged,cattle,log,family cattle,1
191,censuses,log,growth,log,censuses growth,1
192,dancers,log,choreography,log,dancers choreography,1
193,results,log,position,log,results position,1
194,performers,logged,play,log,performers play,1
195,area,logging,companies,log,area companies,1
196,user,log,purchase,log,user purchase,1
197,section,log,dwelling,log,section dwelling,1
198,forestry,logging,branches,log,forestry branches,1
199,matches,logging,total,log,matches total,1
200,agency,logged,fields,log,agency fields,1
201,unit,log,semiring,log,unit semiring,1
202,total,logged,hours,log,total hours,1
203,server,logs,mail,log,server mail,1
