,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,father,moved,family,move,father family,630
1,father,moved,family,move,father family,630
2,father,moved,family,move,father family,630
3,father,moved,family,move,father family,630
4,father,moved,family,move,father family,630
5,father,moved,family,move,father family,630
6,father,moved,family,move,father family,630
7,father,moved,family,move,father family,630
8,father,moved,family,move,father family,630
9,father,moved,family,move,father family,630
10,father,moved,family,move,father family,630
11,father,moved,family,move,father family,630
12,father,moved,family,move,father family,630
13,father,moves,family,move,father family,630
14,father,moved,family,move,father family,630
15,father,moved,family,move,father family,630
16,father,moved,family,move,father family,630
17,father,moved,family,move,father family,630
18,father,moved,family,move,father family,630
19,father,moved,family,move,father family,630
20,father,moved,family,move,father family,630
21,father,moved,family,move,father family,630
22,father,moved,family,move,father family,630
23,father,moved,family,move,father family,630
24,father,moved,family,move,father family,630
25,father,moved,family,move,father family,630
26,father,moved,family,move,father family,630
27,father,moved,family,move,father family,630
28,father,moved,family,move,father family,630
29,father,moved,family,move,father family,630
30,father,moved,family,move,father family,630
31,father,moved,family,move,father family,630
32,father,moved,family,move,father family,630
33,father,moved,family,move,father family,630
34,father,moved,family,move,father family,630
35,father,moved,family,move,father family,630
36,father,moved,family,move,father family,630
37,father,moved,family,move,father family,630
38,father,moved,family,move,father family,630
39,father,moved,family,move,father family,630
40,father,moved,family,move,father family,630
41,father,moved,family,move,father family,630
42,father,moves,family,move,father family,630
43,father,moved,family,move,father family,630
44,father,moved,family,move,father family,630
45,father,moved,family,move,father family,630
46,father,moved,family,move,father family,630
47,father,moved,family,move,father family,630
48,father,moved,family,move,father family,630
49,father,moved,family,move,father family,630
50,father,moved,family,move,father family,630
51,father,moved,family,move,father family,630
52,father,moved,family,move,father family,630
53,father,moved,family,move,father family,630
54,father,moved,family,move,father family,630
55,father,moved,family,move,father family,630
56,father,moved,family,move,father family,630
57,father,moved,family,move,father family,630
58,father,moved,family,move,father family,630
59,father,moved,family,move,father family,630
60,father,moved,family,move,father family,630
61,father,moved,family,move,father family,630
62,father,moved,family,move,father family,630
63,father,moved,family,move,father family,630
64,father,moved,family,move,father family,630
65,father,moved,family,move,father family,630
66,father,moved,family,move,father family,630
67,father,moved,family,move,father family,630
68,father,moved,family,move,father family,630
69,father,moved,family,move,father family,630
70,father,moved,family,move,father family,630
71,father,moved,family,move,father family,630
72,father,moved,family,move,father family,630
73,father,moved,family,move,father family,630
74,father,moved,family,move,father family,630
75,father,moved,family,move,father family,630
76,father,moved,family,move,father family,630
77,father,moved,family,move,father family,630
78,father,moved,family,move,father family,630
79,father,moved,family,move,father family,630
80,father,moved,family,move,father family,630
81,father,moved,family,move,father family,630
82,father,moved,family,move,father family,630
83,father,moved,family,move,father family,630
84,father,moved,family,move,father family,630
85,father,moved,family,move,father family,630
86,father,moved,family,move,father family,630
87,father,moved,family,move,father family,630
88,father,moved,family,move,father family,630
89,father,moved,family,move,father family,630
90,father,moved,family,move,father family,630
91,father,moved,family,move,father family,630
92,father,moved,family,move,father family,630
93,father,moved,family,move,father family,630
94,father,moved,family,move,father family,630
95,father,moved,family,move,father family,630
96,father,moved,family,move,father family,630
97,father,moved,family,move,father family,630
98,father,moved,family,move,father family,630
99,father,moved,family,move,father family,630
100,father,moved,family,move,father family,630
101,father,moved,family,move,father family,630
102,father,moved,family,move,father family,630
103,father,moved,family,move,father family,630
104,father,moved,family,move,father family,630
105,father,moved,family,move,father family,630
106,father,moved,family,move,father family,630
107,father,moved,family,move,father family,630
108,father,moved,family,move,father family,630
109,father,moved,family,move,father family,630
110,father,moved,family,move,father family,630
111,father,moved,family,move,father family,630
112,father,moved,family,move,father family,630
113,father,moved,family,move,father family,630
114,father,moved,family,move,father family,630
115,father,moved,family,move,father family,630
116,father,moved,family,move,father family,630
117,father,moved,family,move,father family,630
118,father,moved,family,move,father family,630
119,father,moved,family,move,father family,630
120,father,moved,family,move,father family,630
121,father,moved,family,move,father family,630
122,father,moved,family,move,father family,630
123,father,moved,family,move,father family,630
124,father,moved,family,move,father family,630
125,father,moved,family,move,father family,630
126,father,moved,family,move,father family,630
127,father,moved,family,move,father family,630
128,father,moved,family,move,father family,630
129,father,moved,family,move,father family,630
130,father,moved,family,move,father family,630
131,father,moved,family,move,father family,630
132,father,moved,family,move,father family,630
133,father,moved,family,move,father family,630
134,father,moved,family,move,father family,630
135,father,moved,family,move,father family,630
136,father,moved,family,move,father family,630
137,father,moved,family,move,father family,630
138,father,moved,family,move,father family,630
139,father,moved,family,move,father family,630
140,father,moved,family,move,father family,630
141,father,moved,family,move,father family,630
142,father,moved,family,move,father family,630
143,father,moved,family,move,father family,630
144,father,moved,family,move,father family,630
145,father,moved,family,move,father family,630
146,father,moved,family,move,father family,630
147,father,moved,family,move,father family,630
148,father,moved,family,move,father family,630
149,father,moved,family,move,father family,630
150,father,moved,family,move,father family,630
151,father,moved,family,move,father family,630
152,father,moved,family,move,father family,630
153,father,moved,family,move,father family,630
154,father,moved,family,move,father family,630
155,father,moved,family,move,father family,630
156,father,moved,family,move,father family,630
157,father,moved,family,move,father family,630
158,father,moved,family,move,father family,630
159,father,moved,family,move,father family,630
160,father,moved,family,move,father family,630
161,father,moved,family,move,father family,630
162,father,moved,family,move,father family,630
163,father,moved,family,move,father family,630
164,father,moved,family,move,father family,630
