,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,teams,nailed,strips,nail,teams strips,4
1,teams,nailed,strips,nail,teams strips,4
2,teams,nailed,strips,nail,teams strips,4
3,teams,nailed,strips,nail,teams strips,4
4,both,nailed,heads,nail,both heads,2
5,effort,nails,much,nail,effort much,2
6,effort,nails,much,nail,effort much,2
7,both,nailed,heads,nail,both heads,2
8,group,nailed,song,nail,group song,1
9,workers,nailed,boards,nail,workers boards,1
10,episode,nails,landing,nail,episode landing,1
11,book,nails,entropy,nail,book entropy,1
12,killer,nails,hands,nail,killer hands,1
13,walkway,nailed,thousands,nail,walkway thousands,1
14,military,nailed,houses,nail,military houses,1
15,one,nailed,formula,nail,one formula,1
16,man,nails,feet,nail,man feet,1
17,stringers,nailed,hull,nail,stringers hull,1
18,episode,nailed,act,nail,episode act,1
19,show,nails,moments,nail,show moments,1
20,clip,nails,visual,nail,clip visual,1
21,cast,nails,roles,nail,cast roles,1
22,cars,nailed,clouds,nail,cars clouds,1
23,players,nailing,moves,nail,players moves,1
24,feet,nailed,side,nail,feet side,1
25,beam,nailed,assistance,nail,beam assistance,1
26,miniseries,nails,thing,nail,miniseries thing,1
27,cameos,nailing,numbers,nail,cameos numbers,1
28,truckloads,nailed,carpet,nail,truckloads carpet,1
29,documentary,nails,attraction,nail,documentary attraction,1
30,islander,nailed,list,nail,islander list,1
31,creators,nail,nuance,nail,creators nuance,1
32,series,nails,endless,nail,series endless,1
33,features,nailed,arches,nail,features arches,1
34,defenders,nail,crosses,nail,defenders crosses,1
35,dream,nailing,bug,nail,dream bug,1
36,stagehand,nailing,boards,nail,stagehand boards,1
37,locals,nailed,benches,nail,locals benches,1
38,ensemble,nailing,harmonies,nail,ensemble harmonies,1
39,troupe,nails,beat,nail,troupe beat,1
40,penny,nailed,date,nail,penny date,1
41,body,nailed,wanderings,nail,body wanderings,1
42,camera,nailed,focus,nail,camera focus,1
43,track,nails,throb,nail,track throb,1
44,author,nails,inevitability,nail,author inevitability,1
45,door,nailed,shut,nail,door shut,1
46,farrier,nails,shoes,nail,farrier shoes,1
47,player,nailing,bucket,nail,player bucket,1
48,nominee,nail,portrait,nail,nominee portrait,1
49,wrestler,nails,cutter,nail,wrestler cutter,1
50,monologue,nailed,problem,nail,monologue problem,1
51,steamship,nailed,bridge,nail,steamship bridge,1
52,luthiers,nailed,necks,nail,luthiers necks,1
53,ushers,nailed,doors,nail,ushers doors,1
54,film,nailed,look,nail,film look,1
55,version,nailed,film,nail,version film,1
56,people,nailed,land,nail,people land,1
57,show,nailed,casting,nail,show casting,1
58,wrestler,nail,wrestler,nail,wrestler wrestler,1
59,movie,nailed,terror,nail,movie terror,1
60,brothers,nail,hat,nail,brothers hat,1
61,stunts,nails,ferrets,nail,stunts ferrets,1
62,owner,nail,decoration,nail,owner decoration,1
63,students,nailed,sign,nail,students sign,1
64,players,nailed,cleats,nail,players cleats,1
65,doors,nailed,shut,nail,doors shut,1
66,boys,nail,body,nail,boys body,1
67,people,nailed,sheets,nail,people sheets,1
68,band,nailed,boards,nail,band boards,1
69,cast,nails,characterizations,nail,cast characterizations,1
70,seaman,nailed,ensign,nail,seaman ensign,1
71,suspects,nailed,kitten,nail,suspects kitten,1
72,ring,nailed,appearance,nail,ring appearance,1
73,students,nailed,place,nail,students place,1
74,game,nailed,scale,nail,game scale,1
75,junior,nailed,yarder,nail,junior yarder,1
76,serpent,nailed,head,nail,serpent head,1
77,dog,nails,signs,nail,dog signs,1
78,skull,nailed,building,nail,skull building,1
79,brothers,nailed,hands,nail,brothers hands,1
80,townspeople,nailed,preacher,nail,townspeople preacher,1
81,film,nailed,experiences,nail,film experiences,1
82,sherrif,nails,notice,nail,sherrif notice,1
83,contestant,nail,portrait,nail,contestant portrait,1
84,attorney,nailed,head,nail,attorney head,1
85,soldier,nails,door,nail,soldier door,1
86,multiple,nailed,side,nail,multiple side,1
87,episode,nailed,balance,nail,episode balance,1
