,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,parapet,obscuring,roof,obscure,parapet roof,5
1,parapet,obscures,roof,obscure,parapet roof,5
2,parapet,obscures,roof,obscure,parapet roof,5
3,parapet,obscuring,roof,obscure,parapet roof,5
4,parapet,obscuring,roof,obscure,parapet roof,5
5,players,obscured,mud,obscure,players mud,3
6,layer,obscures,sites,obscure,layer sites,3
7,helmet,obscures,face,obscure,helmet face,3
8,clouds,obscure,moon,obscure,clouds moon,3
9,trees,obscured,view,obscure,trees view,3
10,trees,obscured,view,obscure,trees view,3
11,trees,obscured,view,obscure,trees view,3
12,helmet,obscures,face,obscure,helmet face,3
13,translation,obscures,association,obscure,translation association,3
14,translation,obscures,association,obscure,translation association,3
15,players,obscured,mud,obscure,players mud,3
16,translation,obscures,association,obscure,translation association,3
17,layer,obscures,sites,obscure,layer sites,3
18,head,obscures,lips,obscure,head lips,3
19,clouds,obscured,moon,obscure,clouds moon,3
20,players,obscured,mud,obscure,players mud,3
21,helmet,obscures,face,obscure,helmet face,3
22,head,obscures,lips,obscure,head lips,3
23,clouds,obscuring,moon,obscure,clouds moon,3
24,layer,obscures,sites,obscure,layer sites,3
25,head,obscures,lips,obscure,head lips,3
26,title,obscuring,face,obscure,title face,2
27,smoke,obscured,battlefield,obscure,smoke battlefield,2
28,sandstorm,obscured,battlefield,obscure,sandstorm battlefield,2
29,cloud,obscured,moon,obscure,cloud moon,2
30,dust,obscures,view,obscure,dust view,2
31,analysis,obscures,context,obscure,analysis context,2
32,fog,obscured,view,obscure,fog view,2
33,smoke,obscured,action,obscure,smoke action,2
34,clouds,obscured,sky,obscure,clouds sky,2
35,faces,obscured,hoods,obscure,faces hoods,2
36,structures,obscure,picture,obscure,structures picture,2
37,view,obscured,cloud,obscure,view cloud,2
38,apple,obscures,face,obscure,apple face,2
39,concept,obscures,situation,obscure,concept situation,2
40,center,obscured,cloudiness,obscure,center cloudiness,2
41,mask,obscuring,vision,obscure,mask vision,2
42,form,obscures,relationship,obscure,form relationship,2
43,structures,obscure,picture,obscure,structures picture,2
44,weather,obscures,vision,obscure,weather vision,2
45,reformers,obscured,aims,obscure,reformers aims,2
46,center,obscured,cloudiness,obscure,center cloudiness,2
47,weather,obscures,vision,obscure,weather vision,2
48,analysis,obscures,context,obscure,analysis context,2
49,link,obscured,time,obscure,link time,2
50,sand,obscured,spot,obscure,sand spot,2
