,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,school,opened,doors,open,school doors,397
1,school,opened,doors,open,school doors,397
2,school,opened,doors,open,school doors,397
3,school,opened,doors,open,school doors,397
4,school,opened,doors,open,school doors,397
5,school,opened,doors,open,school doors,397
6,school,opened,doors,open,school doors,397
7,school,opened,doors,open,school doors,397
8,school,opened,doors,open,school doors,397
9,school,opened,doors,open,school doors,397
10,school,opened,doors,open,school doors,397
11,school,opens,doors,open,school doors,397
12,school,opened,doors,open,school doors,397
13,school,opened,doors,open,school doors,397
14,school,opened,doors,open,school doors,397
15,school,opened,doors,open,school doors,397
16,school,opened,doors,open,school doors,397
17,school,opened,doors,open,school doors,397
18,school,opened,doors,open,school doors,397
19,school,opened,doors,open,school doors,397
20,school,opened,doors,open,school doors,397
21,school,opened,doors,open,school doors,397
22,school,opened,doors,open,school doors,397
23,school,opened,doors,open,school doors,397
24,school,opened,doors,open,school doors,397
25,school,opened,doors,open,school doors,397
26,school,opened,doors,open,school doors,397
27,school,opened,doors,open,school doors,397
28,school,opened,doors,open,school doors,397
29,school,opened,doors,open,school doors,397
30,school,opened,doors,open,school doors,397
31,school,opened,doors,open,school doors,397
32,school,opened,doors,open,school doors,397
33,school,opened,doors,open,school doors,397
34,school,opened,doors,open,school doors,397
35,school,opened,doors,open,school doors,397
36,school,opened,doors,open,school doors,397
37,school,opened,doors,open,school doors,397
38,school,opened,doors,open,school doors,397
39,school,opening,doors,open,school doors,397
40,school,opened,doors,open,school doors,397
41,school,opened,doors,open,school doors,397
42,school,opened,doors,open,school doors,397
43,school,opened,doors,open,school doors,397
44,school,opened,doors,open,school doors,397
45,school,opened,doors,open,school doors,397
46,school,opened,doors,open,school doors,397
47,school,opened,doors,open,school doors,397
48,school,opened,doors,open,school doors,397
49,school,opened,doors,open,school doors,397
50,school,opened,doors,open,school doors,397
51,school,opened,doors,open,school doors,397
52,school,opened,doors,open,school doors,397
53,school,opened,doors,open,school doors,397
54,school,opened,doors,open,school doors,397
55,school,opened,doors,open,school doors,397
56,school,opened,doors,open,school doors,397
57,school,opened,doors,open,school doors,397
58,school,opened,doors,open,school doors,397
59,school,opened,doors,open,school doors,397
60,school,opened,doors,open,school doors,397
61,school,opened,doors,open,school doors,397
62,school,opened,doors,open,school doors,397
63,school,opened,doors,open,school doors,397
64,school,opened,doors,open,school doors,397
65,school,opened,doors,open,school doors,397
66,school,opened,doors,open,school doors,397
67,school,opened,doors,open,school doors,397
68,school,opened,doors,open,school doors,397
69,school,opened,doors,open,school doors,397
70,school,opened,doors,open,school doors,397
71,school,opened,doors,open,school doors,397
72,school,opened,doors,open,school doors,397
73,school,opened,doors,open,school doors,397
74,school,opened,doors,open,school doors,397
75,school,opened,doors,open,school doors,397
76,school,opened,doors,open,school doors,397
77,school,opened,doors,open,school doors,397
78,school,opened,doors,open,school doors,397
79,school,opened,doors,open,school doors,397
80,school,opened,doors,open,school doors,397
81,school,opened,doors,open,school doors,397
82,school,opened,doors,open,school doors,397
83,school,opened,doors,open,school doors,397
84,school,opened,doors,open,school doors,397
85,school,opened,doors,open,school doors,397
86,school,opened,doors,open,school doors,397
87,school,opened,doors,open,school doors,397
88,school,opened,doors,open,school doors,397
89,school,opened,doors,open,school doors,397
90,school,opened,doors,open,school doors,397
91,school,opened,doors,open,school doors,397
92,school,opened,doors,open,school doors,397
93,school,opened,doors,open,school doors,397
94,school,opened,doors,open,school doors,397
95,school,opened,doors,open,school doors,397
96,school,opened,doors,open,school doors,397
97,school,opened,doors,open,school doors,397
98,school,opened,doors,open,school doors,397
99,school,opened,doors,open,school doors,397
100,school,opened,doors,open,school doors,397
101,school,opened,doors,open,school doors,397
102,school,opened,doors,open,school doors,397
103,school,opened,doors,open,school doors,397
104,school,opened,doors,open,school doors,397
105,school,opened,doors,open,school doors,397
106,school,opened,doors,open,school doors,397
107,school,opened,doors,open,school doors,397
108,school,opened,doors,open,school doors,397
109,school,opened,doors,open,school doors,397
