,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,book,paints,picture,paint,book picture,26
1,book,painted,picture,paint,book picture,26
2,book,paints,picture,paint,book picture,26
3,book,paints,picture,paint,book picture,26
4,book,paints,picture,paint,book picture,26
5,book,paints,picture,paint,book picture,26
6,book,paints,picture,paint,book picture,26
7,book,painted,picture,paint,book picture,26
8,book,paints,picture,paint,book picture,26
9,book,paints,picture,paint,book picture,26
10,book,paints,picture,paint,book picture,26
11,book,painting,picture,paint,book picture,26
12,book,paints,picture,paint,book picture,26
13,book,painted,picture,paint,book picture,26
14,book,paints,picture,paint,book picture,26
15,book,painted,picture,paint,book picture,26
16,book,painted,picture,paint,book picture,26
17,book,paints,picture,paint,book picture,26
18,book,paints,picture,paint,book picture,26
19,book,paints,picture,paint,book picture,26
20,book,painted,picture,paint,book picture,26
21,book,painted,picture,paint,book picture,26
22,book,paints,picture,paint,book picture,26
23,book,paints,picture,paint,book picture,26
24,book,paints,picture,paint,book picture,26
25,book,paints,picture,paint,book picture,26
26,artist,painted,portrait,paint,artist portrait,24
27,artist,painted,portrait,paint,artist portrait,24
28,artist,painted,portrait,paint,artist portrait,24
29,artist,painted,portrait,paint,artist portrait,24
30,artist,painted,portrait,paint,artist portrait,24
31,artist,painted,portrait,paint,artist portrait,24
32,artist,painted,portrait,paint,artist portrait,24
33,artist,painted,portrait,paint,artist portrait,24
34,artist,paint,portrait,paint,artist portrait,24
35,artist,painted,portrait,paint,artist portrait,24
36,artist,painted,portrait,paint,artist portrait,24
37,artist,painted,portrait,paint,artist portrait,24
38,artist,painted,portrait,paint,artist portrait,24
39,artist,painted,portrait,paint,artist portrait,24
40,artist,painted,portrait,paint,artist portrait,24
41,artist,painted,portrait,paint,artist portrait,24
42,artist,painted,portrait,paint,artist portrait,24
43,artist,painted,portrait,paint,artist portrait,24
44,artist,painted,portrait,paint,artist portrait,24
45,artist,painted,portrait,paint,artist portrait,24
46,artist,painted,portrait,paint,artist portrait,24
47,artist,painting,portrait,paint,artist portrait,24
48,artist,painted,portrait,paint,artist portrait,24
49,artist,painted,portrait,paint,artist portrait,24
50,novel,paints,picture,paint,novel picture,17
51,novel,painted,picture,paint,novel picture,17
52,novel,paints,picture,paint,novel picture,17
53,novel,paints,picture,paint,novel picture,17
54,novel,paints,picture,paint,novel picture,17
55,novel,paints,picture,paint,novel picture,17
56,novel,paints,picture,paint,novel picture,17
57,novel,paints,picture,paint,novel picture,17
58,novel,paints,picture,paint,novel picture,17
59,novel,paints,picture,paint,novel picture,17
60,novel,painted,picture,paint,novel picture,17
61,novel,paints,picture,paint,novel picture,17
62,novel,paints,picture,paint,novel picture,17
63,novel,paints,picture,paint,novel picture,17
64,novel,paints,picture,paint,novel picture,17
65,novel,paints,picture,paint,novel picture,17
66,novel,paints,picture,paint,novel picture,17
67,portrait,painted,artist,paint,portrait artist,15
68,portrait,painted,artist,paint,portrait artist,15
69,portrait,painted,artist,paint,portrait artist,15
70,portrait,painted,artist,paint,portrait artist,15
71,portrait,painted,artist,paint,portrait artist,15
72,portrait,painted,artist,paint,portrait artist,15
73,portrait,painted,artist,paint,portrait artist,15
74,portrait,painted,artist,paint,portrait artist,15
75,portrait,painted,artist,paint,portrait artist,15
76,portrait,painted,artist,paint,portrait artist,15
77,portrait,painted,artist,paint,portrait artist,15
78,portrait,painted,artist,paint,portrait artist,15
79,portrait,painted,artist,paint,portrait artist,15
80,portrait,painted,artist,paint,portrait artist,15
81,portrait,painted,artist,paint,portrait artist,15
82,artist,painted,mural,paint,artist mural,13
83,artist,painted,mural,paint,artist mural,13
84,artist,painted,mural,paint,artist mural,13
85,artist,painted,mural,paint,artist mural,13
86,artist,painted,mural,paint,artist mural,13
87,artist,painted,mural,paint,artist mural,13
88,artist,painted,mural,paint,artist mural,13
89,artist,painted,mural,paint,artist mural,13
90,artist,painted,mural,paint,artist mural,13
91,artist,painted,mural,paint,artist mural,13
92,artist,painted,mural,paint,artist mural,13
93,artist,painted,mural,paint,artist mural,13
94,artist,painted,mural,paint,artist mural,13
95,film,paints,picture,paint,film picture,12
96,film,painted,picture,paint,film picture,12
97,film,paints,picture,paint,film picture,12
98,film,painted,picture,paint,film picture,12
99,film,paints,picture,paint,film picture,12
100,report,paints,picture,paint,report picture,12
101,film,paints,picture,paint,film picture,12
102,report,painted,picture,paint,report picture,12
103,report,painted,picture,paint,report picture,12
104,report,painted,picture,paint,report picture,12
105,report,paints,picture,paint,report picture,12
106,report,painted,picture,paint,report picture,12
107,film,paints,picture,paint,film picture,12
108,report,painted,picture,paint,report picture,12
109,film,paints,picture,paint,film picture,12
110,report,paints,picture,paint,report picture,12
111,report,paints,picture,paint,report picture,12
112,report,painted,picture,paint,report picture,12
113,film,painted,picture,paint,film picture,12
114,report,painted,picture,paint,report picture,12
115,film,paints,picture,paint,film picture,12
116,report,paints,picture,paint,report picture,12
117,film,painted,picture,paint,film picture,12
118,film,paints,picture,paint,film picture,12
119,song,paints,picture,paint,song picture,11
120,song,paints,picture,paint,song picture,11
121,song,paints,picture,paint,song picture,11
122,song,paints,picture,paint,song picture,11
123,song,paints,picture,paint,song picture,11
124,song,paints,picture,paint,song picture,11
125,song,paints,picture,paint,song picture,11
126,song,paints,picture,paint,song picture,11
127,song,paints,picture,paint,song picture,11
128,song,paints,picture,paint,song picture,11
129,song,paints,picture,paint,song picture,11
130,book,paints,portrait,paint,book portrait,9
131,book,paints,portrait,paint,book portrait,9
132,book,paints,portrait,paint,book portrait,9
133,book,paints,portrait,paint,book portrait,9
134,analysis,paints,picture,paint,analysis picture,9
135,lyrics,paint,picture,paint,lyrics picture,9
136,lyrics,paint,picture,paint,lyrics picture,9
137,book,painted,portrait,paint,book portrait,9
138,book,paints,portrait,paint,book portrait,9
139,lyrics,paint,picture,paint,lyrics picture,9
140,lyrics,paint,picture,paint,lyrics picture,9
141,analysis,paints,picture,paint,analysis picture,9
142,analysis,paints,picture,paint,analysis picture,9
143,book,paints,portrait,paint,book portrait,9
144,analysis,paints,picture,paint,analysis picture,9
145,analysis,paints,picture,paint,analysis picture,9
146,analysis,paints,picture,paint,analysis picture,9
147,analysis,paints,picture,paint,analysis picture,9
148,book,painted,portrait,paint,book portrait,9
149,book,paints,portrait,paint,book portrait,9
150,analysis,paints,picture,paint,analysis picture,9
151,lyrics,paint,picture,paint,lyrics picture,9
152,lyrics,paint,picture,paint,lyrics picture,9
153,analysis,paints,picture,paint,analysis picture,9
154,lyrics,painted,picture,paint,lyrics picture,9
155,lyrics,paint,picture,paint,lyrics picture,9
156,lyrics,paint,picture,paint,lyrics picture,9
157,media,painted,picture,paint,media picture,8
158,media,painted,picture,paint,media picture,8
159,media,painted,picture,paint,media picture,8
160,reports,paint,picture,paint,reports picture,8
161,reports,painted,picture,paint,reports picture,8
162,media,painted,picture,paint,media picture,8
163,reports,paint,picture,paint,reports picture,8
164,reports,paint,picture,paint,reports picture,8
165,reports,painted,picture,paint,reports picture,8
166,reports,paint,picture,paint,reports picture,8
167,media,painted,picture,paint,media picture,8
168,media,paints,picture,paint,media picture,8
169,reports,paint,picture,paint,reports picture,8
170,media,paint,picture,paint,media picture,8
171,reports,painted,picture,paint,reports picture,8
172,media,painted,picture,paint,media picture,8
173,author,painted,picture,paint,author picture,7
174,artist,paints,portraits,paint,artist portraits,7
175,artist,painted,portraits,paint,artist portraits,7
176,artist,painted,portraits,paint,artist portraits,7
177,author,paints,picture,paint,author picture,7
178,author,paints,picture,paint,author picture,7
179,author,paints,picture,paint,author picture,7
180,artist,painted,portraits,paint,artist portraits,7
181,artist,painted,portraits,paint,artist portraits,7
182,artist,painted,portraits,paint,artist portraits,7
183,artist,paints,portraits,paint,artist portraits,7
184,author,paints,picture,paint,author picture,7
185,author,paints,picture,paint,author picture,7
186,author,paints,picture,paint,author picture,7
187,story,paints,picture,paint,story picture,6
