,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,families,pasted,collections,paste,families collections,2
1,families,pasted,collections,paste,families collections,2
2,shrimp,paste,rice,paste,shrimp rice,2
3,users,paste,content,paste,users content,2
4,campaigners,pasted,logo,paste,campaigners logo,2
5,campaigners,pasted,logo,paste,campaigners logo,2
6,shrimp,paste,rice,paste,shrimp rice,2
7,users,paste,content,paste,users content,2
8,team,paste,painting,paste,team painting,1
9,band,pasted,passages,paste,band passages,1
10,solder,paste,boundary,paste,solder boundary,1
11,stories,pasted,analyses,paste,stories analyses,1
12,user,paste,word,paste,user word,1
13,user,paste,products,paste,user products,1
14,one,pasted,chunks,paste,one chunks,1
15,style,paste,techniques,paste,style techniques,1
16,student,pasted,work,paste,student work,1
17,solution,pastes,sides,paste,solution sides,1
18,group,pasted,thousands,paste,group thousands,1
19,values,paste,specifications,paste,values specifications,1
20,solutions,pasted,holes,paste,solutions holes,1
21,people,pasted,poster,paste,people poster,1
22,people,paste,couplets,paste,people couplets,1
23,users,paste,shortcuts,paste,users shortcuts,1
24,variations,paste,shortbread,paste,variations shortbread,1
25,schoolchildren,pasted,leaflets,paste,schoolchildren leaflets,1
26,books,paste,motifs,paste,books motifs,1
27,miso,paste,times,paste,miso times,1
28,copy,paste,everything,paste,copy everything,1
29,group,pasted,phrases,paste,group phrases,1
30,app,paste,feature,paste,app feature,1
31,user,paste,function,paste,user function,1
32,rebels,pasted,pamphlet,paste,rebels pamphlet,1
33,wheat,pasted,newsprint,paste,wheat newsprint,1
34,custodians,pasted,drawings,paste,custodians drawings,1
35,wheat,pasted,part,paste,wheat part,1
36,bean,paste,pastry,paste,bean pastry,1
37,creditors,pasted,notices,paste,creditors notices,1
38,writers,paste,formula,paste,writers formula,1
39,class,paste,reproductions,paste,class reproductions,1
40,group,pasted,pages,paste,group pages,1
41,users,paste,items,paste,users items,1
42,material,paste,extraction,paste,material extraction,1
43,copies,pasted,side,paste,copies side,1
44,bean,paste,bean,paste,bean bean,1
45,user,pastes,paper,paste,user paper,1
46,individuals,paste,misinformation,paste,individuals misinformation,1
47,actors,paste,paper,paste,actors paper,1
48,demonstrating,paste,features,paste,demonstrating features,1
49,commanders,pasted,notice,paste,commanders notice,1
50,artists,pasted,review,paste,artists review,1
51,word,pasted,times,paste,word times,1
52,programmer,paste,programming,paste,programmer programming,1
53,members,pasted,posters,paste,members posters,1
54,user,paste,match,paste,user match,1
55,number,pasted,computer,paste,number computer,1
56,protestors,pasted,lampoons,paste,protestors lampoons,1
57,team,pasted,notice,paste,team notice,1
58,form,pasting,data,paste,form data,1
59,manufacturers,paste,deposits,paste,manufacturers deposits,1
60,editor,paste,text,paste,editor text,1
61,painters,paste,ideas,paste,painters ideas,1
62,photographers,paste,ideas,paste,photographers ideas,1
63,users,pasted,set,paste,users set,1
64,clicking,pastes,clipboard,paste,clicking clipboard,1
65,tissue,paste,side,paste,tissue side,1
66,glass,paste,mosaics,paste,glass mosaics,1
67,users,paste,contents,paste,users contents,1
68,user,pastes,text,paste,user text,1
69,artist,pasted,work,paste,artist work,1
70,man,pasting,poster,paste,man poster,1
71,toolkits,paste,commands,paste,toolkits commands,1
72,programs,paste,operations,paste,programs operations,1
73,users,paste,links,paste,users links,1
74,house,pasted,label,paste,house label,1
75,series,pasted,followers,paste,series followers,1
