,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,two,patch,things,patch,two things,10
1,two,patch,things,patch,two things,10
2,two,patch,things,patch,two things,10
3,two,patch,things,patch,two things,10
4,two,patch,things,patch,two things,10
5,two,patch,things,patch,two things,10
6,two,patch,things,patch,two things,10
7,two,patched,things,patch,two things,10
8,two,patch,things,patch,two things,10
9,two,patch,things,patch,two things,10
10,oval,patch,distal,patch,oval distal,3
11,two,patched,differences,patch,two differences,3
12,oval,patch,distal,patch,oval distal,3
13,men,patched,differences,patch,men differences,3
14,men,patched,differences,patch,men differences,3
15,two,patched,differences,patch,two differences,3
16,men,patched,differences,patch,men differences,3
17,oval,patch,distal,patch,oval distal,3
18,two,patched,differences,patch,two differences,3
19,divers,patched,holes,patch,divers holes,2
20,malware,patch,functions,patch,malware functions,2
21,quotations,patched,man,patch,quotations man,2
22,quotations,patched,man,patch,quotations man,2
23,crew,patched,car,patch,crew car,2
24,crew,patched,car,patch,crew car,2
25,divers,patched,holes,patch,divers holes,2
26,malware,patch,functions,patch,malware functions,2
27,waters,patch,boats,patch,waters boats,1
28,couple,patch,differences,patch,couple differences,1
29,committee,patch,ideas,patch,committee ideas,1
30,novels,patched,serials,patch,novels serials,1
31,novel,patched,serial,patch,novel serial,1
32,district,patch,community,patch,district community,1
33,parties,patched,things,patch,parties things,1
34,ice,patches,centimeters,patch,ice centimeters,1
35,combat,patch,patch,patch,combat patch,1
36,ruler,patched,differences,patch,ruler differences,1
37,doctor,patched,arm,patch,doctor arm,1
38,studio,patched,version,patch,studio version,1
39,band,patched,lineup,patch,band lineup,1
40,collar,patches,colours,patch,collar colours,1
41,controller,patch,code,patch,controller code,1
42,engineers,patched,runway,patch,engineers runway,1
43,things,patch,situation,patch,things situation,1
44,makers,patched,software,patch,makers software,1
45,feather,patch,exclusive,patch,feather exclusive,1
46,products,patch,panels,patch,products panels,1
47,dorsal,patch,commences,patch,dorsal commences,1
48,rusty,patched,bee,patch,rusty bee,1
49,estradiol,patches,arm,patch,estradiol arm,1
50,club,patched,chapters,patch,club chapters,1
51,camp,patches,patches,patch,camp patches,1
52,caretaker,patch,ceiling,patch,caretaker ceiling,1
53,whitish,patch,spot,patch,whitish spot,1
54,gauze,patch,eye,patch,gauze eye,1
55,estradiol,patches,injections,patch,estradiol injections,1
56,vegetable,patches,crops,patch,vegetable crops,1
57,individuals,patch,crises,patch,individuals crises,1
58,soul,patch,tingles,patch,soul tingles,1
59,releasing,patches,times,patch,releasing times,1
60,customers,patch,systems,patch,customers systems,1
61,contributions,patch,patch,patch,contributions patch,1
62,act,patched,exemptions,patch,act exemptions,1
63,basal,patch,chrome,patch,basal chrome,1
64,basal,patch,brown,patch,basal brown,1
65,dorsal,patch,little,patch,dorsal little,1
66,company,patched,issue,patch,company issue,1
67,studies,patch,theories,patch,studies theories,1
68,friends,patch,things,patch,friends things,1
69,glass,patches,line,patch,glass line,1
70,most,patch,proposals,patch,most proposals,1
71,staff,patch,exhibits,patch,staff exhibits,1
72,kelp,patch,lies,patch,kelp lies,1
73,crew,patched,holes,patch,crew holes,1
74,one,patch,games,patch,one games,1
75,lack,patches,characteristics,patch,lack characteristics,1
76,players,patch,games,patch,players games,1
77,lumbar,patches,markings,patch,lumbar markings,1
78,blood,patch,anaesthesia,patch,blood anaesthesia,1
79,worm,patches,vulnerability,patch,worm vulnerability,1
80,families,patch,things,patch,families things,1
81,version,patched,vulnerability,patch,version vulnerability,1
82,nicotine,patch,craving,patch,nicotine craving,1
83,two,patch,buttons,patch,two buttons,1
84,polygons,patches,polygons,patch,polygons polygons,1
85,leaders,patched,differences,patch,leaders differences,1
86,jacket,patch,name,patch,jacket name,1
87,throat,patch,opponent,patch,throat opponent,1
88,skin,patches,bodies,patch,skin bodies,1
89,programmer,patch,cables,patch,programmer cables,1
90,truce,patched,matters,patch,truce matters,1
91,official,patch,version,patch,official version,1
92,content,patches,expansions,patch,content expansions,1
93,throat,patch,smaller,patch,throat smaller,1
94,throat,patch,tail,patch,throat tail,1
95,arch,patch,arch,patch,arch arch,1
96,visit,patched,relations,patch,visit relations,1
97,enemies,patched,things,patch,enemies things,1
98,rootkit,patch,commands,patch,rootkit commands,1
99,crop,patch,brown,patch,crop brown,1
100,face,patches,taper,patch,face taper,1
101,workers,patched,hull,patch,workers hull,1
102,monitors,patch,compliance,patch,monitors compliance,1
103,stage,patch,tool,patch,stage tool,1
104,opacus,patches,fuse,patch,opacus fuse,1
105,factions,patched,differences,patch,factions differences,1
106,eczema,patch,results,patch,eczema results,1
107,one,patched,things,patch,one things,1
108,cuff,patches,kepi,patch,cuff kepi,1
109,information,patch,panel,patch,information panel,1
110,couple,patched,things,patch,couple things,1
111,any,patch,lands,patch,any lands,1
112,beginnings,patch,items,patch,beginnings items,1
113,food,patch,knowledge,patch,food knowledge,1
114,parties,patched,truce,patch,parties truce,1
115,hip,patches,tips,patch,hip tips,1
116,two,patched,friendship,patch,two friendship,1
117,companies,patch,vulnerabilities,patch,companies vulnerabilities,1
118,flows,patch,contrast,patch,flows contrast,1
119,story,patch,nature,patch,story nature,1
120,day,patched,welding,patch,day welding,1
121,throat,patch,brown,patch,throat brown,1
122,throat,patch,center,patch,throat center,1
123,eye,patched,rogue,patch,eye rogue,1
124,two,patched,quarrel,patch,two quarrel,1
125,encampment,patch,cannons,patch,encampment cannons,1
126,throat,patch,patch,patch,throat patch,1
127,oiler,patched,hull,patch,oiler hull,1
128,survivors,patched,cut,patch,survivors cut,1
129,susceptor,patch,temperature,patch,susceptor temperature,1
130,brothers,patched,relationship,patch,brothers relationship,1
131,boy,patches,bird,patch,boy bird,1
132,writers,patch,tag,patch,writers tag,1
133,vein,patch,surgery,patch,vein surgery,1
134,dark,patch,left,patch,dark left,1
135,bliss,patches,nation,patch,bliss nation,1
