,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,agents,peek,searches,peek,agents searches,1
1,sun,peeks,head,peek,sun head,1
2,orphans,peek,rock,peek,orphans rock,1
3,students,peek,nothing,peek,students nothing,1
4,children,peek,faces,peek,children faces,1
5,woman,peeked,window,peek,woman window,1
6,teachers,peeking,windows,peek,teachers windows,1
7,ferocities,peeks,summit,peek,ferocities summit,1
8,men,peeked,window,peek,men window,1
9,band,peeked,vocals,peek,band vocals,1
