,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,winds,piled,water,pile,winds water,4
1,winds,pile,water,pile,winds water,4
2,winds,pile,water,pile,winds water,4
3,winds,pile,water,pile,winds water,4
4,thrusts,piled,sheets,pile,thrusts sheets,3
5,thrusts,piled,sheets,pile,thrusts sheets,3
6,thrusts,piled,sheets,pile,thrusts sheets,3
7,residents,piled,sandbags,pile,residents sandbags,2
8,offense,piled,yards,pile,offense yards,2
9,boys,pile,score,pile,boys score,2
10,boys,pile,score,pile,boys score,2
11,offense,piled,yards,pile,offense yards,2
12,carriages,piled,fire,pile,carriages fire,2
13,residents,piled,sandbags,pile,residents sandbags,2
14,carriages,piled,fire,pile,carriages fire,2
15,father,piled,belongings,pile,father belongings,1
16,decks,piled,story,pile,decks story,1
17,reels,pile,floor,pile,reels floor,1
18,helicopter,piled,fire,pile,helicopter fire,1
19,mob,piled,wood,pile,mob wood,1
20,ideas,piled,ingredients,pile,ideas ingredients,1
21,people,piled,soil,pile,people soil,1
22,death,piled,stones,pile,death stones,1
23,scientists,pile,knowledge,pile,scientists knowledge,1
24,state,piled,water,pile,state water,1
25,victims,piled,one,pile,victims one,1
26,slave,piled,firewood,pile,slave firewood,1
27,harvesters,pile,ice,pile,harvesters ice,1
28,writers,piled,intrigue,pile,writers intrigue,1
29,tanks,piling,dirt,pile,tanks dirt,1
30,combat,piles,death,pile,combat death,1
31,turbines,piled,power,pile,turbines power,1
32,waste,piled,tons,pile,waste tons,1
33,crews,piled,coal,pile,crews coal,1
34,blizzard,piled,snow,pile,blizzard snow,1
35,feet,piling,miles,pile,feet miles,1
36,wall,piled,one,pile,wall one,1
37,narrative,piles,details,pile,narrative details,1
38,faults,pile,one,pile,faults one,1
39,sheet,piling,way,pile,sheet way,1
40,impossibilities,pile,one,pile,impossibilities one,1
41,farmers,pile,all,pile,farmers all,1
42,belt,piling,sawdust,pile,belt sawdust,1
43,townspeople,piled,bodies,pile,townspeople bodies,1
44,sun,pile,rocks,pile,sun rocks,1
45,number,piled,track,pile,number track,1
46,people,piling,one,pile,people one,1
47,song,piles,evocations,pile,song evocations,1
48,all,piling,work,pile,all work,1
49,building,piling,make,pile,building make,1
50,citizens,pile,garbage,pile,citizens garbage,1
51,skipper,piles,plenty,pile,skipper plenty,1
52,family,piled,stoves,pile,family stoves,1
53,bones,piled,three,pile,bones three,1
54,garrison,piled,arms,pile,garrison arms,1
55,ashes,piled,thereon,pile,ashes thereon,1
56,plans,piling,foundations,pile,plans foundations,1
57,time,piled,research,pile,time research,1
58,fishermen,piled,trout,pile,fishermen trout,1
59,architects,piled,earth,pile,architects earth,1
60,author,piles,series,pile,author series,1
61,ejecta,piled,cone,pile,ejecta cone,1
62,ape,piled,firewood,pile,ape firewood,1
63,timber,piled,wall,pile,timber wall,1
64,timber,piling,construction,pile,timber construction,1
65,gangs,piled,weapons,pile,gangs weapons,1
66,teams,pile,concrete,pile,teams concrete,1
67,stones,piled,area,pile,stones area,1
68,buildings,piled,damage,pile,buildings damage,1
69,fragments,pile,cone,pile,fragments cone,1
70,arsonists,piled,books,pile,arsonists books,1
71,forces,piled,bodies,pile,forces bodies,1
72,corestone,piled,tor,pile,corestone tor,1
73,participants,piled,kinds,pile,participants kinds,1
74,stock,piled,thieves,pile,stock thieves,1
75,party,piling,sacks,pile,party sacks,1
76,fact,piled,nostalgia,pile,fact nostalgia,1
77,stacks,piled,heights,pile,stacks heights,1
78,water,piled,timber,pile,water timber,1
79,hair,piled,moustache,pile,hair moustache,1
80,chargers,piled,points,pile,chargers points,1
81,waves,piled,sand,pile,waves sand,1
82,soil,piled,inches,pile,soil inches,1
83,movers,pile,belongings,pile,movers belongings,1
84,soldiers,piled,breastworks,pile,soldiers breastworks,1
85,locomotives,piled,one,pile,locomotives one,1
86,brushstrokes,piled,one,pile,brushstrokes one,1
87,winds,piled,snow,pile,winds snow,1
88,tractors,pile,coal,pile,tractors coal,1
89,defeat,piled,disasters,pile,defeat disasters,1
90,winds,pile,sand,pile,winds sand,1
91,bodies,piled,something,pile,bodies something,1
92,government,piled,mud,pile,government mud,1
93,miners,piled,mélange,pile,miners mélange,1
94,decline,piles,water,pile,decline water,1
95,construction,piling,installation,pile,construction installation,1
96,flood,piled,posts,pile,flood posts,1
97,gravestone,piled,one,pile,gravestone one,1
98,look,piles,twist,pile,look twist,1
99,mystery,piled,incident,pile,mystery incident,1
100,bodies,piled,attackers,pile,bodies attackers,1
101,tides,piled,debris,pile,tides debris,1
102,shadows,piled,one,pile,shadows one,1
103,scientists,piled,concrete,pile,scientists concrete,1
104,movements,pile,turns,pile,movements turns,1
105,forces,piled,earth,pile,forces earth,1
106,group,piles,message,pile,group message,1
107,party,piled,tires,pile,party tires,1
108,militia,piled,bodies,pile,militia bodies,1
109,women,pile,faces,pile,women faces,1
110,school,piled,debt,pile,school debt,1
111,columns,piled,terraces,pile,columns terraces,1
112,remnants,piled,water,pile,remnants water,1
113,people,pile,shells,pile,people shells,1
114,five,pile,credit,pile,five credit,1
115,gear,piled,note,pile,gear note,1
116,team,piled,victory,pile,team victory,1
117,runners,piling,montón,pile,runners montón,1
118,men,piled,heap,pile,men heap,1
119,assistants,piled,earth,pile,assistants earth,1
120,winds,piled,boats,pile,winds boats,1
121,badgers,piled,dirt,pile,badgers dirt,1
122,refineries,piled,mountains,pile,refineries mountains,1
123,men,piled,trolleys,pile,men trolleys,1
124,men,piled,play,pile,men play,1
125,bodies,piled,well,pile,bodies well,1
126,contractor,piled,ground,pile,contractor ground,1
127,regime,piled,difficulties,pile,regime difficulties,1
128,loss,piled,losses,pile,loss losses,1
129,community,piled,sandbags,pile,community sandbags,1
130,children,pile,stones,pile,children stones,1
131,pier,piled,foundations,pile,pier foundations,1
132,batsmen,piled,scores,pile,batsmen scores,1
133,shells,piled,activity,pile,shells activity,1
134,surrounding,piled,snow,pile,surrounding snow,1
135,duo,piled,runs,pile,duo runs,1
136,pigs,pile,matches,pile,pigs matches,1
137,plant,piled,cob,pile,plant cob,1
138,children,piled,books,pile,children books,1
139,group,piled,rocks,pile,group rocks,1
140,survivors,pile,bodies,pile,survivors bodies,1
141,inmates,piled,bodies,pile,inmates bodies,1
142,logs,piled,one,pile,logs one,1
143,townsfolk,piled,possessions,pile,townsfolk possessions,1
144,fees,pile,treatment,pile,fees treatment,1
145,robot,piles,remains,pile,robot remains,1
146,bodies,piled,stores,pile,bodies stores,1
