,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,play,games,play,team games,943
1,team,played,games,play,team games,943
2,team,played,games,play,team games,943
3,team,played,games,play,team games,943
4,team,played,games,play,team games,943
5,team,played,games,play,team games,943
6,team,played,games,play,team games,943
7,team,plays,games,play,team games,943
8,team,plays,games,play,team games,943
9,team,playing,games,play,team games,943
10,team,played,games,play,team games,943
11,team,play,games,play,team games,943
12,team,played,games,play,team games,943
13,team,playing,games,play,team games,943
14,team,played,games,play,team games,943
15,team,played,games,play,team games,943
16,team,played,games,play,team games,943
17,team,played,games,play,team games,943
18,team,played,games,play,team games,943
19,team,played,games,play,team games,943
20,team,played,games,play,team games,943
21,team,played,games,play,team games,943
22,team,playing,games,play,team games,943
23,team,played,games,play,team games,943
24,team,played,games,play,team games,943
25,team,played,games,play,team games,943
26,team,played,games,play,team games,943
27,team,plays,games,play,team games,943
28,team,played,games,play,team games,943
29,team,played,games,play,team games,943
30,team,played,games,play,team games,943
31,team,played,games,play,team games,943
32,team,played,games,play,team games,943
33,team,plays,games,play,team games,943
34,team,played,games,play,team games,943
35,team,played,games,play,team games,943
36,team,played,games,play,team games,943
37,team,played,games,play,team games,943
38,team,played,games,play,team games,943
39,team,played,games,play,team games,943
40,team,plays,games,play,team games,943
41,team,plays,games,play,team games,943
42,team,plays,games,play,team games,943
43,team,plays,games,play,team games,943
44,team,played,games,play,team games,943
45,team,plays,games,play,team games,943
46,team,played,games,play,team games,943
47,team,played,games,play,team games,943
48,team,plays,games,play,team games,943
49,team,plays,games,play,team games,943
50,team,played,games,play,team games,943
51,team,played,games,play,team games,943
52,team,played,games,play,team games,943
53,team,plays,games,play,team games,943
54,team,played,games,play,team games,943
55,team,played,games,play,team games,943
56,team,played,games,play,team games,943
57,team,play,games,play,team games,943
58,team,played,games,play,team games,943
59,team,played,games,play,team games,943
60,team,played,games,play,team games,943
61,team,plays,games,play,team games,943
62,team,played,games,play,team games,943
63,team,played,games,play,team games,943
64,team,played,games,play,team games,943
65,team,plays,games,play,team games,943
66,team,played,games,play,team games,943
67,team,played,games,play,team games,943
68,team,played,games,play,team games,943
69,team,playing,games,play,team games,943
70,team,plays,games,play,team games,943
71,team,played,games,play,team games,943
72,team,played,games,play,team games,943
73,team,played,games,play,team games,943
74,team,played,games,play,team games,943
75,team,plays,games,play,team games,943
76,team,playing,games,play,team games,943
77,team,played,games,play,team games,943
78,team,played,games,play,team games,943
79,team,plays,games,play,team games,943
80,team,playing,games,play,team games,943
81,team,played,games,play,team games,943
82,team,played,games,play,team games,943
83,team,played,games,play,team games,943
84,team,played,games,play,team games,943
85,team,playing,games,play,team games,943
86,team,played,games,play,team games,943
87,team,played,games,play,team games,943
88,team,played,games,play,team games,943
89,team,played,games,play,team games,943
90,team,played,games,play,team games,943
91,team,played,games,play,team games,943
92,team,plays,games,play,team games,943
93,team,playing,games,play,team games,943
94,team,playing,games,play,team games,943
95,team,played,games,play,team games,943
96,team,played,games,play,team games,943
97,team,played,games,play,team games,943
98,team,playing,games,play,team games,943
99,team,plays,games,play,team games,943
100,team,played,games,play,team games,943
101,team,played,games,play,team games,943
102,team,played,games,play,team games,943
103,team,played,games,play,team games,943
104,team,plays,games,play,team games,943
105,team,played,games,play,team games,943
106,team,playing,games,play,team games,943
107,team,played,games,play,team games,943
108,team,played,games,play,team games,943
109,team,plays,games,play,team games,943
110,team,played,games,play,team games,943
111,team,playing,games,play,team games,943
112,team,played,games,play,team games,943
113,team,played,games,play,team games,943
114,team,plays,games,play,team games,943
115,team,played,games,play,team games,943
116,team,played,games,play,team games,943
117,team,playing,games,play,team games,943
118,team,play,games,play,team games,943
119,team,played,games,play,team games,943
120,team,plays,games,play,team games,943
121,team,plays,games,play,team games,943
122,team,played,games,play,team games,943
123,team,played,games,play,team games,943
124,team,played,games,play,team games,943
125,team,played,games,play,team games,943
126,team,plays,games,play,team games,943
127,team,played,games,play,team games,943
128,team,played,games,play,team games,943
129,team,played,games,play,team games,943
130,team,played,games,play,team games,943
131,team,played,games,play,team games,943
132,team,played,games,play,team games,943
133,team,played,games,play,team games,943
134,team,played,games,play,team games,943
135,team,played,games,play,team games,943
136,team,played,games,play,team games,943
137,team,played,games,play,team games,943
138,team,playing,games,play,team games,943
139,team,played,games,play,team games,943
140,team,play,games,play,team games,943
141,team,played,games,play,team games,943
142,team,plays,games,play,team games,943
143,team,played,games,play,team games,943
144,team,played,games,play,team games,943
145,team,played,games,play,team games,943
146,team,played,games,play,team games,943
147,team,played,games,play,team games,943
148,team,played,games,play,team games,943
149,team,played,games,play,team games,943
150,team,played,games,play,team games,943
151,team,played,games,play,team games,943
152,team,played,games,play,team games,943
153,team,played,games,play,team games,943
154,team,plays,games,play,team games,943
155,team,played,games,play,team games,943
156,team,played,games,play,team games,943
157,team,plays,games,play,team games,943
158,team,plays,games,play,team games,943
159,team,plays,games,play,team games,943
160,team,playing,games,play,team games,943
161,team,played,games,play,team games,943
162,team,played,games,play,team games,943
163,team,played,games,play,team games,943
164,team,played,games,play,team games,943
165,team,played,games,play,team games,943
166,team,plays,games,play,team games,943
167,team,plays,games,play,team games,943
168,team,played,games,play,team games,943
169,team,played,games,play,team games,943
170,team,played,games,play,team games,943
171,team,played,games,play,team games,943
172,team,plays,games,play,team games,943
173,team,played,games,play,team games,943
174,team,play,games,play,team games,943
175,team,played,games,play,team games,943
176,team,played,games,play,team games,943
177,team,played,games,play,team games,943
178,team,played,games,play,team games,943
179,team,played,games,play,team games,943
180,team,played,games,play,team games,943
181,team,played,games,play,team games,943
182,team,played,games,play,team games,943
183,team,plays,games,play,team games,943
184,team,playing,games,play,team games,943
185,team,played,games,play,team games,943
186,team,plays,games,play,team games,943
187,team,played,games,play,team games,943
188,team,plays,games,play,team games,943
189,team,played,games,play,team games,943
190,team,played,games,play,team games,943
191,team,playing,games,play,team games,943
192,team,played,games,play,team games,943
193,team,played,games,play,team games,943
194,team,played,games,play,team games,943
195,team,plays,games,play,team games,943
196,team,played,games,play,team games,943
197,team,played,games,play,team games,943
198,team,played,games,play,team games,943
199,team,plays,games,play,team games,943
200,team,playing,games,play,team games,943
201,team,played,games,play,team games,943
202,team,played,games,play,team games,943
203,team,played,games,play,team games,943
204,team,played,games,play,team games,943
205,team,plays,games,play,team games,943
206,team,play,games,play,team games,943
207,team,played,games,play,team games,943
208,team,played,games,play,team games,943
209,team,played,games,play,team games,943
210,team,played,games,play,team games,943
211,team,played,games,play,team games,943
212,team,played,games,play,team games,943
213,team,plays,games,play,team games,943
214,team,played,games,play,team games,943
215,team,played,games,play,team games,943
216,team,played,games,play,team games,943
217,team,played,games,play,team games,943
218,team,plays,games,play,team games,943
219,team,played,games,play,team games,943
220,team,plays,games,play,team games,943
221,team,plays,games,play,team games,943
222,team,play,games,play,team games,943
223,team,played,games,play,team games,943
224,team,played,games,play,team games,943
225,team,played,games,play,team games,943
226,team,played,games,play,team games,943
227,team,played,games,play,team games,943
228,team,played,games,play,team games,943
229,team,played,games,play,team games,943
230,team,played,games,play,team games,943
231,team,played,games,play,team games,943
232,team,played,games,play,team games,943
233,team,played,games,play,team games,943
234,team,played,games,play,team games,943
235,team,played,games,play,team games,943
236,team,played,games,play,team games,943
237,team,played,games,play,team games,943
238,team,plays,games,play,team games,943
239,team,played,games,play,team games,943
240,team,played,games,play,team games,943
241,team,playing,games,play,team games,943
242,team,played,games,play,team games,943
243,team,played,games,play,team games,943
244,team,playing,games,play,team games,943
245,team,playing,games,play,team games,943
246,team,played,games,play,team games,943
247,team,played,games,play,team games,943
248,team,played,games,play,team games,943
249,team,plays,games,play,team games,943
250,team,plays,games,play,team games,943
251,team,played,games,play,team games,943
252,team,plays,games,play,team games,943
253,team,played,games,play,team games,943
254,team,played,games,play,team games,943
255,team,played,games,play,team games,943
256,team,played,games,play,team games,943
257,team,plays,games,play,team games,943
258,team,played,games,play,team games,943
259,team,plays,games,play,team games,943
260,team,played,games,play,team games,943
261,team,played,games,play,team games,943
262,team,playing,games,play,team games,943
263,team,playing,games,play,team games,943
264,team,played,games,play,team games,943
265,team,plays,games,play,team games,943
266,team,played,games,play,team games,943
267,team,played,games,play,team games,943
268,team,played,games,play,team games,943
269,team,played,games,play,team games,943
270,team,plays,games,play,team games,943
271,team,playing,games,play,team games,943
272,team,played,games,play,team games,943
273,team,played,games,play,team games,943
274,team,played,games,play,team games,943
275,team,plays,games,play,team games,943
276,team,played,games,play,team games,943
277,team,played,games,play,team games,943
278,team,played,games,play,team games,943
279,team,plays,games,play,team games,943
280,team,played,games,play,team games,943
281,team,playing,games,play,team games,943
282,team,plays,games,play,team games,943
283,team,playing,games,play,team games,943
284,team,plays,games,play,team games,943
285,team,plays,games,play,team games,943
286,team,played,games,play,team games,943
287,team,playing,games,play,team games,943
288,team,plays,games,play,team games,943
289,team,played,games,play,team games,943
290,team,played,games,play,team games,943
291,team,played,games,play,team games,943
292,team,played,games,play,team games,943
293,team,played,games,play,team games,943
294,team,played,games,play,team games,943
295,team,played,games,play,team games,943
296,team,played,games,play,team games,943
297,team,played,games,play,team games,943
298,team,played,games,play,team games,943
299,team,played,games,play,team games,943
300,team,played,games,play,team games,943
301,team,played,games,play,team games,943
302,team,plays,games,play,team games,943
303,team,played,games,play,team games,943
304,team,played,games,play,team games,943
305,team,played,games,play,team games,943
306,team,played,games,play,team games,943
307,team,plays,games,play,team games,943
308,team,plays,games,play,team games,943
309,team,played,games,play,team games,943
310,team,plays,games,play,team games,943
311,team,played,games,play,team games,943
312,team,played,games,play,team games,943
313,team,played,games,play,team games,943
314,team,played,games,play,team games,943
315,team,playing,games,play,team games,943
316,team,played,games,play,team games,943
317,team,plays,games,play,team games,943
318,team,played,games,play,team games,943
319,team,plays,games,play,team games,943
320,team,played,games,play,team games,943
321,team,played,games,play,team games,943
322,team,played,games,play,team games,943
323,team,playing,games,play,team games,943
324,team,played,games,play,team games,943
325,team,plays,games,play,team games,943
326,team,played,games,play,team games,943
327,team,played,games,play,team games,943
328,team,played,games,play,team games,943
329,team,played,games,play,team games,943
330,team,played,games,play,team games,943
331,team,played,games,play,team games,943
332,team,played,games,play,team games,943
333,team,plays,games,play,team games,943
334,team,playing,games,play,team games,943
335,team,played,games,play,team games,943
336,team,played,games,play,team games,943
337,team,played,games,play,team games,943
338,team,played,games,play,team games,943
339,team,played,games,play,team games,943
340,team,playing,games,play,team games,943
341,team,plays,games,play,team games,943
342,team,plays,games,play,team games,943
343,team,played,games,play,team games,943
344,team,playing,games,play,team games,943
345,team,played,games,play,team games,943
346,team,played,games,play,team games,943
347,team,played,games,play,team games,943
348,team,played,games,play,team games,943
349,team,plays,games,play,team games,943
350,team,played,games,play,team games,943
351,team,played,games,play,team games,943
352,team,played,games,play,team games,943
353,team,played,games,play,team games,943
354,team,played,games,play,team games,943
355,team,played,games,play,team games,943
356,team,play,games,play,team games,943
357,team,played,games,play,team games,943
358,team,played,games,play,team games,943
359,team,played,games,play,team games,943
360,team,played,games,play,team games,943
361,team,played,games,play,team games,943
362,team,played,games,play,team games,943
363,team,playing,games,play,team games,943
364,team,plays,games,play,team games,943
365,team,played,games,play,team games,943
366,team,plays,games,play,team games,943
367,team,played,games,play,team games,943
368,team,played,games,play,team games,943
369,team,played,games,play,team games,943
370,team,played,games,play,team games,943
371,team,played,games,play,team games,943
372,team,played,games,play,team games,943
373,team,plays,games,play,team games,943
374,team,plays,games,play,team games,943
375,team,playing,games,play,team games,943
376,team,played,games,play,team games,943
377,team,played,games,play,team games,943
378,team,played,games,play,team games,943
379,team,played,games,play,team games,943
380,team,plays,games,play,team games,943
381,team,played,games,play,team games,943
382,team,played,games,play,team games,943
383,team,played,games,play,team games,943
384,team,played,games,play,team games,943
385,team,played,games,play,team games,943
386,team,played,games,play,team games,943
387,team,played,games,play,team games,943
388,team,played,games,play,team games,943
389,team,playing,games,play,team games,943
390,team,played,games,play,team games,943
391,team,playing,games,play,team games,943
392,team,played,games,play,team games,943
393,team,played,games,play,team games,943
394,team,plays,games,play,team games,943
395,team,plays,games,play,team games,943
396,team,plays,games,play,team games,943
397,team,played,games,play,team games,943
398,team,plays,games,play,team games,943
399,team,played,games,play,team games,943
400,team,played,games,play,team games,943
401,team,played,games,play,team games,943
402,team,played,games,play,team games,943
403,team,played,games,play,team games,943
404,team,playing,games,play,team games,943
405,team,played,games,play,team games,943
406,team,played,games,play,team games,943
407,team,played,games,play,team games,943
408,team,playing,games,play,team games,943
409,team,played,games,play,team games,943
410,team,plays,games,play,team games,943
411,team,played,games,play,team games,943
412,team,played,games,play,team games,943
413,team,plays,games,play,team games,943
414,team,played,games,play,team games,943
415,team,plays,games,play,team games,943
416,team,played,games,play,team games,943
417,team,played,games,play,team games,943
418,team,played,games,play,team games,943
419,team,played,games,play,team games,943
420,team,plays,games,play,team games,943
421,team,playing,games,play,team games,943
422,team,played,games,play,team games,943
423,team,played,games,play,team games,943
424,team,plays,games,play,team games,943
425,team,played,games,play,team games,943
426,team,plays,games,play,team games,943
427,team,played,games,play,team games,943
428,team,played,games,play,team games,943
429,team,plays,games,play,team games,943
430,team,playing,games,play,team games,943
431,team,played,games,play,team games,943
432,team,played,games,play,team games,943
433,team,played,games,play,team games,943
434,team,played,games,play,team games,943
435,team,played,games,play,team games,943
436,team,played,games,play,team games,943
437,team,play,games,play,team games,943
438,team,played,games,play,team games,943
439,team,played,games,play,team games,943
440,team,played,games,play,team games,943
441,team,played,games,play,team games,943
442,team,played,games,play,team games,943
443,team,played,games,play,team games,943
444,team,plays,games,play,team games,943
445,team,playing,games,play,team games,943
446,team,played,games,play,team games,943
447,team,played,games,play,team games,943
448,team,playing,games,play,team games,943
449,team,plays,games,play,team games,943
450,team,plays,games,play,team games,943
451,team,playing,games,play,team games,943
452,team,played,games,play,team games,943
453,team,playing,games,play,team games,943
454,team,played,games,play,team games,943
455,team,played,games,play,team games,943
456,team,played,games,play,team games,943
457,team,playing,games,play,team games,943
458,team,plays,games,play,team games,943
459,team,playing,games,play,team games,943
460,team,playing,games,play,team games,943
461,team,playing,games,play,team games,943
462,team,played,games,play,team games,943
463,team,plays,games,play,team games,943
464,team,played,games,play,team games,943
465,team,played,games,play,team games,943
466,team,played,games,play,team games,943
467,team,played,games,play,team games,943
468,team,plays,games,play,team games,943
469,team,played,games,play,team games,943
470,team,plays,games,play,team games,943
471,team,playing,games,play,team games,943
472,team,played,games,play,team games,943
473,team,plays,games,play,team games,943
474,team,plays,games,play,team games,943
475,team,played,games,play,team games,943
476,team,played,games,play,team games,943
477,team,played,games,play,team games,943
478,team,played,games,play,team games,943
479,team,plays,games,play,team games,943
480,team,played,games,play,team games,943
481,team,played,games,play,team games,943
482,team,played,games,play,team games,943
483,team,played,games,play,team games,943
484,team,played,games,play,team games,943
485,team,played,games,play,team games,943
486,team,played,games,play,team games,943
487,team,played,games,play,team games,943
488,team,played,games,play,team games,943
489,team,played,games,play,team games,943
490,team,played,games,play,team games,943
491,team,played,games,play,team games,943
492,team,played,games,play,team games,943
493,team,played,games,play,team games,943
494,team,played,games,play,team games,943
495,team,plays,games,play,team games,943
496,team,plays,games,play,team games,943
497,team,plays,games,play,team games,943
498,team,played,games,play,team games,943
499,team,playing,games,play,team games,943
500,team,played,games,play,team games,943
501,team,played,games,play,team games,943
502,team,played,games,play,team games,943
503,team,playing,games,play,team games,943
504,team,played,games,play,team games,943
505,team,played,games,play,team games,943
506,team,played,games,play,team games,943
507,team,played,games,play,team games,943
508,team,played,games,play,team games,943
509,team,played,games,play,team games,943
510,team,playing,games,play,team games,943
511,team,played,games,play,team games,943
512,team,played,games,play,team games,943
513,team,plays,games,play,team games,943
514,team,playing,games,play,team games,943
515,team,played,games,play,team games,943
516,team,played,games,play,team games,943
517,team,played,games,play,team games,943
518,team,play,games,play,team games,943
519,team,played,games,play,team games,943
520,team,played,games,play,team games,943
521,team,played,games,play,team games,943
522,team,played,games,play,team games,943
523,team,played,games,play,team games,943
524,team,played,games,play,team games,943
525,team,played,games,play,team games,943
526,team,played,games,play,team games,943
527,team,played,games,play,team games,943
528,team,played,games,play,team games,943
529,team,played,games,play,team games,943
530,team,played,games,play,team games,943
531,team,played,games,play,team games,943
532,team,played,games,play,team games,943
533,team,playing,games,play,team games,943
534,team,played,games,play,team games,943
535,team,played,games,play,team games,943
536,team,played,games,play,team games,943
537,team,play,games,play,team games,943
538,team,playing,games,play,team games,943
539,team,played,games,play,team games,943
540,team,playing,games,play,team games,943
541,team,play,games,play,team games,943
542,team,played,games,play,team games,943
543,team,played,games,play,team games,943
544,team,played,games,play,team games,943
545,team,played,games,play,team games,943
546,team,played,games,play,team games,943
547,team,plays,games,play,team games,943
548,team,played,games,play,team games,943
549,team,played,games,play,team games,943
550,team,played,games,play,team games,943
551,team,play,games,play,team games,943
552,team,played,games,play,team games,943
553,team,played,games,play,team games,943
554,team,played,games,play,team games,943
555,team,played,games,play,team games,943
556,team,plays,games,play,team games,943
557,team,played,games,play,team games,943
558,team,played,games,play,team games,943
559,team,played,games,play,team games,943
560,team,played,games,play,team games,943
561,team,played,games,play,team games,943
562,team,played,games,play,team games,943
563,team,played,games,play,team games,943
564,team,played,games,play,team games,943
565,team,played,games,play,team games,943
566,team,plays,games,play,team games,943
567,team,played,games,play,team games,943
568,team,played,games,play,team games,943
569,team,played,games,play,team games,943
570,team,played,games,play,team games,943
571,team,played,games,play,team games,943
572,team,played,games,play,team games,943
573,team,played,games,play,team games,943
574,team,played,games,play,team games,943
575,team,played,games,play,team games,943
576,team,played,games,play,team games,943
577,team,played,games,play,team games,943
578,team,played,games,play,team games,943
579,team,playing,games,play,team games,943
580,team,played,games,play,team games,943
581,team,played,games,play,team games,943
582,team,played,games,play,team games,943
583,team,played,games,play,team games,943
584,team,played,games,play,team games,943
585,team,played,games,play,team games,943
586,team,played,games,play,team games,943
587,team,plays,games,play,team games,943
588,team,played,games,play,team games,943
589,team,playing,games,play,team games,943
590,team,played,games,play,team games,943
591,team,playing,games,play,team games,943
592,team,playing,games,play,team games,943
593,team,playing,games,play,team games,943
594,team,played,games,play,team games,943
595,team,played,games,play,team games,943
596,team,played,games,play,team games,943
597,team,played,games,play,team games,943
598,team,played,games,play,team games,943
599,team,playing,games,play,team games,943
600,team,played,games,play,team games,943
601,team,played,games,play,team games,943
602,team,plays,games,play,team games,943
603,team,plays,games,play,team games,943
604,team,played,games,play,team games,943
605,team,played,games,play,team games,943
606,team,played,games,play,team games,943
607,team,played,games,play,team games,943
608,team,played,games,play,team games,943
609,team,played,games,play,team games,943
610,team,playing,games,play,team games,943
611,team,plays,games,play,team games,943
612,team,playing,games,play,team games,943
613,team,plays,games,play,team games,943
614,team,played,games,play,team games,943
615,team,played,games,play,team games,943
616,team,played,games,play,team games,943
617,team,played,games,play,team games,943
618,team,played,games,play,team games,943
619,team,played,games,play,team games,943
620,team,play,games,play,team games,943
621,team,playing,games,play,team games,943
622,team,played,games,play,team games,943
623,team,played,games,play,team games,943
624,team,played,games,play,team games,943
625,team,play,games,play,team games,943
626,team,played,games,play,team games,943
627,team,played,games,play,team games,943
628,team,played,games,play,team games,943
629,team,played,games,play,team games,943
630,team,plays,games,play,team games,943
631,team,played,games,play,team games,943
632,team,played,games,play,team games,943
633,team,played,games,play,team games,943
634,team,played,games,play,team games,943
635,team,played,games,play,team games,943
636,team,playing,games,play,team games,943
637,team,played,games,play,team games,943
638,team,played,games,play,team games,943
639,team,played,games,play,team games,943
640,team,played,games,play,team games,943
641,team,played,games,play,team games,943
642,team,play,games,play,team games,943
643,team,plays,games,play,team games,943
644,team,playing,games,play,team games,943
645,team,played,games,play,team games,943
646,team,played,games,play,team games,943
647,team,played,games,play,team games,943
648,team,plays,games,play,team games,943
649,team,played,games,play,team games,943
650,team,played,games,play,team games,943
651,team,played,games,play,team games,943
652,team,played,games,play,team games,943
653,team,plays,games,play,team games,943
654,team,played,games,play,team games,943
655,team,played,games,play,team games,943
656,team,playing,games,play,team games,943
657,team,plays,games,play,team games,943
658,team,played,games,play,team games,943
659,team,played,games,play,team games,943
660,team,played,games,play,team games,943
661,team,played,games,play,team games,943
662,team,playing,games,play,team games,943
663,team,played,games,play,team games,943
664,team,played,games,play,team games,943
665,team,played,games,play,team games,943
666,team,playing,games,play,team games,943
667,team,plays,games,play,team games,943
668,team,played,games,play,team games,943
669,team,played,games,play,team games,943
670,team,played,games,play,team games,943
671,team,played,games,play,team games,943
672,team,playing,games,play,team games,943
673,team,played,games,play,team games,943
674,team,played,games,play,team games,943
675,team,plays,games,play,team games,943
676,team,played,games,play,team games,943
677,team,played,games,play,team games,943
678,team,played,games,play,team games,943
679,team,played,games,play,team games,943
680,team,played,games,play,team games,943
681,team,played,games,play,team games,943
682,team,played,games,play,team games,943
683,team,played,games,play,team games,943
684,team,played,games,play,team games,943
685,team,played,games,play,team games,943
686,team,plays,games,play,team games,943
687,team,played,games,play,team games,943
688,team,plays,games,play,team games,943
689,team,played,games,play,team games,943
690,team,played,games,play,team games,943
691,team,played,games,play,team games,943
692,team,plays,games,play,team games,943
693,team,play,games,play,team games,943
694,team,playing,games,play,team games,943
695,team,plays,games,play,team games,943
696,team,play,games,play,team games,943
697,team,played,games,play,team games,943
698,team,played,games,play,team games,943
699,team,played,games,play,team games,943
700,team,plays,games,play,team games,943
701,team,plays,games,play,team games,943
702,team,played,games,play,team games,943
703,team,played,games,play,team games,943
704,team,plays,games,play,team games,943
705,team,played,games,play,team games,943
706,team,played,games,play,team games,943
707,team,played,games,play,team games,943
708,team,played,games,play,team games,943
709,team,played,games,play,team games,943
710,team,play,games,play,team games,943
711,team,played,games,play,team games,943
712,team,played,games,play,team games,943
713,team,played,games,play,team games,943
714,team,played,games,play,team games,943
715,team,plays,games,play,team games,943
716,team,played,games,play,team games,943
717,team,played,games,play,team games,943
718,team,plays,games,play,team games,943
719,team,plays,games,play,team games,943
720,team,played,games,play,team games,943
721,team,plays,games,play,team games,943
722,team,plays,games,play,team games,943
723,team,playing,games,play,team games,943
724,team,plays,games,play,team games,943
725,team,played,games,play,team games,943
726,team,plays,games,play,team games,943
727,team,played,games,play,team games,943
