,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,two,plumbed,hardpoints,plumb,two hardpoints,1
1,tactics,plumb,depths,plumb,tactics depths,1
2,company,plumbing,supplies,plumb,company supplies,1
3,show,plumbed,depths,plumb,show depths,1
4,one,plumbed,darkness,plumb,one darkness,1
5,pic,plumbs,landscape,plumb,pic landscape,1
6,song,plumbs,depths,plumb,song depths,1
7,art,plumbs,truth,plumb,art truth,1
8,singer,plumbs,depths,plumb,singer depths,1
9,research,plumbs,best,plumb,research best,1
10,thriller,plumbed,depths,plumb,thriller depths,1
11,film,plumbs,corners,plumb,film corners,1
12,vocals,plumb,depths,plumb,vocals depths,1
13,crimes,plumbed,depths,plumb,crimes depths,1
