,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,points,classification,point,team classification,46
1,team,points,classification,point,team classification,46
2,team,points,classification,point,team classification,46
3,team,points,classification,point,team classification,46
4,team,points,classification,point,team classification,46
5,team,points,classification,point,team classification,46
6,team,points,classification,point,team classification,46
7,team,points,classification,point,team classification,46
8,team,points,classification,point,team classification,46
9,team,points,classification,point,team classification,46
10,team,points,classification,point,team classification,46
11,team,points,classification,point,team classification,46
12,team,points,classification,point,team classification,46
13,team,points,classification,point,team classification,46
14,team,points,classification,point,team classification,46
15,team,points,classification,point,team classification,46
16,team,points,classification,point,team classification,46
17,team,points,classification,point,team classification,46
18,team,points,classification,point,team classification,46
19,team,points,classification,point,team classification,46
20,team,points,classification,point,team classification,46
21,team,points,classification,point,team classification,46
22,team,points,classification,point,team classification,46
23,team,points,classification,point,team classification,46
24,team,points,classification,point,team classification,46
25,team,points,classification,point,team classification,46
26,team,points,classification,point,team classification,46
27,team,points,classification,point,team classification,46
28,team,points,classification,point,team classification,46
29,team,points,classification,point,team classification,46
30,team,points,classification,point,team classification,46
31,team,points,classification,point,team classification,46
32,team,points,classification,point,team classification,46
33,team,points,classification,point,team classification,46
34,team,points,classification,point,team classification,46
35,team,points,classification,point,team classification,46
36,team,points,classification,point,team classification,46
37,team,points,classification,point,team classification,46
38,team,points,classification,point,team classification,46
39,team,points,classification,point,team classification,46
40,team,points,classification,point,team classification,46
41,team,points,classification,point,team classification,46
42,team,points,classification,point,team classification,46
43,team,points,classification,point,team classification,46
44,team,points,classification,point,team classification,46
45,team,points,classification,point,team classification,46
46,players,points,player,point,players player,19
47,players,points,player,point,players player,19
48,players,points,player,point,players player,19
49,players,points,player,point,players player,19
50,players,points,player,point,players player,19
51,players,points,player,point,players player,19
52,players,points,player,point,players player,19
53,players,points,player,point,players player,19
54,players,points,player,point,players player,19
55,players,points,player,point,players player,19
56,players,points,player,point,players player,19
57,players,points,player,point,players player,19
58,players,points,player,point,players player,19
59,players,points,player,point,players player,19
60,players,points,player,point,players player,19
61,players,points,player,point,players player,19
62,players,points,player,point,players player,19
63,players,points,player,point,players player,19
64,players,points,player,point,players player,19
65,team,points,advances,point,team advances,13
66,team,points,advances,point,team advances,13
67,team,points,advances,point,team advances,13
68,team,points,advances,point,team advances,13
69,team,points,advances,point,team advances,13
70,team,points,advances,point,team advances,13
71,team,points,advances,point,team advances,13
72,team,points,advances,point,team advances,13
73,team,points,advances,point,team advances,13
74,team,points,advances,point,team advances,13
75,team,points,advances,point,team advances,13
76,team,points,advances,point,team advances,13
77,team,points,advances,point,team advances,13
78,petals,pointed,tips,point,petals tips,10
79,petals,pointed,tips,point,petals tips,10
80,petals,pointed,tips,point,petals tips,10
81,petals,pointed,tips,point,petals tips,10
82,petals,pointed,tips,point,petals tips,10
83,petals,pointed,tips,point,petals tips,10
84,petals,pointed,tips,point,petals tips,10
85,petals,pointed,tips,point,petals tips,10
86,petals,pointed,tips,point,petals tips,10
87,petals,pointed,tips,point,petals tips,10
88,man,points,gun,point,man gun,9
89,man,pointing,gun,point,man gun,9
90,man,points,gun,point,man gun,9
91,man,pointing,gun,point,man gun,9
92,man,pointing,gun,point,man gun,9
93,man,pointing,gun,point,man gun,9
94,man,points,gun,point,man gun,9
95,man,points,gun,point,man gun,9
96,man,pointed,gun,point,man gun,9
97,one,pointed,gun,point,one gun,7
98,one,points,gun,point,one gun,7
99,one,pointed,gun,point,one gun,7
100,one,pointed,gun,point,one gun,7
101,one,pointed,gun,point,one gun,7
102,one,pointed,gun,point,one gun,7
103,one,points,gun,point,one gun,7
104,winners,points,classification,point,winners classification,6
105,winners,points,classification,point,winners classification,6
106,winners,points,classification,point,winners classification,6
107,winners,points,classification,point,winners classification,6
108,winners,points,classification,point,winners classification,6
109,critics,point,similarities,point,critics similarities,6
110,winners,points,classification,point,winners classification,6
111,critics,pointed,similarities,point,critics similarities,6
112,critics,pointed,similarities,point,critics similarities,6
113,critics,pointed,similarities,point,critics similarities,6
114,critics,pointed,similarities,point,critics similarities,6
115,critics,pointed,similarities,point,critics similarities,6
116,user,points,device,point,user device,5
117,dew,point,temperature,point,dew temperature,5
118,user,points,device,point,user device,5
119,user,points,device,point,user device,5
120,dew,point,temperature,point,dew temperature,5
121,user,points,device,point,user device,5
122,dew,point,temperature,point,dew temperature,5
123,dew,point,temperature,point,dew temperature,5
124,user,points,device,point,user device,5
125,dew,point,temperature,point,dew temperature,5
126,people,point,finger,point,people finger,4
127,markers,point,way,point,markers way,4
128,gunmen,pointed,weapons,point,gunmen weapons,4
129,critics,pointed,lack,point,critics lack,4
130,pilot,points,aircraft,point,pilot aircraft,4
131,teams,point,total,point,teams total,4
132,teams,point,total,point,teams total,4
133,teams,point,total,point,teams total,4
134,teams,point,total,point,teams total,4
135,work,pointed,way,point,work way,4
136,critics,point,fact,point,critics fact,4
137,people,pointed,finger,point,people finger,4
138,pilot,points,aircraft,point,pilot aircraft,4
139,officer,points,gun,point,officer gun,4
140,critics,pointed,lack,point,critics lack,4
141,markers,point,way,point,markers way,4
142,gunmen,pointed,weapons,point,gunmen weapons,4
143,critics,point,lack,point,critics lack,4
144,officer,pointed,gun,point,officer gun,4
145,pilot,pointed,aircraft,point,pilot aircraft,4
146,gunmen,pointed,weapons,point,gunmen weapons,4
147,critics,point,fact,point,critics fact,4
148,gunmen,pointed,weapons,point,gunmen weapons,4
149,people,point,finger,point,people finger,4
150,markers,point,way,point,markers way,4
151,work,points,way,point,work way,4
152,officer,points,gun,point,officer gun,4
153,work,pointed,way,point,work way,4
154,critics,point,fact,point,critics fact,4
155,markers,point,way,point,markers way,4
156,critics,pointed,fact,point,critics fact,4
157,flower,pointed,lobes,point,flower lobes,4
158,flower,pointed,lobes,point,flower lobes,4
159,pilot,pointed,aircraft,point,pilot aircraft,4
160,flower,pointed,lobes,point,flower lobes,4
161,flower,pointed,lobes,point,flower lobes,4
162,officer,points,gun,point,officer gun,4
163,work,points,way,point,work way,4
164,people,pointed,finger,point,people finger,4
165,critics,pointed,lack,point,critics lack,4
166,reviewer,pointed,problems,point,reviewer problems,3
167,gunman,pointed,gun,point,gunman gun,3
168,referee,points,hand,point,referee hand,3
169,chevrons,point,chevrons,point,chevrons chevrons,3
170,fans,pointed,similarities,point,fans similarities,3
171,cattle,points,east,point,cattle east,3
172,crisis,points,drift,point,crisis drift,3
173,scholars,pointed,similarities,point,scholars similarities,3
174,stems,pointed,leaves,point,stems leaves,3
175,stems,pointed,leaves,point,stems leaves,3
176,man,pointed,pistol,point,man pistol,3
177,soldiers,point,guns,point,soldiers guns,3
178,stems,pointed,leaves,point,stems leaves,3
179,man,pointed,pistol,point,man pistol,3
180,cattle,points,east,point,cattle east,3
181,study,pointed,factors,point,study factors,3
182,line,points,west,point,line west,3
183,stock,points,way,point,stock way,3
184,stock,points,way,point,stock way,3
185,chevrons,pointing,chevrons,point,chevrons chevrons,3
186,chevrons,point,chevrons,point,chevrons chevrons,3
187,reviewers,point,similarities,point,reviewers similarities,3
188,flower,pointed,sepals,point,flower sepals,3
189,critics,pointed,flaws,point,critics flaws,3
190,flower,pointed,sepals,point,flower sepals,3
191,reviewers,pointed,similarities,point,reviewers similarities,3
192,critics,pointed,flaws,point,critics flaws,3
193,reviewer,pointed,similarities,point,reviewer similarities,3
194,scholars,point,similarities,point,scholars similarities,3
195,document,pointed,role,point,document role,3
196,line,points,west,point,line west,3
197,stock,pointed,way,point,stock way,3
198,study,pointed,factors,point,study factors,3
199,fans,pointed,similarities,point,fans similarities,3
200,soldiers,pointed,guns,point,soldiers guns,3
201,soldiers,pointing,guns,point,soldiers guns,3
202,referee,points,hand,point,referee hand,3
203,cattle,points,east,point,cattle east,3
204,sign,pointed,way,point,sign way,3
205,study,pointed,factors,point,study factors,3
206,soldiers,pointing,rifles,point,soldiers rifles,3
207,sign,points,way,point,sign way,3
208,reviewer,pointed,problems,point,reviewer problems,3
209,reviewer,pointed,problems,point,reviewer problems,3
210,document,pointed,role,point,document role,3
211,reviewers,point,similarities,point,reviewers similarities,3
212,review,pointed,issues,point,review issues,3
213,arrows,pointing,inwards,point,arrows inwards,3
214,arrows,pointing,inwards,point,arrows inwards,3
215,arrows,pointing,inwards,point,arrows inwards,3
216,soldiers,pointed,rifles,point,soldiers rifles,3
217,line,points,west,point,line west,3
218,sources,pointed,lifespan,point,sources lifespan,3
219,report,pointed,need,point,report need,3
220,sources,pointed,lifespan,point,sources lifespan,3
221,sources,pointed,lifespan,point,sources lifespan,3
222,document,pointed,role,point,document role,3
223,report,points,need,point,report need,3
224,review,pointed,issues,point,review issues,3
225,referee,points,hand,point,referee hand,3
226,critics,pointed,flaws,point,critics flaws,3
227,reviewer,pointed,similarities,point,reviewer similarities,3
228,fans,pointed,similarities,point,fans similarities,3
229,crisis,points,drift,point,crisis drift,3
230,review,points,issues,point,review issues,3
231,flower,pointed,sepals,point,flower sepals,3
232,soldiers,pointed,rifles,point,soldiers rifles,3
233,sign,points,way,point,sign way,3
234,man,points,pistol,point,man pistol,3
235,crisis,points,drift,point,crisis drift,3
236,gunman,points,gun,point,gunman gun,3
237,reviewer,pointed,similarities,point,reviewer similarities,3
238,minister,pointed,disappointment,point,minister disappointment,3
239,minister,pointed,disappointment,point,minister disappointment,3
240,minister,pointed,disappointment,point,minister disappointment,3
241,scholars,point,similarities,point,scholars similarities,3
242,gunman,pointed,gun,point,gunman gun,3
243,report,pointed,need,point,report need,3
244,biographer,pointing,errors,point,biographer errors,2
245,authors,pointed,finger,point,authors finger,2
246,arrow,points,way,point,arrow way,2
247,ruler,pointed,attention,point,ruler attention,2
248,leaves,pointed,tips,point,leaves tips,2
249,spitzer,pointed,bullet,point,spitzer bullet,2
250,response,pointed,resemblance,point,response resemblance,2
251,authors,pointed,finger,point,authors finger,2
252,head,pointing,east,point,head east,2
253,features,pointed,arches,point,features arches,2
254,regiment,pointing,motto,point,regiment motto,2
255,regiment,pointing,motto,point,regiment motto,2
256,church,pointed,windows,point,church windows,2
257,defense,pointed,contradictions,point,defense contradictions,2
258,boots,pointed,toes,point,boots toes,2
259,boots,pointed,toes,point,boots toes,2
260,plan,pointed,need,point,plan need,2
261,seal,points,date,point,seal date,2
262,triangle,points,downwards,point,triangle downwards,2
263,brother,points,gun,point,brother gun,2
264,male,pointing,head,point,male head,2
265,writers,pointing,charm,point,writers charm,2
266,head,pointing,north,point,head north,2
267,historians,point,fact,point,historians fact,2
268,reporter,points,microphone,point,reporter microphone,2
269,interior,points,set,point,interior set,2
270,evidence,points,way,point,evidence way,2
271,spitzer,pointed,bullet,point,spitzer bullet,2
272,report,pointed,difficulties,point,report difficulties,2
273,person,pointed,gun,point,person gun,2
274,gunman,pointed,rifle,point,gunman rifle,2
275,man,points,one,point,man one,2
276,tree,points,run,point,tree run,2
277,critics,point,limitations,point,critics limitations,2
278,members,pointed,problems,point,members problems,2
279,report,pointed,finger,point,report finger,2
280,streamlining,pointed,snout,point,streamlining snout,2
281,critics,pointed,parallel,point,critics parallel,2
282,critics,pointed,parallel,point,critics parallel,2
283,post,pointed,stick,point,post stick,2
284,studies,point,fact,point,studies fact,2
285,signpost,points,way,point,signpost way,2
286,soldier,points,gun,point,soldier gun,2
287,review,pointed,problems,point,review problems,2
288,ads,pointed,position,point,ads position,2
289,arrows,pointing,way,point,arrows way,2
290,series,points,championship,point,series championship,2
291,documents,point,fact,point,documents fact,2
292,catalog,points,ease,point,catalog ease,2
293,study,points,importance,point,study importance,2
294,album,points,way,point,album way,2
295,biographer,pointing,errors,point,biographer errors,2
296,field,points,direction,point,field direction,2
297,field,points,direction,point,field direction,2
298,studless,pointed,shell,point,studless shell,2
299,arrow,pointed,way,point,arrow way,2
300,reviewers,pointing,flaws,point,reviewers flaws,2
301,catalog,points,ease,point,catalog ease,2
302,studless,pointed,shell,point,studless shell,2
303,review,pointed,flaws,point,review flaws,2
304,uncle,pointed,area,point,uncle area,2
305,premiership,points,premiers,point,premiership premiers,2
306,versions,pointed,wise,point,versions wise,2
307,premiership,points,premiers,point,premiership premiers,2
308,brief,points,errors,point,brief errors,2
309,seal,points,date,point,seal date,2
310,historians,pointed,feast,point,historians feast,2
311,agents,pointed,guns,point,agents guns,2
312,advisers,pointed,threat,point,advisers threat,2
313,members,pointed,elements,point,members elements,2
314,road,points,west,point,road west,2
315,members,pointed,elements,point,members elements,2
316,brief,points,errors,point,brief errors,2
317,man,points,man,point,man man,2
318,toes,pointed,lifting,point,toes lifting,2
319,man,pointing,rifle,point,man rifle,2
320,congress,pointed,policies,point,congress policies,2
321,man,pointed,revolver,point,man revolver,2
322,author,points,symptoms,point,author symptoms,2
323,one,pointed,shotgun,point,one shotgun,2
324,report,pointed,finger,point,report finger,2
325,critics,pointed,limitations,point,critics limitations,2
326,historians,pointed,feast,point,historians feast,2
327,writers,pointing,charm,point,writers charm,2
328,police,pointed,pistols,point,police pistols,2
329,series,points,championship,point,series championship,2
330,historians,point,fact,point,historians fact,2
331,commenters,pointed,analysis,point,commenters analysis,2
332,species,pointed,snout,point,species snout,2
333,round,points,deaths,point,round deaths,2
334,reviewers,pointing,lack,point,reviewers lack,2
335,one,points,thumb,point,one thumb,2
336,official,pointed,parallels,point,official parallels,2
337,foot,pointing,degrees,point,foot degrees,2
338,foot,pointing,degrees,point,foot degrees,2
339,official,pointed,parallels,point,official parallels,2
340,album,points,way,point,album way,2
341,uncle,pointed,area,point,uncle area,2
342,reviewers,pointed,flaws,point,reviewers flaws,2
343,report,pointed,flaws,point,report flaws,2
344,team,points,competition,point,team competition,2
345,boer,pointing,ignorance,point,boer ignorance,2
346,sage,pointed,characteristics,point,sage characteristics,2
347,album,points,vitaux,point,album vitaux,2
348,angel,points,way,point,angel way,2
349,angel,pointed,way,point,angel way,2
350,round,points,deaths,point,round deaths,2
351,lawyer,pointed,precedent,point,lawyer precedent,2
352,defense,pointed,inconsistencies,point,defense inconsistencies,2
353,post,pointed,stick,point,post stick,2
354,response,pointed,resemblance,point,response resemblance,2
355,feet,pointing,west,point,feet west,2
356,head,pointed,east,point,head east,2
357,toes,pointed,lifting,point,toes lifting,2
358,man,pointed,revolver,point,man revolver,2
359,player,point,cursor,point,player cursor,2
360,representatives,pointed,hypocrisy,point,representatives hypocrisy,2
361,searches,pointed,resources,point,searches resources,2
362,searches,pointed,resources,point,searches resources,2
363,nose,points,picture,point,nose picture,2
364,nose,points,picture,point,nose picture,2
365,author,pointed,symptoms,point,author symptoms,2
366,features,pointed,arches,point,features arches,2
367,commenters,pointed,analysis,point,commenters analysis,2
368,species,pointed,snout,point,species snout,2
369,photographer,pointed,camera,point,photographer camera,2
370,sage,pointed,characteristics,point,sage characteristics,2
371,approach,pointed,role,point,approach role,2
372,study,points,importance,point,study importance,2
373,photographer,pointed,camera,point,photographer camera,2
374,note,pointing,dangers,point,note dangers,2
375,report,pointed,difficulties,point,report difficulties,2
376,versions,pointed,wise,point,versions wise,2
377,ruler,pointed,attention,point,ruler attention,2
378,man,pointing,man,point,man man,2
379,men,pointed,guns,point,men guns,2
380,congress,pointed,policies,point,congress policies,2
381,signs,point,discoveries,point,signs discoveries,2
382,documents,point,fact,point,documents fact,2
383,report,pointed,flaws,point,report flaws,2
384,men,point,guns,point,men guns,2
385,boss,points,gun,point,boss gun,2
386,gang,pointing,gun,point,gang gun,2
387,signpost,pointing,way,point,signpost way,2
388,members,pointed,problems,point,members problems,2
389,male,points,head,point,male head,2
390,tuck,pointed,brickwork,point,tuck brickwork,2
391,defense,pointed,contradictions,point,defense contradictions,2
392,one,points,thumb,point,one thumb,2
393,arrows,point,way,point,arrows way,2
394,approach,pointed,role,point,approach role,2
395,note,pointing,dangers,point,note dangers,2
396,leaves,pointed,tips,point,leaves tips,2
397,one,pointed,chiefs,point,one chiefs,2
398,detective,points,holes,point,detective holes,2
399,work,pointed,importance,point,work importance,2
400,one,pointed,shotgun,point,one shotgun,2
401,flotilla,pointed,guns,point,flotilla guns,2
402,flotilla,pointed,guns,point,flotilla guns,2
403,tree,points,run,point,tree run,2
404,triangle,pointing,downwards,point,triangle downwards,2
405,shape,pointed,role,point,shape role,2
406,review,pointed,flaws,point,review flaws,2
407,player,points,record,point,player record,2
408,boss,points,gun,point,boss gun,2
409,player,points,record,point,player record,2
410,historians,point,nature,point,historians nature,2
411,representatives,pointed,hypocrisy,point,representatives hypocrisy,2
412,church,pointed,windows,point,church windows,2
413,researchers,pointed,rates,point,researchers rates,2
414,researchers,pointed,rates,point,researchers rates,2
415,man,pointed,rifle,point,man rifle,2
416,studies,pointed,fact,point,studies fact,2
417,streamlining,pointed,snout,point,streamlining snout,2
418,head,pointed,north,point,head north,2
419,signs,point,way,point,signs way,2
