,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,player,pressed,button,press,player button,47
1,player,pressing,button,press,player button,47
2,player,press,button,press,player button,47
3,player,presses,button,press,player button,47
4,player,press,button,press,player button,47
5,player,presses,button,press,player button,47
6,player,pressed,button,press,player button,47
7,player,pressed,button,press,player button,47
8,player,presses,button,press,player button,47
9,player,presses,button,press,player button,47
10,player,presses,button,press,player button,47
11,player,presses,button,press,player button,47
12,player,presses,button,press,player button,47
13,player,presses,button,press,player button,47
14,player,press,button,press,player button,47
15,player,pressed,button,press,player button,47
16,player,pressed,button,press,player button,47
17,player,press,button,press,player button,47
18,player,pressing,button,press,player button,47
19,player,presses,button,press,player button,47
20,player,presses,button,press,player button,47
21,player,pressed,button,press,player button,47
22,player,presses,button,press,player button,47
23,player,presses,button,press,player button,47
24,player,presses,button,press,player button,47
25,player,presses,button,press,player button,47
26,player,presses,button,press,player button,47
27,player,presses,button,press,player button,47
28,player,presses,button,press,player button,47
29,player,presses,button,press,player button,47
30,player,presses,button,press,player button,47
31,player,presses,button,press,player button,47
32,player,presses,button,press,player button,47
33,player,presses,button,press,player button,47
34,player,presses,button,press,player button,47
35,player,presses,button,press,player button,47
36,player,presses,button,press,player button,47
37,player,presses,button,press,player button,47
38,player,presses,button,press,player button,47
39,player,presses,button,press,player button,47
40,player,pressed,button,press,player button,47
41,player,presses,button,press,player button,47
42,player,presses,button,press,player button,47
43,player,presses,button,press,player button,47
44,player,presses,button,press,player button,47
45,player,presses,button,press,player button,47
46,player,presses,button,press,player button,47
47,user,presses,button,press,user button,33
48,user,presses,button,press,user button,33
49,user,presses,button,press,user button,33
50,user,presses,button,press,user button,33
51,user,presses,button,press,user button,33
52,user,press,button,press,user button,33
53,user,presses,button,press,user button,33
54,user,presses,button,press,user button,33
55,user,presses,button,press,user button,33
56,user,presses,button,press,user button,33
57,user,presses,button,press,user button,33
58,user,press,button,press,user button,33
59,user,presses,button,press,user button,33
60,user,presses,button,press,user button,33
61,user,presses,button,press,user button,33
62,user,presses,button,press,user button,33
63,user,press,button,press,user button,33
64,user,presses,button,press,user button,33
65,user,pressed,button,press,user button,33
66,user,presses,button,press,user button,33
67,user,pressed,button,press,user button,33
68,user,pressed,button,press,user button,33
69,user,presses,button,press,user button,33
70,user,presses,button,press,user button,33
71,user,press,button,press,user button,33
72,user,presses,button,press,user button,33
73,user,presses,button,press,user button,33
74,user,presses,button,press,user button,33
75,user,presses,button,press,user button,33
76,user,presses,button,press,user button,33
77,user,presses,button,press,user button,33
78,user,pressed,button,press,user button,33
79,user,pressed,button,press,user button,33
80,user,presses,key,press,user key,24
81,user,presses,key,press,user key,24
82,user,press,key,press,user key,24
83,user,presses,key,press,user key,24
84,user,press,key,press,user key,24
85,user,press,key,press,user key,24
86,user,press,key,press,user key,24
87,user,presses,key,press,user key,24
88,user,presses,key,press,user key,24
89,user,presses,key,press,user key,24
90,user,presses,key,press,user key,24
91,user,pressed,key,press,user key,24
92,user,presses,key,press,user key,24
93,user,presses,key,press,user key,24
94,user,pressed,key,press,user key,24
95,user,pressed,key,press,user key,24
96,user,presses,key,press,user key,24
97,user,pressed,key,press,user key,24
98,user,press,key,press,user key,24
99,user,presses,key,press,user key,24
100,user,presses,key,press,user key,24
101,user,presses,key,press,user key,24
102,user,presses,key,press,user key,24
103,user,presses,key,press,user key,24
104,coach,pressed,button,press,coach button,23
105,coach,presses,button,press,coach button,23
106,coach,presses,button,press,coach button,23
107,coach,pressed,button,press,coach button,23
108,coach,presses,button,press,coach button,23
109,coach,presses,button,press,coach button,23
110,coach,presses,button,press,coach button,23
111,coach,presses,button,press,coach button,23
112,coach,presses,button,press,coach button,23
113,coach,presses,button,press,coach button,23
114,coach,presses,button,press,coach button,23
115,coach,presses,button,press,coach button,23
116,coach,presses,button,press,coach button,23
117,coach,presses,button,press,coach button,23
118,coach,presses,button,press,coach button,23
119,coach,press,button,press,coach button,23
120,coach,presses,button,press,coach button,23
121,coach,presses,button,press,coach button,23
122,coach,presses,button,press,coach button,23
123,coach,presses,button,press,coach button,23
124,coach,presses,button,press,coach button,23
125,coach,presses,button,press,coach button,23
126,coach,presses,button,press,coach button,23
127,bench,pressed,pounds,press,bench pounds,21
128,bench,pressed,pounds,press,bench pounds,21
129,bench,pressing,pounds,press,bench pounds,21
130,bench,pressed,pounds,press,bench pounds,21
131,bench,press,pounds,press,bench pounds,21
132,bench,pressed,pounds,press,bench pounds,21
133,bench,pressed,pounds,press,bench pounds,21
134,bench,pressed,pounds,press,bench pounds,21
135,bench,pressed,pounds,press,bench pounds,21
136,bench,pressed,pounds,press,bench pounds,21
137,bench,press,pounds,press,bench pounds,21
138,bench,pressed,pounds,press,bench pounds,21
139,bench,pressed,pounds,press,bench pounds,21
140,bench,pressed,pounds,press,bench pounds,21
141,bench,pressed,pounds,press,bench pounds,21
142,bench,pressed,pounds,press,bench pounds,21
143,bench,pressed,pounds,press,bench pounds,21
144,bench,pressed,pounds,press,bench pounds,21
