,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,budget,projected,deficit,project,budget deficit,9
1,budget,projected,deficit,project,budget deficit,9
2,budget,projected,deficit,project,budget deficit,9
3,budget,projected,deficit,project,budget deficit,9
4,budget,projected,deficit,project,budget deficit,9
5,budget,projected,deficit,project,budget deficit,9
6,budget,projected,deficit,project,budget deficit,9
7,budget,projected,deficit,project,budget deficit,9
8,budget,projected,deficit,project,budget deficit,9
9,bays,projecting,pediment,project,bays pediment,5
10,lens,projects,image,project,lens image,5
11,modernities,projected,responses,project,modernities responses,5
12,bays,project,pediment,project,bays pediment,5
13,modernities,projected,responses,project,modernities responses,5
14,lens,projects,image,project,lens image,5
15,modernities,projected,responses,project,modernities responses,5
16,bays,project,pediment,project,bays pediment,5
17,bays,project,pediment,project,bays pediment,5
18,modernities,projected,responses,project,modernities responses,5
19,modernities,projected,responses,project,modernities responses,5
20,bays,projecting,pediment,project,bays pediment,5
21,lens,projects,image,project,lens image,5
22,lens,projects,image,project,lens image,5
23,lens,projects,image,project,lens image,5
24,study,projects,passengers,project,study passengers,3
25,apparatus,projects,particles,project,apparatus particles,3
26,gemstone,projecting,body,project,gemstone body,3
27,fiction,projects,sensibility,project,fiction sensibility,3
28,apparatus,projects,particles,project,apparatus particles,3
29,gemstone,projecting,body,project,gemstone body,3
30,agency,projected,image,project,agency image,3
31,study,projects,passengers,project,study passengers,3
32,company,projected,sales,project,company sales,3
33,apparatus,projects,particles,project,apparatus particles,3
34,man,projected,qualities,project,man qualities,3
35,man,projected,qualities,project,man qualities,3
36,neurons,projected,axons,project,neurons axons,3
37,gemstone,projecting,body,project,gemstone body,3
38,study,projects,passengers,project,study passengers,3
39,company,projected,sales,project,company sales,3
40,neurons,project,axons,project,neurons axons,3
41,design,projects,concept,project,design concept,3
42,company,projected,sales,project,company sales,3
43,design,projects,concept,project,design concept,3
44,agency,projected,image,project,agency image,3
45,design,projects,concept,project,design concept,3
46,agency,projected,image,project,agency image,3
47,neurons,project,axons,project,neurons axons,3
48,fiction,projects,sensibility,project,fiction sensibility,3
49,man,projected,qualities,project,man qualities,3
50,fiction,projects,sensibility,project,fiction sensibility,3
51,study,projects,increase,project,study increase,2
52,historian,projected,feelings,project,historian feelings,2
53,government,projected,surplus,project,government surplus,2
54,projector,projects,image,project,projector image,2
55,fenders,projected,inches,project,fenders inches,2
56,studio,projecting,debut,project,studio debut,2
57,one,projecting,entrance,project,one entrance,2
58,links,projects,films,project,links films,2
59,plan,projected,removal,project,plan removal,2
60,links,projects,films,project,links films,2
61,frames,projected,align,project,frames align,2
62,fenders,projected,inches,project,fenders inches,2
63,plan,projected,capacity,project,plan capacity,2
64,account,projects,idea,project,account idea,2
65,study,projects,growth,project,study growth,2
66,models,projected,outcomes,project,models outcomes,2
67,frames,projected,align,project,frames align,2
68,subjects,projected,space,project,subjects space,2
69,image,projects,character,project,image character,2
70,analysts,projected,concern,project,analysts concern,2
71,mouth,projecting,makara,project,mouth makara,2
72,image,projects,character,project,image character,2
73,fin,projects,lobe,project,fin lobe,2
74,speech,projected,policies,project,speech policies,2
75,proponents,project,image,project,proponents image,2
76,one,projects,entrance,project,one entrance,2
77,light,projects,shadow,project,light shadow,2
78,light,projected,shadow,project,light shadow,2
79,bay,projects,windows,project,bay windows,2
80,studio,projecting,debut,project,studio debut,2
81,plan,projected,relocation,project,plan relocation,2
82,empires,projected,power,project,empires power,2
83,bays,project,pilasters,project,bays pilasters,2
84,mouth,projecting,makara,project,mouth makara,2
85,study,projected,growth,project,study growth,2
86,plan,projected,removal,project,plan removal,2
87,mortars,projecting,fire,project,mortars fire,2
88,mortars,projecting,fire,project,mortars fire,2
89,cells,project,axons,project,cells axons,2
90,subjects,projected,space,project,subjects space,2
91,analysts,projected,concern,project,analysts concern,2
92,report,projects,effects,project,report effects,2
93,fin,projects,lobe,project,fin lobe,2
94,analysis,projects,reduction,project,analysis reduction,2
95,report,projects,effects,project,report effects,2
96,speech,projected,policies,project,speech policies,2
97,plan,projected,capacity,project,plan capacity,2
98,ramus,projecting,downwards,project,ramus downwards,2
99,ramus,projecting,downwards,project,ramus downwards,2
100,empires,projected,power,project,empires power,2
101,plan,projected,relocation,project,plan relocation,2
102,estimates,project,cost,project,estimates cost,2
103,estimates,projected,cost,project,estimates cost,2
104,proponents,project,image,project,proponents image,2
105,cast,projected,cost,project,cast cost,2
106,forecasts,projecting,conditions,project,forecasts conditions,2
107,forecasts,projecting,conditions,project,forecasts conditions,2
108,cast,projected,cost,project,cast cost,2
109,labellum,projects,lobes,project,labellum lobes,2
110,labellum,projects,lobes,project,labellum lobes,2
111,study,projects,increase,project,study increase,2
112,song,projects,message,project,song message,2
113,song,projected,message,project,song message,2
114,latter,projecting,film,project,latter film,2
115,bay,projects,windows,project,bay windows,2
116,report,projects,population,project,report population,2
117,fathers,projected,images,project,fathers images,2
118,fathers,projected,images,project,fathers images,2
119,account,projects,idea,project,account idea,2
120,individual,projects,characteristics,project,individual characteristics,2
121,individual,projects,characteristics,project,individual characteristics,2
122,analysis,projects,reduction,project,analysis reduction,2
123,latter,projecting,film,project,latter film,2
124,models,projected,outcomes,project,models outcomes,2
125,companies,projected,sale,project,companies sale,2
126,government,projected,surplus,project,government surplus,2
127,report,projects,population,project,report population,2
128,bays,project,pilasters,project,bays pilasters,2
129,cells,project,axons,project,cells axons,2
130,projector,projects,image,project,projector image,2
131,historian,projected,feelings,project,historian feelings,2
132,companies,projected,sale,project,companies sale,2
133,budget,projects,reduction,project,budget reduction,1
134,head,projects,outwards,project,head outwards,1
135,bay,projects,pediment,project,bay pediment,1
136,company,projected,doubling,project,company doubling,1
137,spot,projecting,fascia,project,spot fascia,1
138,language,projects,image,project,language image,1
139,stations,projected,design,project,stations design,1
140,corals,projecting,septa,project,corals septa,1
141,boundary,projected,title,project,boundary title,1
142,study,projected,traffic,project,study traffic,1
143,all,project,message,project,all message,1
144,artist,projected,image,project,artist image,1
145,screen,projecting,name,project,screen name,1
146,operator,projecting,function,project,operator function,1
147,approach,projects,potential,project,approach potential,1
148,reports,projected,payloads,project,reports payloads,1
149,stance,projects,story,project,stance story,1
150,cofferdam,projected,construction,project,cofferdam construction,1
151,number,project,merger,project,number merger,1
152,work,projects,air,project,work air,1
153,story,projecting,courses,project,story courses,1
154,variation,projecting,tail,project,variation tail,1
155,farmers,project,image,project,farmers image,1
156,companies,projects,companies,project,companies companies,1
157,figure,projects,movements,project,figure movements,1
158,analysts,project,condition,project,analysts condition,1
159,writers,projected,stereotypes,project,writers stereotypes,1
160,company,project,image,project,company image,1
161,query,projects,columns,project,query columns,1
162,mind,projected,shape,project,mind shape,1
163,one,projecting,image,project,one image,1
164,women,project,fear,project,women fear,1
165,completion,projected,success,project,completion success,1
166,pavilions,project,windows,project,pavilions windows,1
167,hooks,project,papillae,project,hooks papillae,1
168,plan,projected,settlement,project,plan settlement,1
169,portion,projects,little,project,portion little,1
170,walls,projecting,brickwork,project,walls brickwork,1
171,bays,project,storeys,project,bays storeys,1
172,plan,projected,inclusion,project,plan inclusion,1
173,plan,projected,squadron,project,plan squadron,1
174,corallites,project,wall,project,corallites wall,1
175,model,projects,decrease,project,model decrease,1
176,stairway,projects,eastwards,project,stairway eastwards,1
177,screen,projected,images,project,screen images,1
178,number,projected,architects,project,number architects,1
179,chancel,projects,bay,project,chancel bay,1
180,wings,project,bays,project,wings bays,1
181,budget,projected,deficits,project,budget deficits,1
182,keel,projected,seat,project,keel seat,1
183,model,projects,rain,project,model rain,1
184,life,projected,people,project,life people,1
185,father,projects,air,project,father air,1
186,peninsula,projects,eastwards,project,peninsula eastwards,1
187,tower,projects,inches,project,tower inches,1
188,wing,projects,wing,project,wing wing,1
189,organizations,project,levels,project,organizations levels,1
190,evangelicals,projected,academy,project,evangelicals academy,1
191,links,project,murder,project,links murder,1
192,propaganda,projects,reality,project,propaganda reality,1
193,government,projects,inflation,project,government inflation,1
194,bays,project,pinnacles,project,bays pinnacles,1
195,songs,projecting,vibe,project,songs vibe,1
196,plan,projects,points,project,plan points,1
197,paper,projected,morbidities,project,paper morbidities,1
198,expedition,projected,landfall,project,expedition landfall,1
199,scene,projects,domesticity,project,scene domesticity,1
200,source,projects,specimen,project,source specimen,1
201,legs,projecting,creature,project,legs creature,1
202,reels,projected,instructions,project,reels instructions,1
203,gnomon,projected,shadow,project,gnomon shadow,1
204,town,projects,silhouette,project,town silhouette,1
205,film,projected,issue,project,film issue,1
206,rings,projecting,message,project,rings message,1
207,story,projecting,bays,project,story bays,1
208,designers,projected,values,project,designers values,1
209,city,projected,image,project,city image,1
210,rudder,projected,control,project,rudder control,1
211,set,projects,panorama,project,set panorama,1
212,façade,projects,image,project,façade image,1
213,infant,projected,tendencies,project,infant tendencies,1
214,retrospective,projected,copies,project,retrospective copies,1
215,analysis,projects,benefits,project,analysis benefits,1
216,elevators,projected,rudders,project,elevators rudders,1
217,press,projected,state,project,press state,1
218,song,projects,life,project,song life,1
219,director,project,reality,project,director reality,1
220,clients,project,vibes,project,clients vibes,1
221,angle,projecting,inwards,project,angle inwards,1
222,section,projects,arches,project,section arches,1
223,premaxilla,projects,prong,project,premaxilla prong,1
224,bones,project,border,project,bones border,1
225,entrances,project,openings,project,entrances openings,1
226,cells,project,microvilli,project,cells microvilli,1
227,building,projects,presence,project,building presence,1
228,triangular,projecting,plate,project,triangular plate,1
229,poll,projected,heat,project,poll heat,1
230,architect,projected,classrooms,project,architect classrooms,1
231,postmedian,projecting,little,project,postmedian little,1
232,pilasters,projecting,cornice,project,pilasters cornice,1
233,designers,project,improvements,project,designers improvements,1
234,step,projects,point,project,step point,1
235,bays,project,roof,project,bays roof,1
236,narcissist,projects,self,project,narcissist self,1
237,investors,project,outcomes,project,investors outcomes,1
238,report,projected,rise,project,report rise,1
239,film,projects,spaces,project,film spaces,1
240,productions,projecting,ads,project,productions ads,1
241,wings,project,number,project,wings number,1
242,formation,projecting,northeastwards,project,formation northeastwards,1
243,campaign,projected,image,project,campaign image,1
244,building,projects,bay,project,building bay,1
245,state,projected,shortfall,project,state shortfall,1
246,towers,projected,fourths,project,towers fourths,1
247,beam,projected,waveform,project,beam waveform,1
248,district,projected,enrollment,project,district enrollment,1
249,mind,projected,machine,project,mind machine,1
250,study,projected,changes,project,study changes,1
251,models,project,changes,project,models changes,1
252,work,projected,names,project,work names,1
253,light,projected,images,project,light images,1
254,rocks,project,kilometers,project,rocks kilometers,1
255,mayor,projected,area,project,mayor area,1
256,government,projected,rise,project,government rise,1
257,commander,projected,optimism,project,commander optimism,1
258,study,projected,suicides,project,study suicides,1
259,estimates,project,acre,project,estimates acre,1
260,group,projected,show,project,group show,1
261,angle,projects,spire,project,angle spire,1
262,columella,projecting,keel,project,columella keel,1
263,sponsor,project,oversight,project,sponsor oversight,1
264,paintings,project,world,project,paintings world,1
265,apex,projected,degrees,project,apex degrees,1
266,capacity,projected,declines,project,capacity declines,1
267,model,projects,decline,project,model decline,1
268,formula,projects,number,project,formula number,1
269,firm,projected,airship,project,firm airship,1
270,wing,projects,east,project,wing east,1
271,scenario,projects,increase,project,scenario increase,1
272,bay,projects,porch,project,bay porch,1
273,bay,projects,doorway,project,bay doorway,1
274,men,project,arousal,project,men arousal,1
275,list,projects,number,project,list number,1
276,uses,projected,presentations,project,uses presentations,1
277,thesis,projected,plans,project,thesis plans,1
278,filaments,projecting,side,project,filaments side,1
279,rostellum,projects,stalk,project,rostellum stalk,1
280,myths,project,valuation,project,myths valuation,1
281,corner,projecting,inches,project,corner inches,1
282,song,projects,mood,project,song mood,1
283,stories,projecting,windows,project,stories windows,1
284,society,projected,fantasies,project,society fantasies,1
285,school,projected,enrollment,project,school enrollment,1
286,area,project,hologram,project,area hologram,1
287,thrust,projecting,cornice,project,thrust cornice,1
288,projector,projects,pattern,project,projector pattern,1
289,stages,projecting,transepts,project,stages transepts,1
290,tower,projects,window,project,tower window,1
291,studies,project,increase,project,studies increase,1
292,head,projects,offerings,project,head offerings,1
293,area,projected,much,project,area much,1
294,father,projected,image,project,father image,1
295,bay,projects,storeys,project,bay storeys,1
296,book,projects,view,project,book view,1
297,powers,project,thoughts,project,powers thoughts,1
298,center,projecting,downwards,project,center downwards,1
299,screen,projects,types,project,screen types,1
300,campaign,projected,power,project,campaign power,1
301,community,projected,participation,project,community participation,1
302,information,projected,costs,project,information costs,1
303,children,project,feelings,project,children feelings,1
304,clients,project,trends,project,clients trends,1
305,conjunctions,project,contrasts,project,conjunctions contrasts,1
306,both,project,ideas,project,both ideas,1
307,front,projected,diameter,project,front diameter,1
308,shape,projects,look,project,shape look,1
309,processes,projected,margin,project,processes margin,1
310,addition,projects,feet,project,addition feet,1
311,flag,projected,president,project,flag president,1
312,figure,projected,interaction,project,figure interaction,1
313,singer,projects,topics,project,singer topics,1
314,navy,projected,power,project,navy power,1
315,city,projects,completion,project,city completion,1
316,model,projects,stalls,project,model stalls,1
317,roofs,projecting,barges,project,roofs barges,1
318,security,projects,discussions,project,security discussions,1
319,article,projected,cost,project,article cost,1
320,decision,projected,outcomes,project,decision outcomes,1
321,assertion,projects,purity,project,assertion purity,1
322,cinema,projects,plane,project,cinema plane,1
