,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,pronounce,name,pronounce,people name,17
1,people,pronounced,name,pronounce,people name,17
2,people,pronounced,name,pronounce,people name,17
3,people,pronounce,name,pronounce,people name,17
4,people,pronounce,name,pronounce,people name,17
5,people,pronounced,name,pronounce,people name,17
6,people,pronounce,name,pronounce,people name,17
7,people,pronounce,name,pronounce,people name,17
8,people,pronounce,name,pronounce,people name,17
9,people,pronounce,name,pronounce,people name,17
10,people,pronounced,name,pronounce,people name,17
11,people,pronounce,name,pronounce,people name,17
12,people,pronounce,name,pronounce,people name,17
13,people,pronounce,name,pronounce,people name,17
14,people,pronounced,name,pronounce,people name,17
15,people,pronounce,name,pronounce,people name,17
16,people,pronounce,name,pronounce,people name,17
17,locals,pronounce,name,pronounce,locals name,11
18,locals,pronounce,name,pronounce,locals name,11
19,locals,pronounce,name,pronounce,locals name,11
20,locals,pronounce,name,pronounce,locals name,11
21,locals,pronounce,name,pronounce,locals name,11
22,locals,pronounce,name,pronounce,locals name,11
23,locals,pronounce,name,pronounce,locals name,11
24,locals,pronounce,name,pronounce,locals name,11
25,locals,pronounced,name,pronounce,locals name,11
26,locals,pronounce,name,pronounce,locals name,11
27,locals,pronounce,name,pronounce,locals name,11
28,people,pronounce,word,pronounce,people word,7
29,people,pronounce,word,pronounce,people word,7
30,people,pronounce,word,pronounce,people word,7
31,people,pronounce,word,pronounce,people word,7
32,people,pronounce,word,pronounce,people word,7
33,people,pronounce,word,pronounce,people word,7
34,people,pronounce,word,pronounce,people word,7
35,residents,pronounce,name,pronounce,residents name,6
36,residents,pronounce,name,pronounce,residents name,6
37,residents,pronounced,name,pronounce,residents name,6
38,residents,pronounce,name,pronounce,residents name,6
39,residents,pronounce,name,pronounce,residents name,6
40,residents,pronounce,name,pronounce,residents name,6
41,speakers,pronounce,words,pronounce,speakers words,5
42,speakers,pronounce,words,pronounce,speakers words,5
43,court,pronounced,sentence,pronounce,court sentence,5
44,court,pronounced,sentence,pronounce,court sentence,5
45,court,pronounced,sentence,pronounce,court sentence,5
46,speakers,pronounce,words,pronounce,speakers words,5
47,court,pronounced,sentence,pronounce,court sentence,5
48,court,pronounced,sentence,pronounce,court sentence,5
49,speakers,pronounce,words,pronounce,speakers words,5
50,speakers,pronounced,words,pronounce,speakers words,5
51,word,pronounced,same,pronounce,word same,4
52,minister,pronounces,words,pronounce,minister words,4
53,word,pronounced,same,pronounce,word same,4
54,minister,pronounces,words,pronounce,minister words,4
55,word,pronounced,same,pronounce,word same,4
56,speaker,pronounces,sound,pronounce,speaker sound,4
57,word,pronounces,same,pronounce,word same,4
58,speaker,pronounces,sound,pronounce,speaker sound,4
59,speaker,pronounces,sound,pronounce,speaker sound,4
60,minister,pronounces,words,pronounce,minister words,4
61,minister,pronounces,words,pronounce,minister words,4
62,speaker,pronounce,sound,pronounce,speaker sound,4
63,court,pronounced,verdict,pronounce,court verdict,3
64,speakers,pronounce,sound,pronounce,speakers sound,3
65,court,pronounced,verdict,pronounce,court verdict,3
66,observers,pronounced,elections,pronounce,observers elections,3
67,speakers,pronounce,vowels,pronounce,speakers vowels,3
68,speakers,pronounce,vowels,pronounce,speakers vowels,3
69,judge,pronounced,sentence,pronounce,judge sentence,3
70,observers,pronounced,elections,pronounce,observers elections,3
71,patriarch,pronounced,lineage,pronounce,patriarch lineage,3
72,patriarch,pronounced,lineage,pronounce,patriarch lineage,3
73,court,pronounced,verdict,pronounce,court verdict,3
74,patriarch,pronounced,lineage,pronounce,patriarch lineage,3
75,judge,pronounced,sentence,pronounce,judge sentence,3
76,speakers,pronounce,sound,pronounce,speakers sound,3
77,speakers,pronounce,vowels,pronounce,speakers vowels,3
78,judge,pronounced,sentence,pronounce,judge sentence,3
79,speakers,pronounce,sound,pronounce,speakers sound,3
80,observers,pronounced,elections,pronounce,observers elections,3
81,ensigns,pronounced,sentence,pronounce,ensigns sentence,2
82,speakers,pronounce,names,pronounce,speakers names,2
83,speakers,pronounce,names,pronounce,speakers names,2
84,speakers,pronounce,name,pronounce,speakers name,2
85,idol,pronounced,words,pronounce,idol words,2
86,speakers,pronounce,sequences,pronounce,speakers sequences,2
87,priest,pronounces,words,pronounce,priest words,2
88,doctors,pronounced,death,pronounce,doctors death,2
89,inhabitants,pronounced,name,pronounce,inhabitants name,2
90,characters,pronounced,name,pronounce,characters name,2
91,people,pronounce,letter,pronounce,people letter,2
92,speakers,pronounce,name,pronounce,speakers name,2
93,speakers,pronounce,sequences,pronounce,speakers sequences,2
94,doctors,pronounce,death,pronounce,doctors death,2
95,bench,pronounced,verdict,pronounce,bench verdict,2
96,dialects,pronounce,words,pronounce,dialects words,2
97,bishops,pronounced,anathema,pronounce,bishops anathema,2
98,bishops,pronounced,anathema,pronounce,bishops anathema,2
99,speakers,pronounce,sibilants,pronounce,speakers sibilants,2
100,speakers,pronounce,phonemes,pronounce,speakers phonemes,2
101,speakers,pronounce,sibilants,pronounce,speakers sibilants,2
102,government,pronounced,event,pronounce,government event,2
103,dialects,pronounce,sounds,pronounce,dialects sounds,2
104,bench,pronounced,verdict,pronounce,bench verdict,2
105,husband,pronounces,talaq,pronounce,husband talaq,2
106,members,pronounced,vows,pronounce,members vows,2
107,speakers,pronouncing,vowel,pronounce,speakers vowel,2
108,archbishop,pronounced,sentence,pronounce,archbishop sentence,2
109,government,pronounced,event,pronounce,government event,2
110,end,pronounced,outgrowth,pronounce,end outgrowth,2
111,speakers,pronounce,phonemes,pronounce,speakers phonemes,2
112,forthwith,pronounced,sentence,pronounce,forthwith sentence,2
113,jury,pronounces,sentence,pronounce,jury sentence,2
114,end,pronounced,outgrowth,pronounce,end outgrowth,2
115,court,pronounced,judgement,pronounce,court judgement,2
116,bishops,pronounced,judgement,pronounce,bishops judgement,2
117,sisters,pronounced,vows,pronounce,sisters vows,2
118,ensigns,pronounced,sentence,pronounce,ensigns sentence,2
119,priest,pronounces,prayer,pronounce,priest prayer,2
120,priest,pronounces,words,pronounce,priest words,2
121,inhabitants,pronounced,name,pronounce,inhabitants name,2
122,characters,pronounce,name,pronounce,characters name,2
123,one,pronounced,lín,pronounce,one lín,2
124,people,pronounce,syllable,pronounce,people syllable,2
125,one,pronounced,lín,pronounce,one lín,2
126,jury,pronounced,sentence,pronounce,jury sentence,2
127,both,pronounced,same,pronounce,both same,2
128,speakers,pronounced,word,pronounce,speakers word,2
129,dialects,pronounce,sounds,pronounce,dialects sounds,2
130,sisters,pronounce,vows,pronounce,sisters vows,2
131,members,pronounce,vows,pronounce,members vows,2
132,people,pronounce,letter,pronounce,people letter,2
133,teacher,pronounces,syllable,pronounce,teacher syllable,2
134,speakers,pronounce,vowel,pronounce,speakers vowel,2
135,dialects,pronounce,words,pronounce,dialects words,2
