,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,birds,roost,intruders,roost,birds intruders,1
1,passerines,roost,nests,roost,passerines nests,1
2,birds,roost,side,roost,birds side,1
3,birds,roost,coves,roost,birds coves,1
4,bough,roosts,rooster,roost,bough rooster,1
5,owls,roost,nests,roost,owls nests,1
6,partner,roosts,food,roost,partner food,1
7,flies,roosted,females,roost,flies females,1
8,chickens,roost,excrement,roost,chickens excrement,1
9,fledglings,roost,members,roost,fledglings members,1
10,bats,roost,members,roost,bats members,1
11,species,roosts,flocks,roost,species flocks,1
12,bats,roost,monks,roost,bats monks,1
13,bough,roosts,cock,roost,bough cock,1
14,insects,roosted,branches,roost,insects branches,1
