,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fish,rubbing,lips,rub,fish lips,3
1,fish,rubbing,lips,rub,fish lips,3
2,fish,rubbing,lips,rub,fish lips,3
3,bonobos,rub,clitorises,rub,bonobos clitorises,3
4,male,rubs,chin,rub,male chin,3
5,bonobos,rub,clitorises,rub,bonobos clitorises,3
6,male,rubs,chin,rub,male chin,3
7,male,rubs,chin,rub,male chin,3
8,bonobos,rub,clitorises,rub,bonobos clitorises,3
9,cat,rubs,cheeks,rub,cat cheeks,2
10,males,rub,wings,rub,males wings,2
11,birds,rub,insects,rub,birds insects,2
12,animal,rubs,genitals,rub,animal genitals,2
13,monkey,rubs,urine,rub,monkey urine,2
14,thousands,rub,soles,rub,thousands soles,2
15,animal,rubs,genitals,rub,animal genitals,2
16,boy,rubbing,lamp,rub,boy lamp,2
17,boy,rubs,lamp,rub,boy lamp,2
18,birds,rub,insects,rub,birds insects,2
19,bravest,rub,skin,rub,bravest skin,2
20,workers,rub,gasters,rub,workers gasters,2
21,males,rub,wings,rub,males wings,2
22,workers,rub,gasters,rub,workers gasters,2
23,bravest,rub,skin,rub,bravest skin,2
24,thousands,rub,soles,rub,thousands soles,2
25,female,rubs,snout,rub,female snout,2
26,female,rubs,snout,rub,female snout,2
27,monkey,rubs,urine,rub,monkey urine,2
28,cat,rubs,cheeks,rub,cat cheeks,2
29,woman,rubs,blood,rub,woman blood,1
30,layers,rub,failure,rub,layers failure,1
31,painters,rub,elbows,rub,painters elbows,1
32,victim,rub,face,rub,victim face,1
33,spiders,rub,structures,rub,spiders structures,1
34,fact,rubs,shoulders,rub,fact shoulders,1
35,spider,rubs,ridges,rub,spider ridges,1
36,passersby,rub,nose,rub,passersby nose,1
37,whoever,rubs,lamp,rub,whoever lamp,1
38,cockiness,rub,everyone,rub,cockiness everyone,1
39,conceptualists,rubbed,shoulders,rub,conceptualists shoulders,1
40,player,rubs,streak,rub,player streak,1
41,boar,rubbed,nose,rub,boar nose,1
42,players,rub,bodies,rub,players bodies,1
43,cultures,rub,ointment,rub,cultures ointment,1
44,leaves,rubbed,paste,rub,leaves paste,1
45,mother,rubs,pigment,rub,mother pigment,1
46,class,rubbed,shoulders,rub,class shoulders,1
47,boy,rubs,eyes,rub,boy eyes,1
48,team,rubs,lamp,rub,team lamp,1
49,musics,rub,meanings,rub,musics meanings,1
50,antagonist,rubs,jaw,rub,antagonist jaw,1
51,groups,rubbed,shoulders,rub,groups shoulders,1
52,picture,rubbing,eye,rub,picture eye,1
53,pair,rub,hands,rub,pair hands,1
54,development,rubs,shoulders,rub,development shoulders,1
55,father,rubs,salt,rub,father salt,1
56,juice,rubbed,leaves,rub,juice leaves,1
57,something,rubs,ball,rub,something ball,1
58,traders,rubbed,shoulders,rub,traders shoulders,1
59,soldiers,rubbed,elbows,rub,soldiers elbows,1
60,dancers,rub,bodies,rub,dancers bodies,1
61,nudges,rubs,chin,rub,nudges chin,1
62,person,rubs,stone,rub,person stone,1
63,divers,rub,monoi,rub,divers monoi,1
64,person,rubs,area,rub,person area,1
65,vanes,rub,lubrication,rub,vanes lubrication,1
66,spider,rubs,abdomen,rub,spider abdomen,1
67,views,rub,way,rub,views way,1
68,person,rubbed,face,rub,person face,1
69,block,rubbed,paper,rub,block paper,1
70,male,rubs,mesothorax,rub,male mesothorax,1
71,one,rubs,palms,rub,one palms,1
72,sweaty,rubbed,skin,rub,sweaty skin,1
73,spectators,rubbed,eyes,rub,spectators eyes,1
74,personality,rubbed,people,rub,personality people,1
75,personalities,rubbed,shoulders,rub,personalities shoulders,1
76,restaurants,rub,shoulders,rub,restaurants shoulders,1
77,person,rubs,dust,rub,person dust,1
78,boar,rubbed,back,rub,boar back,1
79,atoms,rub,one,rub,atoms one,1
80,women,rubbed,face,rub,women face,1
81,representations,rubbed,shoulders,rub,representations shoulders,1
82,females,rub,abdomen,rub,females abdomen,1
83,male,rubs,pedipalps,rub,male pedipalps,1
84,crooks,rub,hands,rub,crooks hands,1
85,place,rubs,border,rub,place border,1
86,comments,rub,fighters,rub,comments fighters,1
87,king,rub,top,rub,king top,1
88,mammal,rubs,body,rub,mammal body,1
89,bears,rub,cheeks,rub,bears cheeks,1
90,patrons,rubbed,tickets,rub,patrons tickets,1
91,chiefs,rubbed,feet,rub,chiefs feet,1
92,creature,rubs,palms,rub,creature palms,1
93,loon,rubbed,mud,rub,loon mud,1
94,king,rubs,face,rub,king face,1
95,bones,rub,tissue,rub,bones tissue,1
96,police,rubbed,face,rub,police face,1
97,cat,rubs,tail,rub,cat tail,1
98,loanee,rubbed,face,rub,loanee face,1
99,teacher,rubbed,penis,rub,teacher penis,1
100,girl,rubs,skin,rub,girl skin,1
101,walls,rubbed,vacuum,rub,walls vacuum,1
102,soldier,rubbed,raw,rub,soldier raw,1
103,people,rub,foreheads,rub,people foreheads,1
104,actors,rub,dirt,rub,actors dirt,1
105,farmers,rub,seeds,rub,farmers seeds,1
106,one,rubs,eraser,rub,one eraser,1
107,printers,rubbed,colorants,rub,printers colorants,1
108,spectrum,rubbed,shoulders,rub,spectrum shoulders,1
109,passages,rub,shoulders,rub,passages shoulders,1
110,perpetrator,rubbed,hair,rub,perpetrator hair,1
111,males,rub,secretions,rub,males secretions,1
112,traditions,rubbing,cornmeal,rub,traditions cornmeal,1
113,conquistadores,rub,shoulders,rub,conquistadores shoulders,1
114,woman,rubs,penis,rub,woman penis,1
115,genres,rub,elbows,rub,genres elbows,1
116,male,rubbing,cloaca,rub,male cloaca,1
117,players,rub,screen,rub,players screen,1
118,fish,rubs,tummy,rub,fish tummy,1
119,rod,rubs,skin,rub,rod skin,1
120,males,rub,mandibular,rub,males mandibular,1
121,student,rubs,face,rub,student face,1
122,mothers,rub,heads,rub,mothers heads,1
123,girls,rub,ointment,rub,girls ointment,1
124,oneself,rubbing,shoulders,rub,oneself shoulders,1
125,nurse,rubbed,preparation,rub,nurse preparation,1
126,one,rubs,towel,rub,one towel,1
127,animals,rub,heads,rub,animals heads,1
128,animal,rubs,body,rub,animal body,1
129,elk,rub,mane,rub,elk mane,1
130,grackle,rubbed,mothball,rub,grackle mothball,1
131,piece,rubbed,colors,rub,piece colors,1
132,scouts,rub,underside,rub,scouts underside,1
133,foundress,rubs,tip,rub,foundress tip,1
134,owner,rubs,abdomen,rub,owner abdomen,1
135,families,rub,shoulders,rub,families shoulders,1
136,one,rubbed,blood,rub,one blood,1
137,couple,rub,nose,rub,couple nose,1
138,neonates,rub,feet,rub,neonates feet,1
139,assistant,rubbed,globe,rub,assistant globe,1
140,gift,rub,nose,rub,gift nose,1
141,patient,rub,site,rub,patient site,1
142,stomach,rubs,hand,rub,stomach hand,1
143,malaxate,rub,stuff,rub,malaxate stuff,1
144,weasel,rubs,body,rub,weasel body,1
145,male,rub,horns,rub,male horns,1
146,tubers,rubbed,users,rub,tubers users,1
147,horse,rubs,nose,rub,horse nose,1
148,folklorist,rubs,shoulders,rub,folklorist shoulders,1
149,teammate,rubbed,area,rub,teammate area,1
150,males,rub,foreheads,rub,males foreheads,1
151,practitioner,rub,areas,rub,practitioner areas,1
152,wives,rubbed,breasts,rub,wives breasts,1
153,nuthatches,rub,insects,rub,nuthatches insects,1
154,students,rubbed,shoulders,rub,students shoulders,1
155,end,rub,screw,rub,end screw,1
156,goaltenders,rub,wax,rub,goaltenders wax,1
157,wrestler,rubs,sole,rub,wrestler sole,1
158,tires,rub,fenders,rub,tires fenders,1
159,animals,rub,fleece,rub,animals fleece,1
160,serow,rubs,genitalia,rub,serow genitalia,1
161,horse,rubs,head,rub,horse head,1
162,monkeys,rub,urine,rub,monkeys urine,1
163,friend,rubbed,lipstick,rub,friend lipstick,1
164,animal,rubs,glands,rub,animal glands,1
165,development,rubbed,trace,rub,development trace,1
166,body,rub,molding,rub,body molding,1
167,men,rubbed,seeds,rub,men seeds,1
168,prisoners,rubbed,faeces,rub,prisoners faeces,1
