,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fans,rushed,field,rush,fans field,13
1,fans,rushed,field,rush,fans field,13
2,fans,rushed,field,rush,fans field,13
3,fans,rushing,field,rush,fans field,13
4,fans,rushed,field,rush,fans field,13
5,fans,rushed,field,rush,fans field,13
6,fans,rushed,field,rush,fans field,13
7,fans,rushed,field,rush,fans field,13
8,fans,rushed,field,rush,fans field,13
9,fans,rushed,field,rush,fans field,13
10,fans,rushed,field,rush,fans field,13
11,fans,rushed,field,rush,fans field,13
12,fans,rushed,field,rush,fans field,13
13,fans,rushed,stage,rush,fans stage,8
14,fans,rushed,stage,rush,fans stage,8
15,fans,rushed,stage,rush,fans stage,8
16,fans,rushed,stage,rush,fans stage,8
17,fans,rushed,stage,rush,fans stage,8
18,fans,rushed,stage,rush,fans stage,8
19,fans,rushed,stage,rush,fans stage,8
20,fans,rushed,stage,rush,fans stage,8
21,one,rushing,touchdown,rush,one touchdown,7
22,yards,rushing,yards,rush,yards yards,7
23,yards,rushing,yards,rush,yards yards,7
24,yards,rushing,yards,rush,yards yards,7
25,one,rushing,touchdown,rush,one touchdown,7
26,yards,rushing,yards,rush,yards yards,7
27,one,rushing,touchdown,rush,one touchdown,7
28,one,rushing,touchdown,rush,one touchdown,7
29,yards,rushing,yards,rush,yards yards,7
30,one,rushing,touchdown,rush,one touchdown,7
31,yards,rushing,yards,rush,yards yards,7
32,yards,rushing,yards,rush,yards yards,7
33,one,rushing,touchdown,rush,one touchdown,7
34,one,rushing,touchdown,rush,one touchdown,7
35,career,rushing,touchdown,rush,career touchdown,6
36,career,rushing,touchdown,rush,career touchdown,6
37,career,rushing,touchdown,rush,career touchdown,6
38,career,rushing,touchdown,rush,career touchdown,6
39,career,rushing,touchdown,rush,career touchdown,6
40,career,rushing,touchdown,rush,career touchdown,6
41,students,rushed,field,rush,students field,5
42,students,rushed,field,rush,students field,5
43,crowd,rushed,field,rush,crowd field,5
44,crowd,rushed,field,rush,crowd field,5
45,crowd,rushed,field,rush,crowd field,5
46,students,rushed,field,rush,students field,5
47,students,rushed,field,rush,students field,5
48,crowd,rushing,field,rush,crowd field,5
49,students,rushed,field,rush,students field,5
50,crowd,rushed,field,rush,crowd field,5
51,boy,rushed,boy,rush,boy boy,4
52,crowd,rushed,stage,rush,crowd stage,4
53,crowd,rushed,stage,rush,crowd stage,4
54,crowd,rushes,stage,rush,crowd stage,4
55,crowd,rushed,stage,rush,crowd stage,4
56,boy,rushed,boy,rush,boy boy,4
57,boy,rushed,boy,rush,boy boy,4
58,boy,rushed,boy,rush,boy boy,4
59,team,rushing,yards,rush,team yards,3
60,team,rushing,yards,rush,team yards,3
61,player,rushed,ice,rush,player ice,3
62,player,rushed,ice,rush,player ice,3
63,player,rushed,ice,rush,player ice,3
64,team,rushing,yards,rush,team yards,3
65,force,rushed,gate,rush,force gate,2
66,government,rushing,reinforcements,rush,government reinforcements,2
67,police,rushed,hilltop,rush,police hilltop,2
68,devil,rushed,spirit,rush,devil spirit,2
69,audience,rushed,stage,rush,audience stage,2
70,group,rushed,field,rush,group field,2
71,party,rushed,position,rush,party position,2
72,doctor,rushes,son,rush,doctor son,2
73,postseason,rushing,touchdowns,rush,postseason touchdowns,2
74,brigade,rushed,cavalrymen,rush,brigade cavalrymen,2
75,gas,rushing,pattern,rush,gas pattern,2
