,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,tomatoes,sauce,pastry,sauce,tomatoes pastry,1
1,soy,sauce,food,sauce,soy food,1
2,soy,sauce,restaurants,sauce,soy restaurants,1
3,son,sauce,family,sauce,son family,1
4,resemblance,sauce,brand,sauce,resemblance brand,1
5,walnuts,sauce,name,sauce,walnuts name,1
6,teriyaki,sauce,rice,sauce,teriyaki rice,1
7,dish,sauce,mother,sauce,dish mother,1
8,soy,sauce,factory,sauce,soy factory,1
9,barbecue,sauce,flavors,sauce,barbecue flavors,1
10,soy,sauce,puts,sauce,soy puts,1
11,sugar,sauce,sugars,sauce,sugar sugars,1
12,company,sauce,bases,sauce,company bases,1
