,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,company,scaled,operations,scale,company operations,5
1,men,scaled,walls,scale,men walls,5
2,company,scaled,operations,scale,company operations,5
3,company,scaled,operations,scale,company operations,5
4,company,scaled,operations,scale,company operations,5
5,soldiers,scaled,walls,scale,soldiers walls,5
6,soldiers,scaling,walls,scale,soldiers walls,5
7,men,scaled,walls,scale,men walls,5
8,company,scaled,operations,scale,company operations,5
9,ventral,scales,number,scale,ventral number,5
10,ventral,scales,number,scale,ventral number,5
11,men,scaled,walls,scale,men walls,5
12,men,scaled,walls,scale,men walls,5
13,soldiers,scaling,walls,scale,soldiers walls,5
14,ventral,scales,number,scale,ventral number,5
15,soldiers,scaled,walls,scale,soldiers walls,5
16,soldiers,scaled,walls,scale,soldiers walls,5
17,ventral,scales,number,scale,ventral number,5
18,men,scaled,walls,scale,men walls,5
19,ventral,scales,number,scale,ventral number,5
20,company,scaled,plans,scale,company plans,4
21,company,scaled,plans,scale,company plans,4
22,company,scaled,plans,scale,company plans,4
23,company,scaled,plans,scale,company plans,4
24,dorsal,scales,number,scale,dorsal number,3
25,airline,scaled,operations,scale,airline operations,3
26,handful,scaled,cliffs,scale,handful cliffs,3
27,protesters,scaled,fences,scale,protesters fences,3
28,protesters,scaling,fences,scale,protesters fences,3
29,protesters,scaling,fences,scale,protesters fences,3
30,handful,scaled,cliffs,scale,handful cliffs,3
31,airline,scaled,operations,scale,airline operations,3
32,handful,scaled,cliffs,scale,handful cliffs,3
33,dorsal,scales,number,scale,dorsal number,3
34,frequency,scaling,technologies,scale,frequency technologies,3
35,group,scaled,walls,scale,group walls,3
36,group,scaled,walls,scale,group walls,3
37,frequency,scaling,technologies,scale,frequency technologies,3
38,airline,scaled,operations,scale,airline operations,3
39,group,scaled,walls,scale,group walls,3
40,frequency,scaling,technologies,scale,frequency technologies,3
41,dorsal,scales,number,scale,dorsal number,3
42,type,scales,overhead,scale,type overhead,2
43,industry,scale,heights,scale,industry heights,2
44,team,scaled,plans,scale,team plans,2
45,companies,scaled,operations,scale,companies operations,2
46,industry,scale,heights,scale,industry heights,2
47,team,scaled,plans,scale,team plans,2
48,apartments,scale,roof,scale,apartments roof,2
49,apartments,scale,roof,scale,apartments roof,2
50,organizations,scale,applications,scale,organizations applications,2
51,group,scaled,mountain,scale,group mountain,2
52,organizations,scale,applications,scale,organizations applications,2
53,volunteers,scale,barricades,scale,volunteers barricades,2
54,character,scaling,exterior,scale,character exterior,2
55,managers,scaled,heights,scale,managers heights,2
56,party,scales,walls,scale,party walls,2
57,forces,scaled,walls,scale,forces walls,2
58,party,scaled,walls,scale,party walls,2
59,industries,scaled,operations,scale,industries operations,2
60,band,scaled,pursuits,scale,band pursuits,2
61,judge,scales,competitors,scale,judge competitors,2
62,affine,scaling,direction,scale,affine direction,2
63,affine,scaling,direction,scale,affine direction,2
64,government,scaled,plans,scale,government plans,2
65,farmers,scale,mortgages,scale,farmers mortgages,2
66,judge,scales,competitors,scale,judge competitors,2
67,band,scaled,pursuits,scale,band pursuits,2
68,government,scaled,plans,scale,government plans,2
69,bony,scales,spring,scale,bony spring,2
70,team,scaled,schedule,scale,team schedule,2
71,volunteers,scale,barricades,scale,volunteers barricades,2
72,students,scaled,fence,scale,students fence,2
73,industries,scaled,operations,scale,industries operations,2
74,type,scales,overhead,scale,type overhead,2
75,attackers,scaled,breaches,scale,attackers breaches,2
76,group,scales,mountain,scale,group mountain,2
77,managers,scaled,heights,scale,managers heights,2
78,companies,scale,operations,scale,companies operations,2
79,attackers,scaled,breaches,scale,attackers breaches,2
80,men,scale,fence,scale,men fence,2
81,forces,scaled,walls,scale,forces walls,2
82,man,scaled,fence,scale,man fence,2
83,farmers,scale,mortgages,scale,farmers mortgages,2
84,character,scaling,exterior,scale,character exterior,2
85,men,scaling,fence,scale,men fence,2
86,students,scaled,fence,scale,students fence,2
87,man,scaled,fence,scale,man fence,2
88,rotocenters,scaled,factor,scale,rotocenters factor,2
89,rotocenters,scaled,factor,scale,rotocenters factor,2
90,team,scaled,schedule,scale,team schedule,2
91,bony,scales,spring,scale,bony spring,2
92,developers,scale,code,scale,developers code,1
93,knights,scaled,walls,scale,knights walls,1
94,mouse,scales,wall,scale,mouse wall,1
95,handful,scaled,tower,scale,handful tower,1
96,musketeers,scale,walls,scale,musketeers walls,1
97,priests,scaled,gopuram,scale,priests gopuram,1
98,workers,scale,building,scale,workers building,1
99,group,scaled,wall,scale,group wall,1
100,attempts,scaled,design,scale,attempts design,1
101,church,scaled,plans,scale,church plans,1
102,first,scaled,walls,scale,first walls,1
103,forewing,scaled,hindwing,scale,forewing hindwing,1
104,company,scaled,number,scale,company number,1
105,man,scaled,building,scale,man building,1
106,revision,scaled,proposal,scale,revision proposal,1
107,arms,scale,movement,scale,arms movement,1
108,pottery,scaled,production,scale,pottery production,1
109,trade,scaled,highs,scale,trade highs,1
110,company,scaled,vehicles,scale,company vehicles,1
111,soldiers,scaled,peaks,scale,soldiers peaks,1
112,trust,scaled,scheme,scale,trust scheme,1
113,troops,scaled,ascent,scale,troops ascent,1
114,formats,scaled,top,scale,formats top,1
115,members,scaled,peak,scale,members peak,1
116,acrobats,scaled,walls,scale,acrobats walls,1
117,analysis,scales,scales,scale,analysis scales,1
118,life,scaled,models,scale,life models,1
119,episode,scaled,tone,scale,episode tone,1
120,wolf,scaled,fence,scale,wolf fence,1
121,liquidity,scaled,trading,scale,liquidity trading,1
122,president,scaled,duties,scale,president duties,1
123,manufacturers,scales,state,scale,manufacturers state,1
124,factor,scales,variance,scale,factor variance,1
125,team,scaled,team,scale,team team,1
126,hundreds,scaled,fences,scale,hundreds fences,1
127,team,scaled,efforts,scale,team efforts,1
128,interest,scaled,operations,scale,interest operations,1
129,design,scaled,design,scale,design design,1
130,blade,scales,scales,scale,blade scales,1
131,lengths,scale,density,scale,lengths density,1
132,team,scaled,promontory,scale,team promontory,1
133,users,scale,image,scale,users image,1
134,compensation,scaling,effects,scale,compensation effects,1
135,celebrities,scale,feet,scale,celebrities feet,1
136,unit,scaled,cliffs,scale,unit cliffs,1
