,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,crew,scratched,name,scratch,crew name,3
1,people,scratch,heads,scratch,people heads,3
2,people,scratching,heads,scratch,people heads,3
3,people,scratching,heads,scratch,people heads,3
4,crew,scratched,name,scratch,crew name,3
5,crew,scratched,name,scratch,crew name,3
6,part,scratches,surface,scratch,part surface,2
7,crops,scratched,season,scratch,crops season,2
8,victim,scratches,area,scratch,victim area,2
9,plague,scratched,one,scratch,plague one,2
10,crops,scratched,season,scratch,crops season,2
11,baby,scratching,ground,scratch,baby ground,2
12,book,scratches,surface,scratch,book surface,2
13,baby,scratching,ground,scratch,baby ground,2
14,woman,scratched,arm,scratch,woman arm,2
15,book,scratches,surface,scratch,book surface,2
16,victim,scratches,area,scratch,victim area,2
17,part,scratches,surface,scratch,part surface,2
18,voters,scratched,name,scratch,voters name,2
19,viewers,scratch,heads,scratch,viewers heads,2
20,viewers,scratching,heads,scratch,viewers heads,2
21,voters,scratched,name,scratch,voters name,2
22,woman,scratching,arm,scratch,woman arm,2
23,plague,scratched,one,scratch,plague one,2
24,student,scratches,coating,scratch,student coating,1
25,men,scratch,faces,scratch,men faces,1
26,prisoners,scratched,sentences,scratch,prisoners sentences,1
27,striae,scratch,surface,scratch,striae surface,1
28,objects,scratched,battery,scratch,objects battery,1
29,king,scratched,eye,scratch,king eye,1
30,hands,scratch,body,scratch,hands body,1
31,album,scratches,itch,scratch,album itch,1
32,one,scratches,mask,scratch,one mask,1
33,student,scratch,choice,scratch,student choice,1
34,crucifix,scratching,chest,scratch,crucifix chest,1
35,student,scratches,answer,scratch,student answer,1
36,driver,scratched,paint,scratch,driver paint,1
37,deviation,scratches,etc,scratch,deviation etc,1
38,coins,scratched,shell,scratch,coins shell,1
39,butterflies,scratch,tissues,scratch,butterflies tissues,1
40,vessels,scratched,frame,scratch,vessels frame,1
41,owners,scratched,horses,scratch,owners horses,1
42,camera,scratches,film,scratch,camera film,1
43,child,scratches,head,scratch,child head,1
44,cat,scratches,hands,scratch,cat hands,1
45,player,scratched,color,scratch,player color,1
46,woman,scratches,face,scratch,woman face,1
47,son,scratched,name,scratch,son name,1
48,critics,scratch,heads,scratch,critics heads,1
49,spirit,scratching,words,scratch,spirit words,1
50,somebody,scratched,lid,scratch,somebody lid,1
51,man,scratches,face,scratch,man face,1
52,cats,scratch,furniture,scratch,cats furniture,1
53,fish,scratch,gills,scratch,fish gills,1
54,plane,scratched,one,scratch,plane one,1
55,congregation,scratched,head,scratch,congregation head,1
56,ship,scratched,bit,scratch,ship bit,1
57,patient,scratched,face,scratch,patient face,1
58,officer,scratched,message,scratch,officer message,1
59,fainter,scratches,traverse,scratch,fainter traverse,1
60,couple,scratch,collaborations,scratch,couple collaborations,1
61,girls,scratch,butts,scratch,girls butts,1
62,stops,scratch,athletes,scratch,stops athletes,1
63,chickens,scratch,garden,scratch,chickens garden,1
64,tasks,scratched,side,scratch,tasks side,1
65,bullet,scratches,face,scratch,bullet face,1
66,hand,scratching,head,scratch,hand head,1
67,convictions,scratched,surface,scratch,convictions surface,1
68,builders,scratched,numerals,scratch,builders numerals,1
69,prisoners,scratched,names,scratch,prisoners names,1
70,horse,scratched,wounds,scratch,horse wounds,1
71,writing,scratches,surface,scratch,writing surface,1
72,fantasies,scratched,surface,scratch,fantasies surface,1
73,all,scratch,surface,scratch,all surface,1
74,pets,scratch,furniture,scratch,pets furniture,1
75,game,scratched,surface,scratch,game surface,1
76,team,scratched,draw,scratch,team draw,1
77,cougar,scratched,skin,scratch,cougar skin,1
78,snouts,scratching,butts,scratch,snouts butts,1
79,creature,scratches,chair,scratch,creature chair,1
80,father,scratched,living,scratch,father living,1
81,owner,scratched,horse,scratch,owner horse,1
82,vine,scratched,leg,scratch,vine leg,1
83,sources,scratched,gown,scratch,sources gown,1
84,lashes,scratch,eyeball,scratch,lashes eyeball,1
85,issue,scratches,itch,scratch,issue itch,1
86,people,scratching,bodies,scratch,people bodies,1
87,share,scratching,moments,scratch,share moments,1
88,drummers,scratch,heads,scratch,drummers heads,1
89,woman,scratches,head,scratch,woman head,1
90,cat,scratched,eye,scratch,cat eye,1
91,lenses,scratched,glasses,scratch,lenses glasses,1
92,recording,scratches,surface,scratch,recording surface,1
93,account,scratches,surface,scratch,account surface,1
94,chickens,scratching,ground,scratch,chickens ground,1
95,character,scratches,image,scratch,character image,1
96,tailor,scratch,rantering,scratch,tailor rantering,1
97,dog,scratched,face,scratch,dog face,1
98,methods,scratching,covering,scratch,methods covering,1
99,head,scratched,owners,scratch,head owners,1
100,logrunners,scratch,soil,scratch,logrunners soil,1
101,player,scratches,film,scratch,player film,1
102,dad,scratches,record,scratch,dad record,1
103,chickens,scratch,arms,scratch,chickens arms,1
104,story,scratched,surface,scratch,story surface,1
105,ostrich,scratches,scrape,scratch,ostrich scrape,1
106,owl,scratches,eye,scratch,owl eye,1
107,entity,scratched,children,scratch,entity children,1
108,workers,scratched,surface,scratch,workers surface,1
109,artist,scratches,ink,scratch,artist ink,1
110,presence,scratching,techniques,scratch,presence techniques,1
111,ash,scratched,surfaces,scratch,ash surfaces,1
112,examples,scratch,surface,scratch,examples surface,1
113,narrative,scratches,surface,scratch,narrative surface,1
114,women,scratching,faces,scratch,women faces,1
115,figure,scratches,prison,scratch,figure prison,1
116,knowledge,scratched,surface,scratch,knowledge surface,1
117,everyone,scratching,heads,scratch,everyone heads,1
118,demon,scratches,stomach,scratch,demon stomach,1
119,boy,scratches,head,scratch,boy head,1
120,ear,scratched,examiner,scratch,ear examiner,1
121,user,scratches,password,scratch,user password,1
